标题,价格(元),所在地,想要人数,商品URL
正品官网可查]泡泡玛特拉布布前方高能系列 labubu3.0 挂件潮玩毛绒盲盒搪胶脸  个人闲置拆了几十端，已经拆到了几个隐藏，剩下的不想拆了，现出重复款，保真保真保真!!!  3.0三代隐藏款本我ID，希望，欢乐，幸运，忠诚，平静，爱，------图片都是我实拍(盗图必究)  1.【绝对正品，都有官...,49.9,浙江,3067,https://www.goofish.com/item?id=951767929546&categoryId=201559511
【全新包邮】拉布布labubu3.0 三代前方高能系列毛绒公 仔摆挂件 #潮流盲盒 ##POP MART/泡泡玛特  同价位VS对比 质量更高！本店娃真的很真 ⭐居家摆设、自己收藏、送礼送人都是很不错的选择  随机盲盒19.9 隐藏款19.9包邮 整盒六个不重复109包邮 整盒七个不重复加隐藏139包...,19.9,河北,0,https://www.goofish.com/item?id=940668456088&categoryId=201559511
正品防伪可查labubu三代3.0泡泡玛特前方高能系列盲盒整 端塑封拉布布3.0【保真+不卖黄牛!】个人闲置买了很多端，自己已经拆到了隐藏款安全下车，多余的便宜出，黄牛请绕道!→支持官方防伪验证!一娃一盒→未拆封盒+水洗标随机款盲盒一个 105，有几率开出隐藏款本我，也可指定爱、幸运、希望、平静、忠诚、欢乐，指定款109一只。需要的来私我!。关于售后[1]因盲盒特殊性无开箱视频不售后，不包官瑕![2]是正品!官方防伪!!不接受废话和扯皮，拆封不退!想好再拍!可以直接拍，能拍就能发!出完下架!!,105.0,广东,2883,https://www.goofish.com/item?id=949446983610&categoryId=201559511
【正品可验】泡泡玛特labubu限定款春天野在家盲盒搪胶玩偶 挂件17cm  全新未拆封小春野挂件，外包装齐全，带官方防伪码可查验，查若不实，包退包退包退！！！  [hot][hot][hot]真的超级难抢的大热门 【数量仅剩6个，先到先得，手慢无】  标价即卖价，所见即所得，喜欢直接下单[送花][送...,128.0,上海,555,https://www.goofish.com/item?id=942555883271&categoryId=201559511
【闲置亏本包邮】坐坐派对labubu拉布布泡泡玛特羞|||答 答甜丝丝眼巴巴美滋滋乐呵呵  又拆了五端了，出隐藏了，其他全是重复的，都是眼巴巴，美滋滋，羞答答这些不是隐藏款的，现出售多余重复的，正品包邮，盒可官网扫码验证真伪，脚底荧光防伪，数量有限，先到先得！娃自带挂钩，可挂包包，链接在就还有。   ...,85.0,上海,696,https://www.goofish.com/item?id=924362827574&categoryId=201559511
【正品扫码验证】拉布布labubu3.0前方高能系列三代挂件 潮玩毛绒盲盒搪胶脸潮玩手办个人闲置拆了几十端，已经拆到了几个隐藏，剩下的不想拆了，现出重复款，保真保真保真！！！3.0三代隐藏款本我ID，希望，欢乐，幸运，忠诚，平静，爱  ，------图片都是我实拍(盗图必究！)随机款盲盒一个99，有几率开出隐藏款本我也可指定爱、幸运、 希望、平静、忠诚、欢乐。130元泡泡玛特官网二维码可扫！！！正品！！相信的就拍，事多的勿扰！！【标价就是售价，需要指定款和整端点击购买可以选择】【链接在就可以直接拍，能拍就能发】,99.0,上海,1534,https://www.goofish.com/item?id=947214309184&categoryId=201559511
【全新正品官码可扫】泡泡玛特拉布布labubu3.0前方高能 系列挂件潮玩毛绒盲盒搪胶脸潮玩手办 #POP MART/泡泡玛特 #潮流盲盒手办  3.0三代隐藏款本我ID，希望，欢乐，幸运，忠诚，平静，爱  ，------图片都是我实拍 个人闲置拆了几十端，已经拆到了几个隐藏，剩下的不想拆了，现出重复...,108.0,北京,455,https://www.goofish.com/item?id=951306431884&categoryId=201559511
【原价正品出】LABUBU小春野拉布布 春天野在家泡泡玛特 搪胶毛绒公仔挂件THEMONSTERS，喜欢的直接拍（现货还有2只），链接在就还有  官方防伪码可查（官方小程序防伪码）   若查出防伪不实，包退，包退 现货不多了，下单后24小时内发货  普通快递包邮（偏远地区除外） 可以顺丰邮费到付 ...,159.0,北京,1096,https://www.goofish.com/item?id=947556022588&categoryId=201559511
全新正品可验！现货未拆盒泡泡玛特拉布布labubu2.0坐坐 派对系列潮玩盲盒搪胶脸手办挂件毛绒公仔玩偶#POP MART/泡泡玛特 #潮流盲盒手办 二代2.0隐藏款趣多多，羞答答，眼巴巴，委屈屈，美滋滋，乐呵呵，甜丝丝------图片都是我实拍！！！个人闲置拆了几十端，已经拆到了几个隐藏，剩下的不想拆了，现出重复款，保真保真保真！！！1. 【绝对正品，都有官方防伪可验真！不正包退】2.【标价即售价，盒卡齐全，确认款拆盒未拆袋】3.【链接在就可以直接拍，爽快包邮】盲盒性质售出不退不换，官方瑕疵不包！闷包发货我也不知道里面什么样真伪以官方防伪查询结果为准，不支持个人主观拍下默认已知以上内容，看好再下单，避免扯皮～,105.0,上海,29,https://www.goofish.com/item?id=952095611978&categoryId=201559511
【正品全新包邮】泡泡玛特豆乳哆哆 拆原盒不拆袋，塑封完好，100%全新！  支持任何鉴定！全新未拆袋119，拆盒拆袋114因为盲盒的不确定性售出不退不换哈！#POP MART/泡泡玛特 #送闺蜜礼物 #潮流盲盒手办,114.0,广东,0,https://www.goofish.com/item?id=953629409177&categoryId=201559511
出 泡泡玛特Labubu3.0新款【三代】前方高能搪胶毛绒系 列盲盒之前买多了很多，现在忍痛割爱，有概率出隐藏款本我！一端6只装不重复的，带原装盒子，毛绒公仔手感超好，带挂环可当包包挂件。全新未拆封，官方正品，防伪码可随意验证！单个也有 一端也有盲盒性质特殊，不包官瑕！不包官瑕！爽快的宝子赶紧下单吧！,135.0,江西,0,https://www.goofish.com/item?id=948982905182&categoryId=201559511
【官方正品】泡泡玛特+Labubu+3.0新款三代搪胶盲盒| |||||毛绒公仔|||之前抢多了几端，现在忍痛转让，发货全新未拆封的，小票都在。[火][火][火][火][火][3][3][1][3][2][火][火][火][火][火][火][3][3][1][1][火][火][火][火][火]前方高能系列全新未拆盒+整端塑封+概率隐藏6个不重复+一套出正品+防伪码可查真伪顺丰到付盲盒特殊性质，不包官瑕，不包官瑕售出无一镜开箱视频售出不退不换，验货签收，一经签收不退不换，爽快下单的宝子 ！！！#POP MART/泡泡玛特 跑单撤单扣20#POP MART/泡泡玛特 #潮流盲盒 #潮流盲盒手办,668.0,上海,1880,https://www.goofish.com/item?id=941385235837&categoryId=201559511
