,玉米的歌声,星期五晚上的胡萝卜,晚高峰,日出原理,明日恐惧症,每天朝山顶推一秒的石头,唤醒石头里存在的生命,洞天,冬日追逐,心奇爆龙战车,屈原,卡卡虎大冒险,妖道至尊,斗破苍穹,毛毛镇,无脑魔女,新大头儿子和小头爸爸 欢乐亲子营,中国畅想曲,棉花糖和云朵妈妈 快乐生活,奇奇和努娜,小绿和小蓝,怪兽小馆,时光代理人,四格勇者,第一序列,镇魂街,小鹿蓝蓝,拇指总动员,我玩游戏成了绝世强者,神兽小岛,节气小精灵,异空战歌,巧虎奇幻舞台历险记,少年英雄小哪吒,霸王龙雷奇,机米和露露,雪王驾到,魔法学院,如果历史是一群喵,诸葛亮,嗨！三宝,凹凸学园,给我来个小狐狸,天界代购店,傲世九重天,明日方舟：冬隐归路,三十六骑,都市神医：七个师姐保我无敌,猪猪侠益智课堂,小品一家人,超变战陀,正经少主的幸福生活,少年歌行,钢铁飞龙,七侯笔录,炫卡斗士,你的人生是我来迟了,月魁传 动态漫画,哑舍,十方武圣,淘气猪多多,不死不灭,变形联盟,小刻的画图写话,猪猪侠,燃夏,胶囊计划,盟卡车神,槑好时光·城南忆事,桃花扇,风雪山神庙,年,路,仙王的日常生活,火星西路,命运拳台,原来我早就无敌了,盐友,贝肯熊：火星任务,枕刀歌,乖桃与闹瓜,妙趣横生故事汇,我们渡江啦,春芽宝贝,故事王国,中华民间故事,智慧村的故事,彩虹森林的故事,啾啾成长记,小鸡丫丫的日常百科,丫丫的日常百科,船员历险记,托宝战士,百变雄师,蔬菜不寂寞,萌果乐多多,妙趣横生恐龙世界,出动 安全救援号,参娃与天池怪兽,中华上下五千年,猪多多成长日记,奇妙大冒险,故事小号手,神奇飞船,快乐的海洋,威力成长记,乐比悠悠学成语,不一样的科学故事,不一样的语文故事,不一样的数学故事,贾老爷开店,乐儿智慧王国 博览名著,乐儿智慧王国 七巧板,乐儿智慧王国 奇幻科普,小强与旺财,安全小卫士,中华美德 成语教育动画,繁花似锦,好伙伴,漫虫记,豫游记,淘淘与小布,阿U学堂,三只兔子,阿优学科学,尼尼和她的好朋友,南瓜学院,穿越云南三千年 云小志漫游记,钟南山的故事,天眼之父南仁东,黑云国历险记,东方探秘谷,趣说经典,我在未来有套房,王安石与鄞县,都市最强仙尊,我靠签到逆天改命,我在魔界当大佬,弟子都说我无敌,超级微信,史上最强,都市最强房东,重生归来：直接无敌,不白吃古诗词漫游记,我的弟子都超神,地下城与勇士,大宇宙时代,异人君莫邪,万古第一神,亏成首富从游戏开始,四季童年,旅途危机！圣芙蕾雅号特别事件,咸鱼哥,一世之尊,百妖谱,捕星司·源起,开心超人,五侠笑闯中洲,牧神记,守龙者,神道帝尊,山山田田间,宗门里除了我都是卧底,白蛇：浮生,大道朝天,喜羊羊与灰太狼,虎鹤妖师录,盒中之海,食草老龙被冠以恶龙之名,伍六七,头脑特工队,虫小绿历史为什么,星星班长,黑神话：悟空,小小知道,哈小浪,神奇马戏团,伞少女,时光的画笔,成语中国,万渣朝凰,炼气练了三千年,传闻中的白月光,笼中人,爆炫星陀,怪想售,绿毛怪格林奇,赘婿,神奇的朋友 咖宝蛋神,白色闪电,咖宝车神,我的三体,精灵梦叶罗丽,民调局异闻录,我叫mt,小花仙,无聊就完结,阿诺德和他可爱的木偶们,赛尔号,彩虹宝宝,百工灵,一,休,心源,小诗人,龙门,出口,猪猪侠大电影·星际行动,从姑获鸟开始,今天的晚餐就是你,幻宠师,风速少年团,邂逅她的少女时代,小药童也想修仙,回铭,我在修仙世界朝九晚五,鲲吞天下,宝莲灯,没头脑和不高兴,猪猪·吉利·小财神,百变宝贝,中华美德,超级球迷,魔鬼芯片,土红色的骆驼,西游漫记,白玉堂,财宝小狐狸,飞龙天降,钟点父子,三十六计奇遇记,小草帽,小和尚,家有开心果,红孩儿传奇,怪城,咕噜先生,民族风情,风尘小游侠,聪明的笨小猪,隐身探长,大森林里的小故事,红鼻子,地上城与勇士,银河封神纪,反派初始化,FLUFFY LAND,超变兽车侠,虚无边境,神之一脚,没牙的老虎,皮皮的故事,巴塔木晚安故事,小鸡彩虹,林海雪原,仙女奇缘,逐梦少年,少年苏东坡传奇,梦想总动员,探险中的小百科,乌鸦为什么是黑的,东郭先生,小蛋壳,女娲补天,假如我是武松,狼来了,鹿铃,小熊猫学木匠,曹冲称象,善良的夏吾冬,抬驴,猴子捞月,崂山道士,真假李逵,南郭先生,人参果,三个和尚,张飞审瓜,雪孩子,老狼请客,好猫咪咪,愚人买鞋,熊猫百货商店,画廊一夜,大英雄狄青,猩猩探长,牛牛和西西,应该靠自己,快乐家家车,怪老头儿,大盗贼,汉化日记,大雨,奶泡泡学成语,瑞奇宝宝,缔灵爱,苍兰诀,新·异常生物见闻录：序,嫁人就嫁灰太狼,明日方舟：焰烬曙明,山海封神,这个大佬画风不对,重生,最强反套路系统,我真的不想当,我在末世搬金砖,我的师傅每到大限才突破,神豪,从不出手的我混成了天榜大佬·,从零开始当首富,道君,掌门低调点,最强神王,我真不是大反派啊,重生都市天尊,开局一条鲲,最强神赐,系统逼我做反派,圣尊助理的我已经无敌了,都市阴阳仙医,相亲式修真道侣,最强弃少,大象无形,龅牙的快乐生活,金蚕往事,天命出马仙,亡灵天灾：我抬手百万骨海,君有云,航天双子星,精灵蒲公英,米乐米可,跳跳鱼世界故事会,新大头儿子和小头爸爸 智能小当家,福娃,封灵特优生,灵笼,我的弟子遍布诸天万界,U探泰拉,大侠请上功,反派师尊的我带着徒弟们天下无敌,目标一亿积分,念无双,凸变英雄x,我的师兄太强了,虹猫蓝兔海底历险记,虹猫蓝兔七侠传,海尔兄弟高清,凹凸世界·Reborn,冰封末日：绝无生还之路,真理面具,长歌行,木木博士,猪多多,君子无疾,那年那兔那些事儿,三国演义,小鲤鱼历险记,蛮荒仙界,美猴王,哪吒传奇,火凤燎原,天命大主宰,赛几传说,请吃红小豆吧！食物世界,不白吃话山海经,聪明的阿凡提,知宝学堂,是王者啊？,宝宝乐学堂,可可小爱快乐学知识,小蜜蜂,欢乐小狮子,开心动物园,大侦探熊猫猪,乐比悠悠,奇特益智工程车,小神有戏,喷喷象小百科,中华名人小课堂,多多趣味识字课堂,趣说中华名人故事,菠萝王国,中华诗歌故事,数学魔法,棒波免的海洋之旅,荒岛历险记,纳尤古传奇,嘀嗒传奇,纸朋友,冒险小王子,奇趣特工队,灵草小战士,龙宝小英雄,闪亮闪亮太伶美,魔方战士,新大头儿子和小头爸爸传奇兜兜,棉花糖和云朵妈妈超级小米花,号牛乃唐,青田小田鱼,我是发明家,大运河奇缘,嘟嘟小分队,魔法可可,转战,山海宝贝,半蛋龙,星原小宝,大宝大牙科学探索,绿野森林的故事,豆豆一家人,超元绝战,功夫萌娃,土波兔,始祖的足迹,中华优秀传统文化系列动画片,童心向阳,凿壁偷光-匡衡的传说,孔子见老子,孔子归来,论语智慧,飞天狐和卡卡,橡树餐厅,汽车星球,恐龙时代,乐园市的快乐日常,小鸡丫丫动起来,光影天炎战甲,百变校巴,罗米熊与丹米兔,跳跳鱼世界,小刺猬吉吉,工程车救援行动队,小小的世界,鹿宝贝朗迪,快乐熊兜兜,怪兽家族,阿U学英语,乌龙院,乐儿智慧乐园 幼儿启蒙,乐儿智慧乐园 世界各国,猪猪侠恐龙爆笑研究所,猪猪侠爆笑科普乐园,百变校巴成语故事,核晶少年,疯狂小糖,你好！卟卟,百变校巴成长绘本,百变校巴英文儿歌,奇特工程车,漫赏秦腔,爸爸妈妈小时候的故事,天外福星,飞越五千年,晓晓成长日记,奇奇妙妙博物馆,彭祖传奇,水果三国,杰米熊,百变布鲁可,车宝乐园,汽车世界城市大冒险,公众应急知识,鸭丫俱乐部,中华廉政故事,火火兔学古诗,快乐熊猫一家人,中医药里的故事,一千零一夜,小猫威力,神奇小队,神奇画笔看世界,小豆的微观世界,儿童小百科,探索生活小百科,木头岛的故事,成语诗词荟萃,反诈小分队,小羊哈哈童年日记,桃花夫人,快乐小郑星,雪王,胶囊计划 英雄,全职高手荣耀小剧场,恰同学少年,暂停！智序重组,元气奇事,紫川,开局地摊卖大力,在下“英台”,双生武魂,非人哉,是假千金也要手握团宠剧本,龙族Ⅱ,通灵妃,妖神记,斗罗大陆剧场版 剑道尘心,我为刀宗,赵琳的探险日记,云深不知梦,葫芦兄妹,夜光溯明,凌天独尊,《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,【无职转生同人动画】血契之约,鬼吹灯,后羿,武碎星河,玲珑骰,神墓,缥缈剑仙传,万剑王座,斗破苍穹 年番,信息素说我们不可能,猫和老鼠：星盘奇缘,向着星辰的长征
2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,,,,,,,,,,1180.0,4473.0,275.0,267.0,36033.0,,,,,,,911.0,,4955.0,,2273.0,2631.0,,,,,,,,453.0,0.0,,,657.0,2285.0,6920.0,,,,,1322.0,,0.0,,,2675.0,682.0,,10223.0,1011.0,,,,,1196.0,1128.0,,453.0,847.0,,7903.0,,0.0,,,1124.0,631.0,2520.0,1455.0,1143.0,,0.0,87.0,,,309.0,,,,,,136.0,,,,,,,,,102.0,,,,,986.0,,,,,,,,,,,,,,,,,,6209.0,,,,,,,,,,,,,,,,,,,,,,138.0,493.0,,,,266.0,2097.0,193.0,0.0,14022.0,853.0,,,,1293.0,1317.0,,1917.0,,2241.0,0.0,8158.0,,0.0,,1074.0,6527.0,0.0,0.0,150.0,1092.0,1218.0,,,78.0,,,65.0,0.0,,,1358.0,624.0,,,,,143.0,12399.0,,111.0,2414.0,343.0,1185.0,1090.0,602.0,2086.0,,,4243.0,670.0,,26652.0,867.0,,,689.0,498.0,,1898.0,,0.0,,,,,,267.0,1933.0,1084.0,,103.0,112.0,,0.0,,,424.0,,,,,,534.0,,31.0,,0.0,95.0,,,,,191.0,,,0.0,,,,,,,,410.0,1572.0,68.0,,,159.0,,66.0,611.0,,1123.0,31.0,695.0,102.0,75.0,1015.0,66.0,68.0,592.0,1081.0,132.0,780.0,1956.0,990.0,38.0,343.0,167.0,141.0,0.0,118.0,0.0,249.0,,,,116.0,155.0,262.0,292.0,835.0,,559.0,,9192.0,,146.0,,,739.0,2754.0,1131.0,,,875.0,,,,1303.0,706.0,,,283.0,,,,,,,2887.0,870.0,,,320.0,,842.0,,,,,,611.0,,1785.0,,,,264.0,,0.0,0.0,0.0,62.0,1061.0,0.0,,,586.0,10044.0,,,,987.0,13708.0,1147.0,147.0,496.0,1129.0,4238.0,,,,,68.0,,,,,1176.0,,65.0,,353.0,,,,,,,,,,,,,,,129.0,,,362.0,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,525.0,,,,,,263.0,,,109.0,,,,,708.0,,,,,,,335.0,,,,,,,,,,,,,168.0,880.0,,,,,,,,,1977.0,,,,,,,,,,,154.0,,454.0,,,1270.0,,,1519.0,1896.0,,,2035.0,,,987.0,6058.0,,,0.0,0.0,,,0.0,,,5475.0,1067.0,,,2812.0,,,,1683.0,,
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-09,,,,,,,,,,1095.0,3491.0,235.0,249.0,29044.0,,,,,,,772.0,,4663.0,,2619.0,2198.0,,,,,,,,511.0,0.0,,,625.0,2066.0,6727.0,,,,,1320.0,,0.0,,,2679.0,613.0,,8898.0,946.0,,,,,1216.0,854.0,,424.0,758.0,,8199.0,,0.0,,,1144.0,486.0,2475.0,1639.0,1136.0,,0.0,140.0,,,294.0,,,,,,105.0,,,,,,,,,101.0,,,,,986.0,,,,,,,,,,,,,,,,,,5894.0,,,,,,,,,,,,,,,,,,,,,,141.0,594.0,,,,263.0,2218.0,192.0,0.0,11983.0,1041.0,,,,1340.0,1192.0,,1904.0,,2148.0,0.0,8433.0,,0.0,,1083.0,6872.0,0.0,0.0,129.0,1102.0,1232.0,,,87.0,,,67.0,0.0,,,1283.0,627.0,,,,,150.0,10983.0,,96.0,1991.0,322.0,1152.0,1199.0,595.0,1972.0,,,4182.0,573.0,,26173.0,917.0,,,700.0,651.0,,1887.0,,0.0,,,,,,195.0,8773.0,1124.0,,113.0,141.0,,27.0,,,403.0,,,,,,587.0,,9.0,,17.0,118.0,,,,,204.0,,,0.0,,,,,,,,390.0,1290.0,77.0,,,176.0,,100.0,661.0,,1140.0,25.0,639.0,111.0,75.0,1059.0,99.0,107.0,596.0,1070.0,127.0,578.0,1883.0,936.0,36.0,366.0,134.0,126.0,35.0,122.0,9.0,251.0,,,,161.0,168.0,249.0,297.0,819.0,,503.0,,8533.0,,133.0,,,792.0,2767.0,1129.0,,,795.0,,,,1183.0,600.0,,,258.0,,,,,,,2848.0,913.0,,,361.0,,831.0,,,,,,620.0,,2705.0,,,,279.0,,0.0,0.0,0.0,93.0,1092.0,0.0,,,557.0,10055.0,,,,870.0,13094.0,1218.0,140.0,500.0,1188.0,2914.0,,,,,80.0,,,,,1343.0,,71.0,,364.0,,,,,,,,,,,,,,,123.0,,,325.0,,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,,,,420.0,,,,,,281.0,,,126.0,,,,,685.0,,,,,,,346.0,,,,,,,,,,,,,152.0,911.0,,,,,,,,,2005.0,,,,,,,,,,,156.0,,528.0,,,1251.0,,,1453.0,2029.0,,,2078.0,,,978.0,5555.0,,,0.0,0.0,,,0.0,,,5054.0,1128.0,,,2836.0,,,,1674.0,,
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
