,sum,mean
玉米的歌声,0.0,
星期五晚上的胡萝卜,0.0,
晚高峰,0.0,
日出原理,0.0,
明日恐惧症,0.0,
每天朝山顶推一秒的石头,0.0,
唤醒石头里存在的生命,0.0,
洞天,0.0,
冬日追逐,0.0,
心奇爆龙战车,55722.0,525.6792452830189
屈原,407267.0,3842.1415094339623
卡卡虎大冒险,16261.0,153.4056603773585
妖道至尊,16935.0,159.76415094339623
斗破苍穹,2579653.0,24336.349056603773
毛毛镇,0.0,
无脑魔女,0.0,
新大头儿子和小头爸爸 欢乐亲子营,0.0,
中国畅想曲,0.0,
棉花糖和云朵妈妈 快乐生活,0.0,
奇奇和努娜,0.0,
小绿和小蓝,65636.0,619.2075471698113
怪兽小馆,0.0,
时光代理人,518401.0,4890.575471698113
四格勇者,0.0,
第一序列,497512.0,4693.509433962264
镇魂街,277754.0,2620.3207547169814
小鹿蓝蓝,0.0,
拇指总动员,0.0,
我玩游戏成了绝世强者,0.0,
神兽小岛,0.0,
节气小精灵,0.0,
异空战歌,0.0,
巧虎奇幻舞台历险记,0.0,
少年英雄小哪吒,49098.0,463.188679245283
霸王龙雷奇,2262.0,21.339622641509433
机米和露露,0.0,
雪王驾到,0.0,
魔法学院,47701.0,450.00943396226415
如果历史是一群喵,167712.0,1582.188679245283
诸葛亮,628688.0,5931.018867924528
嗨！三宝,0.0,
凹凸学园,0.0,
给我来个小狐狸,0.0,
天界代购店,0.0,
傲世九重天,138450.0,1306.132075471698
明日方舟：冬隐归路,0.0,
三十六骑,34688.0,327.24528301886795
都市神医：七个师姐保我无敌,0.0,
猪猪侠益智课堂,0.0,
小品一家人,217284.0,2049.8490566037735
超变战陀,40787.0,384.7830188679245
正经少主的幸福生活,0.0,
少年歌行,884940.0,8348.490566037735
钢铁飞龙,79971.0,754.4433962264151
七侯笔录,0.0,
炫卡斗士,0.0,
你的人生是我来迟了,0.0,
月魁传 动态漫画,0.0,
哑舍,151883.0,1432.8584905660377
十方武圣,74254.0,700.5094339622641
淘气猪多多,0.0,
不死不灭,58263.0,549.6509433962265
变形联盟,50858.0,479.79245283018867
小刻的画图写话,0.0,
猪猪侠,466183.0,4397.952830188679
燃夏,0.0,
胶囊计划,25503.0,240.5943396226415
盟卡车神,0.0,
槑好时光·城南忆事,0.0,
桃花扇,103876.0,979.9622641509434
风雪山神庙,46197.0,435.8207547169811
