,棉花糖和云朵妈妈,长安三万里,超级飞侠：乐迪加速,茶啊二中,欢乐丛林,萌鼠大冒险,百变马丁：怪兽大作战,超级英雄美猴王：齐天儿,飞向月球,雪域少年,王牌二哈,龙珠寻游记,嗨！神兽,贝肯熊：火星任务,功夫王,迷你特工队,蚂蚁传奇,四季童年,舒克贝塔·五角飞碟,天降大任,大雨,江豚·风时舞,熊出没,雄狮少年,盒中之海,新大头儿子和小头爸爸,守龙者,阿狸,白蛇：浮生,喜羊羊与灰太狼,落凡尘,伞少女,头脑特工队,一,休,心源,小诗人,龙门,出口,加菲猫家族,猪猪侠大电影·星际行动,趣说经典,开心超人,聊斋：兰若寺,时间之子,恶兽,哪吒,罗小黑战记,非人哉：限时玩家,浪浪山小妖怪
2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,1375.0,35054.0,,7465.0,,,,,181.0,,,,,,76.0,3046.0,,,,209.0,835.0,,12978.0,1285.0,0.0,,0.0,1072.0,,6527.0,81.0,0.0,1218.0,26652.0,867.0,,,689.0,498.0,0.0,,,1917.0,,0.0,,4797.0,1610.0,,0.0
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-09,1000.0,75894.0,,10891.0,,,,,167.0,,,,,,96.0,2695.0,,,,337.0,819.0,,12120.0,1226.0,0.0,,0.0,1090.0,,6872.0,94.0,0.0,1232.0,26173.0,917.0,,,700.0,651.0,0.0,,,1904.0,,0.0,,5313.0,1524.0,,0.0
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-16,852.0,136773.0,,31165.0,,,,,180.0,,,,,,58.0,2924.0,,,,224.0,817.0,,13038.0,1238.0,0.0,,0.0,1082.0,,6921.0,104.0,0.0,1188.0,27683.0,880.0,,,755.0,691.0,0.0,,,1843.0,,0.0,,5364.0,1586.0,,0.0
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-23,814.0,107917.0,,35720.0,,,,,183.0,,,,,,82.0,3312.0,,,,234.0,897.0,,13334.0,1230.0,0.0,,0.0,1090.0,,7698.0,148.0,0.0,1151.0,29166.0,895.0,,,710.0,636.0,0.0,,,1890.0,,0.0,,6513.0,1617.0,,0.0
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-30,827.0,81357.0,,22684.0,,,,,198.0,,,,,,75.0,3609.0,,,,222.0,1005.0,,14153.0,1200.0,0.0,,0.0,1097.0,,7009.0,122.0,0.0,1128.0,29185.0,885.0,,,736.0,628.0,0.0,,,1958.0,,0.0,,7958.0,1662.0,,0.0
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-06,821.0,60449.0,,15688.0,,,,,201.0,,,,,,76.0,3816.0,,,,221.0,1221.0,,14702.0,1126.0,0.0,,0.0,1088.0,,7189.0,117.0,0.0,1132.0,30100.0,880.0,,,746.0,606.0,0.0,,,2075.0,,0.0,,7781.0,1629.0,,0.0
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-13,820.0,39001.0,,11694.0,,,,,256.0,,,,,,83.0,3741.0,,,,225.0,797.0,,15630.0,1114.0,0.0,,0.0,1087.0,,7285.0,135.0,0.0,1119.0,27125.0,894.0,,,762.0,748.0,0.0,,,2111.0,,0.0,,7305.0,1627.0,,0.0
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-20,882.0,31239.0,,9316.0,,,,,209.0,,,,,,93.0,3768.0,,,,276.0,764.0,,16364.0,1132.0,0.0,,0.0,1056.0,,7071.0,151.0,0.0,1122.0,29119.0,842.0,,,773.0,657.0,0.0,,,2103.0,,0.0,,6887.0,1597.0,,0.0
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-27,753.0,23205.0,,7618.0,,,,,196.0,,,,,,64.0,3514.0,,,,278.0,930.0,,15694.0,1098.0,0.0,,0.0,1045.0,,7023.0,133.0,0.0,1142.0,28599.0,850.0,,,687.0,638.0,0.0,,,1999.0,,0.0,,6559.0,1496.0,,0.0
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-03,604.0,20285.0,,5895.0,,,,,182.0,,,,,,66.0,2964.0,,,,277.0,656.0,,12724.0,990.0,0.0,,0.0,1023.0,,5552.0,110.0,0.0,1128.0,26600.0,834.0,,,661.0,646.0,0.0,,,1706.0,,0.0,,5842.0,1412.0,,0.0
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-10,466.0,14167.0,,4217.0,,,,,161.0,,,,,,77.0,2144.0,,,,269.0,792.0,,9378.0,816.0,0.0,,0.0,926.0,,4257.0,96.0,0.0,908.0,27603.0,859.0,,,660.0,711.0,0.0,,,1352.0,,0.0,,5145.0,1217.0,,0.0
