所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
棉花糖和云朵妈妈1宝贝“芯”计划,"冷饭硬炒还超尬，<em class=""keyword"">棉花糖和云朵妈妈</em>大电影--<em class=""keyword"">宝贝芯计划</em>【周余】",579237,903,4696,不知所措的小周余,"吐槽,童年,搞笑,电影,棉花糖,大头,大头儿子,动漫杂谈,新大头儿子与小头爸爸,周余",BV18Z421474N,https://www.bilibili.com/video/BV18Z421474N
棉花糖和云朵妈妈1宝贝“芯”计划,"【4K超高清】<em class=""keyword"">棉花糖和云朵妈妈1</em> <em class=""keyword"">宝贝</em>“芯”<em class=""keyword"">计划</em>(2023) 电视频道宣传片 20230630",15563,0,67,寻望X,"电影,儿童,棉花糖和云朵妈妈",BV1Cz4y1n7Um,https://www.bilibili.com/video/BV1Cz4y1n7Um
棉花糖和云朵妈妈1宝贝“芯”计划,"歌曲《喔啦啦嘿》动画电影《<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>＂芯＂<em class=""keyword"">计划</em>》插曲 演唱：小鹿姐姐 （郏捷）月亮姐姐 （王淏）张耀元 马凡舒",6834,1,48,账号已注销,"歌曲,音乐,治愈,MV,可爱,月亮姐姐,CCTV1,马凡舒,郏捷,张耀元",BV1Gk4y1s79w,https://www.bilibili.com/video/BV1Gk4y1s79w
棉花糖和云朵妈妈1宝贝“芯”计划,"【<em class=""keyword"">棉花糖和云朵妈妈</em>的快乐生活】第一集“粉红<em class=""keyword"">宝贝计划</em>上 下”",2108,0,14,承诺看海闻花,"治愈,棉花糖,动画短片,云朵,高甜,快乐生活,动画种草激励计划",BV1ZRD3YaE2h,https://www.bilibili.com/video/BV1ZRD3YaE2h
棉花糖和云朵妈妈1宝贝“芯”计划,"电影《<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>“芯”<em class=""keyword"">计划</em>》发布主题曲《举高高》MV",7167,2,59,今天映画,"MV,预告片,主题曲,棉花糖",BV1R14y1m7xz,https://www.bilibili.com/video/BV1R14y1m7xz
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>“芯”<em class=""keyword"">计划</em>》：寓教于乐的动画电影",6594,5,16,今日影评,"动画电影,电影解说,影视热点观察,开启暑假的100种方式",BV1Ws4y1k7ep,https://www.bilibili.com/video/BV1Ws4y1k7ep
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈</em>—爱的点心盒子》第1集 神奇的烤箱",5736,0,105,我的B站11111111,"动画,影视剪辑,烤箱",BV1vMuHzfEm2,https://www.bilibili.com/video/BV1vMuHzfEm2
棉花糖和云朵妈妈1宝贝“芯”计划,"剧情巨水，尬又无聊！豆瓣拒绝评分，电影内容跟隔壁大头一样，换汤不换药。【<em class=""keyword"">棉花糖和云朵妈妈宝贝芯计划</em>】",75600,329,740,枫干子豪,"吐槽,搞笑,电影,国产动画,棉花糖,烂片,动漫解说,动漫杂谈,新大头儿子与小头爸爸,动画种草激励计划,动画种草激励计划夏令营",BV1kT421k79D,https://www.bilibili.com/video/BV1kT421k79D
棉花糖和云朵妈妈1宝贝“芯”计划,"大头儿子姊妹篇动画电影《<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>“芯”<em class=""keyword"">计划</em>》终极预告",15152,0,84,今天映画,"动画电影,棉花糖和云朵妈妈",BV1iX4y1p7SZ,https://www.bilibili.com/video/BV1iX4y1p7SZ
棉花糖和云朵妈妈1宝贝“芯”计划,"「超清720P」24<em class=""keyword"">棉花糖和云朵妈妈</em>：<em class=""keyword"">妈妈</em>喜欢<em class=""keyword"">棉花糖</em>，<em class=""keyword"">棉花糖</em>要永远做<em class=""keyword"">妈妈</em>的乖宝宝_优酷视频",3477,1,2,超级马里奥兄弟F7,"蜡笔小新,棉花糖,动画短片,棉花,优酷,云朵,妈妈",BV1wY4y1K7FR,https://www.bilibili.com/video/BV1wY4y1K7FR
棉花糖和云朵妈妈1宝贝“芯”计划,"<em class=""keyword"">棉花糖和云朵妈妈</em>  <em class=""keyword"">宝贝</em>“芯”<em class=""keyword"">计划</em> 片尾",5561,3,36,欢乐美丽岛,"妈妈,宝贝,生活记录",BV1p8YZe5E1g,https://www.bilibili.com/video/BV1p8YZe5E1g
棉花糖和云朵妈妈1宝贝“芯”计划,"大头儿子小头爸爸大电影！《<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>“芯”<em class=""keyword"">计划</em>》定档预告！",78308,172,434,我家白娘子呢,"动画,预告,电影,预告片,迪士尼,棉花糖,妈妈,云朵,定档,新剧好剧一起看,星动安利大作战·初夏篇",BV1W24y1N7q1,https://www.bilibili.com/video/BV1W24y1N7q1
棉花糖和云朵妈妈1宝贝“芯”计划,"<em class=""keyword"">棉花糖和云朵妈妈</em>大电影<em class=""keyword"">宝贝芯计划</em>主题曲完整版",501,0,6,天赐的声音影视官方,"MV,主题曲,完整版,动画种草激励计划,七月动画种草激励",BV1fpuRztExe,https://www.bilibili.com/video/BV1fpuRztExe
棉花糖和云朵妈妈1宝贝“芯”计划,"小鹿姐姐为<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>＂芯＂<em class=""keyword"">计划</em>配音",2928,2,15,80后回忆人生,"配音,小鹿姐姐,云朵妈妈",BV14m4y1a7vP,https://www.bilibili.com/video/BV14m4y1a7vP
棉花糖和云朵妈妈1宝贝“芯”计划,"[内地广告](2023)<em class=""keyword"">棉花糖和云朵妈妈宝贝芯计划</em>(16:9)",461,0,2,贾德瑞,"广告,健康,内地",BV1JP25Y8Eap,https://www.bilibili.com/video/BV1JP25Y8Eap
棉花糖和云朵妈妈1宝贝“芯”计划,"假如《<em class=""keyword"">棉花糖和云朵妈妈</em>大电影1：<em class=""keyword"">宝贝芯计划</em>》的BGM换成游戏《超级马里奥银河》的BGM，你们觉得效果怎么样？",1501,0,8,深南大道追梦人,"BGM,游戏,超级马里奥银河,音乐研究所,音乐玩家招募令2.0",BV1DP411r7cL,https://www.bilibili.com/video/BV1DP411r7cL
棉花糖和云朵妈妈1宝贝“芯”计划,"［<em class=""keyword"">棉花糖和云朵妈妈</em>的快乐生活］第十三集“<em class=""keyword"">棉花糖</em>的<em class=""keyword"">棉花糖</em>”/“没兴趣的兴趣班”",1613,0,4,承诺看海闻花,"治愈,妈妈,动画短片,快乐生活,动画种草激励计划,动画种草激励计划7.0",BV1j7zEYQEYK,https://www.bilibili.com/video/BV1j7zEYQEYK
棉花糖和云朵妈妈1宝贝“芯”计划,"【<em class=""keyword"">棉花糖和云朵妈妈</em>的快乐生活】第五集“沙发里的大南瓜”/“科学比赛”",2030,0,7,承诺看海闻花,"科学,童年,棉花糖,动画短片,动画种草激励计划,动画种草激励计划7.0",BV121U5YEEZb,https://www.bilibili.com/video/BV121U5YEEZb
棉花糖和云朵妈妈1宝贝“芯”计划,"【<em class=""keyword"">棉花糖和云朵妈妈</em>的快乐生活】第十集“爸爸去哪儿了”/“大声说出来”",1394,0,2,承诺看海闻花,"治愈,棉花糖,动画短片,爸爸去哪儿,动画种草激励计划,动画种草激励计划7.0",BV1gCUzYoECL,https://www.bilibili.com/video/BV1gCUzYoECL
棉花糖和云朵妈妈1宝贝“芯”计划,"【童年动画美食】<em class=""keyword"">棉花糖和云朵妈妈</em>",2521,0,31,不是九月的十三月,"童年,可爱,棉花糖,美食",BV1JArSYJE8f,https://www.bilibili.com/video/BV1JArSYJE8f
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈</em>—爱的点心盒子》第31集 <em class=""keyword"">计划</em>不如变化快",426,0,3,我的B站11111111,"可爱,计划,剧情",BV1UDuszoENt,https://www.bilibili.com/video/BV1UDuszoENt
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈</em>—爱的点心盒子》第7集 特别订单",1413,1,9,我的B站11111111,"动画短片,点心",BV12UunzkE5S,https://www.bilibili.com/video/BV12UunzkE5S
棉花糖和云朵妈妈1宝贝“芯”计划,"<em class=""keyword"">棉花糖和云朵妈妈宝贝芯计划</em>：自从装好了果冻后，<em class=""keyword"">棉花糖</em>天天和果冻一起玩，一家人也开心了",890,0,2,欢乐美丽岛,"治愈,皮克斯,动画电影",BV1uAKAecE4S,https://www.bilibili.com/video/BV1uAKAecE4S
棉花糖和云朵妈妈1宝贝“芯”计划,"CCTV 14少儿频道再一次重播<em class=""keyword"">棉花糖和云朵妈妈</em>之<em class=""keyword"">宝贝芯计划</em>（2024年12月15日19:55）",4264,0,12,新围棋少年,"电视,央视,放送文化",BV1RABFYsET1,https://www.bilibili.com/video/BV1RABFYsET1
棉花糖和云朵妈妈1宝贝“芯”计划,"【<em class=""keyword"">棉花糖和云朵妈妈</em>的快乐生活】第二十集“<em class=""keyword"">云朵妈妈</em>是好榜样”/“<em class=""keyword"">棉花糖</em>的大目标”",1155,0,4,承诺看海闻花,"治愈,棉花糖,妈妈,动画短片,暖心,快乐生活,动画种草激励计划,动画种草激励计划7.0",BV13qz1YXEK8,https://www.bilibili.com/video/BV13qz1YXEK8
棉花糖和云朵妈妈1宝贝“芯”计划,"看完《<em class=""keyword"">棉花糖和云朵妈妈1宝贝芯计划</em>》 有收获有欢乐",1379,2,9,远见电影院的远叔叔,"随手拍影评·初夏电影嘉年华,专业视角聊电影",BV1gs4y1F7qX,https://www.bilibili.com/video/BV1gs4y1F7qX
棉花糖和云朵妈妈1宝贝“芯”计划,"【<em class=""keyword"">棉花糖和云朵妈妈</em>的快乐生活】第五十一集“神秘的外星人”/“奶奶的枕头”",802,0,0,承诺看海闻花,"治愈,奶奶,快乐生活,动画种草激励计划,动画种草激励计划8.0",BV1YJfSYJEWX,https://www.bilibili.com/video/BV1YJfSYJEWX
棉花糖和云朵妈妈1宝贝“芯”计划,"[<em class=""keyword"">棉花糖和云朵妈妈</em>]首部大电影 一起开启《<em class=""keyword"">宝贝芯计划</em>》",7935,5,35,超全星光,"电影,动画电影,棉花糖,动画短片,央视,云朵,央视动漫,央视少儿,棉花糖和云朵妈妈",BV1qu4y1f7i1,https://www.bilibili.com/video/BV1qu4y1f7i1
棉花糖和云朵妈妈1宝贝“芯”计划,"大头儿子姊妹篇《<em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>“芯”计 划》7月1日上映",823,0,1,IT科技小熊,"动画,预告片,棉花糖,大头儿子,奇妙动画剧场",BV1p8411Z7uN,https://www.bilibili.com/video/BV1p8411Z7uN
棉花糖和云朵妈妈1宝贝“芯”计划,"大头儿子<em class=""keyword"">和棉花糖</em>联动了！暑期的第一部大电影就是它了，七月一日相约影院！# <em class=""keyword"">棉花糖和云朵妈妈1宝贝</em>“芯”<em class=""keyword"">计划</em>",1666,0,12,账号已注销,"就是,皮克斯,联动,计划,迪士尼,动画电影,明星舞台高光时刻,星动安利大作战·初夏篇",BV1io4y1G7ZK,https://www.bilibili.com/video/BV1io4y1G7ZK
棉花糖和云朵妈妈1宝贝“芯”计划,"牢大：肘肘<em class=""keyword"">糖和</em>击击<em class=""keyword"">妈妈</em>",3062,11,53,Anthinr,"搞笑,科比,曼巴,棉花糖和云朵妈妈,鬼畜星探企划,牢大",BV1gq8qzmEdH,https://www.bilibili.com/video/BV1gq8qzmEdH
棉花糖和云朵妈妈1宝贝“芯”计划,"5分钟看完<em class=""keyword"">棉花糖和云朵妈妈</em>大电影1（速通）",2176,0,11,恐怖地底异兽,"动画电影,必剪创作",BV1AZ421B73a,https://www.bilibili.com/video/BV1AZ421B73a
棉花糖和云朵妈妈1宝贝“芯”计划,"[音乐快递]《<em class=""keyword"">棉花糖和云朵妈妈</em>》_演唱-小鹿姐姐_快乐女孩组合_2019-11-20_21_31_08",10547,4,53,80后回忆人生,"小鹿姐姐,演唱",BV1b14y1E7na,https://www.bilibili.com/video/BV1b14y1E7na
棉花糖和云朵妈妈1宝贝“芯”计划,"【李裕文翻唱】举高高——动画电影《<em class=""keyword"">棉花糖和云朵妈妈1</em>：<em class=""keyword"">宝贝芯计划</em>》主题曲",1189,0,5,深南大道追梦人,"动画,翻唱,主题曲,动画电影,COVER,棉花糖和云朵妈妈,翻唱总动员,宝贝芯计划,音乐玩家招募令2.0",BV15z4y1v7Xj,https://www.bilibili.com/video/BV15z4y1v7Xj
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈</em>—爱的点心盒子》第40集 放声歌唱",978,0,2,我的B站11111111,"儿歌,歌单,云朵",BV169utzpEJu,https://www.bilibili.com/video/BV169utzpEJu
棉花糖和云朵妈妈1宝贝“芯”计划,"#童年动画片#<em class=""keyword"">棉花糖和云朵妈妈</em> 片头和片尾曲",40740,3,57,辰砂黎,"ED,片头,童年动画片,棉花糖和云朵妈妈,必剪创作",BV1hx4y1B7z8,https://www.bilibili.com/video/BV1hx4y1B7z8
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈</em>—爱的点心盒子》第18集 爱问问题的<em class=""keyword"">棉花糖</em>",519,0,7,我的B站11111111,"治愈,棉花糖,动画短片",BV1VfuWzYEMs,https://www.bilibili.com/video/BV1VfuWzYEMs
棉花糖和云朵妈妈1宝贝“芯”计划,"「超清720P」【回忆杀】CCTV-14《<em class=""keyword"">棉花糖和云朵妈妈</em>》之主题曲+电影合集+超级小米花+牛转乾坤【OP+ED】片头曲+片尾曲（2018-2021）_哔哩哔哩",4735,1,20,超级马里奥兄弟F7,"电视,音乐,歌曲,央视,经典,怀旧,回忆",BV1sK411o7wf,https://www.bilibili.com/video/BV1sK411o7wf
棉花糖和云朵妈妈1宝贝“芯”计划,"《<em class=""keyword"">棉花糖和云朵妈妈</em>—爱的点心盒子》第30集 甜蜜的陪伴",474,0,3,我的B站11111111,"治愈,故事,暖心",BV1SmuszfEhR,https://www.bilibili.com/video/BV1SmuszfEhR
