movie,score_x,votes_douban,comment_count,review_count
棉花糖和云朵妈妈,6.7,0.0,100.0,0.0
长安三万里,8.3,718045.0,100.0,19.0
超级飞侠：乐迪加速,6.3,3867.0,100.0,20.0
茶啊二中,7.3,152039.0,100.0,20.0
欢乐丛林之外星人大冒险,6.7,0.0,100.0,19.0
萌鼠大冒险,6.7,0.0,79.0,0.0
百变马丁：怪兽大作战,6.7,0.0,100.0,9.0
超级英雄美猴王——齐天儿,2.9,2090.0,100.0,19.0
登月大计划,6.6,9093.0,100.0,19.0
雪域少年,6.7,0.0,100.0,9.0
王牌二哈,6.7,0.0,84.0,0.0
龙珠寻游记,6.7,0.0,3.0,0.0
嗨！神兽,6.8,755.0,100.0,20.0
贝肯熊：火星任务,6.7,4798.0,100.0,20.0
少年功夫王,6.7,0.0,100.0,19.0
迷你特攻队,5.3,2085.0,100.0,19.0
蚂蚁传奇之烈火重生,6.7,0.0,100.0,19.0
四季童年,6.7,0.0,100.0,11.0
舒克贝塔·五角飞碟,6.1,2211.0,100.0,19.0
天降大任,6.8,4900.0,100.0,20.0
大雨,6.2,27920.0,100.0,20.0
江豚·风时舞,3.5,1854.0,100.0,20.0
熊出没·重启未来,7.1,39423.0,100.0,19.0
雄狮少年2,8.5,190485.0,100.0,19.0
盒中之海,6.1,1971.0,100.0,19.0
新大头儿子和小头爸爸,4.3,1089.0,100.0,4.0
守龙者,5.8,2241.0,100.0,16.0
阿狸,6.7,0.0,100.0,19.0
白蛇：浮生,7.0,143412.0,100.0,20.0
喜羊羊与灰太狼,6.5,2695.0,100.0,20.0
落凡尘,7.7,63738.0,100.0,20.0
伞少女,6.2,20039.0,100.0,20.0
头脑特工队2 Inside Out 2,8.4,340068.0,100.0,19.0
一一,9.1,480284.0,100.0,19.0
摩加迪沙 모가디슈,8.1,116082.0,100.0,19.0
心源,6.7,0.0,3.0,0.0
小诗人,8.7,273.0,100.0,0.0
新龙门客栈 新龍門客棧,8.7,497707.0,100.0,19.0
8号出口 8番出口,6.7,5430.0,100.0,19.0
加菲猫家族,6.6,37976.0,100.0,20.0
猪猪侠,5.4,1038.0,100.0,19.0
开心超人,6.7,0.0,100.0,14.0
聊斋：兰若寺,6.7,38920.0,100.0,20.0
时间之子,6.3,31869.0,100.0,20.0
恶兽,6.7,0.0,60.0,2.0
哪吒,8.4,1443184.0,100.0,19.0
罗小黑战记2,8.7,192755.0,100.0,19.0
非人哉：限时玩家,4.5,4087.0,100.0,20.0
浪浪山小妖怪,8.5,348190.0,100.0,20.0
欢乐丛林,6.7,2695.0,100.0,19.0
超级英雄美猴王：齐天儿,6.7,2695.0,100.0,19.0
飞向月球,6.7,2695.0,100.0,19.0
功夫王,6.7,2695.0,100.0,19.0
迷你特工队,6.7,2695.0,100.0,19.0
蚂蚁传奇,6.7,2695.0,100.0,19.0
熊出没,6.7,2695.0,100.0,19.0
雄狮少年,6.7,2695.0,100.0,19.0
头脑特工队,6.7,2695.0,100.0,19.0
一,6.7,2695.0,100.0,19.0
休,6.7,2695.0,100.0,19.0
龙门,6.7,2695.0,100.0,19.0
出口,6.7,2695.0,100.0,19.0
猪猪侠大电影·星际行动,6.7,2695.0,100.0,19.0
趣说经典,6.7,2695.0,100.0,19.0
罗小黑战记,6.7,2695.0,100.0,19.0
