anime,score_x,votes_douban,comment_count,review_count
玉米的歌声,8,0,2,0
星期五晚上的胡萝卜,8,0,32,0
晚高峰,8,0,25,0
日出原理,8,0,50,0
明日恐惧症,8,0,24,0
每天朝山顶推一秒的石头,8,0,77,0
唤醒石头里存在的生命,8,0,5,0
洞天,8,0,86,1
冬日追逐,8,0,86,1
心奇爆龙战车,8,0,86,1
屈原,7.8,508,100,5
卡卡虎大冒险,8,0,86,1
妖道至尊,8,0,86,1
斗破苍穹,8,0,86,1
毛毛镇,8,0,51,1
无脑魔女,8,0,49,0
新大头儿子和小头爸爸 欢乐亲子营,8,0,86,1
中国畅想曲,8,0,86,1
棉花糖和云朵妈妈 快乐生活,8,0,15,0
奇奇和努娜,8,0,86,1
小绿和小蓝,7.8,5179,100,14
怪兽小馆,8,0,100,1
时光代理人,8,18981,100,20
四格勇者,8,0,33,0
第一序列,7.7,5300,100,5
镇魂街,8,0,86,1
小鹿蓝蓝,8,0,86,1
拇指总动员,8,0,86,1
我玩游戏成了绝世强者,8,0,86,1
神兽小岛,8,0,86,1
节气小精灵,8,0,1,0
异空战歌,8,0,43,1
巧虎奇幻舞台历险记,8,0,97,1
少年英雄小哪吒,8,0,29,0
霸王龙雷奇,8,0,86,1
机米和露露,8,0,86,1
雪王驾到,7.9,3468,200,4
魔法学院,8,0,86,1
如果历史是一群喵,8.2,6664,86,1
诸葛亮,8.6,884,86,1
嗨！三宝,8,0,86,1
凹凸学园,8,0,86,1
给我来个小狐狸,8,0,32,0
天界代购店,8,0,86,1
傲世九重天,8,0,100,1
明日方舟：冬隐归路,8,0,86,1
三十六骑,8,0,86,1
都市神医：七个师姐保我无敌,8,0,86,1
猪猪侠益智课堂,8,0,86,1
小品一家人,8,0,100,6
超变战陀,8,0,17,0
正经少主的幸福生活,8,0,59,2
少年歌行,8.3,170382,100,20
钢铁飞龙,8.6,1771,100,1
七侯笔录,8,0,100,0
炫卡斗士,8,0,86,1
你的人生是我来迟了,8,0,51,0
月魁传 动态漫画,8,0,86,1
哑舍,8,0,100,7
十方武圣,8,0,100,3
淘气猪多多,8,0,86,1
不死不灭,8,0,86,1
变形联盟,8,0,4,0
