movie,complete_industry_movie_result_filled_game_count,complete_industry_movie_result_filled_show_count,complete_industry_movie_result_filled_work_count,complete_industry_movie_result_filled_patent_count
一,1,30,0,89
休,1,30,0,3
伞少女,1,0,0,0
出口,0,30,0,11124
功夫王,1,0,0,0
加菲猫家族,0,0,0,2794
哪吒,0,0,1,0
喜羊羊与灰太狼,1,0,0,8699
嗨！神兽,0,0,0,989
四季童年,0,0,0,0
大雨,1,0,0,5769
天降大任,0,0,0,0
头脑特工队,1,0,0,0
守龙者,1,0,0,0
小诗人,0,2,0,0
开心超人,0,0,0,0
心源,1,0,0,0
恶兽,0,0,0,0
新大头儿子和小头爸爸,0,0,0,4
时间之子,0,0,0,322214
棉花糖和云朵妈妈,0,0,0,2201
欢乐丛林,0,0,0,0
江豚·风时舞,0,0,0,0
浪浪山小妖怪,0,1,0,56
熊出没,1,0,0,85943
猪猪侠大电影·星际行动,0,0,0,0
王牌二哈,0,0,0,3993
白蛇：浮生,0,0,0,8519
百变马丁：怪兽大作战,0,0,0,8844
盒中之海,1,0,0,142509
罗小黑战记,0,0,1,116237
聊斋：兰若寺,0,0,0,0
舒克贝塔·五角飞碟,0,0,0,0
茶啊二中,0,0,0,19687
萌鼠大冒险,1,0,0,625
落凡尘,1,0,0,19147
蚂蚁传奇,0,0,0,0
贝肯熊：火星任务,0,0,0,1532
超级英雄美猴王：齐天儿,0,0,0,10
超级飞侠：乐迪加速,0,0,0,4041
趣说经典,0,0,0,0
迷你特工队,0,0,0,0
长安三万里,0,0,0,49957
阿狸,1,2,0,0
雄狮少年,0,0,0,0
雪域少年,0,0,0,13
非人哉：限时玩家,0,0,0,0
飞向月球,1,3,0,8
龙珠寻游记,0,0,0,467477
龙门,0,30,0,0
