movie,douban_movie_final_score_x,douban_movie_final_votes_douban,douban_movie_final_comment_count,douban_movie_final_review_count
棉花糖和云朵妈妈,6.7,0,100,0
长安三万里,8.3,718045,100,19
超级飞侠：乐迪加速,6.3,3867,100,20
茶啊二中,7.3,152039,100,20
欢乐丛林,6.7,2695,100,19
萌鼠大冒险,6.7,0,79,0
百变马丁：怪兽大作战,6.7,0,100,9
超级英雄美猴王：齐天儿,6.7,2695,100,19
飞向月球,6.7,2695,100,19
雪域少年,6.7,0,100,9
王牌二哈,6.7,0,84,0
龙珠寻游记,6.7,0,3,0
嗨！神兽,6.8,755,100,20
贝肯熊：火星任务,6.7,4798,100,20
功夫王,6.7,2695,100,19
迷你特工队,6.7,2695,100,19
蚂蚁传奇,6.7,2695,100,19
四季童年,6.7,0,100,11
舒克贝塔·五角飞碟,6.1,2211,100,19
天降大任,6.8,4900,100,20
大雨,6.2,27920,100,20
江豚·风时舞,3.5,1854,100,20
熊出没,6.7,2695,100,19
雄狮少年,6.7,2695,100,19
盒中之海,6.1,1971,100,19
新大头儿子和小头爸爸,4.3,1089,100,4
守龙者,5.8,2241,100,16
阿狸,6.7,0,100,19
白蛇：浮生,7.0,143412,100,20
喜羊羊与灰太狼,6.5,2695,100,20
落凡尘,7.7,63738,100,20
伞少女,6.2,20039,100,20
头脑特工队,6.7,2695,100,19
一,6.7,2695,100,19
休,6.7,2695,100,19
心源,6.7,0,3,0
小诗人,8.7,273,100,0
龙门,6.7,2695,100,19
出口,6.7,2695,100,19
加菲猫家族,6.6,37976,100,20
猪猪侠大电影·星际行动,6.7,2695,100,19
趣说经典,6.7,2695,100,19
开心超人,6.7,0,100,14
聊斋：兰若寺,6.7,38920,100,20
时间之子,6.3,31869,100,20
恶兽,6.7,0,60,2
哪吒,8.4,1443184,100,19
罗小黑战记,6.7,2695,100,19
非人哉：限时玩家,4.5,4087,100,20
浪浪山小妖怪,8.5,348190,100,20
