所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
晚高峰,"改版前的最后一期央广新闻<em class=""keyword"">晚高峰</em>剪辑",2702,0,40,361杀毒,"剪辑,中国之声,中央人民广播电台,新闻晚高峰",BV1bE411F78K,https://www.bilibili.com/video/BV1bE411F78K
洞天,"童战*天雪|水月<em class=""keyword"">洞天</em>19周年纪念  |“来时花铺满路，去时已荒芜”",26403,91,456,林深啊见鹿,"水月洞天,童年影视,杨俊毅,陈法蓉,影视剪辑,灵镜传奇,童战,尹天雪,经典好剧考古安利,星动安利大作战·初夏篇",BV1hs4y1g7da,https://www.bilibili.com/video/BV1hs4y1g7da
洞天,"《水月<em class=""keyword"">洞天</em>》童战站在屋顶这一幕惊艳我好多年",166770,61,1202,翻雪妹妹,"剪辑,经典影视一起看,水月洞天,童战,杨俊毅,怀旧经典影视,古装,惊艳,影视剪辑",BV1DG4y1d7WJ,https://www.bilibili.com/video/BV1DG4y1d7WJ
洞天,"《水月<em class=""keyword"">洞天</em>》丨童博×天雪丨这妥妥的门当户对呀丨高智商高武功",1919,2,8,南浔北海呀,"经典电影,影视剪辑,水月洞天,童博,天雪,于波,陈法蓉",BV1XW4y1x7H3,https://www.bilibili.com/video/BV1XW4y1x7H3
洞天,"【水月<em class=""keyword"">洞天</em>】主题曲-「绝世」 张克帆",42661,32,319,_蒋小讲_,"剪辑,万物皆可混剪,主题曲,水月洞天,电视剧,影视剪辑",BV1Lg411J7s1,https://www.bilibili.com/video/BV1Lg411J7s1
洞天,"骊珠<em class=""keyword"">洞天</em>，来过！",28316,64,207,易小侠Bo,"原创,短片,剪辑,剑来,齐先生,陈平安,骊珠洞天",BV1oXgTzxENb,https://www.bilibili.com/video/BV1oXgTzxENb
洞天,"骊珠<em class=""keyword"">洞天</em>，来过！",28316,64,207,易小侠Bo,"原创,短片,剪辑,剑来,齐先生,陈平安,骊珠洞天",BV1oXgTzxENb,https://www.bilibili.com/video/BV1oXgTzxENb
洞天,"水月<em class=""keyword"">洞天</em>演员今昔对比，谁的变化最大？",2875,1,7,欢迎加入香菜教,"变化,水月洞天,影视剪辑,童博,颜值,原神UP主激励计划",BV18h411c7UW,https://www.bilibili.com/video/BV18h411c7UW
洞天,"东口山脉<em class=""keyword"">洞天</em>跑法+真假<em class=""keyword"">洞天</em>位置【妄想山海】",4186,0,29,妄想山海槿岚,"推荐宝藏游戏,游戏轻剪辑,妄想山海,MMORPG,妄想山海世外洞天,妄想山海手游,山海经,妄想山海二周年庆",BV1jY41197HJ,https://www.bilibili.com/video/BV1jY41197HJ
洞天,"<em class=""keyword"">水月洞天</em> 童大哥啊 他连拒绝都像温柔地像在告白",6415,7,66,圳圳的AIGC畅想,"经典,童年,童年回忆,武侠,余波,周易,水月洞天,蔡少芬,影视剪辑,动画种草激励计划",BV1Aw89z2En3,https://www.bilibili.com/video/BV1Aw89z2En3
屈原,"【<em class=""keyword"">屈原</em>】“你眼前划过的是<em class=""keyword"">屈原</em>的一生”",897794,984,17192,布衣陶陶,"历史,一生,屈原,混剪,影视剪辑,爱国主义,神仙剪刀手,影视神仙剪刀手",BV1Xz4y1F72x,https://www.bilibili.com/video/BV1Xz4y1F72x
屈原,"<em class=""keyword"">屈原</em>·端午特辑‖思公子兮徒离忧",5138,7,211,魏武の朱砂痣,"剪辑,屈原,端午节,影视剪辑,蒋恺,端午节又到了屈大夫我们永远怀念你",BV14D421u73H,https://www.bilibili.com/video/BV14D421u73H
屈原,"【历史同人手书/<em class=""keyword"">屈原</em>个人向】我的悲伤是水做的",5158,11,504,陆盒逸桶,"历史,手书,同人,个人,屈原,历史同人,同人·手书,画师百日创作挑战",BV1bDM8zuE4w,https://www.bilibili.com/video/BV1bDM8zuE4w
屈原,"<em class=""keyword"">屈原</em>",495,0,6,王炸AI短剧,"原创,短片,屈原,古装,影视剪辑,端午节佳节",BV1iXjdzGESQ,https://www.bilibili.com/video/BV1iXjdzGESQ
屈原,"<em class=""keyword"">屈原</em>明知不可为而为之，为了国家鞠躬尽瘁！",910692,3933,8506,小祥燃剪,"历史,屈原,庄子,影视剪辑,离骚,超燃混剪,这就是混剪,影视神仙剪刀手,B站好片有奖种草",BV1kLunzKEPe,https://www.bilibili.com/video/BV1kLunzKEPe
屈原,"【历史剧剪辑】司马迁&amp;<em class=""keyword"">屈原</em>|沧海飞尘“分明你我都背负 不约而同的怀璧之罪”吟赋离骚cb向·端午贺",3201,28,181,临霁今年能学会k帧吗,"司马迁,屈原,端午节,仇永力,沧海飞尘,历史同人,蒋恺,屈原列传,这就是混剪,影视神仙剪刀手,吟赋离骚",BV17b76zqEcK,https://www.bilibili.com/video/BV17b76zqEcK
屈原,"【历史剧剪辑】司马迁&amp;<em class=""keyword"">屈原</em>|沧海飞尘“分明你我都背负 不约而同的怀璧之罪”吟赋离骚cb向·端午贺",3201,28,181,临霁今年能学会k帧吗,"司马迁,屈原,端午节,仇永力,沧海飞尘,历史同人,蒋恺,屈原列传,这就是混剪,影视神仙剪刀手,吟赋离骚",BV17b76zqEcK,https://www.bilibili.com/video/BV17b76zqEcK
