所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
《长安三万里》,"很难想象究竟是怎么一个朝代，能诞生这么多诗人，又能写出那么多好的诗来！<em class=""keyword"">长安三万里</em>",91092,2,3649,刘北魚,"杜甫,李白,影视剪辑,长安三万里,动画电影《长安三万里》值得一看吗？",BV1Xh4y1j7yo,https://www.bilibili.com/video/BV1Xh4y1j7yo
盒中之海,"请各位给<em class=""keyword"">22</em>一个面子来看看吧！盒中之海 <em class=""keyword"">22</em> 双马尾民国风装扮可爱滴捏",8953,71,1278,Y-OBT,"舞蹈,MMD,3D,22娘,2233,bilibili,盒中之海,动漫二创激励计划,动漫二创激励计划·漫改季",BV1cJyWYWEQo,https://www.bilibili.com/video/BV1cJyWYWEQo
盒中之海,"请各位给<em class=""keyword"">22</em>一个面子来看看吧！盒中之海 <em class=""keyword"">22</em> 双马尾民国风装扮可爱滴捏",8953,71,1278,Y-OBT,"舞蹈,MMD,3D,22娘,2233,bilibili,盒中之海,动漫二创激励计划,动漫二创激励计划·漫改季",BV1cJyWYWEQo,https://www.bilibili.com/video/BV1cJyWYWEQo
盒中之海,"送给《盒中之海》里我最喜欢的<em class=""keyword"">塔林</em>——海很深，人很脆弱，但你很勇敢",3317,0,57,淅小沥,"MAD,动画,动画电影,混剪,国创,盒中之海,动画种草激励计划",BV1FpSRYnEU2,https://www.bilibili.com/video/BV1FpSRYnEU2
盒中之海,"送给《<em class=""keyword"">盒中之海</em>》里我最喜欢的塔林——海很深，人很脆弱，但你很勇敢",3317,0,57,淅小沥,"MAD,动画,动画电影,混剪,国创,盒中之海,动画种草激励计划",BV1FpSRYnEU2,https://www.bilibili.com/video/BV1FpSRYnEU2
盒中之海,"B站要出电影了！预告片大解析《<em class=""keyword"">盒中之海</em>》",100157,564,1045,贝贝兔丶Shell,"拜年纪二创,动漫杂谈,bilibili新星计划,盒中之海,艾叶,2021拜年纪,平安夜的噩梦,四迹",BV1Cr4y1P7Ge,https://www.bilibili.com/video/BV1Cr4y1P7Ge
盒中之海,"请各位给22一个面子来看看吧！<em class=""keyword"">盒中之海</em> 22 双马尾民国风装扮可爱滴捏",8953,71,1277,Y-OBT,"舞蹈,MMD,3D,22娘,2233,bilibili,盒中之海,动漫二创激励计划,动漫二创激励计划·漫改季",BV1cJyWYWEQo,https://www.bilibili.com/video/BV1cJyWYWEQo
盒中之海,"【<em class=""keyword"">盒中之海</em>】10月3日哔哩哔哩站独家播放",2942,7,17,智慧奇闻探险家,"哔哩哔哩,电影,动画电影,冒险,盒中之海,B站好片有奖种草,动漫二创激励计划,动漫二创激励计划·漫改季",BV1fkxxe8EBS,https://www.bilibili.com/video/BV1fkxxe8EBS
盒中之海,"当纸嫁衣的BGM遇上<em class=""keyword"">盒中之海</em>，踩点超带感！！",842,1,8,淅小沥,"克苏鲁,33,22,混剪,踩点,纸嫁衣,盒中之海,聊聊《盒中之海》",BV1uNf2YAE3A,https://www.bilibili.com/video/BV1uNf2YAE3A
盒中之海,"如果用阴阳师的方式来打开<em class=""keyword"">盒中之海</em>",143,0,2,维唯妮,"二次元,阴阳师,混剪,盒中之海,神堕八岐大蛇,B站好片有奖种草,动漫二创激励计划,动漫二创激励计划·漫改季",BV1rHyAYhEQV,https://www.bilibili.com/video/BV1rHyAYhEQV
盒中之海,"<em class=""keyword"">盒中之海</em>个人部分作画剪辑",9560,0,43,Alka-,"MAD,盒中之海",BV1XR22YyEQW,https://www.bilibili.com/video/BV1XR22YyEQW
