动漫名,豆瓣评分,评分人数,文字数,类型,制片国家/地区,语言,上映日期
浪浪山小妖怪(2025),8.6,185112,1472, / 剧情 / / / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2025-08-02(中国大陆) / / / 2025-07-26(FIRST青年电影展)
棉花糖和云朵妈妈1宝贝芯计划(2023),,0人评价,23, / 喜剧 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2023-07-01(中国大陆)
长安三万里(2023),8.3,715263,5814, / 动画 / / / 历史, / 中国大陆, / 汉语普通话, / 2023-07-08(中国大陆)
超级飞侠：乐迪加速(2023),6.3,3859,47, / 喜剧 / / / 科幻 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2023-07-08(中国大陆)
茶啊二中(2023),7.3,151565,440, / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话 / 东北方言 / 大连方言, / 2023-07-14(中国大陆)
欢乐丛林之外星人大冒险(2023),,0人评价,0,, / 中国大陆, / 汉语普通话, / 2023-07-15(中国大陆)
萌鼠大冒险(2023),,0人评价,0, / 动画, / 中国大陆,, / 2023-07-21(中国大陆)
百变马丁：怪兽大作战(2023),,0人评价,9, / 动画, / 中国大陆, / 汉语普通话, / 2023-07-22(中国大陆) / / / 2023-06-11(上海国际电影节)
超级英雄美猴王——齐天儿(2023),2.9,2089,24, / 喜剧 / / / 动作 / / / 动画, / 中国大陆, / 汉语普通话, / 2023-07-29(中国大陆)
登月大计划 Fly Me To The Moon(2024),6.6,9028,25, / 喜剧 / / / 爱情, / 美国 / 英国, / 英语, / 2024-07-12(美国)
雪域少年(2023),,0人评价,9, / 剧情 / / / 动画, / 中国大陆, / 汉语普通话, / 2023-08-19(中国大陆)
王牌二哈(2023),,0人评价,0, / 喜剧 / / / 动画 / / / 家庭, / 中国大陆, / 汉语普通话, / 2023-08-19(中国大陆)
龙珠寻游记(2023),,0人评价,0, / 剧情 / / / 动画, / 中国大陆, / 汉语普通话, / 2023-09-04(中国大陆)
嗨！神兽 嗨！神獸(2020),6.9,752,28, / 剧情 / / / 动画 / / / 奇幻, / 中国台湾, / 汉语普通话 / 闽南语, / 2023-09-16(中国大陆) / / / 2022-02-01(中国台湾) / / / 2020-11-17(台北金马影展)
贝肯熊：火星任务(2023),6.7,4781,52, / 喜剧 / / / 科幻 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2023-09-28(中国大陆)
功夫王之萌虎上山(2023),,0人评价,3, / 喜剧 / / / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话, / 2023-09-29(中国大陆)
迷你特工队之汉堡大作战(2023),,0人评价,5, / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2023-11-11(中国大陆)
蚂蚁传奇之终极一战(2023),,0人评价,0, / 动画 / / / 儿童, / 中国大陆, / 汉语普通话, / 2023-12-09(中国大陆)
四季童年(2023),,0人评价,11, / 剧情 / / / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2023-12-15(中国大陆)
蚂蚁传奇之神木奇缘(2023),,0人评价,0, / 动画, / 中国大陆, / 汉语普通话, / 2023-12-16(中国大陆)
舒克贝塔·五角飞碟(2023),6.1,2202,24, / 喜剧 / / / 科幻 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2023-12-30(中国大陆)
天降大任(2024),6.8,4899,92, / 喜剧 / / / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话, / 2024-01-06(中国大陆)
大雨(2024),6.2,27824,270, / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话, / 2024-01-12(中国大陆)
江豚·风时舞(2024),3.6,1849,39, / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2024-01-20(中国大陆)
熊出没·逆转时空(2024),6.9,63034,416, / 喜剧 / / / 科幻 / / / 动画, / 中国大陆, / 汉语普通话, / 2024-02-10(中国大陆)
雄狮少年2(2024),8.5,185315,1724, / 喜剧 / / / 动作 / / / 动画, / 中国大陆, / 汉语普通话, / 2024-12-14(中国大陆)
盒中之海(2024),6.2,1939,19, / 科幻 / / / 动画 / / / 悬疑 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话, / 2024-10-03(中国大陆网络)
新大头儿子和小头爸爸6：迷你大冒险(2024),5.7,1227,24, / 喜剧 / / / 动画, / 中国大陆, / 汉语普通话, / 2024-10-01(中国大陆)
守龙者(2024),5.8,2224,17, / 动画 / / / 奇幻 / / / 冒险, / 中国大陆 / 西班牙, / 英语, / 2024-08-17(中国大陆) / / / 2024-03-01(马拉加电影节) / / / 2024-04-19(西班牙)
阿狸·信燕(2011),8.6,634,4, / 动画, / 中国大陆, / 汉语普通话,
白蛇：浮生(2024),7,142306,856, / 喜剧 / / / 爱情 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2024-08-10(中国大陆)
