标题,价格(元),所在地,想要人数,商品URL
仓鼠退坑～便宜出～正常使用痕迹～别问我尺寸，我懒得一个个量， 反正侏儒仓鼠，金丝熊都可以用～除了跑轮是侏儒仓鼠跑的，，金,5.0,罗***吖,2,https://www.goofish.com/item?id=965955933418&categoryId=126854680
啪叽洋画包公疑案传奇连环画32开CD包青天审疑案卡片动画片V CD包拯少年包青天电影电视剧模型手办彩色彩图DVD卡片录像,20.0,执***8,7,https://www.goofish.com/item?id=726269305739&categoryId=126912165
儿童防走丢绳，全新未用，品牌是Myoshin/妙心。买了没用 过，现在低价转让。适合外出使用，方便又安全。邮费自理或者可,2.0,m***1,0,https://www.goofish.com/item?id=847470217984&categoryId=126864820
5.6.8.10.12.14.16号槽钢专用货梯滑轮，轨道轮 ， U形滚轮欢迎下单咨询，,15.0,t***t,17,https://www.goofish.com/item?id=682309280411&categoryId=126912100
小米电池激活器，平衡车电池饿死不充电  感兴趣的话点“我想要”和我私聊吧～,35.0,t***q,0,https://www.goofish.com/item?id=961258631027&categoryId=126856168
热敏收银纸 新橙天章 57mm×50mm 32卷/箱  全新两箱一起卖,53.0,发***飞,0,https://www.goofish.com/item?id=904866940533&categoryId=126854239
奥迪Q3气门积碳比较厚，影响进气量，桂林专业核桃砂清洗，去除 气门积碳可以达到减少油耗，降低噪音，减少尾气，提升动力的效,6.0,汽***件,4,https://www.goofish.com/item?id=670248537972&categoryId=126860856
彩色中东蜜蜡原创红雪山散珠佛珠情侣对戒戒指指环女    925纯银 手工泰银 泰国进口 十字花 镶嵌黑玛瑙 14号戒圈 ,178.0,川***姐,0,https://www.goofish.com/item?id=681322063848&categoryId=126918134
忘羡数字油画成品装饰画魔道祖师数字DIY定制水彩装饰挂画精心 制作 画工完整   亲手画完，琴弦完整细腻线条感十足，  ,120.0,喀***蟹,4,https://www.goofish.com/item?id=598989369761&categoryId=126858233
南宁市专业清理废旧家具，上门帮您处理沙发、床垫、衣柜等各种废 旧家具。经验丰富，工具齐全，清理彻底不留痕迹。 【服务范围,100.0,南***理,1980,https://www.goofish.com/item?id=937413690589&categoryId=201461114
18年5月精品华凌20方搅拌车，武汉看车  感兴趣的话点“我想要”和我私聊吧～,9.0,江***车,9,https://www.goofish.com/item?id=892211432125&categoryId=201458110
威尔逊品牌单肩网球包三支装，运动员参赛专用，款式新颖独特八成 新，有使用痕迹，没有硬伤，不影响使用。,132.0,金***福,1,https://www.goofish.com/item?id=839989378967&categoryId=126866394
两支45，【李佳琦直播间】ROPO唇部精华润唇膏女保湿滋润淡 唇纹唇油ZB 如图所示,45.0,执***豆,1,https://www.goofish.com/item?id=947846904141&categoryId=126860011
二氧化碳大双表。减压电磁阀。正常使用无暗病  感兴趣的话点“我想要”和我私聊吧～,88.0,沈***通,7,https://www.goofish.com/item?id=805973737651&categoryId=126854823
9新暖手宝暖宝宝充电式可爱款无水暖水袋热水袋女生冬天暖床被窝 神器 9新 用过几次,29.0,L***s,189,https://www.goofish.com/item?id=760167630149&categoryId=126858768
碳纤维公路车圈，不能使用，只能当装饰品，售出不退不换  感兴趣的话点“我想要”和我私聊吧～,100.0,骑***种,0,https://www.goofish.com/item?id=906569776255&categoryId=126866908
安捷伦8163A光功率表美国安捷伦光模块 光功率计 含电源线  功能正常 议价 WQ 感兴趣的话点“我想要”和我私聊吧～,7346.0,火***城,0,https://www.goofish.com/item?id=878128676278&categoryId=126856586
酷奇儿童滑板车围栏，官网原装，使用过一阵子，全新的护具有需要 也可以出#三合一滑板车,30.0,昕***宝,3,https://www.goofish.com/item?id=894544353475&categoryId=126862821
A4L骨架奥迪A4L防撞梁拆车件  感兴趣的话点“我想要”和我私聊吧～,99.0,天***5,6,https://www.goofish.com/item?id=739610659971&categoryId=126860807
yd707堆焊耐磨药芯焊丝，高硬度超耐磨，一盘15公斤  感兴趣的话点“我想要”和我私聊吧～,420.0,天***饼,0,https://www.goofish.com/item?id=941442421377&categoryId=126864559
