标题,价格(元),所在地,想要人数,商品URL
手工核桃木木碗 新疆传统木碗  感兴趣的话点“我想要”和我私聊吧～,88.0,小***提,99,https://www.goofish.com/item?id=684980565424&categoryId=126862650
【年货价】科大讯飞E听说单词通 讯飞E100真人…  感兴趣的话点“我想要”和我私聊吧～,239.93,小***g,0,https://www.goofish.com/item?id=938028837636&categoryId=126854121
专业洗衣机清洗服务，波轮滚筒全拆洗，高温蒸汽深度清洁，去除内 筒污垢和细菌。清洗前后对比效果明显，让你的洗衣机恢复如新。,64.0,深***电,11,https://www.goofish.com/item?id=685379911643&categoryId=201450213
MLB官方正品复古老爹鞋，纽约洋基队标志款，米白色搭配棕色鞋 底，厚底增高设计超百搭。男女同款，情侣可穿，简约时尚。鞋面,226.38,规***b,0,https://www.goofish.com/item?id=954844041331&categoryId=126866685
"儿童陪伴师寻全职工作，可负责接送小朋友上学放学，可辅导小朋友 功课，可陪小朋友运动、娱乐、露营、玩耍等。

协议开展工作",720.0,云***子,3,https://www.goofish.com/item?id=800148939523&categoryId=201780604
山叩sainkho多功能收纳车用汽车车载遮阳板眼镜夹墨镜证件 夹卡包,59.9,姓***娘,0,https://www.goofish.com/item?id=873136599948&categoryId=126860904
60厚，cr12mov搓丝板，市场上很少见，规格，60厚承1 00承110承150，,20.0,二***轮,24,https://www.goofish.com/item?id=932248393691&categoryId=126864655
原装MaGnat音响遥控器 全新正品  感兴趣的话点“我想要”和我私聊吧～,65.0,遥***户,4,https://www.goofish.com/item?id=661803071966&categoryId=126914065
装修多出来的阳角条，大概13根，出给有需要的人  感兴趣的话点“我想要”和我私聊吧～,10.0,任***货,1,https://www.goofish.com/item?id=952170825480&categoryId=126858379
网易 工匠日记本笔记本 空白未用   实物见图 包邮价26元 需要可以直接拍 ,26.0,真***物,0,https://www.goofish.com/item?id=959103387961&categoryId=126862345
发霉大饼  菌群,26.0,量***瑰,0,https://www.goofish.com/item?id=945091866261&categoryId=126918191
宜福牌高能喷焊两用，不保能不能，配件处理，6个铜头喷嘴，品如 图，108元包邮，标价实价，二手物品看好下手售出不退。能接,108.0,旧***忆,3,https://www.goofish.com/item?id=825444496212&categoryId=126864570
大型合影拍摄站台占架 架子毕业照#毕业带不走  感兴趣的话点“我想要”和我私聊吧～,5.0,大***属,8,https://www.goofish.com/item?id=949194457883&categoryId=126854070
蒂爱婴儿洗脸盆新生儿脸盆洗脸PP盆儿童小脸盆宝宝盆婴儿盆折叠 盆,29.95,A***手,0,https://www.goofish.com/item?id=694157923356&categoryId=126918137
没空闲时间用  感兴趣的话点“我想要”和我私聊吧～,22.93,t***s,35,https://www.goofish.com/item?id=959534859445&categoryId=126918080
壁纸，壁布专用基膜，已过期，不耽误使用  处理5元，一瓶1升装13瓶,5.0,x***9,0,https://www.goofish.com/item?id=953637323791&categoryId=126858095
一组价，蓝胖子，非常精致的布贴，5元一组，58包邮非偏远。  感兴趣的话点“我想要”和我私聊吧～,5.0,金***4,8,https://www.goofish.com/item?id=680770827040&categoryId=201450503
PUMA三球2代 水绿  46码有原盒 成色99新 买来下地一次 成色非常棒 全新很贵不如买这个 好鞋把握 东营汇金国际,599.0,B***鞋,1,https://www.goofish.com/item?id=955752069522&categoryId=126866683
超低价出售二手草裙舞6件套包邮，一套19元，两套緑色赠送一套 蓝（领舞）4件套。自提优惠7元！,19.9,出***服,60,https://www.goofish.com/item?id=743506644498&categoryId=126866460
✨线上教课   可教科目：初中英语/物理/小学全科  也可接假期培优或补基础  经验丰富，定制化不同学生的学习计划，也可,6.66,迷***林,0,https://www.goofish.com/item?id=942274248808&categoryId=201459910
