标题,价格(元),所在地,想要人数,商品URL
"七侯笔录(上下) 文字鬼才马伯庸 传奇匠心之作原名笔冢随录 小说   现货速发  【质量与有货】 1: 质量保证   放心购买 2:全新书籍，能拍证明有。 3:快递如有破损，请拒收退回。 4:任何质量问题包售后，快递签收超过48小时不支持售后。 【发货与快递】 1:拍下付款，一般24小时内发货,最...",19.88,湖南,31,https://www.goofish.com/item?id=921451554470&categoryId=201459411
七侯笔录全两册 正版全新，运输中磕碰了，低价出，不退换正版书,29.9,江苏,0,https://www.goofish.com/item?id=963889643697&categoryId=127838003
马伯庸作品 七侯笔录 上下全两册 正版无破损无脏污，全新带塑封 上下2本全  30包邮 可直拍 4点前拍下，当天发,30.0,河南,0,https://www.goofish.com/item?id=961205995016&categoryId=127838003
显微镜下的大明+七侯笔录上下 几乎全新没有任何笔记痕迹，喜欢历史的赶紧码住,27.0,广东,0,https://www.goofish.com/item?id=957732352294&categoryId=127838003
七侯笔录全两册 感兴趣的话点“我想要”和我私聊吧～,25.0,江苏,0,https://www.goofish.com/item?id=963837546943&categoryId=127838003
马伯庸《七侯笔录》正版全新 感兴趣的话点“我想要”和我私聊吧～,25.0,安徽,2,https://www.goofish.com/item?id=958047573754&categoryId=127838003
马伯庸《七侯笔录》全两册，湖南文艺出版社正版，ISBN：97 87540490805书籍保存完好，无笔记划痕，品相非常新。上下册都在,25.0,天津,92,https://www.goofish.com/item?id=962185446275&categoryId=127838003
马伯庸《七侯笔录》上下册全套，95成新，书籍保存很好，无破损 无水渍。带原装书衣。喜欢的朋友可以私聊，价格可议 漳州芗城可自提,35.0,福建,0,https://www.goofish.com/item?id=919318473135&categoryId=127838003
正版二手七侯笔录传统文化与幻想的绝妙交汇马伯庸湖南文艺出版社 正版二手，在线商品都有货！ 书籍品相好，全部八成新以上！ 可以直接下单，24小时内发出！ 除新疆西藏其他地区都包邮！ -------------------正版二手，在线商品都有货！ 书籍品相好，全部八成新以上！ 可以直接下单，24小时...,29.0,上海,33,https://www.goofish.com/item?id=932551777393&categoryId=201896704
"七侯笔录(上下) 文字鬼才马伯庸 传奇匠心之作原名笔冢随录 小说   现货速发  【质量与有货】 1: 质量保证   放心购买 2:全新书籍，能拍证明有。 3:快递如有破损，请拒收退回。 4:任何质量问题包售后，快递签收超过48小时不支持售后。 【发货与快递】 1:拍下付款，一般24小时内发货,最...",19.88,湖南,0,https://www.goofish.com/item?id=939130801377&categoryId=201459411
正版二手书 马伯庸 七侯笔录（上册）生事如转蓬 【书名】七侯笔录（上册） 【作者】马伯庸 【ISBN】9787540490805 【出版社】湖南文艺出版社  【商品质量】 [1]正版二手书，八成新以上。 [2]二手书默认有笔记划线折痕，带有二维码的书不保证扫码有效，只有单本书籍，不含光...,18.5,广东,4,https://www.goofish.com/item?id=869722165112&categoryId=201459411
七侯笔录 感兴趣的话点“我想要”和我私聊吧～,30.0,湖南,92,https://www.goofish.com/item?id=955483041939&categoryId=127838003
现货出马伯庸七侯笔录1套，99新仅拆封可能会有些磕碰，有意向 者可私信发书细节，偏远地区不包邮,45.0,广东,0,https://www.goofish.com/item?id=965751042794&categoryId=127838003
正版二手 七侯笔录（套装全两册）传统文化与幻想的绝妙交汇马伯 1、在线的就是有货，可以直接拍，每天下午仓库会按顺序择优发货 2、仓库直发，薄利多销，不议价，批量采购可找客服留言 3、保证正版，二手8成新左右，无缺页漏页，旧书可能少量笔迹、横线等使用过的痕迹，不影响阅读，介意者请慎拍。 4、书本已消...,27.87,湖北,0,https://www.goofish.com/item?id=752940494997&categoryId=127838003
【实体书】 七侯笔录  下  湖南文艺出版社 9787540490805 该书本是高清印刷版本，详情已告知，接受版本再行购买，以免售后纠纷，谢谢！书名：七侯笔录  下 作者：'马伯庸著' ISBN：9787540490805 出版社：湖南文艺出版社 出版时间：2019-04-01 定价：92....,30.6,湖南,61,https://www.goofish.com/item?id=959364539500&categoryId=201459411
书七侯笔录全两册 出租 感兴趣的话点“我想要”和我私聊吧～,0.5,安徽,0,https://www.goofish.com/item?id=772998722642&categoryId=127838003
马伯庸力作七侯笔录几乎全新正版 感兴趣的话点“我想要”和我私聊吧～,42.0,吉林,0,https://www.goofish.com/item?id=952348785468&categoryId=127838003
《显微镜下的大明》《七侯笔录》两册 [火][火]全新书籍未拆封 [1]《显微镜下的大明》16.8 [2]《七侯笔录》上下册45.8,16.8,广东,0,https://www.goofish.com/item?id=832262835296&categoryId=127838003
正版二手 七侯笔录（套装全两册）传统文化与幻想的绝妙交汇 马 【质量】：均为正版二手书籍，只做正版二手书，盗版全额退款。 可以拍就有货，直接拍8-9成新，少部分会有勾画，无破损，择优发货。  【发货】：当天3点前订单基本可以当天发货，最迟48小时内发货，非偏远地区包邮，偏远地区请咨询后再下单。  ...,17.65,江苏,0,https://www.goofish.com/item?id=740762596290&categoryId=127838003
正版二手 七侯笔录（套装全两册）传统文化与幻想的绝妙交汇 马 ⭐⭐正版二手书籍（可用书单找书）书籍8-9.5层新，默认有笔记划线折痕，不影响阅读，不缺页不掉页1、闲鱼认证卖家，支持七天无理由退货。2、正品二手书：65-99成新，更有几乎全新的，每请放心使用。【书本价格】3、本店所有在售均为正品图书，只卖正版！！！利润微薄，请勿拿盗版来比价。【关于售后】客服在线时间：7：00-23：301、如⭐⭐当天上午15点前拍的基本当天发出，最晚48小时【书名】七侯笔录（套装全两册）传统文化与幻想的绝妙交汇【出版社】湖南文艺出版社【作者】马伯庸【ISBN编码】9787540490805,1.86,河北,0,https://www.goofish.com/item?id=933111008934&categoryId=127838003
七侯笔录传统文化幻想绝妙交汇套装两册 感兴趣的话点“我想要”和我私聊吧～,29.0,广东,0,https://www.goofish.com/item?id=958457949288&categoryId=201459411
正版二手书 马伯庸 七侯笔录（下册）沉忧乱纵横 【书名】七侯笔录（下册） 【作者】马伯庸 【ISBN】9787540490805 【出版社】湖南文艺出版社  【商品质量】 [1]正版二手书，八成新以上。 [2]二手书默认有笔记划线折痕，带有二维码的书不保证扫码有效，只有单本书籍，不含光...,13.0,广东,6,https://www.goofish.com/item?id=869721817198&categoryId=201459411
七侯笔录 全两册 马伯庸传奇匠心之作 显微镜下的大明长安十二 时辰古董局中局三国机密风起陇西作者悬疑侦探历史小说书籍,36.0,上海,0,https://www.goofish.com/item?id=727706000553&categoryId=127838003
七侯笔录全两册，9成新 售出不退,30.0,辽宁,2,https://www.goofish.com/item?id=953184665750&categoryId=127838003
七侯笔录 两册马伯庸著 都是正版书，图片实拍,25.0,上海,42,https://www.goofish.com/item?id=685502927187&categoryId=127838003
七侯笔录传统文化幻想绝妙交汇套装两册 感兴趣的话点“我想要”和我私聊吧～,26.0,广东,0,https://www.goofish.com/item?id=962171299874&categoryId=201459411
马伯庸的《七侯笔录》全两册 只翻阅过一次  双井自取吧～,30.0,北京,4,https://www.goofish.com/item?id=809265154833&categoryId=127838003
七侯笔录全两册，全新包邮，正版图书，看不过来处理了，五十不议 价，全新没查封。别拿盗版比较。三十两本的有的是。我这里没有,45.0,河北,0,https://www.goofish.com/item?id=865466691831&categoryId=127838003
