标题,价格(元),所在地,想要人数,商品URL
《万古第一神》有声小说MP3【自动发货】百度+夸克 [火]可以直接拍，自动发货 [火] [闪亮]24小时自动发货[闪亮] ❤百度网盘+夸克网盘❤  【剧集】4834集（更新中） 【单集】3MB 【全集】15.4GB 【音质】原音无压缩  [1]可在线听 [2]可下载听 [3]可车机听  ...,3.88,内蒙古,6,https://www.goofish.com/item?id=921462367817&categoryId=202036301
动态漫，万古第一神，90集 百度网盘发货虚拟产品，容易被复刻，一经过售出不退货,2.88,上海,8,https://www.goofish.com/item?id=909459009455&categoryId=202036301
被渣后觉醒了混沌神兽&万古第一神动态漫持续更新 栢度云在线观看-※24小时自动发货※直接秒拍-电子产品一经发货  概不退款  持续更新保持最新章不能保证第一时间更 有新的就会放到链接里催更勿拍,1.0,北京,0,https://www.goofish.com/item?id=941291464685&categoryId=201459411
万古第一神西马版本有声书 百度网盘资源   打开即可收听  人工回复不要太着急谢谢,1.88,浙江,5,https://www.goofish.com/item?id=888241972844&categoryId=202036301
万古第一神紫襟 感兴趣的话点“我想要”和我私聊吧～,2.5,河北,25,https://www.goofish.com/item?id=934542563457&categoryId=201459411
《万古第一神》（完结）音频资源，开启自动发货！演播：紫襟 《万古第一神》（完结）音频资源，开启玄幻修真之旅！演播：紫襟【作品简介】56《万古第一神》是风青阳创作的东方玄幻小说，讲述了主角李天命的传奇故事。李天命做梦都要笑醒了，因为他家的宠物，竟然都是传说中的太古混沌巨兽。他的家鸡是以太阳为食的“永恒炼狱凤凰”，他的黑猫是以雷霆炼化万界的“太初混沌雷魔”，甚至连他家的小强，都是拥有万亿不死分身的“万界永生兽”。从此，他驾驭十头太古混沌巨兽，化身万古第一混沌神灵，周游诸天万界，踏平无尽神域。【独特优势】1）专业主播演绎：由有声的紫襟倾情演播，其声音磁性，情感饱满，能够精准把握小说中每个角色的性格特点，为听众带来身临其境的听觉享受。2）完结资源，无需等待：本有声小说已完结，可一次性畅听全集。3）高音质体验：音频为MP3格式，音质清晰，适合手机听书下载，可在WiFi环境下下载，方便通勤或睡前收听。4）宏大世界观：小说构建了一个宏大的玄幻世界，情节跌宕起伏，充满神秘与冒险。【资料获取】1）百度网盘发放：购买后，我将通过闲鱼私信发送百度网盘链接，方便您随时随地下载收听。2）MP3格式，手机听书：音频为MP3格式，适合手机听书，可在WiFi环境下下载，方便通勤或睡前收听。【适用人群】1）玄幻小说爱好者：喜欢宏大世界观和热血冒险故事，这部作品绝对能满足您的需求。2）通勤族、健身爱好者：在上下班路上或健身时听这部有声小说，让碎片时间不再无聊。3）传统文化爱好者：小说中融入了大量传统文化元素，让您在享受故事的同时，也能感受传统文化的魅力。4）追求轻松娱乐的人：小说情节轻松解压，适合在闲暇时间放松心情。【价格优惠】原价200元，现特价3元，性价比超高，错过不再有！【购买方式】点击购买，或私聊我获取百度网盘链接，开启您的玄幻修真之旅！《万古第一神》不仅是一部小说，更是一场充满热血与激情的玄幻冒险。快来加入我们，一起感受主角的成长与突破吧！,3.0,山东,200,https://www.goofish.com/item?id=915974207941&categoryId=202036301
【130部超全】紫襟有声小说合集，130余部打包mp3手机听 书下载百度网盘发，源头网盘，永久有效，放心购买！，还有额外约10T有声小说赠品，包您满意。目录1. 《盗墓笔记--紫襟【9部全集513完本】》2. 《道医天下|紫襟剧社制作爆笑都市修真精品有声剧完结》3. 《鬼吹灯2|系列合集|天下霸唱著|有声的紫襟领衔多人有声剧完结》4. 《T偷窥一百二十天(紫襟)(25回)》5. 《大王饶命|都市异能霸榜神作|紫襟剧社制作完结》6. 《《木锡镇》紫襟故事》7. 《无罪谋杀(完结)-紫襟》8. 《《明朝败家子》-紫襟(完结)》9. 《民调局异闻录》紫襟(完结)》10. 《民调局异闻录后传》-紫襟(完结)》11. 《麻衣神算子》紫襟故事》12. 《麻衣神算子(1)》》13. 《民调局异闻录紫襟(完本)》14. 《诺门罕之锤-紫襟》15. 《山海密藏》-紫襟(完结)》16. 《食罪者(付费版)》(又名：无罪谋杀)紫襟故事》17. 《死亡通知单之暗黑者[全集][播音——紫襟]{t}》18. 《天下之下【紫襟】》19. 《探龙-紫襟》20. 《我大清，一言难尽呐【有声的紫襟】》21. 《(乌盆记)(想不到的推理结局)紫襟故事》22. 《我是个私家侦探》23. 《Z-行走阴Y：道士传奇-紫襟【高清音】[900完本]》24. 《行走阴Y-紫襟(完结)》25. 《原罪-紫襟》26. 《夜行实录-紫襟》27. 《太荒吞天诀|热血玄幻|紫襟领衔有声剧》28. 《《我当摸金校尉的那些年(付费版)》紫襟故事》29. 《亡灵书(紫襟)》[125回]30. 《武动乾坤-上下部紫襟(完结)》31. 《凶宅笔记(付费版)》紫襟故事》32. 遵命女鬼大人【紫襟】》33. 《十宗罪前传》34. 《杀破狼[完本]》35. 《偷脸(年度最精彩悬疑故事)》紫襟故事》36. 《惊悚乐园-紫襟故事》37. 《狠人狠事~紫襟》38. 《黄河鬼事【完本】》39. 《茅山鬼术师》--紫襟(完结)》40. 《摸金校尉》41. 《奇货》42. 《人骨咒怨(完)》43. 《.7Truth-1尸忆【完本】紫襟》44. 《诡案笔记：演狱师-紫襟》45. 《高智商犯罪《死神的哈士奇》紫襟故事》46. 《幽灵船-紫襟》47. 《阴间神探--紫襟(完结)》48. 《《最后一个道士》-紫襟289回》49. 《《罪全书(1-5)》紫襟故事》50. 《真相推理师：嬗变-紫襟》51. 《真相推理师：幸存-紫襟》52. 《紫襟讲述快手主播故事》53. 《光阴之外|紫襟领衔多人有声剧》54. 《采珠勿惊龙》55. 《《多了一个》紫襟故事》56. 《斗罗大陆1-紫襟(完结)》57. 《盗墓手札(完)》58. 《鬼股【有声的紫襟】》59. 《蛊世录》(民国蛊术江湖，相爱相杀)紫襟故事》60. 《诡案组》紫襟故事》61. 《高智商犯罪四部曲》62. 《摸金天师【紫襟】》63. 《最后一个使徒》64. 《紫襟蛇精日常》65. 《罪恶调查局【完本】》66. 《麒麟神相|悬疑灵异霸榜作品|紫襟剧社制作》67. 《我的属性修行人生|玄幻霸榜作品|大神滚开新作|紫襟剧社出品》68. 《我的治愈系游戏紫襟&优雅播讲》69. 《无敌剑域|紫襟领衔多人有声剧》70. 《李治你别怂|贼眉鼠眼力作|爆笑穿越爽文|紫襟剧社制作》71. 《灵境行者》72. 《百诡传人|掌阅霸榜悬疑作品|紫襟剧社出品|有声剧完结》73. 《天师寻龙诀|悬疑灵异|寻龙分金|紫襟剧社制作》74. 《寻龙天师》75. 《我有一剑|有声的紫襟领衔多人有声剧》76. 《高手下山开局九封婚书紫襟剧社制作》77. 《逍遥游|有声的紫襟监制|多人有声剧》78. 《门马|重返2000|霸气逆袭|紫襟剧社出品》79. 《黄金召唤师|东方热血玄幻|紫襟剧社出品》80. 《无罪谋杀2：雕骨尸案|有声的紫襟多人有声剧》81. 《大憨婿|历史爆笑爽文|紫襟多人有声剧》82. 《我用闲书成圣人，爆笑仙侠霸榜神作|紫襟剧社制作|多人有声剧》83. 《摸金天师(下部)紫襟演播完结》货84. 《夜的命名术|紫襟|完结》85. 《我在幕后调教大佬，爆爽三界玄幻紫襟剧社出品》86. 《我的姐夫是太子|有声的紫襟监制作品》87. 《训魔：要我一个魔来拯救世界？|有声的紫襟领衔》88. 《走山人|恐怖悬疑|异士奇人|紫襟剧社制作》89. 《我D老Q生涯》（无广告版）3483集完本》90. 《猎罪者||阴间神探-紫襟(完结)》91. 《彼岸花》92. 《一剑独尊（叶玄叶灵有声的紫襟，完结）》93. 《行走阴阳：道士传奇-紫襟》94. 《死神的哈士奇》紫襟，495集（完结）》95. 《十宗罪全集(紫襟)[178回]》96. 《我的老千江湖完结》97. 《民间诡闻实录|紫襟领衔|民间灵异传说|多人有声剧》98. 《万古第一神|有声的紫襟》99. 《天命赊刀人完结》100. 《天字第一当|紫襟领衔多人有声剧|》101. 《你都1000级了，外面最高30级|爆笑玄幻|紫襟领衔多人有声剧》102. 《燃番啦！这游戏也太真实了|爆笑废土霸榜神作|紫襟剧社制作》103. 《盗墓笔记》--紫襟(完结)》104. 《龙族（合集）|中国幻想扛鼎之作|江南著|紫襟领衔多人有声剧》105冥海禁地106这游戏太真实了107葬生人108一觉醒来我背上了40起命案109原来我是世外高人完结110我有一座混沌监狱111我的治愈系游戏112天下藏局，江湖鉴宝多人113麻衣六相114江湖捞偏门115怪盗胡宗仁116盗墓手札完结117藏地密码118超级惊悚直播完结以下为更新包内容：需好评获得1.大乾憨婿2.肥警神医3.高手下山4.高武纪元5.苟在大明我被朱元璋偷心生6.极道剑尊7.李治你别怂8灵境行者9.天下藏局10天字第一当11.万古第一神12.万象之王13.我的姐夫是太子王14.我的老Q生涯15.我契约我自己16.我是至尊17.我有一剑18.武夫19.新民间老八门20.驯魔，要我一个魔来拯救世界，21.一觉醒来，我背上了40起，22.一人一驴一狗23.藏生人24这游戏也太真实了25走山人,1.5,浙江,17,https://www.goofish.com/item?id=962502213492&categoryId=202036301
青云诀2/御剑仙尊  折扣号 青云决2 打折卷（每笔充值都能 用折扣券，不限制金额和次数，循环充值使用打折卷）众星服互通猎魔服 安卓 2025/6/13 新区 601新区 第一岛，人气区 首充1.5折 青云诀，青云决 猎魔之血，幻灵战歌 青云诀2，青云决2 飞剑四海，神喻 万古仙缘，火舞,0.15,河南,1,https://www.goofish.com/item?id=939094997147&categoryId=202027304
[火]【豆瓣万人想读15册精品电子书｜网盘秒发！从历史到文学 ，用经典填满碎片时间】[火][火][火][火] [1]为什么值得入？这15本是豆瓣万人标记“想读”的高分神作，横跨历史、政治、文学、艺术等领域。不用等快递，拍下即发网盘链接，手机、平板、电脑随时看——碎片时间翻开就读，用精品内容对抗浮躁，让每一分钟阅读都有重量。 [2]书单明细（附核心亮点）： 《政治秩序的起源》：从部落到现代国家，拆解政治制度的底层逻辑《第三帝国的到来》：撕开纳粹崛起的细节，比纪录片更扎心的历史警示《万古江河》：许倬云讲透中国历史，看文明在转折中如何流动《文化失忆》：50篇短文串起20世纪文化名人，打捞被遗忘的思想《天才的编辑》：文学黄金时代实录，揭秘编辑如何成就海明威等巨匠《扫地出门》：美国贫穷与暴利的真相，比小说更残酷的社会纪实《生活与命运》：被称作“20世纪《战争与和平》”，战争中照见人性《打开一颗心》：心脏外科医生30年手记，每一页都是生命的重量《光明共和国》：魔幻又现实的寓言，成年人的“失落童话”《夜晚的潜水艇》：陈春成的奇幻文字，温柔又锋利的想象力《飞行家》：双雪涛的东北故事，荒诞里藏着普通人的挣扎《聋哑时代》：李娟写的少年时光，每个人都能找到自己的影子《现代艺术150年》：从印象派到当代艺术，轻松看懂艺术史《余下只有噪音》：20世纪古典音乐史，听旋律里的社会变迁《仙症》：郑执的东北往事，荒诞中带着宿命感的短篇 [右]资源说明： 均为高清电子版，可兼容主流阅读设备无水印、排版清晰，和实体书内容完全一致，阅读体验佳拍下后10分钟内发网盘链接（百度云/阿里云，任选），永久有效，可存可传 适合谁？ 学生党：低成本拓展知识面，写论文、涨见识都能用上班族：通勤、午休碎片时间读，比刷短视频更有收获阅读爱好者：一次收齐15本高分书，不用一本本找资源想送礼的：发朋友网盘链接，低成本送份“精神礼物” 价格：15本打包仅需6元[惊讶][惊讶]（单本找资源都不止这个价），比买实体书省几百！支持微信/支付宝，拍下秒发，不耽误阅读～  备注：资源为电子版，拍下后不退换哦～ ， 早买早看，用这些好书填满你的书单吧！,3.0,广东,0,https://www.goofish.com/item?id=902170099778&categoryId=202036301
万古神帝实体书，飞天鱼亲笔签名！阅文正版出版，书籍保存完好， 内页干净整洁，无破损无涂画。封面是蓝色冰川雪山的精美插画，内页纸张质量很好。  新旧看图，太挑剔勿拍，二手旧书，发出不退换！万古神帝官方正版实体书第一卷 ！！！,165.0,广东,0,https://www.goofish.com/item?id=933157384974&categoryId=127838003
