标题,价格(元),所在地,想要人数,商品URL
动画片，三个和尚。1.67GB，高清修复版1080P，19分 钟。百度网盘分享。,2.0,安徽,2,https://www.goofish.com/item?id=930014723666&categoryId=126864806
怀旧  70-90年代 儿童绘画书籍 小小连环画库之三个和尚 感兴趣的话点“我想要”和我私聊吧～,13.0,湖南,0,https://www.goofish.com/item?id=962996843901&categoryId=126862193
三个和尚泥塑摆件，这东西得有20年了吧，我保存的不是太好介意 勿扰。这应该是泥塑，而不是现在网上卖的石膏的，要说有什么区别嘛，可能更有仪式感吧，手感更厚实。,50.0,天津,0,https://www.goofish.com/item?id=966908313611&categoryId=126862602
三个和尚，原定价32元。内页非常新。 感兴趣的话点“我想要”和我私聊吧～,10.0,北京,0,https://www.goofish.com/item?id=828633377435&categoryId=127838003
三个和尚没水吃  20年前的手工艺 一段历史的故事 感兴趣的话点“我想要”和我私聊吧～,45.0,广东,0,https://www.goofish.com/item?id=906205399870&categoryId=126858179
三个和尚(珍藏版) 发布内满百包邮 自提免运费,15.0,上海,2,https://www.goofish.com/item?id=845815888249&categoryId=127838003
全新《三个和尚》，中国经典动画大全集，上海美术电影制片厂出品 。原价19.8元，现在10元低价转让。书很重，不议价不包邮，拍下即是默认。所见即所得，拍前请考虑清楚，二手物品不退不换。感兴趣的朋友可以直接下单哦，谢谢合作！三个和尚,10.0,浙江,19,https://www.goofish.com/item?id=883610957401&categoryId=127838003
经典动画片三个和尚有水吃的紫砂茶宠或者是小摆件都行，用过的， 更新换代了便宜出。,70.0,山东,0,https://www.goofish.com/item?id=882976914396&categoryId=126854577
三个和尚，没头脑和不高兴，彩图注音版，两本19不讲价非偏包邮 ，9成新。售出不退，敬请理解。,19.0,北京,0,https://www.goofish.com/item?id=952318118055&categoryId=127832004
【微瑕】三个和尚 #涉及套装书或多册的图书，请咨询客服确认本数后再下单，以咨询结果为准;暂无商品描述#若原书涉及附件的，请已咨询客服回复结果为准; 已发货订单物流信息如未更新，可以咨询客服查询实时物流信息，快递如有破损，或者收到的书籍有质量问题，请联系客...,7.91,四川,19,https://www.goofish.com/item?id=910742266553&categoryId=201544601
【全新包邮】小小故事王《三个和尚》 8.5元一本，本店图书利薄多销！没有议价！便宜实惠。  收到包裹签收前一定要检查包装，没损坏再签收，谢谢配合。   拍下48小时内发货，偏远地区不包邮。   本交易仅支持邮寄。 有问题随时联系我，看到秒回！ 持续上新中，可点头像关注。...,8.5,山东,0,https://www.goofish.com/item?id=751651779961&categoryId=201459411
三个和尚（二印），比三印的纸厚很多，多了蝴蝶页，斑痕轻渍，挑 剔精细的朋友不要下单，麻烦,63.0,河北,0,https://www.goofish.com/item?id=888724244047&categoryId=126862193
