标题,价格(元),所在地,想要人数,商品URL
山海经15元/3本 漫画数学，乌丢丢的奇遇记，外婆，让太阳长上翅膀，6元一本 寻宝记 22元/3本 日本阅读力训练 20元/6本 格林童话，伊索寓言5元/一本 三十六计 15元/3本  自选，不议价，建议自提，亲亲宝贝丛书,5.0,广东,24,https://www.goofish.com/item?id=878048859996&categoryId=202029302
我最优阅系列，上海大学出版社，注音美绘版，适合小学生阅读的经 典名著，包括水浒传、中华上下五千年、成语故事、福尔摩斯探案集、八十天环游地球、爱丽丝梦游仙境、海底两万里、中华勤学故事、杨家将、格列佛游记、王子与贫儿、老人与海、木偶奇遇记、二十四孝故事、岳飞传、三十六计、聊斋奇故事、中外智慧故事、洋葱头历...,20.0,上海,0,https://www.goofish.com/item?id=939025768954&categoryId=127838003
儿童启蒙读物，几乎全新，拼音彩图，无拼音彩图等都有，无污无折 ，昆虫记 列那狐的故事 小王子 骑鹅旅行记 三十六计 女儿的故事 小狼请客 鲁滨逊漂流记 山海经 汤姆索亚历险记 吹牛大王历险记 木偶奇遇记 皮皮鲁送你100条命（科技天使，危难之光，安全之星，生命之盾） 可怕的科学（臭屁的大脑，神秘莫测的...,8.0,辽宁,0,https://www.goofish.com/item?id=952990598076&categoryId=127832004
小学生必背古诗词75+80首，没头脑和不高兴，小布头奇遇记， 三十六计，歇后语，西游记，大部分都是彩图注音版，非常适合低年级小朋友自主阅读。6元一本，4本包邮，感兴趣的朋友可以联系我哦～都是全新。组合套装 读书熊 小学生语文新课标必读丛书 共4册,6.0,广东,0,https://www.goofish.com/item?id=907904592900&categoryId=127832004
三十六计 奇遇记 6碟装 未拆封 感兴趣的话点“我想要”和我私聊吧～,28.0,云南,48,https://www.goofish.com/item?id=801507237073&categoryId=201459411
12本小学生课外读物 东周列国志(拓展阅读本青少版) 史记故事 三十六计彩图注音 中国古代寓言故事 百家姓(彩图注音) 小海蒂 格林童话 中国幽默儿童文学创作.任溶溶系列 注音版没头脑和不高兴 拼音美绘版水浒传 木偶奇遇记 吹牛大王历险记 小学生必背文言文,58.0,北京,1,https://www.goofish.com/item?id=854574625693&categoryId=127838003
二手童书合售，包括《岳飞传》《资治通鉴》《史记故事》《东周列 国志》等经典历史书籍，还有《城南旧事》《乌丢丢的奇遇》《窗边的小豆豆》等儿童文学作品。大部分书籍保存完好，内页干净。6本以上包邮到家 不接受退货 如果退货承担来回运费 价格可议，同城自提更优惠，异地的话帮你寄第一张图：岳飞传、资治通鉴、史记故事、东周列国志、包公案、孙子兵法三十六计、隋唐演义、聊斋志异、封神演义、杨家将第二张图：城南旧事、乌丢丢的奇遇、窗边的小豆豆、班长下台、史记（少年版）、斑羚飞渡、简·爱、爱丽丝梦游仙境、斗罗大陆、史记（少年版）、史记（少年版）、史记（少年版）、巫师的沉船、荒野的呼唤、新月集、追逐金色的少年、妖精的小孩、明日着生日快乐（部分书名因角度、遮挡等，可能识别不全)第三张图：钢铁是怎样炼成的、草房子、最后的藏羚群、骆驼祥子、泰戈尔诗选、聊斋志异、伊索寓言、科学实验王、福尔摩斯探案集、鲁滨逊漂流记、简·爱、昆虫记、野草家。喜欢哪本可以私聊，打包购买有优惠哦～,3.0,湖北,0,https://www.goofish.com/item?id=964339298112&categoryId=127832004
叫叫阅读4阶全12个月共49本 叫叫阅读课 L4: 伊索寓言4 百年童话4 中国经典智慧故事3动物在说话4 山海经神话故事4 昆虫记4有故事的古诗词4 木偶奇遇记4 漫画论语1  兔子坡4 有趣的世界史2三十六计2福尔摩斯2奇妙的科学2吹牛大王历险记1儿童文学篇1诗词大...,240.0,重庆,0,https://www.goofish.com/item?id=936627593601&categoryId=127832004
木偶奇遇记，格列佛游记，爱的教育，百家姓，三十六计，福尔摩斯 探索集，冰心，绿山墙的安妮，每本10自取，四本包邮40元,40.0,四川,140,https://www.goofish.com/item?id=965492898719&categoryId=127832004
《笑猫日记20册》《小屁孩日记20册中英对照版》《淘气包马小 跳》《夏洛的网》《小鹿斑比》《一千零一夜》《呐喊》《儒林外史》《骆驼祥子》《绿野仙踪》《老人与海》《西游记》《红星照耀中国》《你的善良必须有点锋芒》《猎人笔记》《草房子》《流经存在的邂逅》《生活需要仪式感》《鲁滨孙漂流记》《童年》《简爱》《海底两万里》《爱的教育》《罗生门》《人间失格》《肯定自己》《与世界竞走（毕淑敏）》《呼啸山庄》《水浒传1️⃣2️⃣》《别在吃苦的年纪选择安逸》《人间词话》《孙子兵法、三十六计》《女生日记（杨红樱）》《好孩子是夸出来的》《人物志》（主页还有很多书，一起买可小刀，重新开链接5r一本，默认有瑕，放了几年的旧书，搬家不要了，在意质量慎拍）暑假奇遇(典藏版)/淘气包马小跳系列,500.0,广东,0,https://www.goofish.com/item?id=964233474836&categoryId=127838003
