标题,价格(元),所在地,想要人数,商品URL
动漫《三十六骑》来啦！ [1]全集！全集！全集！播放 [2]高频不卡顿 [3]畅享追剧无限看 还在等什么～快快拍下无限看 网盘发货哦！！！ 虚拟物品一经售出概不退款哦！ 店主小姐姐可能有时候会不在线 希望谅解！看到了一定会回复哒,3.0,吉林,1,https://www.goofish.com/item?id=813572305934&categoryId=126864805
自买分享，全部打包，资源太多放不完，很丰富，自己买的贵便宜挂 出来一起学习[五角星]要请直接拍小学生快乐读书吧1-6年级 快乐读书吧统编版教材指定必读书目39部朗读原著音频+PDF电子版 小学1-6年级语文快乐读书吧指定书目一年级上册：《和大人一起读》一年级下册：《读读童谣和儿歌》二年级上册：《孤独的小螃蟹》《歪脑袋木头桩》《一只想飞的猫》《小狗的小房子》二年级下册：《七色花》《神笔马良》《愿望的实现》《一起长大的玩具》三年级上册：《稻草人》《格林童话》《安徒生童话》三年级下册：《中国古代寓言》《伊索寓言》《克雷洛夫寓言》诚四年级上册：《山海经》《希腊故事与英雄说》《中国古代神话故事》信四年级下册：《十万个为什么》《我们的地球》《灰尘的旅行》《人类起源的演化过程》五年级上册：《非洲民间故事》《列娜狐的故事》《一千零一夜》《中国民间故事》五年级下册：《西游记》《红楼梦》《三国演义》《水浒传》（少儿版）六年级上册：《爱的教育》《童年》《小英雄雨来》六年级下册：《爱丽丝漫游奇境》《鲁滨逊漂流记》《尼尔斯骑鹅旅行记》《汤姆索亚历险记》可以网盘听，也可以下载到平板、音频播放设备、电脑、手机等等里面去听。看好直接拍下，永久可听。百度网盘发货，虚拟物品发货后不可退换，感谢理解。,3.0,重庆,238,https://www.goofish.com/item?id=816933980026&categoryId=126864808
伊朗新浪潮电影片单合集 六七零年代的伊朗新浪潮电影有别于伊朗主流的通俗剧和歌舞片，大多受现实主义和伊朗文学的影响，常使用非职业的演员、实景拍摄、现场收音、长镜头，采用简单的叙事、开放式的结尾，减少戏剧性和张力性，经常聚焦于乡村地区和中下阶层的角色。以下50部作品根据MUBI上的片单进行汇总，伊朗新浪潮电影刻意模糊纪实与虚构的界线，传达出生命与艺术、现实与电影之间的暧昧性，新浪潮的导演们明确认知他们的作品在写实主义的意图下是作者的产物，给电影注入了少见的自觉意识，观众经常被提醒正在观看的只是一部电影的叙事空间被电影外的元素所侵入。——伊朗新浪潮电影片单合集目录1969 奶牛 گاو‎1972 暴雨 رگبار1972 库尔德人萨德 Sadegh Korde1972 人前的安宁 آرامش در حضور ديگران‎1972 邮差 Postchi1973 海峡 Tangna1973 简单的事 یک اتفاق ساده‎1973 千钧一发 Tangsir1973 体验 تجربه1973 蒙古人 مغولها1974 静谧的生活 طبیعت بی جان1974 口琴 Saz Dahani1976 Kalagh1976 石头花园 باغ سنگی1977 报告 گزارش1978 单车 دایره مینا1979 塔拉的歌谣 Tcherike-ye Tara1984 奔跑的亚军 دونده1987 何处是我朋友的家 خانه دوست کجاست؟1989 骑单车的人 بايسيكلران1989 水、风、土 اب-باد-خاك از امير نادري1990 特写 کلوزآپ1992 生生长流 زندگی و دیگر هیچ1992 伊朗电影往事 ناصرالدين شاه آكتور سينما1994 橄榄树下的情人 زير درختان زيتون1995 白气球 بادکنک سفيد1995 电影万岁 سلام سینما1996 纯真时刻 نون و گلدون1996 父亲 پدر1996 魔毯 گبه‎1997 谁能带我回家 آینه‎‎1997 小鞋子 بچههای آسمان1997 樱桃的滋味 طعم گيلاس1998 苹果 سیب1999 随风而逝 باد ما را خواهد برد1999 天堂的颜色 رنگ خدا‎2000 黑板 تخته سیاه خانه2000 生命的圆圈 دایره‎2001 巴伦 باران2002 十段生命的律动 ده‎2003 尘中之舞 رقص در غبار2003 深红的金子 طلای سرخ2003 下午五点 پنج عصر‎2004 美丽城 شهر زیبا2006 烟花星期三 چهارشنبه ‌سوری2006 越位 آفساید2008 麻雀之歌 آواز گنجشک ها‎2009 关于伊丽 درباره الی2011 一次别离 جدایی نادر از سیمین‎2016 推销员 فروشنده感兴趣的话点“我想要”和我私聊吧～,5.18,天津,100,https://www.goofish.com/item?id=965464024155&categoryId=126864806
动漫《三十六骑》来啦！ [1]全集！全集！全集！播放 [2]高频不卡顿 [3]畅享追剧无限看 还在等什么～快快拍下无限看 网盘发货哦！！！ 虚拟物品一经售出概不退款哦！ 店主小姐姐可能有时候会不在线 希望谅解！看到了一定会回复哒,4.0,黑龙江,0,https://www.goofish.com/item?id=769413485185&categoryId=126864807
动漫资源（先罗列这些，想要其他资源的可以私聊我，近期热门sv ip点映也可以私聊我，也许我有资源）价格2—8元不等 1. 天行九歌（未删减版） 2.新封神榜 杨戬 3.元龙123季 4.咒术回战 5.画江湖之灵主 6.沧元图 7. 火凤燎原 8. 三十六骑 9.中华小子（重制版） 10.春...,2.0,安徽,3,https://www.goofish.com/item?id=945387846995&categoryId=126864807
三十六骑 上下册 念远怀人 著 文化发展出版社出版  ISBN: 9787514221855  正版书籍，几乎全新。上下两册40包邮。,35.0,福建,0,https://www.goofish.com/item?id=902456350918&categoryId=127838003
"正版旧书 三十六骑 念远怀人, 著 文化发展出版社有限公司 拍前须知：如果是有多册，单本价格，请联系客服购买1.是否有货：链接上架即有货，不用问有没有，在没在，直接拍下就行！2.是否正版：所售商品均为正版二手（从各个大学城回收回来，都会人工筛选），发货前会对书籍进行消毒处理。3.新旧程度：一般八成新，择优发货，运气好的有九成新哦，先下先得。（不能接受的还请慎重下单哦）4.实物拍照：因库存书籍量大，无法人工一一按照要求拍照。5.是否包邮：国内大部分地区都是包邮的(新疆，西藏，海南，内蒙等偏远地区除外)，偏远地区下单前请私聊运费。6.发货时间：48小时内发货。收藏或关注会优先发货哦。急单勿拍！7.关于快递：暂不支持指定快递。8.关于售后：若收到的书籍有问题，可优先联系我处理哦。书发出后，因为客户原因取消，需要承担快递费，二手书利润低不讲价，谢谢理解！【书名】三十六骑【出版社】文化发展出版社有限公司【作者】念远怀人, 著【ISBN编码】9787514221855",9.57,广东,0,https://www.goofish.com/item?id=849506983867&categoryId=127838003
小学生快乐读书吧1-6年级必读书目 【小学1-6年级语文快乐读书吧指定书目】一年级上册：《和大人一起读》一年级下册：《读读童谣和儿歌》二年级上册：《孤独的小螃蟹》《歪脑袋木头桩》《一只想飞的猫》《小狗的小房子》二年级下册：《七色花》《神笔马良》《愿望的实现》《一起长大的玩具》三年级上册：《稻草人》《格林童话》《安徒生童话》三年级下册：《中国古代寓言》《伊索寓言》《克雷洛夫寓言》四年级上册：《山海经》《希腊故事与英雄说》《中国古代神话故事》四年级下册：《十万个为什么》《我们的地球》《灰尘的旅行》《人类起源的演化过程》五年级上册：《非洲民间故事》《列娜狐的故事》《一千零一夜》《中国民间故事》五年级下册：《西游记》《红楼梦》《三国演义》《水浒传》（少儿版）六年级上册：《爱的教育》《童年》《小英雄雨来》六年级下册：《爱丽丝漫游奇境》《鲁滨逊漂流记》《尼尔斯骑鹅旅行记》《汤姆索亚历险记》可以网盘听，也可以下载到平板、音频播放设备、电脑、手机等等里面去听。,1.0,河南,143,https://www.goofish.com/item?id=886143116863&categoryId=202036301
【拍下秒发】 [红圆]【所有商品内容不一定全，请您看清楚，毕竟价格在那里，别拍下之后说这缺那缺找我退货，这种直接关小黑屋。可以找我要目录，问详情。不退不换，谢谢。】小学生快乐读书吧1-6年级 音频＋PDF快乐读书吧统编版教材指定必读书目39部朗读原著音频+PDF电子版和大人一起读！具体年份无法确定，一切以目录为准！[hot]带音频带音频带音频，注意分辨哈 [火]小学1-6年级语文快乐读书吧指定书目一年级上册：《和大人一起读》一年级下册：《读读童谣和儿歌》二年级上册：《孤独的小螃蟹》《歪脑袋木头桩》《一只想飞的猫》《小狗的小房子》二年级下册：《七色花》《神笔马良》《愿望的实现》《一起长大的玩具》三年级上册：《稻草人》《格林童话》《安徒生童话》三年级下册：《中国古代寓言》《伊索寓言》《克雷洛夫寓言》诚四年级上册：《山海经》《希腊故事与英雄说》《中国古代神话故事》信四年级下册：《十万个为什么》《我们的地球》《灰尘的旅行》《人类起源的演化过程》五年级上册：《非洲民间故事》《列娜狐的故事》《一千零一夜》《中国民间故事》五年级下册：《西游记》《红楼梦》《三国演义》《水浒传》（少儿版）六年级上册：《爱的教育》《童年》《小英雄雨来》六年级下册：《爱丽丝漫游奇境》《鲁滨逊漂流记》《尼尔斯骑鹅旅行记》《汤姆索亚历险记》[hot]可以网盘听，也可以下载到平板、音频播放设备、电脑、手机等等里面去听。[灯泡]看好直接拍下，永久可听。[红旗]百度网盘发货，虚拟物品发货后不可退换，感谢理解。,1.66,湖北,0,https://www.goofish.com/item?id=964233553898&categoryId=202036301
【正版新书】 三十六骑全2册 文化发展出版社 念远怀人著 编码：RT9235481书名：三十六骑(全2册)ISBN：9787514221855作者：念远怀人著编者：出版社：文化发展出版社出版日期：2017-04包册数：字数：null页数：736开本：16开装帧类型：定价：90.00默认当天发货，特殊情况除外，全国包邮（除新疆西藏）,25.29,河北,0,https://www.goofish.com/item?id=954355613522&categoryId=201544601
店铺热销新版无删减内容雪中悍刀行1-20全套任选  烽火戏诸 侯 武侠小说雪中悍刀行新版1-5￥33雪中悍刀行新版6-10￥34雪中悍刀行新版11-15￥34雪中悍刀行新版16-20￥34雪中悍刀行新版1-20  118元烽火戏诸侯笔下的《雪中悍刀行》，二十册书就是二十程风雪，从北凉王府的红墙到武帝城的惊涛，从江南的烟雨到北莽的荒原，每一页都藏着能让人心头发烫的江湖气。 你会遇见徐凤年——那个被笑“草包”的世子，却揣着一把刀、一颗心，在江湖里滚过泥、受过伤，从胭脂郡的温软乡走到北境的冰原，护着三十万铁骑的脊梁，也护着那些藏在刀光里的温柔：老黄剑匣里的六柄剑，是陪少爷看遍江湖的约定；李淳罡低头抚过的绿袍，是藏了一辈子的亏欠；洪洗象骑鹤下江南时的那句“等我”，是为一人逆了天道的执着。,33.0,安徽,0,https://www.goofish.com/item?id=964988994839&categoryId=127838003
《四镇三关志》明 刘效祖撰，成书于万历四年003《四镇三关志 》明 刘效祖撰，成书于万历四年（1576）《四镇三关志》是研究明代蓟镇、辽东镇、昌平镇、真保镇长城边墙边堡的重要文献史料。刘效祖撰，十卷。纂于万历二年(1574)，成书于万历四年。是明代一部重要的关于北部边关志书，记述了蓟州、昌平、真保、辽东四镇和居庸关、紫荆关和山海关三关的地理形势、历史沿革、建置制度。对四镇三关的军队编建、兵器配置等有详细记载，四镇之内的主要城关、堡、台的修筑年代、沿革、数量、规模、位置、形势等也有简要记载。绘制了明代四镇边墙边堡防御体系的布局，辑录了上百通正德至万历年间相关的诏令、敕书、题奏和集议。对研究明朝军事史、长城史和民族关系史，具有重大的价值。《四镇三关志》目录纂修边志檄文修志姓氏凡例四镇三关志卷之一 建置考四镇三关志卷之二 形胜考四镇三关志卷之三 军旅考四镇三关志卷之四 粮饷考四镇三关志卷之五 骑乘考四镇三关志卷之六 经略考四镇三关志卷之七 制疏考四镇三关志卷之八 职官考四镇三关志卷之九 才贤考四镇三关志卷之十 夷部考电子资料686M  PDF版本1100余页码[提示]：电子资料，非实物不邮寄！24小时网盘自动发货，不用问是否在，直接拍下付款就行。*非实物电子资料，一经发出，不支持任何理由退款，成年人都应该能理解吧。本资料为本人收集的明长城古籍文献，收取微薄费用只是为了支持本人的长城研究，欢迎长城爱好者留言加关注交流。,4.98,北京,5,https://www.goofish.com/item?id=921421223857&categoryId=202036301
全套2册三十六骑上下册 念远怀人著人民文学出版社 同名动漫小 说书籍武侠历史东汉西域匈奴时期36位英侠的热血探险,30.0,江苏,3,https://www.goofish.com/item?id=867975106497&categoryId=127838003
出售快乐读书吧系列书籍 有三年级《安徒生童话》《格林童话》《稻草人》《中国古代寓言故事》以及《四维阅读》 四年级《灰尘的旅行》《十万个为什么》《宝葫芦的秘密》 六年级《爱的教育》《鲁滨逊漂流记》《城南旧事》《骑鹅旅行记》《爱丽丝漫游奇境》等经典读物。 书籍状态...,4.0,湖南,0,https://www.goofish.com/item?id=891999660721&categoryId=127838003
打包五本以上包邮 也可任挑一本或几本和其他整套出的一起买 一 本6元《影响孩子一生的300首经典唐诗》《汤姆·索亚历险记》《八十天环游地球》《探索与发现》《培养孩子持久的竞争力》《写给孩子的天文启蒙书》《非洲民间故事》《骑鹅旅行记》《茶馆》《简·爱》《智力开发大百科》《高分高能方略》等经典读物。书籍保存完好，9.5成新 轻微使用痕迹。商丘市区同城自提，外地运费自理。需要的抓紧联系！一五六一七零三六二八八 智力开发大百科,5.0,河南,0,https://www.goofish.com/item?id=964749479525&categoryId=127838003
