标题,价格(元),所在地,想要人数,商品URL
2册用思维导图读懂儿童心理学+搞定难搞的孩子 家庭教育书籍⑧ 父母不焦虑孩子更懂事 全面实用专业科学的教养大辞典 父母教育孩子全新全新用思维导图读懂儿童心理学搞定难搞的孩子两本一套非偏远地区包邮需要的直接拍让孩子在故事中编织自己的梦想，像小鸟一样，怀揣希望，朝着远方展翅飞翔。,13.5,福建,0,https://www.goofish.com/item?id=967479364001&categoryId=201459411
【全新正版】儿童漫画趣味百科心理学时间管理安全保护小学生科普 启蒙书籍正版[火]爆款推荐，启蒙漫画书籍[火]这是一本用心著作，儿童能看懂的漫画启蒙书[火]孩子从小全方位培养离不开启蒙指导[蓝圆]封面图看对应书籍[绿圆]儿童趣闻百科启蒙书种类【安全保护启蒙书】【时间管理启蒙书】【心理学启蒙书】【地理启蒙书】【女孩成长启蒙书】【男孩成长启蒙书】【社交启蒙书】【经济学启蒙书】【生命科学启蒙书】【历史启蒙书】【健康启蒙书】【身体启蒙书】【自控力启蒙书】【语文启蒙书】【数学启蒙书】【物理启蒙书】【化学启蒙书】【规矩礼仪启蒙书】【学习力启蒙书】【儿童趣味百科漫画版】[超便宜]价格任意单本 9.8任意两本 18.8任意三本 26.8[绿圆]多本组合可以随意搭配，下单备注或发给客服[红圆]【温馨提示】✅本店所售均为全新正版✅支持七天无理由退货，但运费由买家承担✅如果商品发货后申请退货，需支付4元运费✅收到如果有质量问题，请拍照联系客服处理✅无特殊情况24小时内发货，非偏远地区包邮让孩子在故事中编织自己的梦想，像小鸟一样，怀揣希望，朝着远方展翅飞翔。,9.8,山西,0,https://www.goofish.com/item?id=967478852854&categoryId=201459411
Java程序设计概念美凯·霍斯特曼CayHorstmann著;林琪机械工业 店内图书均为正版二手书，择优发货品相大多在7-9成品，均回收自大学当天下单尽量发出，开学季两天左右发出除新疆西藏等偏远地区其他都包邮，具体请联系客服基本信息书名:Java程序设计概念对象先行原书第8版定价:119.0元作者:凯·霍斯特曼 (Cay Horstmann)出版社:机械工业出版社出版日期:2018-5-1ISBN:9787111593669页码:621商品重量:暂无页数信息编辑推荐暂无信息 内容提要 这是一本关于Java和计算机编程的入门教材，书中重点关注基础知识，并强调如何有效地学习。本书共分三部分。部分（第1～7章）是基础知识，首先简要介绍了计算机科学和Java编程，展示了如何管理预定义的类以及如何根据给定的规范定义类，之后讲解了基本数据类型、分支、循环和数组；第二部分（第8～12章）讲解面向对象设计，包括类的设计、继承和多态、接口、异常处理和基本文件输入/输出，以及两个重要的案例研究；第三部分是在线内容，讲解了数据结构与算法，具体包括递归、排序和查找、链表、集合、映射、栈和队列。本书非常适合作为计算机科学家、工程师和其他学科学生的本编程教材。 目录出版者的话译者序前言学习辅助手段介绍致谢特色内容第一部分基础知识第1章引言21.1计算机程序21.2计算机剖析3计算与社会1.1计算机无处不在41.3Java编程语言51.4熟悉你的编程环境7编程技巧1.1备份副本101.5分析你的第一个程序10常见错误1.1缺少分号131.6错误14常见错误1.2单词拼写错误151.7解决问题：算法设计151.7.1算法概念161.7.2解决一个投zi问题的算法161.7.3伪代码171.7.4从算法到程序18操作指南1.1用伪代码描述算法19实用示例1.1编写一个铺地板瓷砖的算法21第2章使用对象312.1对象和类312.1.1使用对象322.1.2类322.2变量332.2.1变量声明332.2.2类型352.2.3名352.2.4注释362.2.5赋值37常见错误2.1使用未声明或未初始化的变量39常见错误2.2混淆变量声明和赋值语句39编程技巧2.1选择描述xing的变量名392.3调用方法402.3.1类的公共接口402.3.2方法参数402.3.3返回值422.3.4方法声明43编程技巧2.2通过尝试来学习442.4构造对象45常见错误2.3试图如调用方法一样调用构造函数472.5访问器和修改器方法472.6API文档482.6.1浏览API文档492.6.2包50编程技巧2.3不要强记，使用在线帮助512.7实现一个测试程序51专题2.1在交互环境中测试类53实用示例2.1你活了多少天？54实用示例2.2处理图片542.8对象引用54计算与社会2.1计算机垄断572.9图形应用572.9.1帧窗口582.9.2在组件上绘制592.9.3在帧窗口中显示组件612.10椭圆、线、文本和颜色622.10.1椭圆和圆632.10.2线632.10.3绘制文本642.10.4颜色64第3章实现类783.1实例变量和封装783.1.1实例变量783.1.2Counter类的方法803.1.3封装803.2指定类的公共接口823.2.1指定方法823.2.2指定构造函数833.2.3使用公共接口853.2.4为公共接口加注释85常见错误3.1将构造函数声明为void88编程技巧3.1javadoc工具883.3提供类实现893.3.1提供实例变量893.3.2提供构造函数893.3.3提供方法91常见错误3.2忽略参数变量93操作指南3.1实现一个类94实用示例3.1建立一个简单的菜单973.4单元测试98计算与社会3.1电子投票机993.5解决问题：跟踪对象1003.6局部变量102常见错误3.3在局部变量中重复实例变量103常见错误3.4提供不必要的实例变量104常见错误3.5忘记在构造函数中初始化对象引用1053.7this引用105专题3.1从一个构造函数调用另一个构造函数1083.8图形类108操作指南3.2绘制图形112第4章基本数据类型1274.1数字1274.1.1数字类型1274.1.2常量129专题4.1大数134编程技巧4.1不要使用魔法数1344.2算术运算1354.2.1算术操作符1354.2.2自增和自减1354.2.3整除和求余1354.2.4幂和平方根1364.2.5浮点数转换为整数138常见错误4.1意外的整除139常见错误4.2小括号不匹配140编程技巧4.2表达式中的空格140Java8说明4.1避免负余数140专题4.2结合赋值和算术运算141专题4.3实例方法和静态方法141计算与社会4.1奔腾处理器的浮点数bug1414.3输入和输出1434.3.1读取输入1434.3.2格式化输出144操作指南4.1完成计算147实用示例4.1计算金字塔的体积和表面积1504.4解决问题：先手动完成150实用示例4.2计算旅行时间1524.5字符串1524.5.1String类型1524.5.2字符串连接1534.5.3字符串输入1544.5.4转义序列1544.5.5字符串和字符1544.5.6子串155编程技巧4.3阅读异常报告157专题4.4使用对话框提供输入和输出158计算与社会4.2国际字母表和Unicode158第5章判断1745.1if语句174编程技巧5.1大括号布局177编程技巧5.2总是使用大括号178常见错误5.1if条件后有分号178编程技巧5.3制表符178专题5.1条件操作符179编程技巧5.4避免不同分支中重复1795.2比较值1805.2.1关系操作符1805.2.2比较浮点数1815.2.3比较字符串1825.2.4比较对象1835.2.5测试null184常见错误5.2使用==比较字符串185操作指南5.1实现一个if语句186实用示例5.1抽取中间字符188计算与社会5.1丹佛机场的行李处理系统1885.3多个候选条件189专题5.2switch语句1925.4嵌套分支193编程技巧5.5手动跟踪196常见错误5.3空悬else问题197专题5.3块作用域198专题5.4枚举类型1995.5解决问题：流程图2005.6解决问题：选择测试用例202编程技巧5.6制订计划并为意料外的问题留出时间204专题5.5记录日志2055.7布尔变量和操作符205常见错误5.4结合多个关系操作符208常见错误5.5混淆&&和||条件209专题56布尔操作符的短路计算209专题5.7德·摩根定律2105.8应用：输入验证211计算与社会5.2人工智能213第6章循环2336.1while循环233常见错误6.1不要想“我们到了吗？”239常见错误6.2无限循环239常见错误6.3差一错误2406.2解决问题：手动跟踪241计算与社会6.1数字盗版2446.3for循环245编程技巧6.1按其预期用途使用for循环250编程技巧6.2选择满足任务要求的循环边界251编程技巧6.3统计迭代251专题6.1for循环首部中声明的变量2526.4do循环253编程技巧6.4画出循环的流程图2546.5应用：处理卫哨值254专题6.2输入和输出重定向257专题6.3“半循环”问题258专题6.4break和continue语句2596.6解决问题：故事板2606.7常用循环算法2636.7.1求和与平均值2636.7.2匹配计数2636.7.3找到第一个匹配2646.7.4提示用户输入，直到找到匹配2656.7.5大值和小值2656.7.6比较相邻值265操作指南61写一个循环267实用示例6.1信用卡处理2706.8嵌套循环270实用示例6.2处理图像中的像素2736.9应用：随机数和仿真2736.9.1生成随机数2736.9.2蒙特卡罗方法2756.10使用调试器277操作指南6.2调试279实用示例6.3示例调试会话281计算与社会6.2第一个bug281第7章数组和数组列表3037.1数组3037.1.1声明和使用数组3037.1.2数组引用3067.1.3利用方法使用数组3077.1.4部分填充的数组307常见错误7.1边界错误309常见错误7.2未初始化和未填充的数组309编程技巧7.1对相关数据项的序列使用数组309编程技巧7.2将并行数组重组为对象数组310专题7.1参数数目可变的方法311计算与社会7.1计算机病毒3117.2增强的for循环3127.3常用数组算法7.3.1填充3147.3.2求和与平均值3147.3.3大值和小值3147.3.4元素分隔符3157.3.5线xing查找3157.3.6删除一个元素3167.3.7插入一个元素3167.3.8交换元素3177.3.9复制数组3187.3.10读取输入319常见错误7.3低估数据集的大小322专题7.2利用Java库排序3227.4解决问题：调整算法323操作指南77处理数组325实用示例7.1掷骰子3277.5解决问题：通过管理实体对象发现算法3277.6二维数组3307.6.1声明二维数组3317.6.2访问元素3327.6.3定位相邻元素3337.6.4访问行和列333实用示例72世界人口表336专题7.3行长度可变的二维数组336专题7.4多维数组3377.7数组列表3387.7.1声明和使用数组列表3387.7.2对数组列表使用增强的for循环3407.7.3复制数组列表3417.7.4包装器和自动装箱3417.7.5对数组列表使用数组算法3427.7.6在数组列表中存储输入值3437.7.7删除匹配元素3437.7.8在数组列表和数组间选择344常见错误7.4长度和大小346专题7.5钻石语法3467.8回归测试346编程技巧7.3批文件和Shel脚本349计算与社会7.2Therac—25事件349……第二部分面向对象设计作者介绍作者：（美国）凯·霍斯特曼（CayHorstmann）译者：林琪肖斌凯·霍斯特曼（CayHorstmann），圣何塞州立大学计算机科学系教授、Java的倡导者，经常在开发人员会议上发表演讲。他为专业程序员和计算机科学专业学生编写过数十本图书，包括Java领域有影响力和价值的著作之一《Java核心技术》《CoreJavafortheImpatient》《JavaSE8fortheReallyImpatient》和《ScalafortheImpatient》等。ISBN编号:9787111593669内文用纸材质:纯质纸出版时间:2018-05出版社名称:机械工业出版社是否是套装:否作者:凯·霍斯特曼 (Cay Horstmann)译者:暂无包册数:1开本:暂无书名:Java程序设计概念对象先行原书第8版正：副书名:Java程序设计概念对象先行原书第8版定价:119.0页数:621编者:暂无【书名】Java程序设计概念对象先行原书第8版【出版社】机械工业出版社【作者】凯·霍斯特曼 (Cay Horstmann)【ISBN编码】9787111593669,16.02,江苏,1602,https://www.goofish.com/item?id=967418880187&categoryId=127812005
【双盘秒发】儿童绘本1000本电子版书ppt不一样的卡梅拉宫 西达也鼠小弟凯迪克大奖学前绘本情绪管理垮客+百度网盘自动发货目录1不一样的卡梅拉10册2小熊和最好的爸爸7册3米菲8册4花格子大象艾玛10册5小兔汤姆成长的烦恼12册6官西达也8册7蹦蹦和跳跳系列10册8大卫香农系列4册9小马小熊系列4册10莫妮克无字书8册11牛皮兔彼得的危险书6册12斯凯瑞金色童书3册13嘻哈农场4册14青蛙弗洛格的成长故事12册15汉斯比尔系列5册16好居乐农场3册17彩红5册18芭贝柯尔麻烦系列4册19鼠小弟系列12册20日文原版绘本28册21日文民间故事11本22世界优秀科学图画书23本23找死的兔子爆笑2本24应彩云13本25贝贝熊10本26米莉茉莉37册27儿童性教育问答3本28雅诺什系列5本29布奇情而教育绘本19本30细鱼查上长预服系列3本31helloreader系列9本32阿罗系列7本33凯迪克大奖鸽子系列3本34我是中国的孩子系列4册35儿童情绪管理系列4本37启发绘本系列4本38低幼课件3本39小老鼠2本40小熊布迪系列6本41小袋袋系列4本42小摊宝宝系列15本43好友记系列2册44玛蒂娜第二辑6本45聪明豆绘本3本46女巫温妮系列5本47海豚绘本系列12册48玛蒂娜第一辑6本49入园准备系列4本50巴巴爸爸系列2本51艾特熊和塞娜鼠4本52小酷小玛认知系列2本53儿童情绪管理第二辑-4本54幸福的种子30本56学前绘本57末分类300本112本绘本集+112教案36五味太郎5册55十一只小猫系列6册,1.0,北京,0,https://www.goofish.com/item?id=967412412211&categoryId=202036301
【秒发】2023小学生必看纪录片合集，语文数学英语历史地理科 学全覆盖！内容超全：语文：美丽中国、汉字五千年、跟着书本去旅行、千古风流人物、2023中国诗词大会数学：数学的故事、数学荒岛历险记、数学漫步之旅、解码数学、被数学选中的人英语：Do you know、Our Planet、小鞋子、糟糕的历史、放牛班的春天历史：中国历史五千年、历史那些事、那年那兔那些事、中国通史、如果历史是一群喵地理：蓝色星球、地球脉动、美丽中国、冰冻星球、航拍中国科学：像乌鸦一样思考、我的牛顿教练、大科学实验、造物小百科、平博士密码学习好处：- 通过观看纪录片，让孩子了解世界，开阔视野- 帮助孩子更好地理解和掌握课本知识- 培养孩子的思维能力和科学素养使用说明：- 高清电子资料，标价即卖价- 手机电脑电视平板都能看- 内容永久免费使用温馨提示：- 资料整理不易，一经售出不退不换- 喜欢的可以直接拍下，自动发货轻松做小学生,6.8,湖北,0,https://www.goofish.com/item?id=966842712166&categoryId=202036301
单词逆袭计划！一对一带背，让你告别死记硬背，轻松攻克词汇关！ 还在为背单词发愁吗？明明花了大把时间，单词却像流水一样过眼就忘？别急，专为被单词“折磨”的你量身打造的一对一带背课程来啦！不管是小学启蒙、初高中应试，还是四六级、考研、雅思托福冲刺，在这里都能找到适合你的单词记忆方案，帮你趁暑假打一场漂亮的英语翻身仗！  为什么选我们？看这里就够了！ 超强师资，专业度拉满带背老师是妥妥的“单词记忆专家”！曾在知名线上带背机构担任教练，累计授课时长超1000小时，对不同年龄段、不同学习目标的单词记忆痛点了如指掌。课堂上从不搞枯燥说教，自带轻松愉快的授课风格，总能用巧妙的方式把单词变得生动有趣，让孩子在笑声中就把单词刻进脑子里，从此和“背单词痛苦”说拜拜～  全阶段覆盖，词库灵活选不管你是刚接触英语的小学生，需要夯实基础的初高中生，还是冲刺考试的大学生，或是准备出国留学的雅思托福考生，我们都能精准匹配！支持自带词库（比如学校课本、备考资料里的单词），也能根据你的水平和目标定制专属词库，拒绝“一刀切”，让每一分钟的背单词时间都用在刀刃上。 课程亮点：科学记忆+抗遗忘，效率翻倍 - 词根词缀记忆法：抓住单词“骨架”，帮你理清构词逻辑，记一个词根就能联想出一串单词，做到举一反三。- 趣味联想法：把抽象单词和生活场景、趣味故事挂钩，比如“ambulance（救护车）”记成“俺不能死，快叫救护车”，印象深刻到想忘都难。- 艾宾浩斯抗遗忘：课后不是结束！老师会根据遗忘曲线制定复习计划，定时带动复习，从当天巩固到周复盘，一步步帮你把短期记忆转化为长期记忆，单词记得牢，考试不慌神。 ✅ 选择我们的3大硬核理由 1. 性价比超高：老师自主招生，没有中间商赚差价，费用仅为线上英语机构的1/3！多报多优惠，花更少的钱享受到更专注的一对一服务，性价比直接拉满（具体费用可私信咨询，保证让你惊喜～）。2. 个性化定制：不搞“统一进度”！老师会先评估你的词汇量和薄弱点，量身定制背词计划，每天的任务清晰明确。而且会及时反馈学习情况，定时跟进进度，你的每一点进步都能被看见。3. 专治“没自制力”：担心自己坚持不下来？试课后直接附赠3次抗遗忘复习！老师会像朋友一样催你打卡、帮你复盘，就算是拖延症晚期，也能被“拽着”往前走。 暑假是弯道超车的黄金期，别让单词成为你的绊脚石！现在报名，随报随学，赶紧私信我预约试课，让我们一起把单词“拿下”，开学惊艳人～ 名额有限，先到先得哦！,19.9,河南,1,https://www.goofish.com/item?id=966832545659&categoryId=201461105
（秒发）DK幼儿百科启蒙动画片！全48集视频！➕赠送高清PD F！DK幼儿百科启蒙动画片！全48集视频！➕赠送高清PDF！百科科学科普儿童启蒙早教科普科学知识电子版视频！DK幼儿百科全书动画版视频！[火]全集48集➕高清PDF！[绿圆]这本书涵盖了几乎所有“重要的事”，专门献给对世界充满好奇的小家伙们，满足孩子的“十万个为什么”！从《地球》《人类》《动物》《恐龙》四大主题出发，内容包罗万象，把枯燥难以理解的知识，像讲故事一样生动有趣的呈现在大家的面前。带孩子们越过山川，跨过河流，飞向外太空，去探索我们这颗神奇的星球，这个茫茫宇宙中我们唯一的家园！[闪亮]直接拍，百度wang盘～小刀的宝拍直接刀成，不需等待！售出不退不换哦～[比心][比心][比心]【资源使用须知】1. 本商品为[握手]在线教学指导服务[握手]，附赠学习参考资料包；  2. 资料包内容 [握手] 仅限个人学习使用[握手]，禁止传播/商用/倒卖；  3. 您确认购买即视为承诺：     - 已了解资料可能包含第三方公开内容；     - 如涉及版权争议，将 [握手] 自行承担主体责任[握手]  并及时停止使用；  4. 卖家不声明资料包版权归属，仅提供存储传输服务，相关问题请联系内容原作者。,3.68,湖北,0,https://www.goofish.com/item?id=966725936883&categoryId=202036301
#课外兴趣培养 130+套少年全科完结课！文史/科学/艺术/ 思维，广播剧+名校课，省万元报班费 课程覆盖3大核心板块：文史启蒙：广播剧《三国》《封神演义》、少年中国史/世界史、诸子百家…把历史讲成故事，孩子听得入迷；学科提升：数学进阶练习（Level1-4）、作文通关、英语语法、科学思维课…名校导师设计，针对性提分；兴趣拓展：刘慈欣科幻、宇宙探秘、50位艺术大师、编程思维…培养未来竞争力！3大核心优势：	1.	全完结，不踩坑：每套课程无缺失，手机/平板随时学，碎片时间高效利用；	2.	趣味化，孩子爱学：广播剧、动画实验课、侦探小说精讲…学习像“追剧”一样上瘾；	3.	性价比王炸：外面一节编程课≈这里10套课，一次拥有全科资源，省万元报班费！适合谁？✔️ 小学/初中家长，想给孩子全科启蒙/进阶；✔️ 想培养孩子文史底蕴、科学思维的家庭；✔️ 没时间筛资源，想要一站式学习包的忙碌家长。帮孩子把“被动学”变“主动追课”，悄悄拉开差距~,18.8,浙江,2,https://www.goofish.com/item?id=966633344230&categoryId=201454319
地球不能没有大象，山东教育出版社出版的科普读物！大象的耳朵像 扇子一样大，能遮住太阳，还能用来扇风降温。大象的鼻子特别长，能用来喝水、吃树叶。这本书图文并茂，介绍了大象的生活习性和生理特征，让孩子了解大自然的奇妙。全新正版，喜欢的朋友赶快下单吧！地球不能没有大象地球不能没有大象地球不能没有动物系列新华书店,6.0,山东,0,https://www.goofish.com/item?id=966618936662&categoryId=127832004
合小学生观看的30部全科高分纪录片 从小给孩子看纪录片，思维和格局都会不一样！通过看纪录片拓宽视野，让孩子更容易掌握知识。今天给大家整理了30部，央视推荐给小学生的纪录片，赶紧带孩子在空闲的时候刷起来吧！语文1.《美丽中国》2.《汉字宫》3.《跟着书本去旅行》4.《千古风流人物》5.《2023中国诗词大会》数学1.《数学的故事》2.《数学荒岛历险记》3.《数学漫步之旅》4.《解码数学》5.《被数学选中的人》1.《英国史》2.《 Our Planet 》3.《坐着火车游欧洲》4.《糟糕的历史》5.《植物王国》历史1.《中国历史五千年》2.《历史那些事》3.《那年那兔那些事》4.《中国通史》5.《如果历史是一群喵》物理1.《蓝色星球》2.《地球脉动》3.《美丽中国》4.《冰冻星球》5.《航拍中国》科学1.《像乌鸦一样思考》2.《我的牛顿教练》3.《科学实验》4.《造物小百科》5.《平博士密码》注:1、（电子资料非实物）阿里/百度云盘 选一个发2、内容永久免费使用，手机电脑电视平板都可以用3、资料精心整理不易感谢支持，如果其他需求也可以已联系4、资料具有可复制性，一经售出，概不退货感谢支持,6.66,广西,0,https://www.goofish.com/item?id=966565304528&categoryId=126864808
