标题,价格(元),所在地,想要人数,商品URL
不白吃古诗词漫游记动画片，第一季全集45话！！！！[火][火 ] 感兴趣的话点“我想要”和我私聊吧～,1.0,黑龙江,0,https://www.goofish.com/item?id=769524717232&categoryId=126864808
【清仓处理】正版《不白吃古诗词漫游记第一季+第二季》全6册， 68包邮！不议价！喜欢直接拍！   领略故事背后的万般情感，诗人跌宕起伏的精彩人生。从此告别死记硬背，真正读懂诗词之美。,68.0,北京,138,https://www.goofish.com/item?id=864073485378&categoryId=201459411
我是不白吃视频九百多集［自动发货］ [红旗][闪亮]合集打包1、我是不白吃纯享篇              音频2、不白吃美食冷知识九百多集   视频3、不白吃山海经第一(视频+音频）、二季   视频4、不白吃美食冷知识 音频5、不白吃的食神之旅 视频6、不白吃漫画苏东坡传 音频7、不白吃古诗词  视频8、不白吃古诗词漫游记第一季9、不白吃古诗词漫游记第二季[钉子][绿圆]【高清41集】不白吃系列山海经41集高清动画视频+音频秒懂山海经神话传说奇珍异兽[上]大家都知道《山海经》里包含了天文、地理、神话、植物、矿产等诸多内容。想让年幼的宝宝提前感受一下《山海经》的魅力，当然是选不白吃系列！[左]用动画的形式，搞怪接地气的故事，让孩子了解中国传统神话、奇珍异兽，感受山川河岳的美好。[右]而且这个动画有一个好处是，他是按地理位置+特色神兽+神兽能力这样来安排的。还可以根据动画内容，把山海经的大致位置画出来，让孩子有更直观的理解。不白吃系列真的很赞【24小时自动发货】，标价就是套餐卖价，图片上显示的目录都有，需要的直接拍！素材文件通过摆渡网盘发送，可以用手机/平板/电脑在线直接听和观看，也可以下载到mp3故事机里面播放！,2.66,北京,56,https://www.goofish.com/item?id=947306709158&categoryId=202036301
《不白吃古诗词漫游记第一季过目不忘3册+第二季家喻户晓3册》 我是不白吃告别死记硬背读懂古诗词之美,19.0,河北,56,https://www.goofish.com/item?id=885185260068&categoryId=201459411
秒发秒发【更至970集】 持续更新，不白吃美食冷知识视频（竖版）需要的，可直接拍下，秒发百度网盘，网盘内容有7天有效期，请尽快转存或下载。不白吃系列真的很赞，我都现在集齐了：《不白吃话山海经》《不白吃古诗词漫游记第一季》《不白吃古诗词漫游记第二季》《我是不白吃美食冷知识》需要其他产品的直接在主页拍就可以，都是秒发的哈！网盘内容易复制，发送网盘链接后，不接受退款。,5.0,山东,0,https://www.goofish.com/item?id=848371771202&categoryId=202036301
《不白吃古诗词漫游记第一季》全3册，领略故事背后的万般情感， 诗人跌宕起伏的精彩人生。从此告别死记硬背，真正读懂诗词之美。不白吃古诗词漫游记,24.0,江苏,1,https://www.goofish.com/item?id=950108469132&categoryId=127838003
不白吃古诗词漫游记视频第一季全45集【秒发】 之前发不白吃话山海经的时候，有家长问我还有没不白吃其他系列，所以，我就找来啦~  这次是古诗词，有两季，这是第一季，主页还有第二季，直接拍，都秒发哈~  不白吃系列很赞！拍下一定不会后悔~如果你想了解更多关于语文或者英语启蒙，欢迎留言~...,4.88,广东,9,https://www.goofish.com/item?id=842409399416&categoryId=202036301
我是不白吃系列，不白吃古诗词漫游记 好看到停不下来，在哈哈中领略古诗背后的万般情感，诗人跌宕起伏的精彩人生 第一季3本   19.9元包邮 第二季3本   19.9元包邮 第一季和第二季6本，38元包邮 超高品质，纸张厚，印刷清晰，带书签，内页都是实拍，看好详情直接下单 ...,19.9,河北,60,https://www.goofish.com/item?id=857547974027&categoryId=202029302
《不白吃古诗词漫游记第一季+第二季》全6册 全新包邮 【售后问题】：有问题第一时间联系，非质量问题不退不换。如有问题一定保留好快递面单及快递包装快递揽收后申请退款需支付发货费用，谢谢理解！❤️❤️高品版❗️图片都是实拍，完美主义者，追求旗舰店那种几百块钱一套品质的勿拍❗️❗️❗️❗️上架图书有限，基本市面上有的书籍都有货，可以点击我想要联系咨询,37.0,上海,10,https://www.goofish.com/item?id=950587642621&categoryId=201459411
不白吃古诗词漫游记视频第一季全45集【秒发】 之前发不白吃话山海经的时候，有家长问我还有没不白吃其他系列，所以，我就找来啦~  这次是古诗词，有两季，这是第一季，主页还有第二季，直接拍，都秒发哈~  不白吃系列很赞！拍下一定不会后悔~如果你想了解更多关于语文或者英语启蒙，欢迎留言~...,4.5,山东,3,https://www.goofish.com/item?id=848779037285&categoryId=126864808
【搬家闲置】正版全新《不白吃古诗词漫游记第一季+第二季》全6 册，68包邮！不议价！喜欢直接拍！,68.0,北京,88,https://www.goofish.com/item?id=952929458627&categoryId=201459411
我是不白吃视频大合集，美食冷知识980集，持续更新，，发百度 网盘1、不白吃美食冷知识980集（竖屏视频）2、不白吃山海经一季（视频＋音频）3、不白吃山海经二季（视频）4、不白吃的食神之旅（视频）5、不白吃古诗词（视频＋音频）6、不白吃古诗词漫游记一季爆笑科普（音频）7、不白吃古诗词漫游记二季爆笑科普（音频）8、不白吃的食神之旅（音频）9、不自吃漫画苏东坡传（跨越近干年，与苏轼交个朋友）（音频）10、我是不白吃！美食冷知识！爆笑科普665集（音频）11、我是不白吃 日常篇 第五六七八季爆笑科普（音頻）12、我是不白吃【纯享篇】（音频）13、不白吃漫画食物简史 电子书本店是虚拟产品，一旦发货，商品已经被分享过，具有可复制，不支持退货！有什么问题直接留言，客服看到会尽快回复您！,3.88,河南,12,https://www.goofish.com/item?id=954786051585&categoryId=202036301
不白吃古诗词漫游记动画片，第一季全集，共41集，感兴趣的话点 “我想要”和我私聊吧～ 分类:动画。不白吃系列中的经典之作，通过生动有趣的动画形式，带你走进古诗词的世界。本资源为电子资源，付款后不支持退换哦，感谢理解。,1.0,黑龙江,0,https://www.goofish.com/item?id=768913188637&categoryId=126864807
我是不白吃美食冷知识食神之旅视频音频持续更新 合集打包 1、不白吃美食冷知识940集（视频） 2、不白吃山海经第一季（视频＋音频） 3、不白吃山海经第二季（视频＋音频） 4、不白吃的食神之旅（视频） 5、不白吃古诗词（视频＋音频） 6、不白吃古诗词漫游记第一季爆笑科普（音频） 7、...,3.88,广东,9999,https://www.goofish.com/item?id=953841747684&categoryId=202036301
家里闲置一套正版不白吃古诗词漫游记第一季+第二季全6册，68 包邮！不议价！喜欢直接拍！,68.0,北京,88,https://www.goofish.com/item?id=837679136062&categoryId=201459411
不白吃古诗词漫游记全两季6册，全新包邮 漫画形式讲解古诗词，图文并茂超有趣 适合小学生阅读，告别死记硬背，轻松记住诗词名篇 特点： - 漫画讲解古诗词，趣味性强 - 内容生动有趣，孩子爱看 - 适合小学生课外阅读 - 全新未拆封，印刷清晰 价格： 第一季3册 价格32 第二季3...,32.0,上海,19,https://www.goofish.com/item?id=950812156516&categoryId=201459411
【超划算】我是不白吃视频 900 集，百度网盘自动发，合集打 包，让你一次拥有超多精彩！​内容清单如下：​1、不白吃美食冷知识（视频900集）2、不白吃山海经第一季（视频+音频）3、不白吃山海经第二季（视频+音频）4、不白吃的食神之旅（视频）5、不白吃古诗词（视频+音频）6、《不白吃古诗词漫游记》第一季爆笑科普（音频）7、《不白吃古诗词漫游记》第二季爆笑科普（音频）8、不白吃的食神之旅（音频）9、不白吃漫画苏东坡传（跨越近千年，与苏轼交个朋友）音频10、我是不白吃 ! 美食冷知识 ! 爆笑科普（音频）11、我是不白吃 日常篇 第五季爆笑科普（音频）12、我是不白吃 日常篇 第六季爆笑科普13、我是不白吃 日常篇 第七季爆笑科普14、我是不白吃日常篇第八季爆笑科普15、我是不白吃【纯享篇】[钉子][钉子][钉子]24 小时自动发货，标价就是套餐卖价，图片上的目录内容全都有，需要的直接拍下即可！,2.88,天津,0,https://www.goofish.com/item?id=966029545756&categoryId=126864808
我是不白吃视频大合集，美食冷知识980集，持续更新，，发百度 网盘1、不白吃美食冷知识980集（竖屏视频）2、不白吃山海经一季（视频＋音频）3、不白吃山海经二季（视频）4、不白吃的食神之旅（视频）5、不白吃古诗词（视频＋音频）6、不白吃古诗词漫游记一季爆笑科普（音频）7、不白吃古诗词漫游记二季爆笑科普（音频）8、不白吃的食神之旅（音频）9、不自吃漫画苏东坡传（跨越近干年，与苏轼交个朋友）（音频）10、我是不白吃！美食冷知识！爆笑科普665集（音频）11、我是不白吃 日常篇 第五六七八季爆笑科普（音頻）12、我是不白吃【纯享篇】（音频）13、不白吃漫画食物简史 电子书本店是虚拟产品，一旦发货，商品已经被分享过，具有可复制，不支持退货！有什么问题直接留言，客服看到会尽快回复您！,2.68,广西,5,https://www.goofish.com/item?id=965753240365&categoryId=202036301
