标题,价格(元),所在地,想要人数,商品URL
水星MIPC332W-4  300万双光全彩半球摄像机    包邮 全新,100.0,东***谷,0,https://www.goofish.com/item?id=893616805073&categoryId=126856395
DyaTech北斗/GPS定位器DG09，9-90V宽电压， 带电压显示功能。功能完好，外观成色如图，有轻微使用痕迹。配,50.0,人***v,0,https://www.goofish.com/item?id=957175212658&categoryId=126860698
"专业金相磨抛、金相检测、成分检测、拉伸、硬度等性能检测 
设备齐全，重点设备均进口，可做：
试样切割、镶嵌、抛光
金相检",30.0,乘***7,1,https://www.goofish.com/item?id=965869301186&categoryId=201450811
高品质排插（奥格）16A全新未拆封，全铜国标。16孔一体地拖 插座（不带线），参数图片同等。一条18元包邮  （新疆  ,18.0,小***家,10,https://www.goofish.com/item?id=660735746769&categoryId=126856352
公牛 7kw 智联，客户仅用几次，需要自提  标价,1100.0,临***队,0,https://www.goofish.com/item?id=775287868181&categoryId=126856235
上门专业除甲醛服务，新装修除甲醛，新房除甲醛，办公室除甲醛， 幼儿园除甲醛，商场除甲醛，各种新装修室内净化除醛。 -﹣质,19.98,专***醛,14,https://www.goofish.com/item?id=786239255899&categoryId=201459712
锋宜刀具27VNR6.0TR TP04螺纹刀  感兴趣的话点“我想要”和我私聊吧～,35.0,金***具,55,https://www.goofish.com/item?id=895850865113&categoryId=126864402
洞洞鞋配饰  感兴趣的话点“我想要”和我私聊吧～,5.0,葱***球,1,https://www.goofish.com/item?id=921503323938&categoryId=126856654
DN50闸阀，非截止阀，全新70一个包邮！还有四个  感兴趣的话点“我想要”和我私聊吧～,60.0,乐***8,23,https://www.goofish.com/item?id=659721910968&categoryId=126864315
全新宝马3系机滤，空气滤芯，空调滤芯3件套 京东马勒官方采购  原价170不含安装，车卖了用不上了！,135.0,葡***6,0,https://www.goofish.com/item?id=902849745875&categoryId=126860783
东坝汇景苑华清池足疗卡，还有40次，每次60分钟，合一次40 不到，免费修脚，个人搬家走了，低价出,1500.0,V***0,0,https://www.goofish.com/item?id=927111643018&categoryId=201455412
风雅陶笛6孔中音c调六孔AC调长嘴色釉陶笛初学入门专业吹奏送 教材,52.0,双***9,0,https://www.goofish.com/item?id=923262582758&categoryId=126858914
佳能RS-60E3单反相机微单相机快门线 使用正常  二手闲 置物品转让给有需要的人 佳能 850D 800D 760D,6.0,正***店,4,https://www.goofish.com/item?id=791926126409&categoryId=126854057
欧洲 中古 橡木 角柜   尺寸：87*61*197.5  产地：欧洲  材料：橡木  年份：中古  简介：欧洲中古角柜,8800.0,堂***居,1,https://www.goofish.com/item?id=948770285994&categoryId=126866771
利亚纳油箱加油管原车  感兴趣的话点“我想要”和我私聊吧～,35.0,向***天,50,https://www.goofish.com/item?id=649535234116&categoryId=201456806
小金井在线精密过滤器PLF100-050-6W，日本原装，工 程剩余少量。 全新说明书包装完好的050，标价单价，量很多,5.18,很***家,0,https://www.goofish.com/item?id=956501810684&categoryId=201457304
小号嘴全新库存处理，镀银3C ，有需要的朋友拍售出不退  感兴趣的话点“我想要”和我私聊吧～,28.0,北***店,0,https://www.goofish.com/item?id=911655056667&categoryId=126858877
雪峰日本snow peak m200双层无柄钛杯户外茶杯水杯  日本进口雪峰钛双层无把手钛杯。 容量200ml. 表面外,175.0,钛***铺,17,https://www.goofish.com/item?id=655444306801&categoryId=126856757
豪爵GW250   DL250正时链条  小链条86元一条n ull,86.0,用***整,19,https://www.goofish.com/item?id=708221662555&categoryId=126860410
新鲜野生桐子叶现摘桐油果纯天然野生桐油子桐油包油性绿色果不能 食用 感兴趣的话点“我想要”和我私聊吧～,10.0,为***1,8,https://www.goofish.com/item?id=813322768800&categoryId=126920188
