标题,价格(元),所在地,想要人数,商品URL
【工程剩余】全新海湾HY6251吸顶广播喇叭3W扬声器！  工程剩余一个，全新未用过，原厂正品！ 数量有限，需要的赶紧联,5.5,t***v,9,https://www.goofish.com/item?id=902015517805&categoryId=126856444
26 、中医执业医师 满五年 需要的联系可做机构负责人可用于 开业，年审，升级，增加科室，有需要可以配合到场验证，不做法,59.9,茶***豆,5,https://www.goofish.com/item?id=939044625162&categoryId=201458513
路锥安全道路警示圆锥筒  感兴趣的话点“我想要”和我私聊吧～,5.0,皮***护,3,https://www.goofish.com/item?id=838709986297&categoryId=126864439
全新低价出白色塑料棒，直径7MM，一米长，结实耐用，适合各种 DIY项目。 白色塑料棒/实心圆棒/硬塑料条/直径7MM ,6.0,小***7,8,https://www.goofish.com/item?id=884790921081&categoryId=201453306
多功能开关电源检修神器 防短路维修 插座 带电流表 温度显示  正常使用 闲置 需要的来 二手物品 一概售出 不退不换 ,55.0,日***葵,0,https://www.goofish.com/item?id=962806797609&categoryId=126854210
专业外贸出口 韩国进口ABS材料 全盔，水上运动全盔，攀岩， 户外运动，水上救援。给你更安全的保护。 本产品均通过EN1,80.0,只***王,150,https://www.goofish.com/item?id=922706544968&categoryId=126912147
自己三文鱼店开鱼剩下来的三文鱼边角料！宠物营养神器。标价就是 卖价，一斤3元，自提或叫跑腿，费用自理，不邮寄，买几斤才1,3.0,钢***家,10,https://www.goofish.com/item?id=889242556019&categoryId=126912183
特级玫瑰花瓣，大片玫瑰花瓣完整  一把花瓣抓上来，没有碎瓣，花瓣没有裂痕，花瓣厚实，这种就是真的用人工从花冠上揪出来的花,50.0,平***产,90,https://www.goofish.com/item?id=662893591528&categoryId=126864730
全新空心砖，造景空心砖，规格19*19*19，39*19*1 9重量30斤一个，质量好需要点我想要跟我聊天吧,6.0,砾***石,6,https://www.goofish.com/item?id=945318437342&categoryId=126858174
更换护线管服务 15元全套 合能矩阵，李宁， 羽毛球拍穿线！  感兴趣的话点“我想要”和我私聊吧～线下服务！,15.0,异***浆,3,https://www.goofish.com/item?id=929889632922&categoryId=126866598
小米盒子，轻微使用痕迹  感兴趣的话点“我想要”和我私聊吧～,50.0,小***珠,199,https://www.goofish.com/item?id=929959980680&categoryId=126854143
铝型材40×40用的角码和紧固螺丝件大概20套  感兴趣的话点“我想要”和我私聊吧～,15.0,香***花,6,https://www.goofish.com/item?id=950820732875&categoryId=126858023
多多柠檬茶联动第五人格一箱饮料未开封  青柠味 茉莉味 各一箱，不含周边可自提，可小刀,50.0,喵***喵,0,https://www.goofish.com/item?id=939054014941&categoryId=201451025
开始接单，想要一个可以居家上班的工作，在家待业中，全天都可以 回复，有手机、电脑，欢迎各位老板录用，给个机会，谢谢。工资,6.68,可***伤,38,https://www.goofish.com/item?id=788178206154&categoryId=201776005
二荆条干辣椒，共2斤  感兴趣的话点“我想要”和我私聊吧～,30.0,y***u,3,https://www.goofish.com/item?id=931605724142&categoryId=201941602
EVA防滑垫，双色蓝底绿面表面处理鳄鱼纹➕直条，现货尺寸14 5x70cm，欢迎咨询！,80.0,E***销,90,https://www.goofish.com/item?id=706860058273&categoryId=126912065
"昆明V秀SHOW+KTV6瓶啤酒+干果拼盘套餐 
地址：西山区广福路南悦城购物中心9栋2层

任选时长6小时+啤酒6瓶+",32.8,天***券,2,https://www.goofish.com/item?id=960551822381&categoryId=201452215
加厚珠光膜气泡袋泡沫袋哑光膜快递打包装信封袋批发图书服装防震  淘宝店转型仓库有一些全新未拆封未使用的，加厚全新珠光膜气,65.0,用***_,0,https://www.goofish.com/item?id=955104614042&categoryId=126854425
离心机大小头滚筒  滚筒直径250-200mm 长度400mm 两头有配加厚超顺40mm内孔轴承 滤网为400目304不,212.0,微***商,299,https://www.goofish.com/item?id=950958000066&categoryId=201460005
全新50升商用鲜奶巴氏杀菌机，灭菌机，奶吧水果捞设备，牧场设 备  实力源头工厂精工细作，真一手货源，诚招代理  整机食,500.0,精***罐,6800,https://www.goofish.com/item?id=731012725077&categoryId=201450110
