标题,价格(元),所在地,想要人数,商品URL
俄罗斯品牌丽麗亚整颗大榛仁黑巧克力一块100g11.8元，一 盒10块装，一盒包邮哦！75%可可脂满满榛仁看得见，,12.8,海***产,10,https://www.goofish.com/item?id=750532953852&categoryId=201460523
地黄、野生地黄、自然生长的地黄、大自然的馈赠，吸收天地日月之 精华，生长在荒地山坡，营养价值丰富，比较细，20一斤.5斤,20.0,阻***户,0,https://www.goofish.com/item?id=927747740606&categoryId=201454418
快递三轮车处理不带电池  感兴趣的话点“我想要”和我私聊吧～,1100.0,安***菜,3,https://www.goofish.com/item?id=859502579351&categoryId=126856193
"宝得适双面骑士二代安全座椅，蓝色款，0-4岁可用，360度旋 转，轻微使用痕迹，九成新。

ISOFIX接口，带底座，宝",960.0,花***茶,3680,https://www.goofish.com/item?id=941623983148&categoryId=126864817
9️⃣盒儿童防龅牙呼吸贴已经过期了不介意的话就出，我感觉没啥 问题，日期是到25年3月28日，不介意的来吧，就是矫正的，,6.0,未***术,0,https://www.goofish.com/item?id=931413272568&categoryId=201459327
高仿真摄像头。  感兴趣的话点“我想要”和我私聊吧～,3.0,T***3,15,https://www.goofish.com/item?id=741536336297&categoryId=126856397
一号线坑口地铁站单间，需要直接联系  感兴趣的话点“我想要”和我私聊吧～,1000.0,坑***寓,6,https://www.goofish.com/item?id=640791325617&categoryId=201451511
"日产三木月牙扳手，型号HC32，日本制造。 
外观有正常使用痕迹，不影响使用效果。
适合专业维修使用，做工精细。
二手物",50.0,欲***器,0,https://www.goofish.com/item?id=964088469541&categoryId=127060010
金属悠悠球  感兴趣的话点“我想要”和我私聊吧～,5.0,摘***猩,0,https://www.goofish.com/item?id=936397000927&categoryId=126866267
苹果头戴式耳机 AirPods Max 原装二手 正品  感兴趣的话点“我想要”和我私聊吧～,1699.0,科***力,5,https://www.goofish.com/item?id=951032535528&categoryId=126864985
东元7200MA变频器面板JNEP-31（V）键盘编程操作器 ，二手原装正品拆机，功能包好。运费议价,95.0,奔***灞,0,https://www.goofish.com/item?id=716476521174&categoryId=127060004
非遗绒花绒排大剪刀自选  图2 羊毛大剪刀 48元 图3 轻便剪刀 10寸 15.8元 图4 文具长刃剪刀 12.8元 ,12.5,翟***工,10,https://www.goofish.com/item?id=713857769074&categoryId=126858670
当季东北山野菜刺五加刺花棒刺果棒时令绿色农家野菜凉拌菜焯水速 冻500g顺丰,29.9,金***食,1,https://www.goofish.com/item?id=915229595771&categoryId=201950201
莱维特249 pro 全新 实体店撤店  天津的小伙伴可以自 提  不退不换 谨慎下单,1295.0,小***蕾,2400,https://www.goofish.com/item?id=713921070934&categoryId=126864992
冰箱出售可正常使用，无划痕  感兴趣的话点“我想要”和我私聊吧～,200.0,道***枫,1,https://www.goofish.com/item?id=942359955352&categoryId=126856111
ck手表，泰国专柜买的，当时2500买的，现在1000转让  感兴趣的话点“我想要”和我私聊吧～,1000.0,阿***美,0,https://www.goofish.com/item?id=875653707063&categoryId=126916028
CAD制图工具套装 大学生可用 圆规三角尺铅笔削笔器透明胶带 等全套工具 功能都正常 成色很好 只有轻微使用痕迹 适合工,10.0,月***W,0,https://www.goofish.com/item?id=946047351509&categoryId=126862954
【已直出】岳光莲花牌    莲花牌项链  吊坠总重9.2 克 冰种  18K金镶嵌     标价入价  运费防拍,52.0,兔***诗,8,https://www.goofish.com/item?id=907596041640&categoryId=126862549
马利宝加勒比椰子朗姆酒700ML，基酒  感兴趣的话点“我想要”和我私聊吧～,78.0,w***8,4,https://www.goofish.com/item?id=788964042139&categoryId=201455616
贝亲婴儿鼻腔清洁镊子 新生儿宝宝鼻屎夹   镊头位置是圆形的并且有保护盖 安全又卫生 （2只）,20.0,小***店,2,https://www.goofish.com/item?id=919872322889&categoryId=126864911
