标题,价格(元),所在地,想要人数,商品URL
迪士尼动画电影大合集国语版，百度网盘发货，稀缺资源，所有迪士 尼动画电影都包含，全部都是超清级品质，直接拍不伤眼，可以自己看，也可以给孩子看，拍下后自动发货   包含钟楼怪人，圆梦巨人，亚当斯一家，小鹿斑比，小飞侠，仙女奇缘，泰山系列s史努比，狮子王，忍者神龟，奇幻森林，木偶奇遇记，猫狗大战，里约大冒...,2.8,福建,280,https://www.goofish.com/item?id=926734325165&categoryId=126864806
灵剑奇缘之御剑破天（买断版） 上线送20W代金券+1000钻石充值卡*100+1000元宝充值卡*100赠送海量道具：点券*200000+春秋*5+听羽*5+萌萌哒*5+萌星物语*5+紫虚龙君*5+逐日*5+金龙*5+龙之守护*5+龙腾盛世*5+未来战士*5+离子风暴*5+机甲头像*5+机甲气泡*5+黄金圣龙5+金天圣羽*5+小金龙*5+龙吟定天*5+破魔*5+皇图霸业*5+龙的传人*5+蚀天*5+八荒游龙*5+银龙圣翼*5+玄晶女君*5+御龙明珠*5+青霄*5+云烟细棉*5+戮力同舟*5+绿云清芳兰*5+碧艾木灵*5+轻枝阿紫鸣*5+沉魄*5+屈艳班香*5+风雨端阳*5+万花之主碎片*200+碧瑶仙女碎片*200+青玉幻兽*200+星域紫鳞*200+圣绝*200+死神碎片*200+将星天雷碎片*200+共工碎片*200+装备寻宝券*50+战纹寻宝券*50+觉醒寻宝券*50+至尊神豪全能大力丸*50+仙品普攻增伤大力丸*50虚拟商品，发货后不退不换,2.0,广东,8,https://www.goofish.com/item?id=937286641071&categoryId=201409706
舞儿芭蕾 共38part打包发 01 芭蕾基本功软度前腿、后腿、竖叉02 芭蕾舞蹈基本功腿部控制训练＿舞儿芭蕾03 芭蕾舞蹈基本功足踝训练（脚背）04 芭蕾基本功膝关节辅助训练05 芭蕾基本功颈部肩部腰部06 芭蕾舞蹈基本功踢腿爆发力训练附音乐﹣舞儿芭蕾07 芭蕾基本功小跳中跳大跳打击技巧分解教学＿舞儿芭蕾08 芭蕾基本功软度小胯、横叉、旁腿＿舞儿芭蕾09 芭蕾基本功训练把杆动作32种分解教学＿舞儿芭蕾10 芭蕾基本功十种连接分解教学＿舞儿芭蕾11芭蕾舞蹈核心稳定性功能性训练＿舞儿芭蕾12 芭蕾舞蹈开绷直辅助训练|舞儿芭蕾13 芭蕾旋转技巧分解教学（9种旋转）＿舞儿芭蕾14 零基础芭蕾旋转技巧教学双脚转和平转＿舞儿芭蕾15 零基础芭蕾足尖入门（初级）＿舞芭蕾16 舞蹈解剖学教学分解视频＿舞儿芭蕾17 芭蕾独舞《蓝鸟》基础版＿舞儿芭蕾18 芭蕾舞考级一级教学方法﹣﹣北京舞蹈学院＿舞儿芭蕾19 芭蕾舞考级二级教学方法适用学生跟练和老师教学20 北京舞蹈学院芭蕾舞考级三级教学方法分解21 芭蕾引导启发课程22 芭蕾外开辅助功能训练23 芭蕾舞蹈表现力天鹅臂、天鹅颈、天鹅背24 芭蕾舞蹈热身25 舞儿芭蕾﹣芭蕾独舞《樱桃萝卜》分解教学16课时26 15分钟学芭蕾独舞《艾斯米拉达》第一版27 第二版：芭蕾《艾斯米拉达》28 15分钟学芭蕾独舞《唐吉可德》29 芭蕾独舞《巴黎的火焰》分解教学30 芭蕾独舞《仙女娃娃》分解教学31 15分钟学芭蕾独舞《睡美人》32 芭蕾独舞《帕基塔》分解教学33 舞儿芭蕾﹣芭蕾独舞《葛蓓莉亚》分解教学﹣芭蕾独舞葛蓓莉亚34 舞儿芭蕾﹣芭蕾舞蹈群舞冰雪奇缘1分解教学原创﹣冰雪奇缘1教学35 舞儿芭蕾﹣芭蕾群舞《冰雪奇缘2》﹣群舞冰雪奇缘236 芭蕾《西班牙女郎》徐嘉阳37 芭蕾群舞（天鹅湖）38 芭蕾群舞（ D 大调卡农）送【380首】芭蕾舞基础训练音乐芭蕾钢琴伴奏基训【芭蕾舞者必备】所有资料仅个人分享，知识产权归作者所有如有侵权请联系删除,1.0,北京,0,https://www.goofish.com/item?id=964157963510&categoryId=201459411
迪士尼动画电影大合集国语版，百度网盘发货，稀缺资源，所有迪士 尼动画电影都包含，全部都是超清级品质，直接拍不伤眼，可以自己看，也可以给孩子看，拍下后不退换货，看好下单   包含钟楼怪人，圆梦巨人，亚当斯一家，小鹿斑比，小飞侠，仙女奇缘，泰山系列s史努比，狮子王，忍者神龟，奇幻森林，木偶奇遇记，猫狗大战...,2.18,山东,0,https://www.goofish.com/item?id=955309821207&categoryId=126864806
绝版Paco帕高Elle仙女奇缘女香5ml 全新正品Q版小香水5ml edp，有盒无喷头，小样无塑封。   都是自己收集的各种可爱美貌的Q，全新正品未用过，如有用过会注明。出坑回血，基本每款就一个没有多余。3个Q包邮非偏远。勿刀！勿刀！勿刀！,58.0,北京,0,https://www.goofish.com/item?id=765420576416&categoryId=126860278
仙女日常奇缘 感兴趣的话点“我想要”和我私聊吧～,300.0,北京,3,https://www.goofish.com/item?id=771963456926&categoryId=201459411
1981年《仙女奇缘》（上下）原名：儿女英雄传。八十年代原版 老书收藏，品好见图，保真保老，可收藏研究，最低价28包邮出售，喜欢的可直接拍。,28.0,河南,1,https://www.goofish.com/item?id=660550968717&categoryId=126862192
民国连环画《仙女奇缘》 封面彩色，内页套色，很有质感，极具民国印刷品高级气质，内容也同样精彩，价格不贵，大众消费,180.0,山东,1,https://www.goofish.com/item?id=932698233898&categoryId=126862193
仙女奇缘二美梦成真 特别完整制作 9新 播放流畅不卡顿，版本自鉴，有喜欢的朋友可以拍，包邮。售出概不退换 凡选购本小店二个单品以上，第二个单品再优惠5元。,29.9,广东,0,https://www.goofish.com/item?id=721667031750&categoryId=126864808
10元一本 10本包邮 73:爱跳舞的孩子 5本 74:小仙女闪闪的魔法故事 4本 75:迪士尼公主永恒经典故事（拼音版）8本 76:冰雪奇缘 珍爱双语绘本 6本 77:深见春夫 想的美 & 睡得香 系列 6本 78:迪士尼公主系列  8本 79:小学...,10.0,山东,1,https://www.goofish.com/item?id=952147403843&categoryId=127832004
灵剑奇缘之御剑破天（买断版） 上线送20W代金券+1000钻石充值卡*100+1000元宝充值卡*100赠送海量道具：点券*200000+春秋*5+听羽*5+萌萌哒*5+萌星物语*5+紫虚龙君*5+逐日*5+金龙*5+龙之守护*5+龙腾盛世*5+未来战士*5+离子风暴*5+机甲头像*5+机甲气泡*5+黄金圣龙5+金天圣羽*5+小金龙*5+龙吟定天*5+破魔*5+皇图霸业*5+龙的传人*5+蚀天*5+八荒游龙*5+银龙圣翼*5+玄晶女君*5+御龙明珠*5+青霄*5+云烟细棉*5+戮力同舟*5+绿云清芳兰*5+碧艾木灵*5+轻枝阿紫鸣*5+沉魄*5+屈艳班香*5+风雨端阳*5+万花之主碎片*200+碧瑶仙女碎片*200+青玉幻兽*200+星域紫鳞*200+圣绝*200+死神碎片*200+将星天雷碎片*200+共工碎片*200+装备寻宝券*50+战纹寻宝券*50+觉醒寻宝券*50+至尊神豪全能大力丸*50+仙品普攻增伤大力丸*50虚拟商品，发货后不退不换,2.0,广东,21,https://www.goofish.com/item?id=934189790638&categoryId=200928013
DVD电影《仙女奇缘之爱丽丝梦游仙境》 碟片非全新，闲置在家低价处理给有需要的有缘人，碟面保护的非常好，有轻微的划痕小花及使用痕迹，播放时偶尔出现卡顿或无法播放都不在退保范围内（所有碟片售出后不可以任何理由退或换货，介意勿拍 ，介意勿扰 ），需各位朋友看好再下单，谢谢。 售价:...,28.0,广东,0,https://www.goofish.com/item?id=809839131287&categoryId=126864806
