标题,价格(元),所在地,想要人数,商品URL
青黛 : 《伞少女梦谈》主题画集 全新仅出厂瑕，包邮，好说话，可小刀，可直拍 感兴趣的话点“我想要”和我私聊吧～,40.0,广东,0,https://www.goofish.com/item?id=871172564523&categoryId=202029302
青黛 : 《伞少女梦谈》主题画集 全新正版 《‌伞少女梦谈》‌主题画集讲述的是关于“寻找”和“救赎”的故事，‌主要围绕那些被主人疼爱珍惜的古代物件，‌拥有灵性后幻化成人形的主题展开。&z...,57.6,重庆,72,https://www.goofish.com/item?id=815265767701&categoryId=202029302
正版《伞少女梦谈》1-2册伞少女梦谈.2伞少女梦谈.1 感兴趣的话点“我想要”和我私聊吧～,69.0,湖南,0,https://www.goofish.com/item?id=946204248043&categoryId=202029302
青黛《伞少女梦谈》主题插画集 魏莹/绘 左小翎/编  全新正版未拆封青黛 : 《伞少女梦谈》主题画集,56.0,辽宁,0,https://www.goofish.com/item?id=885325541463&categoryId=202029302
（全新正品）Joyouth正版少女乐队的呐喊GBC周边折叠伞 雨伞晴雨两用痛伞官谷a版,89.99,广东,0,https://www.goofish.com/item?id=962172820288&categoryId=126858769
美少女伞 仅打开过两次拍照 可拍细节图 感兴趣的话点“我想要”和我私聊吧～,51.0,辽宁,1,https://www.goofish.com/item?id=963943955897&categoryId=126858769
伞少女梦谈2伞少女梦谈.2 感兴趣的话点“我想要”和我私聊吧～,45.0,河北,0,https://www.goofish.com/item?id=840972020792&categoryId=202029302
包邮出《青黛》魏莹 伞少女梦谈主题画集 工艺美术画集 全彩A 4大小 九成新画册 中国风彩图国漫原画集 一口价包邮直接拍不议价不退换。,59.0,浙江,0,https://www.goofish.com/item?id=758334845244&categoryId=126862312
[hot]南烟斋笔录&伞少女梦谈/首/带周边 PS：伞少女已出/还剩南烟斋笔录 [new]全新仅拆/双亲签/左小翎、壳小杀、魏莹 [cool]普快包邮/可拆可包/不议价/拍前请看“交易须知”。  [红旗]发货前会拍视频确认品相和打包细节图片，售出不退不换。南烟...,60.0,山东,0,https://www.goofish.com/item?id=774368163987&categoryId=202029302
出出伞少女 万物有灵系列立牌 青黛 墨阳白发 墨阳黑发 忘归 小剪子all收包非偏送镭射票4张标价为all收价 单价可私我问默认官瑕标价可直拍,100.0,浙江,0,https://www.goofish.com/item?id=966829349188&categoryId=202118809
