标题,价格(元),所在地,想要人数,商品URL
2025应急管理普法答题知识竞赛题库第六届应急普法竞赛 专业四年经验！淘宝销量遥遥领先！1.热身赛。2025年7月21日至7月31日，竞赛系统设计多种普法互动模块，各地区和各中央企业组织动员干部职工、社会公众积极参与，及时注册并登录学习，充分了解竞赛规则，熟悉竞赛题型。2.正式赛。2025年8月1日至8月20日，每人每天有3次答题机会，每次随机派发5题，答题成绩计入参赛成绩。付款后发操作步骤，两分钟学会，一分钟操作即可完成。后面只需要看答题分数即可，什么也不用操作。,8.0,安徽,0,https://www.goofish.com/item?id=950956056717&categoryId=202036301
"环境法案例教程 蔡守秋 复旦大学出版社 9787309066777 店内图书均为正版二手书，择优发货品相大多在7-9成品，均回收自大学当天下单尽量发出，开学季两天左右发出除新疆西藏等偏远地区其他都包邮，具体请联系客服基本信息书名:环境法案例教程定价:35.0元作者:蔡守秋出版社:复旦大学出版社出版日期:2009年07月01日ISBN:9787309066777页码:289商品重量:0.45编辑推荐暂无信息 内容提要 《环境法案例教程》是复旦大学博学法学系列中的一种,定位为本科生教材。本教材吸收了近十几年来我国环境资源法制建设的丰富经验与国内外环境资源法学研究的新理论研究成果和新案例,不少章节涉及我国环境资源法制建设的发展方向和环境资源法学研究的前沿领域。全书共有十二章、三个附录、近100个环境法案例,其主要内容包括:环境的概念与特点,环境资源问题与环境资源保护,环境法的发展概况,环境法的特点、目的与基本理念,环境法的基本原则,环境监督管理体制与监督管理制度,环境污染防治法,自然资源法,生态保护与建设法,公众参与环境保护管理的法律制度,环境行政责任,环境民事责任与环境民事纠纷的解决,环境刑事责任和国际环境法。本教材较好地体现了案例教学的特点,在全面介绍我国现行环境资源法律法规、环境资源法学基础知识的同时,结合现实需要突出了环境资源法实用知识的介绍,注重运用环境资源法学的基本理论解决实际问题能力的培养,注重培养适用法律的能力。本书可以作为普通高等学校法学专业的教科书,也可供其他专业选用和社会读者阅读。 目录第1章概论第一节环境的概念与特点第二节环境资源问题与环境资源保护第三节环境法的发展概况第2章环境法的特点、目的与基本理念第一节环境法的概念与特点第二节环境法的目的与作用第三节环境法的基本理念第3章环境法基本原则第一节经济、社会与环境协调发展的原则第二节预防为主、防治结合、综合治理的原则第三节环境责任原则第四节环境民主原则第4章环境监督管理体制与监督管理制度第一节环境监督管理体制和环境监督管理制度的分类第二节环境影响评价制度第三节“三同时”制度第四节环境许可制度第五节排污收费制度第六节环境监测与现场检查制度第七节突发环境事件应急制度第5章环境污染防治法第一节环境污染防治法概述第二节水污染防治法第三节大气污染防治法第四节固体废物污染防治法第五节环境噪声污染防治法第六节海洋环境保护法第七节放射性污染防治法第八节危险化学品、农药污染防治法第6章自然资源法第一节自然资源法概述第二节水法第三节土地法第四节矿产资源法第五节森林法第六节草原法第七节海洋资源法第7章生态保护与建设法第8章环境公众参与和环境公益诉讼第9章环境行政责任第10章环境民事责任与环境民事纠纷的解决第11章环境刑事责任第12章国际环境法附录一主要环境资源法律附录二中国参加的国际环境资源条约作者介绍暂无信息ISBN编号:9787309066777内文用纸材质:纯质纸出版时间:2009-07出版社名称:复旦大学出版社是否是套装:否作者:蔡守秋译者:暂无包册数:1开本:暂无书名:环境法案例教程正：副书名:环境法案例教程定价:35.0页数:289编者:暂无【书名】环境法案例教程【出版社】复旦大学出版社【作者】蔡守秋【ISBN编码】9787309066777",5.49,江苏,549,https://www.goofish.com/item?id=967410032499&categoryId=127812005
2025第六届应急管理普法知识竞赛，7月21日到8月20日线 上答题。主题是加强基层应急管理普法，提升全民安全防范能力。每天都有签到环节，可以参与热身赛和正式赛答题，每次答题都有抽奖机会。喜欢的小伙伴赶紧参加吧～,1.0,湖南,3,https://www.goofish.com/item?id=956241916922&categoryId=202036301
100道精选医院/医疗系统内科老年病科医生招聘结构化面试题及答案 本站所有面经由职场密码全网搜索筛选，结合相关资料整理而来，每一道题我们都增加了考察点分析和参考答案。所有内容仅供参考，职场密码不对您的任何面试行为负责。电子版产品，一经售卖，不可退换，请按需购买，您购买后我们会秒发下载链接给您，您可下载PDF版本。1、综合分析题：在当前老龄化社会背景下，内科老年病科面临着患者数量增多、病情复杂等情况，同时医疗资源相对紧张，你如何看待这一现状并提出改善措施？2、综合分析题：近年来，老年患者对医疗服务的需求不仅局限于疾病治疗，还包括心理关怀和健康管理等方面，你认为内科老年病科应如何适应这一变化趋势？3、综合分析题：随着医疗技术的不断发展，新的诊断和治疗手段不断涌现，但部分老年患者对新事物接受度较低，你怎样看待这一矛盾并提出应对办法？4、综合分析题：在内科老年病科，多学科协作治疗越来越重要，但实际工作中不同科室之间可能存在沟通不畅等问题，你如何分析并解决这一问题？5、综合分析题：老年病的预防和治疗需要全社会的共同参与，然而目前公众对老年病预防知识的知晓率较低，你对提高公众这方面意识有什么见解和举措？6、综合分析题：内科老年病科患者的康复往往需要较长时间，且容易出现病情反复，你怎样看待患者及家属在这个过程中可能产生的焦虑情绪并进行疏导？7、综合分析题：当前医保政策对老年病治疗有一定的保障，但仍存在部分患者负担较重的情况，你如何分析这一现象并提出减轻患者负担的建议？8、综合分析题：在内科老年病科工作，需要面对不同文化背景和经济状况的患者，你认为如何提供更具针对性和人性化的医疗服务？9、综合分析题：随着健康中国战略的推进，对内科老年病科的服务质量和效率提出了更高要求，你如何看待科室在适应这一战略过程中面临的挑战和机遇？10、综合分析题：内科老年病科的医护人员长期面对繁重的工作压力和患者的负面情绪，可能会产生职业倦怠，你怎样看待这一问题并提出缓解措施？11、组织管理题：医院计划在内科老年病科开展一次针对老年患者的健康知识讲座，你作为负责人，如何组织以确保讲座效果良好且符合老年患者的需求？12、组织管理题：若要在内科老年病科组织一场医患沟通交流会，你会如何规划整个流程，以促进医患之间的良好互动和信任？13、组织管理题：医院要求你在内科老年病科策划一个关于提升患者满意度的活动，你会从哪些方面入手进行组织和实施？14、组织管理题：假如你负责组织内科老年病科的一次病例讨论会议，你怎样安排会议内容和流程，以提高医生们的业务水平？15、组织管理题：为了提高内科老年病科护士的应急处理能力，你计划组织一次应急技能培训，你会如何设计培训方案并确保培训效果？,9.9,山东,1,https://www.goofish.com/item?id=965153725735&categoryId=202036301
2025应急管理普法答题知识竞赛题库第六届应急普法竞赛 专业四年经验！淘宝销量遥遥领先！ 1.热身赛。2025年7月21日至7月31日，竞赛系统设计多种普法互动模块，各地区和各中央企业组织动员干部职工、社会公众积极参与，及时注册并登录学习，充分了解竞赛规则，熟悉竞赛题型。  2.正式赛。202...,29.8,湖南,3,https://www.goofish.com/item?id=959908226203&categoryId=202036301
液化石油气槽罐车卸车泄漏事故应急处置演练方案 2025新版加油加气站运营和安全管理资料，请关注公众号：危化安全，搜索访问和下载。 付费和编制服务，请v信联系：letsgo365。  加油加气站免费运营和安全管理资料、法律法规知识库、安全教育警示片网盘持续更新，免费下载 链接：ht...,1.0,内蒙古,300,https://www.goofish.com/item?id=827571107724&categoryId=202036301
2025应急管理普法答题知识竞赛题库第六届应急普法竞赛 专业四年经验！淘宝销量遥遥领先！ 1.热身赛。2025年7月21日至7月31日，竞赛系统设计多种普法互动模块，各地区和各中央企业组织动员干部职工、社会公众积极参与，及时注册并登录学习，充分了解竞赛规则，熟悉竞赛题型。  2.正式赛。202...,18.0,内蒙古,24,https://www.goofish.com/item?id=950960556708&categoryId=202036301
低价捡漏正版阅人无数：突破沟通中的艰难时刻二手劳伦斯沟通能力 日常生活中，我们需要和各种各样的人打交道，就不可避免的一定会遇到人际关系上的一系列问题。与上司对话时，感到紧张……当众表达自己的观点时，感到局促不安……和陌生人眼神交流时，感到不自然……时常会担心自己的表达成为别人的笑料……❣️处理人际关系，使我们终其一生都需要修炼的课题。我们需要做些什么，才能够拜托社交焦虑，大气自信⁉️❣️世事洞明皆学问，人情练达即文章。❣️一个人的成功，85%由你的人际关系决定，只有15%是由于你的专业知识决定的❣️学会沟通，提升自身表达力，塑造有效社交，是每个社会人都应当学会的生存技能，尤其对于我们刚毕业的大学生来说，其重要性更是不言而喻。推荐以下几本书本书！想要从“社恐”变成“社牛”的你，一起来看看吧！阅人无数：突破沟通中的艰难时刻作者: 劳伦斯·艾莉森 ； 艾米丽·艾莉森出版社:  中信出版社出版时间:  2021-04ISBN:  9787521727845定价:  58.00页数:  364页字数:  260千字沟通的艺术：看入人里，看出人外作者: [美]罗纳德·B·阿德勒(Ronald B. Adler) 拉塞尔·F·普罗科特（Russell F. Proctor）出版社: 北京联合出版有限公司ISBN: 9787559615657出版时间: 2018-06开本: 16开页数: 368页字数: 405千字沟通的本质（《沟通的艺术》作者阿德勒代表作！牛津大学出版社镇馆之宝，美国人际沟通权威教材，插图修订第14版!）读客经管文库作者: 读客文化 出品 ； [美] 罗纳德·B.阿德勒出版社:  河南文艺出版社出版时间:  2023-05ISBN:  9787555914181定价:  118.00装帧:  平装开本:  16开页数:  504页字数:  554千字沟通的方法 得到App听书体验卡（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟通心法，助你在职场上一路开挂）作者: 脱不花 著 ； 得到图书 出品出版社:  新星出版社出版时间:  2021-06ISBN:  9787513344708定价:  69.00开本:  32开页数:  372页字数:  265千字名称：沟通力就是思维力 作者：高德品相：全新出版时间：2020-05装订：平装ISBN：9787514228212开本：16开出版社：文化发展出版社页数：256页非暴力沟通作者: [美] 马歇尔·卢森堡著 阮胤华 译出版社:  华夏出版社出版时间:  2018-08ISBN:  9787508095226定价:  49.00开本:  16开页数:  190页内向者沟通圣经作者: 珍妮弗·康维勒 著出版社:  北京联合出版公司出版时间:  2016-03ISBN:  9787550290501定价:  42.00说话的艺术作者: [美] 罗莎莉·马吉欧 著 ； 正林 译 ； 王权 译出版社:  湖南文艺出版社出版时间:  2020-07ISBN:  9787540497149定价:  48.00装帧:  平装开本:  16页数:  228页字数:  187千字好好说话：有趣的口才精进技巧作者: 杨建峰出版社:  汕头大学出版社出版时间:  2018-12ISBN:  9787565834936定价:  36.00开本:  16开页数:  246页好好接话一会说话是优势，会接话才是本事（插图升级版）作者: 林思诚 著出版社:  江苏凤凰美术出版社出版时间:  2015-06ISBN:  9787558063183定价:  36.00装帧:  平装开本:  32开页数:  184页听懂暗示语，把话接漂亮作者: 吉光片羽出版社:  江西美术出版社出版时间:  2023-05ISBN:  9787548087366定价:  36.00开本:  32开页数:  223页大脑喜欢听你这样说作者: 杰拉德·库尼·霍瓦斯 后浪出版社:  中国友谊出版公司出版时间:  2023-01版次:  1ISBN:  9787505755239定价:  52.00开本:  32开页数:  336页字数:  201千字演讲的力量：如何让公众表达变成影响力作者: [美] 克里斯·安德森 （Chris Anderson） 著 ； 蒋贤萍 译出版社:  中信出版社出版时间:  2016-09版次:  1ISBN:  9787508662053定价:  48.00装帧:  精装开本:  32开纸张:  纯质纸页数:  336页字数:  165千字关键对话作者: 昭军 著出版社:  应急管理出版社出版时间:  2020-01ISBN:  9787502077341定价:  30.00开本:  16开页数:  96页字数:  150千字高难度对话：跟任何人都聊得来 精进版作者: 一言 译出版社:  北京日报出版社出版时间:  2017-10ISBN:  9787547728055定价:  45.00装帧:  平装开本:  16开页数:  228页字数:  230千字影响力（经典版）作者: [美] 罗伯特·西奥迪尼 （Robert B. Cialdini） 著 ； 闾佳 译出版社:  万卷出版公司出版时间:  2010-09版次:  1ISBN:  9787547012123定价:  45.00装帧:  平装开本:  16开页数:  286页字数:  2700千字情商：为什么情商比智商更重要作者: [美] 丹尼尔·戈尔曼 著 ； 杨春晓 译出版社:  中信出版社出版时间:  2010-11ISBN:  9787508622361定价:  58.00装帧:  平装【国家提倡买二手书】既环保，性价比又高~二手书的内容和新书一样。去图书馆也是一样。——凯文凯利二手全新都有，点击我想要→立即购买，能看到所有选项，按需拍下即可哦~❤️套餐价格查看点击【我想要】→【立即购买】，可查看不同规格的价格；【售后无忧】❤️实体书店房租涨了，转线上开店。新店赔钱攒人气，随时涨价，拍下就是赚到。✓本人是老师，深知书籍是作者的产权，所以坚决维护正版。只卖正版！只卖正版！只卖正版！非正包退~发货前紫外线消毒处理，择优发出。点关注优先发货，收到货满意给好评可以找客服领取一个小红包	【不过坏日子，不读坏东西】需要其他书私信我， 关注我可以享有粉丝价哦！全国包邮 内蒙古，新疆，西藏，海南等偏远地区，咨询运费后再下单~快递揽收后申请退款需支付发货费用，谢谢理解!快递如有破损，请拒收退回。签收后退换，运费自理~拍下后一般24小时内发出，特殊情况外48小时内发货！如需其他书单，点击 我想要 即可~正版二手，八五-九成新左右，有部分笔迹，不影响使用，不缺页，二手物品不含（光盘，小册子，激活码）等，相互理解哈~【品相说明】5新正版，破损污渍，发黄，慎拍7新正版，笔记划线密集，发旧8新正版，笔记划线中等9新正版，图195新正版，包装破了或没有包装，书是新的全新 正版,6.52,天津,0,https://www.goofish.com/item?id=829595238935&categoryId=201544601
39道浙江网商银行安全研究员岗位面试题库及参考回答含考察点分析 本站所有面经由职场密码全网搜索筛选，结合相关资料整理而来，每一道题我们都增加了考察点分析和参考答案。所有内容仅供参考，职场密码不对您的任何面试行为负责。电子版产品，一经售卖，不可退换，请按需购买，您购买后我们会秒发下载链接给您，您可下载PDF版本。1. 请描述您在网络安全领域的工作经历，并分享您处理过的最复杂的安全挑战案例。2. 针对浙江网商银行的业务特点，您认为哪些安全问题最为紧迫，需要优先解决？3. 能否详细说明您对OWASP TOP 10安全风险中某一项的理解和应对措施？4. 如何实施有效的安全策略以防止内部人员威胁？5. 在不牺牲用户体验的前提下，您会如何设计一个既安全又便捷的在线银行认证系统？6. 面对不断演变的网络安全威胁，您通常如何保持您的专业知识和技能的最新性？7. 请举例说明您曾经成功识别并阻止的一个网络攻击案例。8. 在进行安全漏洞评估时，您通常采用哪些工具和方法？9. 如何向非技术背景的管理层解释复杂的网络安全概念和风险？10. 能否详细描述一次您参与的安全事件应急响应流程？11. 您如何处理安全政策与业务需求之间的冲突？12. 能否分享一次您成功提升企业安全意识的经验或做法？13. 在开发新金融产品时，您会如何将安全考虑纳入产品设计早期阶段？14. 谈谈您对当前金融行业移动安全趋势的看法及应对策略。15. 请描述一种您认为最有效的网络安全防御策略，并解释其原因。16. 您如何看待人工智能和机器学习在网络安全领域的应用？17. 能否分享您在安全团队管理或领导方面的经验？18. 面对越来越复杂的网络安全环境，您认为未来的安全研究员需要哪些核心能力？19. 在您的职业生涯中，有哪些网络安全相关的认证或培训对您帮助很大？20. 您如何处理和回应客户或公众对网络安全事件的担忧？21. 能否举例说明您如何与其他IT部门（如开发、运维）合作提升整体安全水平？22. 您在安全架构设计方面有哪些经验，特别是在保护关键金融数据方面？23. 请分享一次您参与制定或改进企业级安全策略的经历。24. 如何确保第三方供应商或合作伙伴的安全标准符合公司的安全要求？25. 谈谈您对安全信息和事件管理（SIEM）系统的理解及其在安全运营中的作用。26. 您有哪些经验是在进行安全漏洞奖励计划或众测活动中获得的？27. 请描述一个您认为对网络安全有重大影响的最新技术或趋势。28. 您是如何跟踪和评估新兴安全技术和工具的？请分享具体的方法或过程。29. 在进行安全研究时，您通常如何平衡创新与风险管理？30. 面对网络安全领域的高压力工作环境，您通常是如何保持冷静和高效的？31. 请先做个简单的自我介绍？32. 能否给我们说下你上一份工作离职的原因是什么？33. 请谈一下你应聘这个岗位的优势和劣势？34. 你整体的职业规划是什么？可否详细的说说。35. 看您有该岗位一定的经验，可否谈谈你对目前应聘的这个岗位的认识？36. 为什么选择应聘我们公司？37. 工作之余有什么兴趣爱好或者特长？38. 你期望的薪酬是多少？39. 我的问题问完了，你还有什么问题想要问我的吗？,9.9,山东,0,https://www.goofish.com/item?id=915509552237&categoryId=202036301
低价捡漏正版沟通的本质+沟通的艺术罗纳德提升沟通说的方法技巧 日常生活中，我们需要和各种各样的人打交道，就不可避免的一定会遇到人际关系上的一系列问题。与上司对话时，感到紧张……当众表达自己的观点时，感到局促不安……和陌生人眼神交流时，感到不自然……时常会担心自己的表达成为别人的笑料……❣️处理人际关系，使我们终其一生都需要修炼的课题。我们需要做些什么，才能够拜托社交焦虑，大气自信⁉️❣️世事洞明皆学问，人情练达即文章。❣️一个人的成功，85%由你的人际关系决定，只有15%是由于你的专业知识决定的❣️学会沟通，提升自身表达力，塑造有效社交，是每个社会人都应当学会的生存技能，尤其对于我们刚毕业的大学生来说，其重要性更是不言而喻。推荐以下几本书本书！想要从“社恐”变成“社牛”的你，一起来看看吧！阅人无数：突破沟通中的艰难时刻作者: 劳伦斯·艾莉森 ； 艾米丽·艾莉森出版社:  中信出版社出版时间:  2021-04ISBN:  9787521727845定价:  58.00页数:  364页字数:  260千字沟通的艺术：看入人里，看出人外作者: [美]罗纳德·B·阿德勒(Ronald B. Adler) 拉塞尔·F·普罗科特（Russell F. Proctor）出版社: 北京联合出版有限公司ISBN: 9787559615657出版时间: 2018-06开本: 16开页数: 368页字数: 405千字沟通的本质（《沟通的艺术》作者阿德勒代表作！牛津大学出版社镇馆之宝，美国人际沟通权威教材，插图修订第14版!）读客经管文库作者: 读客文化 出品 ； [美] 罗纳德·B.阿德勒出版社:  河南文艺出版社出版时间:  2023-05ISBN:  9787555914181定价:  118.00装帧:  平装开本:  16开页数:  504页字数:  554千字沟通的方法 得到App听书体验卡（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟通心法，助你在职场上一路开挂）作者: 脱不花 著 ； 得到图书 出品出版社:  新星出版社出版时间:  2021-06ISBN:  9787513344708定价:  69.00开本:  32开页数:  372页字数:  265千字名称：沟通力就是思维力 作者：高德品相：全新出版时间：2020-05装订：平装ISBN：9787514228212开本：16开出版社：文化发展出版社页数：256页非暴力沟通作者: [美] 马歇尔·卢森堡著 阮胤华 译出版社:  华夏出版社出版时间:  2018-08ISBN:  9787508095226定价:  49.00开本:  16开页数:  190页内向者沟通圣经作者: 珍妮弗·康维勒 著出版社:  北京联合出版公司出版时间:  2016-03ISBN:  9787550290501定价:  42.00说话的艺术作者: [美] 罗莎莉·马吉欧 著 ； 正林 译 ； 王权 译出版社:  湖南文艺出版社出版时间:  2020-07ISBN:  9787540497149定价:  48.00装帧:  平装开本:  16页数:  228页字数:  187千字好好说话：有趣的口才精进技巧作者: 杨建峰出版社:  汕头大学出版社出版时间:  2018-12ISBN:  9787565834936定价:  36.00开本:  16开页数:  246页好好接话一会说话是优势，会接话才是本事（插图升级版）作者: 林思诚 著出版社:  江苏凤凰美术出版社出版时间:  2015-06ISBN:  9787558063183定价:  36.00装帧:  平装开本:  32开页数:  184页听懂暗示语，把话接漂亮作者: 吉光片羽出版社:  江西美术出版社出版时间:  2023-05ISBN:  9787548087366定价:  36.00开本:  32开页数:  223页大脑喜欢听你这样说作者: 杰拉德·库尼·霍瓦斯 后浪出版社:  中国友谊出版公司出版时间:  2023-01版次:  1ISBN:  9787505755239定价:  52.00开本:  32开页数:  336页字数:  201千字演讲的力量：如何让公众表达变成影响力作者: [美] 克里斯·安德森 （Chris Anderson） 著 ； 蒋贤萍 译出版社:  中信出版社出版时间:  2016-09版次:  1ISBN:  9787508662053定价:  48.00装帧:  精装开本:  32开纸张:  纯质纸页数:  336页字数:  165千字关键对话作者: 昭军 著出版社:  应急管理出版社出版时间:  2020-01ISBN:  9787502077341定价:  30.00开本:  16开页数:  96页字数:  150千字高难度对话：跟任何人都聊得来 精进版作者: 一言 译出版社:  北京日报出版社出版时间:  2017-10ISBN:  9787547728055定价:  45.00装帧:  平装开本:  16开页数:  228页字数:  230千字影响力（经典版）作者: [美] 罗伯特·西奥迪尼 （Robert B. Cialdini） 著 ； 闾佳 译出版社:  万卷出版公司出版时间:  2010-09版次:  1ISBN:  9787547012123定价:  45.00装帧:  平装开本:  16开页数:  286页字数:  2700千字情商：为什么情商比智商更重要作者: [美] 丹尼尔·戈尔曼 著 ； 杨春晓 译出版社:  中信出版社出版时间:  2010-11ISBN:  9787508622361定价:  58.00装帧:  平装线下书店房租上涨倒闭，转线上新店开张，赔钱攒人气，随时涨价，拍下就是赚到。【国家提倡买二手书】既环保，性价比又高~二手书的内容和新书一样。去图书馆也是一样。——凯文凯利二手全新都有，点击我想要→立即购买，能看到所有选项，按需拍下即可哦~❤️套餐价格查看点击【我想要】→【立即购买】，可查看不同规格的价格；⭐【正版】正版二手书，盗版全额退款！放心拍！⭐【品相说明】二手书以品相定价，我们确保相同品相里的全网最低价，同等价格里的最好品相。⭐【价格、怎么买】能拍就有货，点击我想要，再点击购买选择书名、分册、品相直接下单即可；⭐【品相】8-9成新左右，不会有缺页，二手书都可能会有笔记划线，也有可能没有，不影响阅读使用 。练习册习题类，不保证写了多少，仓库择优发货⭐【书衣与随书增值产品】带书衣的书籍（通常为小说文学类）可能没有书衣，二手书默认不含光盘、小册子、卡片、激活码、答案等，有的话会附带上发货。⭐【偏远地区不包邮】内蒙古，新疆，西藏，海南等偏远地区，咨询运费后再下单~⭐出了快递单号后，因为顾客原因取消，需承担发货快递费用，感谢理解！售后相关问题请及时联系客服，客服将尽快为您解决⭐还有大量书籍没上架，点击【我想要】可以向客服找书，留下封面或书号（ISBN码）避免版本错误~⭐售后：如果发现书籍发错、破损第一时间连同快递单拍照给客服，客服会给您一个满意的解决。如果您对收到的书籍有任何不满意，欢迎联系我们进行沟通，我们会尽可能地满足您的需求并给您一个满意的答复。恶意差评的劳烦绕路~感恩！【品相说明】5新正版，破损污渍，发黄，慎拍7新正版，笔记划线密集，发旧8新正版，笔记划线中等9新正版95新正版，包装破了或没有包装，书是新的全新 正版,5.98,江苏,0,https://www.goofish.com/item?id=829978160539&categoryId=201544601
