标题,价格(元),所在地,想要人数,商品URL
出口日本订单Montbell美山、蒙贝日本户外露营登山徒步旅 行轻量化便携折叠双肩背包男女同款！ 部分规格颜色断货需要等，下单前先沟通以免着急到货，拍下有货的48小时陆续发出 多种颜色可选  材质:锦纶 重量:约181g               适用场景 徒步旅行 户外露营 户外登山 城市散步  ...,49.99,上海,102,https://www.goofish.com/item?id=940239646885&categoryId=126864800
日期延误出口韩国的订单被撤单了，还有十几个文艺风大容量防水布 包抽绳束口单肩托特包  旅游出行休闲学生上课帆布包包  高34，宽36，厚10，可以放下书本，水杯，平板等  数量不多，抢到就是赚到，不要问还有没有，能下单就是还有，标价就是卖价哦,14.9,河北,9,https://www.goofish.com/item?id=960692468835&categoryId=126862487
这款出口挪威和西班牙的枕头包，以其时尚百搭的设计和男女同款的 实用性，成为旅行、出差、健身和轻量出行的必备单品。现在特价13.9元还包邮，是一次不容错过的购物机会。 产品特点： 时尚设计：简约而不失时尚的设计，适合各种场合，无论是休闲还是商务，都能轻松搭配。 多功能性：不仅适合旅行，也适合日常通勤，甚...,13.9,上海,733,https://www.goofish.com/item?id=843061005311&categoryId=126864798
【剩不多了】出口欧美的商务包包，又小众又好看又百搭！ 新款跨境斜挎包欧美大容量商务出差单肩包ins简约便携时尚小方包，小众邮差包，男女皆宜百搭神 器！  这款包包真的不挑肤色，男生女生都能轻松驾驭。有小酷又很日常，不用特别搭配衣服，一年四季都能背。 包包有大号和小号两种选择，满足不同的需求。...,8.0,北京,1377,https://www.goofish.com/item?id=915749974383&categoryId=126864795
出口外贸剪标尾单清仓捡漏~美式潮牌夏季纯棉短袖t恤男女宽松上 衣  M (80-110斤) L(110-135斤)  XL (135-155斤) 2XL (155-170斤)  3XL (170-190斤),13.0,福建,1164,https://www.goofish.com/item?id=795530325738&categoryId=126916001
白菜价抢出口枕头包！ 少量库存大清仓啦！这款出口枕头包，男女同款，休闲百搭超时尚。无论是旅行、出差还是健身轻量出行，都超合适~   品质超棒，结实耐用。有经典黑、白、卡其三色可选，不挑衣服不挑人，轻松提升穿搭质感。   价格超惊喜：小包仅9.9元，大包13...,9.9,山东,68,https://www.goofish.com/item?id=909309625609&categoryId=126864795
实体做不下去了 便宜清出口超有韵味的新中式国风包包！ 今年新款，设计感满满还小众，完全不用担心撞包。 它既是双肩包，又能当单肩包，一包多用超方便。 水桶包型，容量超大，日常出行、通勤、短途旅行所需都能轻松装下。 无论是搭配汉服、旗袍，还是日常休闲装，都很吸睛。 全新，喜欢新中式的姐妹快来私戳我！清货商品售出不退不换，介意勿拍,19.9,上海,203,https://www.goofish.com/item?id=912726532263&categoryId=126864798
【最后几十件】出口挪威！西班牙！枕头包！时尚百搭男女款旅行休 闲|||斜挎包！  品质相当好！款式休闲百搭！男女同款！ 旅行，出差，健身，轻量出行必备！  无论男女胖瘦，上身效果贼棒！不挑衣服不挑人，随时随地变身时尚搭配。  本店包包质量都有保证  颜色有：黑色，白色，卡其色，（部分爆款色已不多，卖完...,5.0,北京,44,https://www.goofish.com/item?id=850524040601&categoryId=126864795
【顶级品质乔丹满天星】乔丹纯原书包上海原厂出口代工品质步行街 线下实体店不做了 [new]颜值超级高质感好很舒服设计非常潮流很适合学生背容量很大可以用来旅游面料超级耐脏本人亲测非常白搭送人也是不错的选择! [闪亮]材质: [1]聚酯纤维符合正品材质（都是保证质量的） [2]细节面料做工均符合正品工艺做...,54.0,湖北,0,https://www.goofish.com/item?id=853904932291&categoryId=126864800
全新潜水装备背包，外贸出口品质，防水包，防水背包，户外漂流防 水桶包pvc夹网布沙滩防水包溯溪漂流包，结实耐用，2L无肩带，5L单肩带，10.15.20.30双肩带，直接拍包邮，不是太晚拍下当天发货。,12.0,浙江,0,https://www.goofish.com/item?id=800085429237&categoryId=126856916
