标题,价格(元),所在地,想要人数,商品URL
不争大棚的速成，不慕城市的喧嚣，这些小香葱只按四季的鼓点生长 。     非大棚栽种  零化肥催熟 现摘现发   3元一,3.0,龙***炎,1,https://www.goofish.com/item?id=917803343398&categoryId=201943502
三层灰色塑料收餐车，带静音轮，每层配大号收纳盆，适合酒店餐厅 使用。尺寸96×103×47cm，加厚PP料材质，结实耐用,126.0,x***1,0,https://www.goofish.com/item?id=940667794372&categoryId=126862065
优质刚古纸/水纹纸/条纹纸（钻石条纹）            纹路清晰雅致、纸张坚挺、层次感十足，经典高贵原抄纸纹路，非,3.0,雅***业,0,https://www.goofish.com/item?id=950328644036&categoryId=201452503
防晒面罩全脸防紫外线女遮阳帽口罩一体采茶帽太阳帽脸罩遮脸帽子  尺码: 均码（面纱可拆装）、颜色分类: 灰色,11.41,爱***果,0,https://www.goofish.com/item?id=956112071325&categoryId=126856222
聚乙烯pe颗粒，专业生产，大量现货  可注塑，吹塑桶，挤塑…适合做帽檐，管道，托盘，等  感兴趣的话点“我想要”和我私聊,4800.0,米***子,33,https://www.goofish.com/item?id=893384100106&categoryId=201454505
飞景TOP FOOD观赏虾专用粮，全新未拆封，保质期到202 6.4。适合观赏虾、辣椒蟹、龙虾等食用，颗粒大小合适，营养,4.0,小***羯,0,https://www.goofish.com/item?id=938037256942&categoryId=126854811
【5斤包邮】潮州芭乐，自家种植  白心芭乐果，味道独特，脆吃软吃两个不同口味都好吃，低糖水果，吃多也不会肥，放一段时间会,39.9,水***鱼,49,https://www.goofish.com/item?id=897605292341&categoryId=126916206
全新，厨房好物  感兴趣的话点“我想要”和我私聊吧～,100.0,兔***吉,0,https://www.goofish.com/item?id=895754829298&categoryId=126854949
三星SCX-4521hs/4321ns打印机定影上辊，适用4 621ns/4821hn/4021s/4725/4623f,15.69,韵***杰,0,https://www.goofish.com/item?id=949480760785&categoryId=126854310
万用表 表头玻璃，大小都有19片打包一起出，看好 不单卖，爽 快直接拍包邮,60.0,t***l,3,https://www.goofish.com/item?id=764590254848&categoryId=201459501
厂家直销，定制各类尺寸木门板门265元  开孔玻璃门365元,265.0,易***门,365,https://www.goofish.com/item?id=611831364330&categoryId=126858423
粉色卡通鼠标垫，超大尺寸80*30cm，带3小时定时暖手功能 。全新未拆封，粉色系可爱风格，适合女生办公学习使用。  垫,18.0,牛***海,28,https://www.goofish.com/item?id=944857181357&categoryId=126854023
30X300白色亮光陶瓷腰线 中古风 奶油风 上下墙分割必备  剩下31条，配套阳角头3个 折合9.3米长，有需要的浦东,5.0,嘟***使,0,https://www.goofish.com/item?id=935868347962&categoryId=126858378
麦当劳松饼 早餐面包 松饼  一袋12个  标价为1袋的金额   该产品常温发货  收到货面包会有些为松软 介意的不要拍,38.0,麦***二,13,https://www.goofish.com/item?id=859104538490&categoryId=201461120
原生态山茶油，来自张家界山区的天然出品。采用传统物理压榨，保 留原始香味。每瓶都有独特的原香体验，适合烹饪或收藏。全新未,88.0,张***茶,168,https://www.goofish.com/item?id=876997189264&categoryId=201453227
Gucci戒指鉴定 奢侈品鉴定 Gucci首饰鉴定 Gucc i戒指鉴定 Gucci项链鉴定 Gucci手镯鉴定 Guc,3.5,中***定,2,https://www.goofish.com/item?id=928458930610&categoryId=201460206
渝美建筑植筋胶20L桶装，优质品质强劲固化超强粘接。通过国家 建筑材料检测中心认证，适用于各类建材粘接。全新未拆封，同城,89.0,钢***询,0,https://www.goofish.com/item?id=953644886085&categoryId=126858103
户外点火神器 喜欢你就来  感兴趣的话点“我想要”和我私聊吧～,23.0,小***货,58,https://www.goofish.com/item?id=962268732715&categoryId=126856743
防汛沙袋 消防防汛演习 商铺仓库池塘围堵防水袋 帆布沙袋 装 沙使用 一捆50个 便宜卖,2.0,东***发,7,https://www.goofish.com/item?id=800003049855&categoryId=126856727
10包300片 买2份送2包 静电除尘纸吸毛发擦地板干巾湿巾 懒人拖把一次性免洗布拖地干湿巾  10包300片27.9包,25.0,香***价,99,https://www.goofish.com/item?id=696197933229&categoryId=126858273
