标题,价格(元),所在地,想要人数,商品URL
和田玉老坑黑皮俄料济公，48g，饱满圆润，手工精雕，黑皮俏色 ，天然三色，大挂件小手把，800不议价，议价绕道，上手不满,800.0,雅***斋,2,https://www.goofish.com/item?id=662157877105&categoryId=126858185
芝麻肉烧饼，满满一层芝麻，外焦里嫩，烧饼直径25公分左右，3 个烧饼一斤左右，非常美味！刚出锅的烧饼，趁热吃口感最佳。凉,35.0,湖***痕,5,https://www.goofish.com/item?id=901862649011&categoryId=201947703
n1s 小牛  240-博士1200w  改了前后鲍鱼    带76100电池  整车协调  5xxx,528.0,e***仔,5,https://www.goofish.com/item?id=965119135104&categoryId=126860452
亚克力遥控器收纳盒 黑茶色 24*10.5*10.5cm 轻 奢INS风 透明亚克力材质，黑色内胆，简约大气。可用于遥控,12.0,M***a,0,https://www.goofish.com/item?id=960188902466&categoryId=126862503
被罩  感兴趣的话点“我想要”和我私聊吧～,50.0,莞***书,0,https://www.goofish.com/item?id=951762849363&categoryId=126856051
Mistine蜜丝婷防晒喷雾霜清爽美白隔离女面部身体男小黄帽蜜思婷   品牌：Mistine 产品名称：蜜丝婷水活清透倍,99.0,锦***店,159,https://www.goofish.com/item?id=912503551302&categoryId=126860110
一个灯……买多了一个，不包邮，自提或者运费自理。  感兴趣的话点“我想要”和我私聊吧～,10.0,k***琪,0,https://www.goofish.com/item?id=960390392693&categoryId=126858411
发霉豆浆袋，实验用  感兴趣的话点“我想要”和我私聊吧～,200.0,x***9,0,https://www.goofish.com/item?id=950152659128&categoryId=201451103
潮汕特产墨鱼丸，手工新鲜制作，个头均匀饱满，口感Q弹有嚼劲。 一斤30元，量大可议价。工厂直供，保证新鲜，当天制作当天发,30.0,车***n,0,https://www.goofish.com/item?id=962520556106&categoryId=126916190
中空玻璃封胶机，9成新  感兴趣的话点“我想要”和我私聊吧～,5500.0,t***8,12860,https://www.goofish.com/item?id=942909514098&categoryId=126864155
不锈钢大口径真空袋防油分装神器带支架加油漏斗食品打包神器  全新未使用，带支架设计，大口径漏斗，适合真空袋分装，食品打包,164.73,臻***香,0,https://www.goofish.com/item?id=957680821082&categoryId=201449703
"femfresh 芳芯 女性私密清洁护理液 无香型 250m l 24.8包邮

•全新保真！！薄利多销不议价

•一经",24.88,佩***屋,0,https://www.goofish.com/item?id=966875576504&categoryId=126860124
玻璃门移门，移门配件，304不锈钢材质，25圆管上拉杆配件， 滑轮。有5套全新未使用，此为一套价格,230.0,烈***光,1,https://www.goofish.com/item?id=907898928945&categoryId=126858084
新中式提盒衣架  感兴趣的话点“我想要”和我私聊吧～,1988.0,黑***应,2,https://www.goofish.com/item?id=641546881669&categoryId=126862029
美国麦当劳复仇者联盟 钢铁侠美国队长绿巨人 外贸出口的正版尾货没有原包装了9成新以上,5.0,嗨***吖,12,https://www.goofish.com/item?id=642720627747&categoryId=126860377
出售雪佛兰科鲁兹发动机电脑板，型号9071982，5WY1J 42A，通用原厂拆车件，功能正常。,40.0,电***售,2,https://www.goofish.com/item?id=919517998109&categoryId=126860741
KA25T70F开关型天馈信号防雷器，频率0-2.5GHz， TNC头，公转母接头，全新的未安装过， 适用于同轴通信信号,34.95,蜜***度,0,https://www.goofish.com/item?id=943303994397&categoryId=126864192
闲置未开包 儿童电动车  感兴趣的话点“我想要”和我私聊吧～,69.0,z***o,4,https://www.goofish.com/item?id=809873842509&categoryId=126914061
【出闲置跑鞋】全新阿迪达斯跑鞋 21W  UL TRABOIST 21W 货号：GZ7104 码数：235 购于广州天环,399.0,代***邮,0,https://www.goofish.com/item?id=791604708160&categoryId=126866685
水性油墨工厂直供，专业生产柔版水性油墨和凹版水性油墨，品质保 证，环保无味。可以根据客户需求定制颜色，颜色饱满，附着力强,350.0,豆***材,1,https://www.goofish.com/item?id=944298897742&categoryId=126854378
