标题,价格(元),所在地,想要人数,商品URL
临汾哪吒传奇自驾票。提前一天预定。可定太原／晋中／吕梁／长治 ／临汾／运城 地区。三天内有效。,67.0,山西,80,https://www.goofish.com/item?id=946429200773&categoryId=201960402
临汾【哪吒传奇】自驾票提前一天预定70 《太原／晋中／吕梁／均可预定》特价票订购成功不支持退单全天200+场演出（夜场更精彩）100+创意美陈场景，随手一拍都是大片30+热门娱乐项目，全天不限次随心玩营业时间：09:00 - 23:30超值福利：门票连续3天内通用，刷脸入园，一次购票，多次畅玩！票价详情：成人票70元/张60-69周岁长者专享价45元/张1.2m以下，70周岁以上免费,70.0,山西,80,https://www.goofish.com/item?id=961975593171&categoryId=201960402
哪吒传奇自驾票，特价出，需要的速联系 感兴趣的话点“我想要”和我私聊吧～,67.0,山西,75,https://www.goofish.com/item?id=955020216706&categoryId=201956102
临汾哪吒传奇成人票（提前一天） 适用人群：4岁到59岁,70.0,山西,212,https://www.goofish.com/item?id=946046310578&categoryId=201960402
临汾哪吒传奇(原尧都古镇)提前一天预定70 (晋中、太原、运城、吕梁、临汾、渭南、 阳泉 、长治、晋城可出3天多次入园，临汾尧都区不要拍不要拍)   全天200+场演出（夜场更精彩） 100+创意美陈场景，随手一拍都是大片 30+热门娱乐项目，全天不限次随心玩  下单后发送所有人...,45.0,山西,410,https://www.goofish.com/item?id=943681446448&categoryId=201960402
哪吒传奇漫画第1+2部，一共15本，其中第2部是动画版52集 之后的续集，未播放过动画，只有漫画，pdf漫画，还有其他未上架电子漫画，欢迎来咨询,15.0,广西,0,https://www.goofish.com/item?id=908090316024&categoryId=126862312
2本有卡！9成新《哪吒传奇》1-10本，正版动画图书，1套1 0本全。第9、10册原超酷炫卡在，剩余8册无附卡。书内较干净整洁，不缺页，无写画。按图发货，包快递。偏远地区按快递公司实收。,68.0,山西,8,https://www.goofish.com/item?id=899158630161&categoryId=202029302
哪吒传奇正版漫画1-9，央视动画版，超级古早的童年回忆漫画， 无缺页破损，内容完整，封皮无划痕缺损，非偏远包邮  注1：全套一共是10本，因为10让我弄丢了只有1-9，所以需要买家自己买一本10凑齐一套[捂脸哭]所以便宜出，介意慎拍xdm[捂脸哭]  注2：虽然没有缺页破损，内容完整不影响看，但毕竟是...,46.0,河南,0,https://www.goofish.com/item?id=938193196889&categoryId=202029302
【全新正版】 哪吒传奇经典图画故事书（全10册），官网直发， 全新正版，60包邮  [1]新旧程度：全新，保证正版 [2]售后：有任何质量问题，7天内包退换，非质量问题不退换,60.0,湖南,2,https://www.goofish.com/item?id=961676894963&categoryId=127832004
哪吒传奇小哪吒75吧唧央视国漫出品 国漫现场买的全新未拆，翻江款哪吒，可直拍,20.0,浙江,0,https://www.goofish.com/item?id=966598680487&categoryId=126860292
