标题,价格(元),所在地,想要人数,商品URL
"维语绝版动画片＃ 善良的夏吾冬 ＃维语译制片 ＃ 百度盘资源 ，度盘发货 1080p ,2k",20.0,新疆,5,https://www.goofish.com/item?id=924739460798&categoryId=126864808
善良的夏吾冬 法语版 Le brave petit pêch eur 正版。品相完好。书没被读过。书页完好整洁，无勾画和笔迹。,45.0,北京,0,https://www.goofish.com/item?id=960390531817&categoryId=201459411
82年一版一印《善良的夏吾冬》连环画，上海美术电影制片厂改编 ，中国电影出版社出版。品相如图，内页完整无涂画，缺本页。老版连环画，收藏价值高，喜欢的朋友可以私聊。同城自提，外地包邮。价格可小刀，诚心购买的朋友欢迎咨询。,80.0,湖北,0,https://www.goofish.com/item?id=934129196913&categoryId=126862193
《九色鹿》《善良的夏吾冬》 海豚出版社 扫描文件，扫描清晰 【标价为电子文件售价】网盘发货，虚拟产品售出不退不换,30.0,湖北,0,https://www.goofish.com/item?id=860089170452&categoryId=202036301
善良的夏吾冬 片长20分钟左右 画质参考截图,300.0,上海,1,https://www.goofish.com/item?id=932529938898&categoryId=126864807
1982年中国电影出版社《善良的夏吾冬》连环画，上海美术电影 制片厂提供资料。4月第1版第1次印刷，48开本  书籍保存完整，内页干净，封面有些许磨损。喜欢的朋友可以私聊，价格可直拍,35.0,江苏,0,https://www.goofish.com/item?id=943170616135&categoryId=126862193
善良的夏吾冬，外文版，84年第二版，整体8成新，除了右上角有 折痕以外，其他都是正常使用痕迹，内页非常新，无写画无污渍，欣赏观看特别舒服，已经40年的老书，希望买家可以好好珍惜。,60.0,山西,0,https://www.goofish.com/item?id=948616933862&categoryId=126862193
善良的夏吾冬。外文版20开中国题材连环画，特惠价29块9包邮 到家。题材经典绘画精美，书本有小揭白和黄斑等少许污渍，封底与版权页有压痕，二手物品售出不退，看好下单,29.9,广东,0,https://www.goofish.com/item?id=936994054441&categoryId=126862193
出一套84年版《善良的夏吾冬》漫画，英文版，库存未翻阅，封面 一角有轻微水渍，100包邮。,100.0,河北,0,https://www.goofish.com/item?id=757619867349&categoryId=126862312
珍珍的奇遇(库存新书 量大从优) 早期精美出口 大开本彩色外文连环HUA 插画 宣传画   梅樱 九色鹿 善良的夏吾冬后另一力作  品相如图 售出概不退换...,68.0,浙江,1,https://www.goofish.com/item?id=916045862011&categoryId=126862193
电影连环画善良的夏吾冬中电48开缺本。整体品相还可以，自然旧 二手商品大图高清展示所见即所得，购买后不退换请谨慎下单。,480.0,湖北,0,https://www.goofish.com/item?id=962473586606&categoryId=126862193
善良的夏吾冬连环画 外文出版社！七八年代出口产品！铜版纸印刷，名家绘画，绘画精美，颜色浓郁鲜艳，几十年前那个时代都是用矿物质颜料，所以历经几十年颜色保持依然鲜艳如新，内页干净请放心购买绝版收藏，友情提醒，交易须知，避免交易后产生麻烦产生争议二手古旧书难免存...,60.0,江苏,1,https://www.goofish.com/item?id=779304365401&categoryId=126862193
