标题,价格(元),所在地,想要人数,商品URL
奶呼呼实色粉色系，售出不退不换～包邮  感兴趣的话点“我想要”和我私聊吧～,40.0,石***藤,0,https://www.goofish.com/item?id=935107315474&categoryId=126862809
1.2000-2019 中国30个省碳排放数据  2FDI 数据。 3.城镇化率  4.对外贸易发展 5.研发支出 6.,5.99,权***花,11,https://www.goofish.com/item?id=675231586394&categoryId=201450913
正品可孚医用灭菌大头棉签，20cm长，每袋5支。  无菌消毒，脱脂柔软，吸液快。适合产妇、宝宝清洁或伤口护理。 剖腹产伤,23.0,母***群,50,https://www.goofish.com/item?id=897811325560&categoryId=126866064
衣内货架，仓底货便宜买500全部清掉，还有几件没拍照片，可现 场看绝对超值，市场价5680元，现在一折不到的价格，粉金色,500.0,t***f,2,https://www.goofish.com/item?id=649018109482&categoryId=126862039
懒人沙发内胆填料填充物，15元自取。  感兴趣的话点“我想要”和我私聊吧～,15.0,北***子,3,https://www.goofish.com/item?id=818467043415&categoryId=126866828
全新美吉姆音乐套装，没玩过，包装完好无损，包邮。  感兴趣的话点“我想要”和我私聊吧～,52.0,秦***导,3,https://www.goofish.com/item?id=940809912567&categoryId=126862837
没空闲时间用  感兴趣的话点“我想要”和我私聊吧～,22.93,t***s,35,https://www.goofish.com/item?id=959534859445&categoryId=126918080
【香港·楼上】楼上特选百合，303克/8两，新鲜干燥，质地软 糯，香港楼上购入，品质保证。68包邮，2件少5元。,68.0,涂***猫,3,https://www.goofish.com/item?id=929478264860&categoryId=201456215
汽配人管家软件，是一款网络版进销存管理软件，支持（app，网 页，客户端访问，数据互通），任何环境只要电脑有网，均可办公,598.0,三***件,26,https://www.goofish.com/item?id=641683791332&categoryId=201460315
#可口可乐收藏#俄罗斯索契冬奥会铝瓶  该瓶为活动促销瓶，瓶身无条码,350.0,M***x,0,https://www.goofish.com/item?id=660542926627&categoryId=126862304
60/20充电器一个  感兴趣的话点“我想要”和我私聊吧～,35.0,阿***3,1,https://www.goofish.com/item?id=943279282381&categoryId=126856205
本人从事防水行业多年 承接家庭漏水维修采用高科技免砸瓷砖补漏  快速止水如，卫生间漏水、阳台漏水、厨房漏水、屋面漏水、外,68.0,雨***水,10,https://www.goofish.com/item?id=658986662799&categoryId=201458712
小野重塑系列 寄生 盒机转赠   全新盒机转赠 拍下秒转 售出不退不换,65.0,顾***子,2,https://www.goofish.com/item?id=909857249828&categoryId=201559511
高铁同款5黑BLACK爆浆芝麻丸众亿好客独立小包装休闲健康零 食220g,35.0,b***y,1,https://www.goofish.com/item?id=961569431214&categoryId=201944302
酸梅膏浓缩汁冲调1kg浓缩酸梅汤乌梅汁夏季饮料饮品果汁粉家用 ，味道正宗可口适合自己亲手DIY，瞬间可得自己喜爱的炎炎夏,15.0,循***社,25,https://www.goofish.com/item?id=930511074696&categoryId=201449522
木板画，随缘 出租  感兴趣的话点“我想要”和我私聊吧～,10.0,易***1,4,https://www.goofish.com/item?id=644126570239&categoryId=126866435
【薏米中的极品】薏米很普通，但福建宁化的淮山薏米不普通❗️      特价37.7元两斤包邮❗️❗️  特点：米粉十足、,12.9,森***行,10,https://www.goofish.com/item?id=750411871604&categoryId=201452027
蓝牙键盘  实物拍摄，成色差，能开机不能使用，当配件机处理，售出不退不换,27.0,乐***9,0,https://www.goofish.com/item?id=927632906135&categoryId=126856263
25cm木质扇子鼓 舞蹈道具 藏舞鼓热巴鼓 太平女儿鼓  全新未使用 带红色流苏装饰 扇面精美花纹 适合舞蹈表演 全国包,15.0,琳***J,0,https://www.goofish.com/item?id=936416698984&categoryId=126858960
悠莱金腰子资生堂高端 焕源激活精华露60ml   日期202405,230.0,一***店,780,https://www.goofish.com/item?id=689258811001&categoryId=126860066
