标题,价格(元),所在地,想要人数,商品URL
在下英台 动漫 【自动发货】《在下英台》动漫  连载中/持续更新  每周日  11点更新4k画质 跟随动漫连载 持续更新 无需担忧 断更包退  夸克网盘发货 24小时自动发货  标价即是卖价  注意：网盘会员可以观看原画质！没有会员还请下载原画质相册观看...,1.0,上海,2,https://www.goofish.com/item?id=960817033320&categoryId=202036301
米老鼠群星会 国语台配 英语中字 52集 80-90年代经典 动画  发货丨百度Wang 盘 台配画质丨720P   总9g   格式mp4 英语画质丨720P   总5g   格式mp4 手机 电脑 平板 均可打开直接看 无需压解或下载  画面要求高者《勿拍》 看清楚商品介绍在下单 一人一码 毅经保...,6.88,北京,16,https://www.goofish.com/item?id=855875705744&categoryId=126864807
动漫《在下英台》｜更新至7集｜1080p｜可投屏｜跨克+佰度 自动发货，24h秒发追更至完结！！！【购买须知】  1. 宝贝为虚拟商品，非实物，不邮寄。  2. 在线观看高级别画质需开通会员，无会员可下载后观看视频原画质。  3. 发货后有问题请联系客服协助处理，我尽力为大家提供优质满意的服务，谢谢亲们。  4. 虚拟特殊商品，不退不换！！！！！不退不换！！！发货后任何理由都不退款（特别提醒不看商品详情的买家），看好商品文字/图片介绍后再拍！,2.5,北京,0,https://www.goofish.com/item?id=957802138306&categoryId=126864807
动漫《在下英台》｜更新至7集｜1080p｜可投屏｜跨克+佰度 自动发货，24h秒发追更至完结！！！【购买须知】  1. 宝贝为虚拟商品，非实物，不邮寄。  2. 在线观看高级别画质需开通会员，无会员可下载后观看视频原画质。  3. 发货后有问题请联系客服协助处理，我尽力为大家提供优质满意的服务，谢谢亲们。  4. 虚拟特殊商品，不退不换！！！！！不退不换！！！发货后任何理由都不退款（特别提醒不看商品详情的买家），看好商品文字/图片介绍后再拍！,2.5,北京,0,https://www.goofish.com/item?id=962142952906&categoryId=126864807
Daily English Dictation全网独家笔记[ 火]不得不说，Daily English Dictation让很多英语学习者受益匪浅，而我就是其中之一。[红旗][红旗][红旗][红旗][红旗][五角星]在 Daily Dictation 这个以听写训练为主题的系列视频中 ，Shane 选择了来源于电台、新闻、影视片段等的真实影音材料作为听写练习的素材。这个系列是在每一篇的片尾留下一段dictation的音频，再在下一期期进行详细的讲解，讲解时 Shane 会逐词逐句地分析听力段落中出现的每一个语音现象、也会讲解生词、句型和短语表达。最后，再以不同的语速完整地朗读听写段落，并重新播放原音。学完这个材料，听说读写都会达到你想不到的高度[比心][比心][比心][比心][比心]所以一定要把这个资料亲手做成文档分享给大家，方便大家学习，并且制作成PDF和WORD两个格式，PDF可以直接打印出来，WORD可以自己在电脑上做笔记。[比心]如何学：[右]401集听写每天听写一篇，每一篇都有中英文对照版，方便第一次学习。先盲听几遍能写多少算多少，再听Coach Shane的视频课，因为老师是全英文讲课，也没有字幕，所以中英文对照文档显得尤其重要，提高了学习效率[火][右]第二遍用全英文文档进行英译汉训练，了解自己哪里还有模糊不清的地方，同时训练了翻译思维。[右]第三遍最重要，英专生的必备训练手段：回译[五角星][五角星][五角星]使用全英文文档，看着中文说英文，也可以写下来，再看看自己写的和原文有什么区别，这样把地道的表达更加内化成自己的东西[ok][ok][火]Daily Dictation的内容涵盖了英语世界的方方面面，吃透了可以降维打击英语考试，更能轻松听懂美剧以及使用英语交流，真心劝大家赶快学起来吧[红旗][红旗][红旗][红旗][红旗]#笔记学习资料,49.99,北京,2,https://www.goofish.com/item?id=950265226813&categoryId=202036301
英纷中英文学习屋 超大号产品全新，包装破损 很大很重看好在下单,150.0,山东,699,https://www.goofish.com/item?id=959667284267&categoryId=126862898
实拍二手英Ⅰntel特尔128G M.2 NⅤMe协议228 0固态硬盘台式笔记本通用  如图示 已测试ok （5个起包邮，可以混牌拿货） 购买M.2固态硬盘请注意看好接口在下单，分2种接口 SATA接口和NⅤMe接口。本店发硬盘是不带系统发货，谢谢亲支持！,48.0,上海,0,https://www.goofish.com/item?id=836149064483&categoryId=126856274
在下英台明信片 腾讯视频动漫大赏 库存已设置 可直拍 售出不 退换,10.0,上海,0,https://www.goofish.com/item?id=837720874178&categoryId=202129704
"芒果TV VIP会员 9.9元一个月，可续月。 热门综艺：主动坦白局、密室大逃脱7、你好星期六2025、中餐厅非洲创业季热门电视剧：锦绣芳华、罪嫁、花落时节又逢君热门电影：多幸运遇见你、时间之子、海底小纵队：海啸危机、缉盗热门动漫：在下英台、维将、叶罗丽时空之虚1080P SDR超清画质，繁花似梦！手机号是商家本人，需登录本人随时提供验证码。VIP就一个，不会再次售卖其他平台。一经售出，概不退换！感兴趣的话点""我想要""和我私聊吧～",9.9,北京,0,https://www.goofish.com/item?id=962651289444&categoryId=201703101
"美国Blippi惊喜盒盲盒数学玩具学习套装儿童玩具盲盒儿童英语启蒙 尺寸：19x20x5（实物为准）出口到美国港澳台地区的玩具，贸易战出不去转内销了，剩余1000来套积压到仓库了，低价清仓库处理，功能自行官网科普！  玩具人身上衣服颜色有一些不一样随机发当盲盒出售，接受再拍！不接受指定！积压到仓库会有一些外盒挤压变形盒子灰尘等问题完美主义者不要来，尽量会选好的发！难免偶尔小瑕疵不接受斤斤计较挑刺的，喜欢拿放大镜找问题的不欢迎，小灰尘压痕包装盒变形啊这些问题默认存在，完美主义者建议上专柜，这里不欢迎这种事儿妈！发货会尽量检查好再发出！喜欢挑刺的事多的，说话难听的一律不接待！自己上专柜去哈！小孩玩具请大人到旁陪同看护！恶意竞价 竞拍成功不付款的  已读不回的  付款了又申请退款的 什么小孩子点的 点错了看错了 喜欢找借口的   事儿妈事儿逼的都别来 明明是偏远地区不承认不愿意补邮费不招待 ！ 这些人统统原地爆炸！当天下午6点截单 ！竞价规则1元起拍1元不发货 白嫖党羊毛党自行绕道会直接拉黑 偏远地区需要补邮费 恶意竞价恶意中差评直接举报加拉黑永久限制购买商品 竞价成功者不付款黑名单无期限 永久限制竞价资格 质疑的白嫖的想薅羊毛的不欢迎不欢迎不欢迎同1个人同1个ID账号反复竞拍商品以高价发出，低价单不发，如不然2个订单都会取消，永久限制竞拍资格加拉黑。竞价规则看清楚在竞价 学生党搞事的不要来不欢迎 不然下次有好东西不上这个平台优惠给大家了一旦点击发货出单号之后申请退款扣除运费8元 同意在下单 因系统是直接链接的快递的系统 快递点系统出单号之后就会扣走我的快递费所以点击发货有单号之后退款我这边需要扣除运费成本！！偏远地区不包邮补邮费5-15元之间看地区情况！偏远地区参考买家必读第9条！【下单必读】1、下单后不支持无理由退换货，如果发错货，请不要拆封，若拆封使用不退不换，请知悉!2、收到货后如有质量问题，错发，漏发，24小时之内务拍照联系客服，需要拍照(面单+产品照片+外包装)，无照片没办法处理，超时损失自行承担哦!3、收到产品后当场验货，如出现问题，请及时拍照并与我们联系，我们会第一时间处理4、下单后，发货和上传运单号会有时差，因此有些订单没有运单号不代表没有发货5、客户留地址电话等信息导致货物不能正常送达均不在售后范围内6、产品已经发出的情况下，不可更改地址、不退货，下单前，一定要留对信息，如果一定要更改地址，该地址产生的运费自行承担。7、非质量问题不退不换，提交订单不撤单，拦截或者拒收需扣除来回邮费，包装盒因物流运输挤压破损不属于售后范围，介意勿拍8、因拍摄光线、环境、屏显等原因可能出现轻微色差，颜色请以实物为准9、西藏,新疆,内蒙古,甘肃，青海，宁夏等偏远地区补邮费！10、下单默认同意以上内容，商家拥有一切解释权！最终解释权由商家提供！",16.0,广东,199,https://www.goofish.com/item?id=942272308487&categoryId=126862906
