标题,价格(元),所在地,想要人数,商品URL
大盗贼系列全套3册，德国作家普鲁士勒作品，包括《会唱歌的咖啡 磨》《奇幻水晶球》《危险的沼泽地》。适合7-9岁小朋友阅读，二十一世纪出版社正版出版。书籍几乎全新，图文并茂，内容有趣。售出不退不换偏远地区不包,15.0,福建,0,https://www.goofish.com/item?id=966768957374&categoryId=127832004
大盗贼系列四本合售。5.5元一本，几乎全新，适合7-9岁小朋 友阅读。 书本保存完好，无破损缺页。德国原版引进，风趣幽默的故事情节，深受小朋友喜爱。 同城自提更优惠，外地的话可以帮你寄出，价格可以聊。感兴趣的朋友欢迎私聊咨询～,20.0,重庆,70,https://www.goofish.com/item?id=955062990001&categoryId=127832004
大盗贼(3危险的沼泽地50周年彩色纪念版) 感兴趣的话点“我想要”和我私聊吧～,15.0,上海,0,https://www.goofish.com/item?id=811493292762&categoryId=127838003
大盗贼系列三本全，包括《奇幻水晶球》《会唱歌的咖啡磨》《危险 的沼泽地》，德国儿童文学经典作品。适合7-9岁小朋友阅读，画面精美，故事有趣，让孩子在阅读中体验冒险与智慧,10.0,上海,0,https://www.goofish.com/item?id=965652425727&categoryId=127832004
大盗贼系列全三册，德国作家普鲁士勒作品，程玮翻译。二十一世纪 出版社出版，适合7-9岁小朋友阅读。包括《会唱歌的咖啡磨》《危险的沼泽地》《奇幻水晶球》，定价18元一本。书籍成色几乎全新，图文并茂，非常有趣。三本一起15元。,15.0,江苏,48,https://www.goofish.com/item?id=963339159815&categoryId=127832004
大盗贼3本，很新 感兴趣的话点“我想要”和我私聊吧～,10.0,上海,21,https://www.goofish.com/item?id=888127670682&categoryId=127838003
大盗贼3册，普鲁士勒作品点藏。 感兴趣的话点“我想要”和我私聊吧～,15.0,黑龙江,0,https://www.goofish.com/item?id=966073640889&categoryId=127838003
正版二手书 大盗贼1 正版二手 书本基本都是八九成新的，有少量99新和全新的，没有破损缺页等情况，不影响正常阅读使用，放心购买！  发货时间：如无意外，一般当太难下午两三点前下单的，当天都能发货，最迟不超过4小时。  标价是一本书的包邮价格，多买可以优惠。 ...,8.49,北京,0,https://www.goofish.com/item?id=908243048573&categoryId=127832004
正版二手大盗贼  1  会唱歌的咖啡磨  50周年彩色纪念版（德）奥 所售书籍都是正版二手八九成新左右！ 部分可能会有字迹，保证不缺页漏页！ 在线商品可以直接下单，24小时内发出！ 快递一般两天左右到，非偏远地区都包邮！ ------ 【书名】正版二手大盗贼  1  会唱歌的咖啡磨  50周年彩色纪念版（...,10.0,上海,20,https://www.goofish.com/item?id=944395637153&categoryId=127838003
大盗贼系列全4册 非注音彩图版会唱歌的咖啡磨危险的沼泽地奇幻 水晶球亲近母语经典童书 只有3本大盗贼(3危险的沼泽地50周年彩色纪念版),15.0,广东,0,https://www.goofish.com/item?id=885648507727&categoryId=127832004
《大盗贼》一套三本闲置转 适合7-12岁阅读 故事言简意赅，吸引小朋友阅读 能培养阅读习惯,14.0,广东,0,https://www.goofish.com/item?id=651118122509&categoryId=127838003
大盗贼系列图书，《危险的沼泽地》，50周年彩色纪念版。德国著 名作家奥得弗雷德·普鲁士勒作品，适合小学生课外阅读。书籍成色几乎全新，干净整洁，没有折痕。出于家中书量过多，现低价转让。感兴趣的朋友可以私聊我，大盗贼(3危险的沼泽地50周年彩色纪念版)新疆西藏内蒙甘肃等偏远不包邮，拍之前问邮费哦！,10.5,天津,1,https://www.goofish.com/item?id=902375697378&categoryId=127838003
大盗贼大盗贼(3危险的沼泽地50周年彩色纪念版) 感兴趣的话点“我想要”和我私聊吧～,15.0,浙江,2,https://www.goofish.com/item?id=951752210113&categoryId=127838003
大盗贼3本全新20包邮 感兴趣的话点“我想要”和我私聊吧～,20.0,辽宁,0,https://www.goofish.com/item?id=925883205410&categoryId=127838003
大盗贼系列全套3册，包括《会唱歌的咖啡磨》《奇幻水晶球》《危 险的沼泽地》，普鲁士勒著，二十一世纪出版社出版。书籍保存完好，几乎全新，适合7-9岁小朋友阅读。德国儿童文学经典作品，内容精彩有趣，插图生动活泼。大盗贼(3危险的沼泽地50周年彩色纪念版),10.0,北京,54,https://www.goofish.com/item?id=965875194247&categoryId=127832004
大盗贼系列全套4册正版普鲁士勒彩图版儿童，没有任何折痕，几乎 全新奇幻水晶球,19.0,江西,0,https://www.goofish.com/item?id=817290260498&categoryId=127838003
大盗贼(3危险的沼泽地50周年彩色纪念版) 感兴趣的话点“我想要”和我私聊吧～,18.0,辽宁,1,https://www.goofish.com/item?id=936790453228&categoryId=127838003
大盗贼大盗贼(3危险的沼泽地50周年彩色纪念版) 感兴趣的话点“我想要”和我私聊吧～,20.0,河北,0,https://www.goofish.com/item?id=949281360519&categoryId=127838003
大盗贼系列全三册，奇幻水晶球+危险的沼泽地+会唱歌的咖啡磨， 德国作家普鲁士勒作品，程玮翻译。适合6-10岁小朋友阅读，二十一世纪出版社正版出版。 书籍几乎全新会唱歌的咖啡磨,12.0,浙江,10,https://www.goofish.com/item?id=957882793499&categoryId=127832004
闲置/二手正版 大盗贼3册《危险的沼泽》+《会唱歌的咖啡磨》 +《奇幻水晶球》（彩色注音版）3册一起出正版书几乎全新无翻角无折痕，闲置转让，一经出售不退不换。欢迎有意者私聊，多买几本书可刀，欢迎自提。,20.0,上海,0,https://www.goofish.com/item?id=962380336867&categoryId=127838003
大盗贼15元不包邮大盗贼(3危险的沼泽地50周年彩色纪念版) 感兴趣的话点“我想要”和我私聊吧～,15.0,安徽,1,https://www.goofish.com/item?id=899677265126&categoryId=127838003
一套三本，大盗贼等 感兴趣的话点“我想要”和我私聊吧～,15.0,四川,54,https://www.goofish.com/item?id=958789248934&categoryId=127832004
大盗贼 感兴趣的话点“我想要”和我私聊吧～,15.0,浙江,54,https://www.goofish.com/item?id=950288986111&categoryId=127838003
大盗贼一套三本9.9成新，23包邮，不刀 感兴趣的话点“我想要”和我私聊吧～,23.0,江苏,0,https://www.goofish.com/item?id=863404675887&categoryId=127838003
正版二手书 大盗贼3 正版二手，书本基本都是八九成新的，有少量99新和全新的，没有破损缺页等情况，不影响正常阅读使用，放心购买！  发货时间：如无意外，一般当太难下午两三点前下单的，当天都能发货，最迟不超过4小时。  标价是一本书的包邮价格，多买可以优惠。 ...,8.49,北京,0,https://www.goofish.com/item?id=904040100047&categoryId=127832004
大盗贼全套，9成新，买的正版图书，小朋友很喜欢的一套书，推荐 给小学生！整套不拆卖，不退换。,30.0,湖北,0,https://www.goofish.com/item?id=930637776843&categoryId=127832004
大盗贼，全3册，正版。自家孩子看，九九新。 感兴趣的话点“我想要”和我私聊吧～,15.0,吉林,10,https://www.goofish.com/item?id=893184973144&categoryId=127832004
大盗贼大盗贼(3危险的沼泽地50周年彩色纪念版) 全新大盗贼图书便宜出,24.0,广东,54,https://www.goofish.com/item?id=958293124234&categoryId=127832004
正版书，大盗贼系列，共三本，不包邮，不议价。 感兴趣的话点“我想要”和我私聊吧～,10.0,北京,5,https://www.goofish.com/item?id=922543225461&categoryId=127832004
大盗贼(彩色纪念版) 全套三册，几乎全新，孩子大了闲置，不退不换哦大盗贼(3危险的沼泽地50周年彩色纪念版)会唱歌的咖啡磨,20.0,上海,1,https://www.goofish.com/item?id=874502962982&categoryId=127832004
大盗贼系列全套3册普鲁士勒作品典藏彩图版畅销儿童文学课外书会 唱歌的咖啡磨6-10-12岁童书￼￼3本10元正版图书！jd自营购买！孩子自用的绘本，保证新，不退不换不议价,10.0,北京,1,https://www.goofish.com/item?id=962187476666&categoryId=127838003
大盗贼1-3三本 感兴趣的话点“我想要”和我私聊吧～,15.0,浙江,0,https://www.goofish.com/item?id=866248138252&categoryId=127838003
大盗贼系列三本 会唱歌的咖啡磨、危险的沼泽地、奇幻水晶球 基本全新，闲置不用  闲置不退不换  欢迎自提，运费自理哦,15.0,江苏,1,https://www.goofish.com/item?id=956977786308&categoryId=127832004
大盗贼一套4本孩子很爱护自己的书籍 几乎全新 不影响自己用， 内页无缺损，江浙沪包邮,25.0,上海,0,https://www.goofish.com/item?id=911082785811&categoryId=127832004
大盗贼 一套3本/正版，带彩图/8.5成新/无破损/无缺页/ 适合2-3年纪学生 —————————— 关于我们的营业时间：人工客服在线时间8：30-23：00，在这段时间您可以自由...,23.8,浙江,55,https://www.goofish.com/item?id=936379481119&categoryId=127832004
大盗贼3本正版，二手商品售出不退，感兴趣的话点“我想要”和我 私聊吧～运费外地+6拍下改价,12.0,辽宁,0,https://www.goofish.com/item?id=928085678457&categoryId=127832004
大盗贼，共3本，新 感兴趣的话点“我想要”和我私聊吧～,10.0,江西,0,https://www.goofish.com/item?id=963373518481&categoryId=127832004
大盗贼 4册  未拆封正版新书 感兴趣的话点“我想要”和我私聊吧～,26.0,福建,1,https://www.goofish.com/item?id=956834884462&categoryId=127832004
正版大盗贼系列全3册，非注音版 小学生阅读书籍 成色如图，几乎全新！仅翻看过一遍，共三本一起出售，不单独卖！  18元江浙沪皖包邮（含三本）！不议价，二手产品售出不退货！奇幻水晶球大盗贼(3危险的沼泽地50周年彩色纪念版)会唱歌的咖啡磨,18.0,浙江,0,https://www.goofish.com/item?id=814198401493&categoryId=127838003
大盗贼3本全套 会唱歌的咖啡磨 奇幻水晶球 危险的沼泽地   家里断舍离，买得多省邮费   断舍离物品，不退不换！,15.0,重庆,3,https://www.goofish.com/item?id=783501834781&categoryId=127838003
大盗贼一套3本 自家孩子看过的书 感兴趣的话点“我想要”和我私聊吧～,11.0,陕西,54,https://www.goofish.com/item?id=947703953425&categoryId=127832004
大盗贼 感兴趣的话点“我想要”和我私聊吧～,18.0,辽宁,1,https://www.goofish.com/item?id=876934244318&categoryId=127838003
大盗贼 系列3本 包邮 偏远地区除外 感兴趣的话点“我想要”和我私聊吧～,24.0,上海,1,https://www.goofish.com/item?id=951603263904&categoryId=127832004
大盗贼 3本 单买不包邮，可与其他包邮书籍一并发出 大概月底吧,18.0,北京,0,https://www.goofish.com/item?id=940712192191&categoryId=127832004
一套大盗贼，(3危险的沼泽地50周年彩色纪念版)，3本一起出 15不包邮，同城可自提,15.0,浙江,4,https://www.goofish.com/item?id=782661950950&categoryId=127838003
大盗贼全套1-3辑，全新。转给有需要的伙伴 感兴趣的话点“我想要”和我私聊吧～,22.0,辽宁,0,https://www.goofish.com/item?id=678720246951&categoryId=127832004
大盗贼(4神秘的登月火箭20周年纪念版) 全4册，角有磕碰， 第四本塑封有点开了！,25.0,辽宁,2,https://www.goofish.com/item?id=846236164508&categoryId=127838003
大盗贼神秘的登月火箭大盗贼 感兴趣的话点“我想要”和我私聊吧～,10.0,辽宁,3,https://www.goofish.com/item?id=698598075719&categoryId=127838003
大盗贼全套3册 全新 感兴趣的话点“我想要”和我私聊吧～,25.0,北京,0,https://www.goofish.com/item?id=712089699335&categoryId=127838003
大盗贼 正版 3册 感兴趣的话点“我想要”和我私聊吧～,25.0,福建,0,https://www.goofish.com/item?id=713705452390&categoryId=127838003
正版《大盗贼》全4册彩图版儿童文学 ✅内附大量精美插图，与内容相得益彰。 ✅内容风趣幽默，人物个性鲜明、非常滑稽有性格。 ✅全新修订彩色版，采用了原版书的彩色插图。  【适合年龄】：6～12岁  【偏远运费】：新疆西藏青海宁夏不发货  【售后】不影响二次销售（塑封未拆）支...,29.8,河北,6,https://www.goofish.com/item?id=918006549104&categoryId=127832004
大盗贼三册图书会唱歌的咖啡磨 感兴趣的话点“我想要”和我私聊吧～,15.0,山东,0,https://www.goofish.com/item?id=888402469281&categoryId=127832004
大盗贼3册合售 1：会唱歌的咖啡磨2: 奇幻水晶球3:危险的 沼泽地大盗贼1 会唱歌的咖啡磨,16.0,黑龙江,0,https://www.goofish.com/item?id=966163306575&categoryId=201459411
大盗贼 全3册奇幻水晶球 感兴趣的话点“我想要”和我私聊吧～,20.0,浙江,0,https://www.goofish.com/item?id=886276866324&categoryId=127838003
大盗贼(3危险的沼泽地50周年彩色纪念版) 感兴趣的话点“我想要”和我私聊吧～,16.2,北京,0,https://www.goofish.com/item?id=914223824254&categoryId=127838003
大盗贼大盗贼(3册） 感兴趣的话点“我想要”和我私聊吧～,12.0,上海,0,https://www.goofish.com/item?id=762616010021&categoryId=127838003
大盗贼1 -3，1:会唱歌的咖啡磨；2:奇幻水晶球；3:危险 的沼泽地会唱歌的咖啡磨,20.0,上海,54,https://www.goofish.com/item?id=959293499843&categoryId=127838003
