标题,价格(元),所在地,想要人数,商品URL
大英雄狄青 VCD26碟全（原装正版）动画片 9品，商品具有可复制特殊性，一经签收，不退不换,148.0,广东,12,https://www.goofish.com/item?id=683375030350&categoryId=126864807
大英雄狄青漫画1-4册，绝版收藏，上海美术电影制片厂出品的经 典动画改编。书籍保存完好，轻微旧痕但无损伤，内页干净整洁。童年回忆满满，喜欢的朋友赶紧下手啦～,280.0,江苏,2,https://www.goofish.com/item?id=941257411042&categoryId=126862312
大英雄狄青，童年记忆，保存完好，售出不退不换 感兴趣的话点“我想要”和我私聊吧～,150.0,海南,0,https://www.goofish.com/item?id=782255549751&categoryId=126860393
大英雄狄青VCD 继【隋唐英雄传】后上海美术电影制片厂又一部以历史为题材的五十二集大型动画连续剧，全新未拆封， 2004年上海电影音像出版社出版 收藏珍藏版！不议价，发货不退不换，发货前可视频验货！,450.0,吉林,0,https://www.goofish.com/item?id=857102821319&categoryId=126864806
辽美32开圆脊大精装连环画最新四种预售 1、狄青风雪夺征衣，裴大元改编，黄子晞、张令涛绘画，76页，定价42元售价30元 2、红缨歌，赵寰原著，高援改编，胡克文、胡克礼绘画 ，144页，定价68元售价48元 3、新儿女英雄传上下，于国凡改编，翟万英绘画，364页，定价168元...,248.0,山东,1,https://www.goofish.com/item?id=929827378365&categoryId=126862193
大英雄狄青VCD 继【隋唐英雄传】后上海美术电影制片厂又一部以历史为题材的五十二集大型动画连续剧 2004年上海电影音像出版社出版 收藏珍藏版！不议价,450.0,江苏,2,https://www.goofish.com/item?id=759565355959&categoryId=126864808
童年回忆，CCTV央视大型系列动画片，天眼动画片，童年男神天 眼公仔  借词超智能足球，熊出没，宇宙星神，斗龙战士，铁甲威虫，巴啦啦小魔仙，秦时明月，十二生肖闯江湖，星游记，魔角侦探，甜心格格，美猴王，神龙勇士，开心超人，哈皮父子，水漫金山，天眼，金甲战士，隋唐英雄传，秦汉英雄传，快乐星球，大英雄狄青...,368.0,河南,0,https://www.goofish.com/item?id=927662966567&categoryId=126860378
辽美32开圆脊大精装连环画最新四种预售 1、狄青风雪夺征衣，裴大元改编，黄子晞、张令涛绘画，76页，定价42元售价30元 2、红缨歌，赵寰原著，高援改编，胡克文、胡克礼绘画 ，144页，定价68元售价48元 3、新儿女英雄传上下，于国凡改编，翟万英绘画，364页，定价168元...,248.0,山东,0,https://www.goofish.com/item?id=928951523195&categoryId=126862193
【超清修复】大英雄狄青 国产动画52集 VCD源码修复超清1 080p，高码率，极清画质。  喜欢高清童年动漫的，欢迎下单 秒发百度☁️ 虚拟产品售出不退,6.6,江苏,2,https://www.goofish.com/item?id=938546626475&categoryId=201459411
52集大型系列动画片 大英雄狄青，超清修复，分辨率1080p ，8090后童年回忆，已修复可收藏，全网独家资源。  剧情讲述的是幼年的狄青因把救生的马槽让给别人而被洪涛卷走，一位隐居山林的高僧救起了昏迷的狄青，并传授他武林绝技和为将之道。参军后与杨家将的杨宗保，杨排风保家卫国的故事，狄青不负重望，率领...,8.8,江苏,17,https://www.goofish.com/item?id=827042170830&categoryId=201459411
大英雄狄青VCD国产动画52集全，有VCD源文件也有超清修复 版的，童年的回忆，我们的主人公狄青邂逅了好几个对他痴心一片的女孩，可惜他的志向是报效祖国，下单马上发，百度发货，想要DVD碟片，可以制作 动画片 8090后童年经典老动画片儿童怀旧动漫老动画 七龙珠 足球小将 一休 四驱兄弟 灌篮高手 变形...,10.5,四川,2,https://www.goofish.com/item?id=896514386985&categoryId=126864805
童年回忆，CCTV央视大型系列动画片，天眼动画片，童年男神天 眼公仔，女主角香凌公仔 标价包邮借词超智能足球，熊出没，宇宙星神，斗龙战士，铁甲威虫，巴啦啦小魔仙，秦时明月，十二生肖闯江湖，星游记，魔角侦探，甜心格格，美猴王，神龙勇士，开心超人，哈皮父子，水漫金山，天眼，金甲战士，隋唐英雄传，秦汉英雄传，快乐星球，大英雄狄青，神探威威猫，封神榜传奇，茶啊二中，梦幻西游，赛尔号，神厨小福贵，环保剑，小神仙和小仙女，小牛向前冲，魔豆传奇，哪吒传奇，火星娃，憨八龟，星际飚车王，奇奇颗颗历险记，电击小子，围棋少年，天降小子，奥林匹斯星传，成龙历险记，中华小子，魔笛奇遇记，神兵小将，三毛流浪记，金甲战士，猴王传，劲爆战士，哈皮父子，精灵世纪，大耳朵图图，快乐星猫，游击神兵，猪猪侠，虹猫蓝兔七侠传，天眼神虎，快乐星球，三国演义，天上掉下个猪八戒，象棋王，战斗王，福五鼠，恐龙宝贝，东方神娃，蓝猫淘气三千问，蓝猫龙骑团，小鲤鱼历险记，郑和下西洋，神探威威猫，喜羊羊与灰太狼，雷速登，美猴王，央视西游记，憨八龟的故事，蓝皮鼠和大脸猫，神奇山谷，渴望蓝天，果宝特攻，瑶铃啊瑶铃，超兽武装，洛洛历险记，童年怀旧,500.0,浙江,0,https://www.goofish.com/item?id=963425468208&categoryId=126860378
[超清修复]大英雄狄青，52集动画，国语版，ai大模型修复超 清1080P，画质清晰  百度网盘，夸克网盘发货 --------------------------------------- 注意：此为虚拟商品 ，具有复制性 ，不支持任何理由的退货退款（拍下即为同意），介意者勿拍 ，白嫖党请绕行，谢谢...,1.99,上海,0,https://www.goofish.com/item?id=924630376782&categoryId=126864807
大英雄狄青，国语动画，共52集。 感兴趣的请点击“我想要”和我联系。,1.2,浙江,0,https://www.goofish.com/item?id=909990962935&categoryId=126864807
[TV][大英雄狄青][52集全][广东佳视][国语无字幕] [VCDDAT] 剧情简介 幼年的狄青因把救生的马槽让给别人而被洪涛卷走，一位隐居山林的高僧救起了昏迷的狄青，并传授他武林绝技和为将之道。八年后，狄青在师父的劝说下放弃了出家为僧的念头，前往边疆投军，报效国家。 初到开封的狄青打伤了仗势欺人...,30.5,广东,0,https://www.goofish.com/item?id=947559050957&categoryId=126864805
动画片《大英雄狄青》上映时，却没有发行相应的卡片！主要是人物 太少，而且狄青的故事也不多，也没有什么出名的兵器！都说这部动画片三观很正，但和《神兵小将》、《秦汉英雄传》、《隋唐英雄传》一样，都是后宫篇。狄青和李世民、张良、南宫问天一样，女友很多，长得帅是大前提，其次会撩，再次文武双全！杨排风就是&ld...,5.0,山东,1,https://www.goofish.com/item?id=818615208789&categoryId=201459411
