标题,价格(元),所在地,想要人数,商品URL
智能电动套丝机  感兴趣的话点“我想要”和我私聊吧～,4.5,套***售,30,https://www.goofish.com/item?id=776825071197&categoryId=126864136
"公司新到货一台2250型双头套标机，SAM 135立方过滤器 ,36千瓦蒸汽发生器，有需要的联系我",666.0,天***菜,3,https://www.goofish.com/item?id=711533722795&categoryId=201456004
昆杰大力钳，套装大力钳，7件套的，图片是实拍图，138.8元 一套，不是偏远地区包邮，喜欢的朋友可以直接下单，数量不多，,138.8,小***库,5,https://www.goofish.com/item?id=714395078503&categoryId=126864583
现摘锦绣黄桃当季新鲜现摘红心大黄桃甜桃子孕妇水果毛桃整箱包邮  带箱9.2-10斤(优选大果）新鲜自然熟¥39.9 带箱,29.9,农***铺,0,https://www.goofish.com/item?id=958573946335&categoryId=126916216
【双11】babycare奶瓶盒收纳箱婴儿置物架宝宝餐具沥水 架带盖防尘,35.0,a***胖,0,https://www.goofish.com/item?id=823967818906&categoryId=126864931
13山西省-02-大同市-同舍侘寂美宿  门锁卡仅供参考收藏,20.0,M***a,2,https://www.goofish.com/item?id=922850554482&categoryId=126856466
公司发的小米透明包包 质量超级好 全新未使用  爽快的包邮 俩一块打包35,15.0,好***见,0,https://www.goofish.com/item?id=950452032996&categoryId=126858604
又做一批1.14*1.14的胶合板托盘，可送货上门，可对公转 账可开发票。要的老板速来[偷笑],45.0,宁***厂,1,https://www.goofish.com/item?id=710433704371&categoryId=126856962
热敏收银打印纸57x50，一箱100卷，打印清晰流畅！  全新未拆封的好货，适合各类收银打印机使用，表面光滑不卡纸，一卷,88.0,孤***行,138,https://www.goofish.com/item?id=931135220733&categoryId=126854239
特殊非标高尔夫颈套杆头胶套，台湾进口原装正品，适合calla way warbird卡拉威战鸟开球木一号木球道木，孔径是,30.0,朗***夫,60,https://www.goofish.com/item?id=872833071211&categoryId=126866188
海德汉细分盒IBV101现货  感兴趣的话点“我想要”和我私聊吧～,999.0,海***导,16,https://www.goofish.com/item?id=697097451317&categoryId=126864555
2024宝鸡马拉松全程参赛服XL码➕完赛毛巾。背心全新带吊牌 ，毛巾未拆封，爽快的朋友包邮带走。,92.0,不***体,1,https://www.goofish.com/item?id=853301724172&categoryId=126866384
芙倍丽 鼻毛修剪器  全新正品仅拆封 一次没用过  带礼盒 可送礼 可自用 实拍图如下  拍下后不退不换 议价事多勿扰 ,55.0,意***鸟,2,https://www.goofish.com/item?id=889467427527&categoryId=126860203
工艺极好的老银耳挖簪子！带款6.5克！厚实！  感兴趣的话点“我想要”和我私聊吧～,150.0,江***楼,3,https://www.goofish.com/item?id=916898558662&categoryId=126860163
监控安装维修，手机远程观看app安装，上门安装布线 监控设备 上门维修修不好不收任何费  经验丰富价格实惠。,100.0,梦***谷,180,https://www.goofish.com/item?id=799719307589&categoryId=201457208
"闲置在家一台 小型木材削片机 时产4-5吨 适合小需求老板使 用 刀口完好 机器板正 价格可以


木材破碎机就是一种粉",2.0,哇***呀,11,https://www.goofish.com/item?id=711007411064&categoryId=126860541
原装正品台湾上泰PC3110工业在线控制器PH/ORP检测污 水酸碱值仪表,121.0,华***豆,3,https://www.goofish.com/item?id=724073108496&categoryId=126864699
"小肠发圈少女大肠发圈发绳，超级温柔可爱！ 双层纱手感柔软亲肤，适合日常使用。图片实拍，所见即所得。
非偏远地区满15包邮",5.9,静***光,0,https://www.goofish.com/item?id=931009573696&categoryId=126860164
"全新全新低价出一批库存水带，全新当二手价格销售 
消防农用灌溉帆布水带超低价全新有货  ，质量过硬，PE内膜，1寸1.2",18.0,幸***你,68,https://www.goofish.com/item?id=819285305756&categoryId=126864453
游泳池吸污机池底水下吸尘器全自动过滤设备龟鱼池海豚清洁机器人  全新未使用，现货实拍，售出不退不换！,899.0,一***‖,5,https://www.goofish.com/item?id=859965438759&categoryId=126866138
