标题,价格(元),所在地,想要人数,商品URL
假如如果历史是一群喵全套12册如果历史是一群喵12·元末明初 如果历史是一群喵11·南宋金元篇 肥志人气历史萌漫系列第十一卷，南宋金元展开激烈较量，世纪风暴袭来！,7.78,江苏,27,https://www.goofish.com/item?id=746790643946&categoryId=201544601
【喵15】如果历史是一群喵15·大清风云篇 肥志历史科普漫画 全新书籍 包邮内容简介《如果历史是一群喵》是肥志精心打造的，一部以华夏历史为主线，依据二十四史等文献资料编绘的历史漫画。该系列用漫画手法塑造了12只体态丰盈、造型可爱的喵咪，精彩还原古代中国众多经典历史故事，达到寓教于乐的效果。为了打破枯燥无味的历史标签，肥志和他的团队翻遍二十四史，理清时间脉络，为《如果历史是一群喵》注入大众更容易消化的现代梗。每回文末搭配严谨的文献参考和新编的展开目录《如果历史是一群喵1·夏商西周篇》《如果历史是一群喵2·春秋战国篇》《如果历史是一群喵3·秦楚两汉篇》《如果历史是一群喵4·东汉末年篇》《如果历史是一群喵5·乱世三国篇》《如果历史是一群喵6·魏晋南北篇》《如果历史是一群喵7·隋唐风云篇》《如果历史是一群喵8·盛世大唐篇》《如果历史是一群喵9·五代十国篇》《如果历史是一群喵10·宋辽金夏篇》《如果历史是一群喵11·南宋金元篇》《如果历史是一群喵12·元末明初篇》《如果历史是一群喵13·大明皇朝篇》《如果历史是一群喵14·明末清初篇》作者简介肥志:深圳萌想文化传播有限公司、深圳萌想影视科技有限公司创始人兼董事长，连续两年微博十大影响力动漫大V之一，获评胡润“Under30s创业领*袖”、广州市动漫艺术家协会“广州青年动漫家十*强”、“致敬新中国动漫70年70人”之一、中国国际漫画节“湾区名家大师团”成员。曾任深圳脸萌科技有限公司联合创始人、原脸萌 APP首席美术设计师，脸萌APP全*球下载量超过1亿。近年先后主创作品有《如果历史是一群喵》《如果西游是一群喵》《如果世界是一窝啾》和《肥志百科》，深受广大读者喜欢。目前萌想文化旗下漫画在新浪微博总阅读量已超过20亿，同名动画在Bilibili上累计播放量超过5亿，作品相关内容多次获得人民日报、共青团等官方媒体的转载和关注，更荣获中国动漫金龙奖ZUI佳动漫IP奖、ZUI佳动漫角色奖、ZUI佳动漫出版奖及新周刊2018中国视频榜年度动漫作品等多项业内大奖。东汉末年篇-如果历史是一群喵,9.8,北京,23,https://www.goofish.com/item?id=891392934004&categoryId=202029302
如果历史是一群喵11（南宋金元篇） 感兴趣的话点“我想要”和我私聊吧～,16.8,江苏,10,https://www.goofish.com/item?id=777768948955&categoryId=202029302
二手正版如果历史是一群喵全套1-13册假如中国历史漫画故事 第1册 夏商西周篇9787559313652、第2册 春秋战国篇9787559330260、第3册 秦楚两汉篇9787557017477、第4册 东汉末年篇9787557020132、第5册 乱世三国篇9787557020149、第6册魏晋南北篇9787557021856、第7册 隋唐风云篇9787557023041、第8册 盛世大唐篇9787557024413、第9册 五代十国篇9787557025847、第10册 宋辽金夏篇9787557027063、第11册 南宋金元篇9787557028657 第12册 元末明初篇 9787557030162  第13册 大明皇朝篇9787557031589,16.8,江西,756,https://www.goofish.com/item?id=796858564479&categoryId=126864072
"如果历史是一群喵，南宋金元篇，广东旅游出版社出版。 特点：正版漫画，肥志编绘，讲述宋元时期历史故事。画面精美，内容有趣，适合历史爱好者阅读。成色：几乎全新，无任何破损。内容完整，印刷清晰。适合喜欢历史漫画的朋友收藏阅读。喜欢的朋友点""我想要""私聊，支持自提。现价买8元一本。",8.0,江苏,0,https://www.goofish.com/item?id=950987764539&categoryId=202029302
全新包邮如果历史是一群喵12345678910全套14册 乱世三国夏商西周春秋战国肥志漫画书籍书假如盛世大唐南宋金元篇  规格： 1-夏商西周篇-如果历史是一群喵1 2-春秋战国篇-如果历史是一群喵2 3-秦楚两汉篇-如果历史是一群喵3 4-东汉末年篇-如果历史是一群喵4 5-乱世三国篇-如果历...,12.7,广东,40,https://www.goofish.com/item?id=896705146695&categoryId=201459411
全新包邮 【14册任选】 如果历史是一群喵 乱世三国夏商西周 战国肥志漫画书籍书假如盛世大唐南宋金元篇规格：1-夏商西周篇-如果历史是一群喵12-春秋战国篇-如果历史是一群喵23-秦楚两汉篇-如果历史是一群喵34-东汉末年篇-如果历史是一群喵45-乱世三国篇-如果历史是一群喵56-魏晋南北篇-如果历史是一群喵67-隋唐风云篇-如果历史是一群喵78-盛世大唐篇-如果历史是一群喵89-五代十国篇-如果历史是一群喵910-宋辽金夏篇-如果历史是一群喵1011-南宋金元篇-如果历史是一群喵1112-元末明初篇-如果历史是一群喵1213-大明皇朝篇-如果历史是一群喵1314-明末清初篇-如果历史是一群喵14[书籍介绍]现货/全新/纸质书，非二手或PDF电子书。付款后48小时内发货，关注店铺优先安排。全国包邮（西藏、新疆等偏远需补运费）。到货有破损请直接拒收，快递异常联系我们。[售后服务]收货后有质量问题联系我可以退换货。签收后未阅读无折痕支持7天无理由退货，退货运费买家需承担。[实物拍摄]主图为图书设计斜切图，仅供参考。图书实际厚度如有参照书本实拍图。[图书介绍]持续上架全新图书。未上架书籍请留言，竭尽全力满足。,12.6,浙江,837,https://www.goofish.com/item?id=965724951734&categoryId=127812005
如果历史是一群喵漫画全套11册肥志著全新1-12南宋金元篇宋 如果历史是一群喵漫画全套11册肥志著全新1-12南宋金元篇宋辽金夏  1、全新未使用书籍，能拍证明有。 2、点“我想要”，点“立即购买”即可。 3、全国包邮，偏远地区不发货。 4、快递如有...,9.0,浙江,3,https://www.goofish.com/item?id=845714809326&categoryId=127812005
如果历史是一群喵 11 南宋金元篇 感兴趣的话点“我想要”和我私聊吧～,10.0,北京,59,https://www.goofish.com/item?id=960155727503&categoryId=202029302
【加厚烫金线装版】如果历史是一群喵全15册【南宋金元篇】 ❤作品全是实拍图，有重量.带价格❤  肥志著假如历史是一群喵儿童历史漫画，用幽默童趣的语言，诠释了中国5000年历史趣事、更迭。小学生必看书，有助于了解中国历史！ 加厚烫金线装1--13册158包邮【15.5斤重】 加厚烫金线装1--1...,15.8,北京,0,https://www.goofish.com/item?id=713341932885&categoryId=127832004
