标题,价格(元),所在地,想要人数,商品URL
孔子见老子 墨拓，138x68cm 一帘为山海经神兽 二帘为孔子见老子 三帘为农桑图 四帘为纺织图 五帘为车马出行图,168.0,山东,3,https://www.goofish.com/item?id=947868452226&categoryId=126862310
@碑帖拓片朱拓《孔子见老子像》尺寸174*40公分，已禁止捶 拓，数量有限，弥足珍贵。本店出售的拓片均为纯手工拓片，每张拓片都有凹凸感，杜绝印刷品或微喷作品，请放心购买。标价即是卖价，可直接下单购买，感兴趣的话点“我想要”和我私聊吧～,78.0,四川,128,https://www.goofish.com/item?id=782359315148&categoryId=126862310
【正版新书】 画外之意汉代孔子见老子画像研究 邢义田著 生活读 编码：RT9854432 书名：画外之意:汉代孔子见老子画像研究 ISBN：9787108067609 作者：邢义田著 编者： 出版社：生活·读书·新知三联书店 出版日期：2019-06 包册数： 字数：41...,67.54,云南,0,https://www.goofish.com/item?id=957168244344&categoryId=201544601
孔子见老子汉画拓片 感兴趣的话点“我想要”和我私聊吧～,88.0,山东,0,https://www.goofish.com/item?id=640182972631&categoryId=126862310
"嘉祥汉画工艺孔子见老子 泗河捞鼎，四尺斗方，品相完好。 【商品详情】- 分类：碑帖- 【材质】原拓本- 【尺寸】四尺斗方- 【状态】品相完好- 【其他】未装裱【出手理由】经典汉代风格画像石拓片，画面精美，拓工精湛，现低价转让，希望有缘人珍藏。【售后说明】支持验货，诚信交易。感兴趣的朋友可以点""我想要""，期待与您交流！",168.0,山东,0,https://www.goofish.com/item?id=744118923343&categoryId=126862310
东汉画像石、孔子拜（见）老子、精美拓片、原石原拓、四尺整纸、 感兴趣的话点“我想要”和我私聊吧～,128.0,山东,13,https://www.goofish.com/item?id=818744340619&categoryId=126914090
孔子见老子，四尺斗方，留题跋空间。 感兴趣的话点“我想要”和我私聊吧～,80.0,山东,0,https://www.goofish.com/item?id=895392203223&categoryId=126862310
碑帖拓片孔子见老子朱拓手工拓片尺寸160*32 感兴趣的话点“我想要”和我私聊吧～,79.0,山东,2,https://www.goofish.com/item?id=807387435066&categoryId=126862310
【孔子见老子拓片！】朱砂墨拓，孔子见老子的历史场景生动展现！ 直拍包邮～  品相完好无瑕疵！朱拓手工制作，收藏佳品！数量有限，先到先得！  感兴趣的朋友点“我想要”，随时私聊哦！,80.0,河南,0,https://www.goofish.com/item?id=860543383360&categoryId=126862310
孔子见老子，138x68cm 感兴趣的话点“我想要”和我私聊吧～,218.0,山东,0,https://www.goofish.com/item?id=944470970751&categoryId=126862310
曲阜碑帖拓片 孔子见老子  汉画像刻石尺寸:45*41cm 感兴趣的话点“我想要”和我私聊吧～,100.0,山东,20,https://www.goofish.com/item?id=587487942067&categoryId=126914090
【全新正版】 画外之意 汉代孔子见老子画像研究 生活读书新知三 编码：WX1202081840 书名：画外之意: 汉代孔子见老子画像研究 ISBN：9787108067609 作者：邢义田 著 编者： 出版社：生活·读书·新知三联书店 出版日期：2020-06-01 包册...,68.36,贵州,0,https://www.goofish.com/item?id=961545974769&categoryId=201544601
