标题,价格(元),所在地,想要人数,商品URL
#观赏鱼 宝莲灯 巴西宝莲灯 群游鱼 草缸 野生F1 进口鱼 2.8-3.2cm  超大尺寸宝莲灯鱼 已定水一个月 状态稳定 裸缸发色微红超大号（2.8-3.2cm）  5条20     中通包邮10条38  中通包邮20条68  中通包邮关于报损：1 需要未开袋视频图片。2 未及时取件导致鱼死不报损。3 死鱼按均价赔付，只退款不补发（包装和运费太贵了）偏远地区不发货，拍前请联系客服！,3.0,福建,0,https://www.goofish.com/item?id=860460165812&categoryId=126854820
巴西宝莲灯F1 11条31.8包邮包损  渔场批发 宝莲灯鱼 巴西宝莲灯印尼宝莲灯进口 巴西宝莲F1 11条1-1.5cm 31.8包损（其中2条为备损）  巴西宝莲F1 11条1.7-2.2cm 42.8包损（其中2条为备损） 巴西宝莲F1 23条1.7-2.2cm75.8包损（其中3条为备损） 巴...,31.8,上海,2485,https://www.goofish.com/item?id=798008573556&categoryId=126854820
巴西宝莲灯 6条16.8包邮包损  渔场批发 宝莲灯鱼巴西宝 莲灯印尼宝莲灯进口 巴西宝莲F1 6条1.7-2.2cm 16.8包损（其中2条为备损）关注才发货！ 巴西宝莲F1 11条1.7-2.2cm 31.8包损（其中2条为备损）关注才发货！ 巴西宝莲F1 23条1.7-2.2cm75.8包损（其...,16.8,福建,0,https://www.goofish.com/item?id=936680420046&categoryId=126854820
【巴西f1】宝莲灯灯鱼2.5-3公分才4一条超级红樱桃灯鱼冷 水鱼翡翠绿斑马热带鱼  下单优先挑选尺寸大的发货，挑发色好的发 价格已经做到闲鱼最实惠了，单品类没有优惠，每天发货下单都会随机送鱼，买多有送  [火]本店可以拼单各种鱼一起发货，可选择单鱼价格进行购买[火]  宝莲灯2.5-3公分【巴西f1...,25.0,广东,0,https://www.goofish.com/item?id=875155034819&categoryId=126854820
巴西野生宝莲灯鱼 10条33.98包损免包装费 ，巴西珍宝野 生宝莲灯观赏鱼灯科鱼热带鱼批发  1-1.5cm 巴西宝莲灯 10条33.98（包损到家保野生） 巴西宝莲灯 20条65.98（包损到家保野生） 巴西宝莲灯 50条148（包损到家保野生） 巴西宝莲灯 100条批发价 248（包损到家保野生...,33.98,四川,975,https://www.goofish.com/item?id=900642710173&categoryId=126854820
3d打印宝莲灯一个 感兴趣的话点“我想要”和我私聊吧～,28.0,河北,3,https://www.goofish.com/item?id=964793887664&categoryId=126858179
【进口印尼宝莲灯】10条28包邮 广东省以及周边顺丰包邮，偏远地区或者需要空运的地方请咨询[号外]  1.6-2cm 10条28；30条68 2-2.5cm 10条38；30条98 2.5-3cm 10条48；30条128 3-3.5cm 10条58；30条158  &...,28.0,广东,99,https://www.goofish.com/item?id=784824191014&categoryId=126854820
宝莲灯。巴西进口人工 F1宝莲灯鱼，亲代为野生宝莲灯，品相极 大贴近野生宝莲灯 正宗f1大尺寸，不卖便宜鱼，别拿FN价格来对比 小尺寸：1.6～2，2.5元一条  大尺寸：2.5～3，4元一条  天津发货  视频实拍，状态如狗，货不多，价低   因宝莲灯特殊性，只能袋内包损，下缸不包损   图片一：怎...,35.0,广东,0,https://www.goofish.com/item?id=893294700139&categoryId=126854820
巴西 宝莲灯 F1 进口 小型鱼 活体 活鱼 热门群游 灯科 鱼 热带鱼 巴西人工宝莲灯 定水完成 实体店出售发货 包损包活 批发价 是什么就是什么我们家从来不说 人工巴宝当野生卖 将心比心 特点低于22度不会死 印尼宝莲灯低于25度必死 皮实耐力强 不容易生病 比印尼的好看肚红线直 缺点贵产量少  ...,3.0,山东,461,https://www.goofish.com/item?id=704195946696&categoryId=126854820
巴西宝莲灯f1十条35.9包邮冬天正常发货，北京钢镚家发货， 观赏鱼热带鱼  尺寸1.8-2厘米，小号 10条35.9，20条60，50条140  尺寸2-2.5厘米，中号 10条45.9，20条80，50条170  尺寸2.8-3厘米，大号 10条50.9，20条90，50条200   我们钢镚家卖...,35.9,北京,6402,https://www.goofish.com/item?id=652571239270&categoryId=126854820
