标题,价格(元),所在地,想要人数,商品URL
左边是可以放衣服或被子的大收纳袋，右边是可以背着的小包，这两 个都是新的，没用过的，只要5块钱。,5.0,淡***痕,0,https://www.goofish.com/item?id=920323237789&categoryId=126862452
卡通小熊二次元switch保护套OLED保护壳  磨砂壳子 透紫磨砂 软机身 软手柄 几乎全新的 闲置物品  原价58 ,28.0,Y***o,0,https://www.goofish.com/item?id=865672354461&categoryId=126856288
ECOM 56000BPS 传真猫。同款两个。单价100。打 包180。正常使用 感兴趣的话点“我想要”和我私聊吧～,100.0,天***花,1,https://www.goofish.com/item?id=933844886981&categoryId=126862918
正品成量螺纹环规 M12 原价105元一副 现在90元一副  共计2副 180元/2副包邮包邮包邮,180.0,非***具,210,https://www.goofish.com/item?id=710798730534&categoryId=126914120
美产鼓棒vic firth 行进鼓鼓棒SMJ  感兴趣的话点“我想要”和我私聊吧～,144.0,大***乐,0,https://www.goofish.com/item?id=719147710259&categoryId=126858861
七弦古琴，做工精良，音域宽广，音色深沉，余音悠远，造型独特， 品相完好，尺寸如图，古朴大气，低价出！,1800.0,t***8,10,https://www.goofish.com/item?id=672378918466&categoryId=126858937
各类纯棉围嘴打包出售，共8个，轻微使用痕迹。适合宝宝使用，柔 软舒适。喜欢的朋友可以联系我哦～,5.0,i***i,0,https://www.goofish.com/item?id=887480090460&categoryId=126864852
高档降e中音萨克斯盒Omebaige乐器箱包萨克…  感兴趣的话点“我想要”和我私聊吧,718.0,p***0,0,https://www.goofish.com/item?id=806855938086&categoryId=126858880
仓库发货，立邦强效型加固剂18kg，全新未开封，  环保A+标准，适合多种基层 操作简单！假一罚十，订单金额满500.电,90.0,我***沈,100,https://www.goofish.com/item?id=906622641366&categoryId=126858168
陈列柜，货架，长2.85米，高2.4米，厚度0.38米  感兴趣的话点“我想要”和我私聊吧～,400.0,t***n,1500,https://www.goofish.com/item?id=946513148317&categoryId=126864015
双门双车烘箱多台需要的老板联系  感兴趣的话点“我想要”和我私聊吧～,1000.0,瑞***备,1,https://www.goofish.com/item?id=953299063992&categoryId=126864265
低价处理一批格图170、200、250四轴转台，新四轴二手价 。可配法兰克，三菱，西门子，新代，凯恩帝。电机驱动批发价，,4500.0,三***售,35,https://www.goofish.com/item?id=716880700171&categoryId=201449707
渔之源钓鱼伞雨伞2.2米万向防雨加厚鱼三折叠遮阳伞防晒2.4 大钓伞 颜色分类: 【赔本冲量】1.8米-黑胶,27.44,?***g,0,https://www.goofish.com/item?id=965633068496&categoryId=126856690
高档琉璃马赛克，玫红色，绿色。   一片320×300mm。一平方11片。  五方起订。28一片。包物流自提。。,28.0,砖***意,34,https://www.goofish.com/item?id=921524037973&categoryId=126858381
"星宇丁腈手套、E450、100支/盒、150不议价 
食品级加厚耐用型，单只4.5克，无粉设计，可接触食品。150不议价",150.0,汰***照,1,https://www.goofish.com/item?id=965978036272&categoryId=126854634
邦湃666清漆，5+2.5升，质保三年以上，做二手车，事故车 的看过来，效果一级棒,139.0,油***料,180,https://www.goofish.com/item?id=948736293733&categoryId=126858170
全新ZARA迷彩派克服，超级暖，M码，全新撤柜剪标，不讲价， 不退不换，介意勿扰,99.0,Z***店,999,https://www.goofish.com/item?id=731335793599&categoryId=126856884
比亚迪F3中控饰板，烟灰缸，比亚迪F3中控桃木饰板储物盒。图 片实物图，原厂拆车！,80.0,变***宝,1,https://www.goofish.com/item?id=772698819942&categoryId=126860791
卫生间厕纸盒壁挂式卫生纸置物架纸巾盒免打孔防水厕所抽纸盒卷纸 ！搬家用不到了！九成新自提,5.0,西***鱼,0,https://www.goofish.com/item?id=948925133975&categoryId=126858314
高级中音长号，可拆卸，外观美观，音色厚实，九九新，需要的私聊  感兴趣的话点“我想要”和我私聊吧～,650.0,风***行,30,https://www.goofish.com/item?id=725571211239&categoryId=126860005
