标题,价格(元),所在地,想要人数,商品URL
有需要的老板   私聊  感兴趣的话点“我想要”和我私聊吧～,20.0,A***料,0,https://www.goofish.com/item?id=942868427682&categoryId=126856483
木珠木珠滚漆厂滚喷漆厂木制品厂  感兴趣的话点“我想要”和我私聊吧～,1.28,喷***案,0,https://www.goofish.com/item?id=940020039563&categoryId=126858164
透明彩色亚克力棒水晶实心圆棒塑料有机玻璃柱导光桌腿圆柱腿定制  感兴趣的话点“我想要”和我私聊吧～,8.0,亚***厂,0,https://www.goofish.com/item?id=801236544389&categoryId=126858156
闲置医用隔离眼罩2个，便宜出  感兴趣的话点“我想要”和我私聊吧～,6.0,气***～,0,https://www.goofish.com/item?id=942889913089&categoryId=201455533
480一米包安装纯白石英石厨房台面，洁白无瑕，全成都一条龙服 务,200.0,成***人,0,https://www.goofish.com/item?id=731605585136&categoryId=201459509
"进阶版去ai化文档提示词 
【去 AI 化提示词｜让文字能通过相应检测】

AI 写的东西总像隔着层纱？这套方案专治各种",10.0,陆***光,0,https://www.goofish.com/item?id=962073782908&categoryId=202152829
金口祥桃木福字中国结挂件，大号尺寸，红色编织搭配金色福字，八 鱼对鱼图案，喜庆大气。 适合客厅玄关乔迁装饰，恭王府风格，,71.84,蓝***3,0,https://www.goofish.com/item?id=952642696898&categoryId=126858619
警示胶带pvc地板胶带车间定位划线地标警戒安全标示33米黑黄 胶带    [闪亮][闪亮][闪亮]规格  宽45mm×3,9.2,杨***铺,0,https://www.goofish.com/item?id=747552616132&categoryId=126854420
"日本限定版唇霜，07 Peach Step蜜桃色+08 Sp ring Shower樱花色，都是日本专柜限定色号～

全",7.0,日***代,0,https://www.goofish.com/item?id=926033763613&categoryId=127400002
可爱恐龙，人鱼公主，白雪公主，小汽车儿童雨伞，超萌设计。半自 动开合，长柄设计方便携带。伞面防晒效果好，波纤伞骨结实耐用,15.9,明***好,0,https://www.goofish.com/item?id=945449280875&categoryId=126864824
手工锻打99足银绞丝手镯w9     尺寸：如图w9 宝贝大多为几十年创汇左右老物件 部分是早几年前中国香港 日本回购 ,500.0,这***啊,0,https://www.goofish.com/item?id=805755691978&categoryId=126862185
985中文系/发言稿/策划案/主持稿/新闻稿/征文/演讲稿/ 婚礼发言稿   写文章写作服务、中文专业、对文字工作经验丰,19.9,丸***铺,0,https://www.goofish.com/item?id=931659710257&categoryId=201455509
河北欣丰高透增韧剂是茂金属的2-5倍，增加亮度，增加拉伸力， 增加柔软度，提高韧性，抗冲击，抗低温，使烫和稳定对印刷增加,18.0,痞***坤,0,https://www.goofish.com/item?id=963893693958&categoryId=201455202
小孩说好香，硬要多买几袋，我看着娃吃了好几回了，就又多买了一 些，结果也是吃腻了，早知道就不买这么多了，我这都买东西的习,10.0,刘***选,0,https://www.goofish.com/item?id=959479671956&categoryId=201455820
书法班倒闭，清文房四宝毛笔架12挂钩，鸡翅木，实物看图1，参 考看图2-4。自然褪色，韵味更足。30元/个。一共有20个,30.0,随***飘,0,https://www.goofish.com/item?id=955254901892&categoryId=126862331
不锈钢扫地机器人爬坡垫定制阳台推拉门斜坡垫上坡垫斜坡条过门槛 ，送包边卡条！全新！ 仅限南京自提！,130.0,用***2,0,https://www.goofish.com/item?id=794282202154&categoryId=126862002
沈阳机床CAK6136 CAK3665 ，CAK4085机床 刮屑板刮削板导轨挡板CAK6180机床刮削板价120包邮，,75.0,用***5,0,https://www.goofish.com/item?id=612105783884&categoryId=201452908
貂鼠咖啡   内含两包顶级貂鼠咖啡全套出 木盒子，里面也是绒面的  要一袋咖啡品尝的话260，出给同好 都要的话全套65,260.0,小***恼,0,https://www.goofish.com/item?id=928385996546&categoryId=201452025
赛领自行车清洁套装公路车清洁工具鲁班刷山地车铁氟龙链条油   链条清洁剂+经典润滑油+专利鲁班洗链刷49元 链条清洁剂+,49.0,理***哼,0,https://www.goofish.com/item?id=743890892166&categoryId=126866934
法红珊瑚盐小丑盐 新品平衡增色盐 法国红十字进口海缸海盐鱼盐  剩大概3.5kg，大连高新区中国华录自提,33.0,杏***6,0,https://www.goofish.com/item?id=940397348257&categoryId=201461119
