标题,价格(元),所在地,想要人数,商品URL
一斤包邮独立袋装糯米  【商品】：糯米 【重量】：500克 【包装】：独立袋装 【状态】：全新未拆封 【价格】：3元一袋,3.0,D***手,9,https://www.goofish.com/item?id=923463568834&categoryId=201452623
全新三能SN4127特级羊毛刷2只装，烘焙必备，选用高级纯羊 毛制作，柔软耐用。首次使用前需温水浸泡半小时，去除易掉毛，,13.0,闲***品,35,https://www.goofish.com/item?id=863344911137&categoryId=126856024
佛山在读大学生地理专业上门辅导老师上门辅导，小学初中高中 语 文数学英语物理化学道法全科 钢琴吉他乒乓球小提琴美术古筝书,60.0,小***导,0,https://www.goofish.com/item?id=771389510304&categoryId=201771106
【产地直销】新鲜芦笋自家种植现摘包邮曹县芦笋之乡特级芦笋  细笋1斤12.8，3斤28.8，4斤36.8 中笋2斤29.,12.8,田***超,19,https://www.goofish.com/item?id=905690041886&categoryId=201941202
出一瓶仁和匠心巧然堂防脱育发液，100ml，已经用了一小半， 保质期到2025年7月18日。使用后确实有效，能长出小绒毛,15.9,我***藏,3,https://www.goofish.com/item?id=895605211111&categoryId=201452630
柳工快换报夹  感兴趣的话点“我想要”和我私聊吧～,9.0,柳***波,0,https://www.goofish.com/item?id=937753087735&categoryId=126858275
小米净水器1A厨下式滤芯MI牌MR432型反渗透净水器3in   1/4in1/RO反渗透2号 适用型号:MR432/1,300.0,滤***店,11,https://www.goofish.com/item?id=885358718555&categoryId=126854888
卡固KAKU KA2880HA2/HA3 AC220v/380V小型工频轴流风机大风量金属   品牌:卡固（数码） 型号,268.0,深***扇,0,https://www.goofish.com/item?id=929703527267&categoryId=126856294
"三关六码头 :低糖芝麻酥220克罐 

感兴趣的话点“我想要”和我私聊吧～",20.8,梅***铺,0,https://www.goofish.com/item?id=954442549673&categoryId=201944302
【狂欢价】奥尔夫维族考级专用舞蹈道具手鼓乐器幼儿…  感兴趣的话点“我想要”和我私聊吧～,3.38,爱***瓜,0,https://www.goofish.com/item?id=962443688300&categoryId=126858960
Spenny/诗佩妮高光阴影组合双色遮瑕修容鼻影暗影提亮粉饼 发际线,15.0,甜***茶,1,https://www.goofish.com/item?id=964366700747&categoryId=202029604
复写纸双面蓝色 一合60张 25.5×37cm  感兴趣的话点“我想要”和我私聊吧～,8.0,t***v,20,https://www.goofish.com/item?id=948888602936&categoryId=126864104
200头大连元贝260元一斤  色泽自然金黄，口味鲜浓！ 元贝比普通干贝瑶柱生长周期更长，营养更丰富！孩子补钙首选！,260.0,广***行,3,https://www.goofish.com/item?id=730496781518&categoryId=201453918
空气沙发，户外沙发，原价150黑色和橘色两个颜色，50一个， 两个90，外出旅游必备休息沙发，使用方便，结实耐用,50.0,卖***凉,198,https://www.goofish.com/item?id=624364244524&categoryId=126920076
老茶头牛腩煲，招牌牛腩100克一份  只要4.6,4.6,淘***沣,0,https://www.goofish.com/item?id=950865349341&categoryId=126916197
高尔夫鞋包 网状透气鞋袋 便携手提装球鞋包多色可选高尔夫装备 包  3色可选红蓝黑  零售全国大部分地区包邮，偏远地区内,24.3,运***品,59,https://www.goofish.com/item?id=724246411526&categoryId=126866199
瓷砖踢脚线样品展示，规格有7.5x80、11x80、10x6 0等多种尺寸，花色齐全，黑白灰红金等大理石纹理可选。适合家,3.5,搬***弟,5,https://www.goofish.com/item?id=951602451044&categoryId=126858374
Cirro 新西兰原瓶卷云长相思干白皮诺桃红葡萄酒，正品行货 ，标价单瓶,180.0,茗***吧,0,https://www.goofish.com/item?id=948883998349&categoryId=201460418
饭店不干了，调味品白糖处理，3块一斤，  仅限自提 图中桶重6两，一桶按照11斤，30,44.0,t***r,50,https://www.goofish.com/item?id=942123563573&categoryId=201460322
"7新 Apple/苹果 Apple Pencil 二代   手写笔 
◆ 坚持一机一检，机器实拍图参考如下！
◆ 功",250.0,共***仓,999,https://www.goofish.com/item?id=962894866259&categoryId=201680108
