标题,价格(元),所在地,想要人数,商品URL
小花仙进化花之法典（单本链接）送ar功能 后面会全部出齐 整 本有进化镇守50位加上生辰守护花2位一共52位精灵标价为单书钱 现货无了（有时有现货 拍前可以问问）尺寸为长 25.5cm 宽度  17.7cm 厚度3cm需要定制 付完钱才能做 有工期中途恶意跑单不退拉黑 决定好再来谢谢 不要浪费彼此时间。小花仙第一季第二季第三季第四季#花仙精灵王 花之法典实体书 初始花之法典 暗影花之法典 进化花之法典 二十四节气契约书,131.0,河南,150,https://www.goofish.com/item?id=942191277988&categoryId=126860296
乌萨奇吉伊卡哇挂件钥匙扣包挂吉伊卡哇周边乌萨奇吉伊卡哇小八C hiikawa毕业季礼物毕业礼物送同学挂扣钥匙扣拼豆小挂件摆件小花仙吉伊卡哇盲盒周边同款吧唧柴犬宝宝[闪亮]可定制[闪亮]现货：当天或第二天发货乌萨奇小背包学位服乌萨奇学位服小八学位服吉伊爱心小八吉伊x柴犬宝宝小八x柴犬宝宝乌萨奇x柴犬宝宝乌萨奇x花仙子吉伊x花仙子小八x花仙子小八弹吉他荧光棒乌萨奇甜筒乌萨奇一件包邮  第二个起 每个-2元【同款可以选择多个】三个学位服打包：39元三只小花仙打包：39元三只柴犬宝宝打包：39元欢迎来图定制！包邮～特殊商品，售出概不退换！特殊手工作品，售出不退不换～,14.9,江苏,16,https://www.goofish.com/item?id=914556477924&categoryId=127054001
淘米 小花仙 守护天使 第三季  一盒24小盒 都是老库存 全新 整盒出 售出不退不换,79.0,山东,70,https://www.goofish.com/item?id=727558661572&categoryId=126860375
出FuuJane碧落空歌青花瓷高定连衣裙，全新短裙，S 码。 青花瓷元素加上贴花镂空蕾丝设计包装都在， 喜欢的亲们可以直接下单，有问题随时咨询，售出不退换,400.0,江苏,0,https://www.goofish.com/item?id=921661899661&categoryId=126860581
出小花仙第三季黑化库库鲁cos服 1⃣️第一次做有许多手工瑕疵和部分地方与角色衣服不一样，事姐和完美主义姐别拍，标价全款 2⃣️只穿过一次，已清洗，自带垫肩 3⃣️出：风衣，口水巾，眼罩（白色内搭不出） 4⃣️肩膀上的羽毛掉了一些，正在修补 5⃣️不可直拍，小窗在我了解衣...,300.0,海南,320,https://www.goofish.com/item?id=894726994665&categoryId=126860284
[急出白菜价]小花仙初始卡牌淘米正版一套  [红圆]已绝版， 可拆，图上还有就是还在，普卡均1r(除部分烫门和第三季的为1.5r)，闪卡2r(除部分烫门为2.5r)，有原盒，all就送，不包邮和手续费，手续费zz，邮均按距离 [火]卡牌状态：全部为淘米正版，但因卡牌年代久远，是我小学时期买的，所以状态...,1.0,广西,0,https://www.goofish.com/item?id=818041379908&categoryId=126860375
8月23前无档期【2日出租】花仙记【孔雀翎】原创异域风改良刺 绣舞蹈服人鱼公主2024夏季新款m码❤️没有胸前蝴蝶❤️大全套5件套+3配饰55/两天，第三天续租10/天押金650破损需赔无破损无机洗不掉污渍押金全退不包邮，来回邮费自理～拍款方式:租金界面+押金界面+租赁日期会提前发货，收货寄出和提前到货都不记时，寄出当天需在4点之前寄出噢！衣服配饰都会洗干净消毒做了记号，寄山追责希望小仙女们好好爱护呀～⭐密封袋需原封不动归还，少一个或者调换一个需补10r⭐,55.0,广东,15,https://www.goofish.com/item?id=818993587119&categoryId=201454006
【白秋】奥比岛绝版 魔力 全场头发2R1 满5件送1件 满1 2件送3件 女发男发设计师都有（这是第三页 主页还有两页160个头发可以一起选） 不议价 没标出就有货1⃣今晚月色真好/荒星钻石雨短发型/秋季气质双马尾/特工女孩长发型/异世界精灵耳发型/贵族偏分长发型/薰衣花嫁发型/西安古城发型/血色玫瑰马尾发型/魔法黑熊小卷发型 2⃣天痕不羁银发型/夫人·枯萎岁月/x.y银粉短发型/双面御姐长发/黑古拉奇迹发型/幼龙公主长发型/风之少女长发型/查尔斯女仆发型/后山萌妹撞色发型/星辰女神特蕾亚发型3⃣圣神女娲灵动发型/裁缝小熊卷发型辫/恶魔恋人渐变发/铃木樱礼装长发型/铃语奢享长发型/Dolly茶话会长发型/繁花影展长发型/筑梦锦鲤双马尾/梦幻夜幽藤仙发型/缝纫娃娃发型 4⃣珂喵喵白发型/深潜梦湖长发型/万圣景察发型/鼠小姐初恋卷发型/熔岩星入魔秀发型/冬季潮男发型/仲夏流萤夏长发型/蓝希长发型/蝶影迷踪发/阿拉斯女仆发型5⃣可爱妹妹长发型（出）/游乐园蓬蓬发型/玄霜使者头发/忘川蝶青丝发型/忘川蝶长发型/西子泛舟归长发型/新月历者长发型/玉璇玑鸾凤发型/浮生梦黑白发型/心灵魔导师女神发型6⃣游鱼婉音发型/暖冬兔兔可爱发型/雪猫喵的卷发型（出）/清新园丁双辫/黑暗药剂师猫发型/幸运之梦四叶长发型/女神黑金鱼发型/阿芙洛狄忒发型/恋冬森林发型/快乐花仙发型7⃣天空之城摘星发型/冬季甜美百搭发型/冬季气质百搭发型/仙气孔雀蜕变发型/x.y红毯灰粉盘发型/蒙娜丽莎卷发型/冰雪女神典依发型/福·瞳瞳宝贝发型/英式古堡新娘发型/歌剧魅影包包发型8⃣辉烁羽之诗发型/欧若拉女神发型/风之女神长发型/爱斯梅拉达辫发型/双辫少女卷发型/蓝喵小淑女发型/星动配信米色卷/薄鱼独吟长发型/lucky之梦发型/千公主加冕发型,2.0,上海,6,https://www.goofish.com/item?id=817341277883&categoryId=200928013
三个裁缝醉花仙真兔毛旗袍连衣裙！新中式国风设计，丝绒面料，长 袖改良款。 杏花仙鹤刺绣图案，立领配珍珠扣，内里真兔毛加绒保暖。 秋冬季节穿超暖和，优雅大方显气质！ 喜欢的小姐姐可以私聊，价格可聊～,88.0,甘肃,0,https://www.goofish.com/item?id=950683986057&categoryId=126860588
【出租】小花仙 夏安安 四季花语大全套cos 出外景，有污渍，有异味+15/自行清洗，此套袜子，手套请自行清洗谢谢。m码假发+裙子+头饰+配饰+手套+翅膀+鞋（35）+道具要鞋+5 道具+10 翅膀+25（带电动）租金：45/3天 押金：800运费：统一收15，多退少补（来回运费不包）押金绝对不免因为被骗过，付不起就别租，线下可以付现金。【详情（必看）】出外景/有异味/有污渍要自己清洗干净在寄回！！手洗/干洗！！！洗衣机洗需要问我！！！！手套袜子必须自己清洗，否则会扣费用！！！透明肩带自备哦做这个真的特别累，天天熬夜整理打包…请各位爱惜！假毛顺好寄回（寄回是乱的扣15）衣服洗干净寄回（有异味/污渍/瑕疵会扣钱）！！配件都有袋子分装，寄回请安原样寄回，特别感谢！闲鱼要收0.6%手续费！！！实物图慢慢更新中，所有以实物图为准………其他上身图只是参考！！周末/回家才能检查退款！！！！！！目前在上课！！！不能开发票！！！！周末回家，提前预定!我是个人卖家不是淘宝客服，我不是专门做这个的衣服，全是我自己的尺码，就这么一件固定的！！！返图返钱是看质量和我的心情，如果返的图我很喜欢的话，我就会适量的存钱，或者说免运费等等，但是我很讨厌主动问我说能不能减钱，或者和我讲价的，这样的我不会再交易第二次。不单租任何配饰或者假发 除非支付全套的价钱 单租任何配饰都可能影响下一个租客！！！太亏列表Lolita cos  汉服出租！！！低价白菜出租。【流程】押金下单（不发货）→寄出签收确认（zz租金+运费）→使用→期限到寄回→检查无误后（取消押金订单）【注意事项】❗️衣物需要自行清洗（出外景），寄回检查到有衣物掉包或者隐藏瑕疵破损，明显清洗不掉的污渍会酌情扣费！不要喷香水之类的！有气味需要扣除清洗费！袜子要单独清洗！其次，我一般周末才能发货，所以说一定要提前三四天，然后跟我约好我周末寄出！！！（三天包括）：比如你租的是4号，然后提前收到了，那么提前收到是不算钱的，然后3号4号5号这三天是算一天的价钱，但是寄回要在5号中午12点之前寄回，不然就算另外一天。（必须是中午不然会有人钻空子）再来就是关于线下面交的问题，因为我是不能随便乱跑的，所以说如果要线下面交，只能你来找我。线下面交可以给现金的押金，最后嗯可以通过网上，我再退给你也行。（这里说一下，我有时候会在观山湖这边，有时候会在乌当区看情况而定）跑单收取租金20%的跑单费，低于20块钱的收20块钱（也就是说，最低收20块钱的跑单费）假毛都是毛坯/毛坯+微造型，要高质量造型毛/反重力几十块钱就别想了，损耗大！快递重！除非你这边自己出头模打包，不然运过去需要自己整理一下，而且（约过毛良的也知道，只要是有造型的，一旦经历快递或者什么都很容易弄散，还需要好好保护打包，损耗太大了，租一次回来可能就烂掉了）配件除了本体有的剩下的裙撑，假毛或者一些汉服配饰都是要另外付钱租的。最后祝大家租物愉快。ps:一旦寄出，不退租金运费！,45.0,贵州,0,https://www.goofish.com/item?id=961760588816&categoryId=126860285
