标题,价格(元),所在地,想要人数,商品URL
【全新未拆封漫步者MF2扩音器小蜜蜂无线版】漫步者教学促销导 游扩音器   再次重申，只售全新未拆封产品。 （保证官方原封全新正品 未拆封。假一罚十）  【产品简介】  产品品牌：漫步者  产品型号：MF2无线版  颜色选择：粉色  白色  紫色  黑色 购买可点击“我想要”直...,79.0,广东,0,https://www.goofish.com/item?id=892971116766&categoryId=126864990
全新 Nakamichi中道小蜜蜂扩音器老师教学讲课小巧型便 携式导游扬声器转卖20一个包邮#手机数码换新,20.0,辽宁,39,https://www.goofish.com/item?id=955684230645&categoryId=126864990
爱国者小蜜蜂扩音器，蓝牙5.3版本，支持USB/TF卡直读。 大容量电池超长续航，（基础款无电量显示LED屏）带有电量提示，电量不足时有滴滴滴声提示您该充电了。送充电线、头戴麦、背带、背夹，四件套齐全。声音清晰不啸叫，适合老师、导游、摆摊用。小巧便携，一键变声，欢迎购买。,29.9,浙江,100,https://www.goofish.com/item?id=941980486912&categoryId=126864990
"【全新】小蜜蜂扩音器教师专用大音量不啸叫有线耳麦克风上讲课导 游喇叭喊 感兴趣的话点“我想要”和我私聊吧～  注： 标准款：没有蓝牙功能，有线耳麦连接扩音器使用  豪华款,旗舰款都有蓝牙功能，扩音器可蓝牙连接手机使用，也可连接有线耳麦使用",25.8,湖北,0,https://www.goofish.com/item?id=926878535523&categoryId=126864990
蓝悦LBH-609小蜜蜂扩音器，全新未拆封 [号外] 不挑颜色，随机发（黑或白）[火]支持蓝牙5.0，带显示屏，可插TF卡和U盘，内置锂电池，便携小巧。适合教师、导游、餐厅叫号、摆摊叫卖使用。配件齐全：主机+数据线+说明书，包装完好。功能正常，声音清晰。售出不退不换，介意勿拍！导游神器#大音量蓝牙音箱 #便携式音箱 #春日出游必备,20.0,北京,68,https://www.goofish.com/item?id=965328993062&categoryId=126864990
小蜜蜂扩音器，兼职时买的，用了3/4次，带挂绳和麦克风，续航 1天没问题，声音清晰，可连蓝牙,15.0,黑龙江,6,https://www.goofish.com/item?id=965644408698&categoryId=126864990
索爱S-318小蜜蜂扩音器，活动用过一次就闲置了，功能完好， 音质清晰。适合教师、导游、户外活动使用，包装完整，有5个现货。买多可以包邮，除偏远地区，价格可以聊。喜欢的朋友欢迎私聊咨询，同城自提更优惠哦～,39.0,北京,0,https://www.goofish.com/item?id=919366841738&categoryId=126864990
亲肤色小蜜蜂扩音器，蓝牙5.3版本，90倍超大扩音，4200 毫安大电池，带电量提示功能。自己配了挂绳，只用过一次听蓝牙，没用过麦。配备头戴麦、领夹麦、充电线、背带齐全。轻便小巧便携，适合老师上课、导游讲解、户外活动使用。功能完好，基本全新未拆封。同城自提优惠，价格可小刀，欢迎咨询。,30.0,重庆,0,https://www.goofish.com/item?id=959249224112&categoryId=126864990
培训机构倒闭，25元全新小蜜蜂扩音器 低价处理，都是全新的，没有用过的，教师、摆摊、导游都可以使用。携带方便、更小更大声，多种场地适用小蜜蜂配置如下【功能】：支持蓝牙、插TF卡、插U盘、扩音和一键循环播放功能【续航】：待机72小时，一般情况下能用2天【新旧程度】：全新未拆封【质量】：耐用抗噪【电池容量】：2200毫安【市场价】：48【配件】：腰带+头戴耳麦+说明书+数据线【有线无线】：有线的（有线耳麦）【蓝牙功能】:连接手机和平板【质保】：主机保一年【颜色】:  白色   粉色  黑色主机+数据线+头戴耳麦+腰带+说明书最低只要25元！全新包邮出。拍下48h内发货，偏远地区不包邮哦！！签收有任何情况请及时时间联系我，包售后！！物流看不见也可以联系我帮忙查询哦～,25.0,四川,2,https://www.goofish.com/item?id=966296240496&categoryId=126864990
【未拆封漫步者MF2扩音器小蜜蜂有线版】漫步者教学促销导游扩 音器   再次重申，只售全新未拆封产品。 （保证官方原封全新正品 未拆封。假一罚十）  【产品简介】  产品品牌：漫步者  产品型号：MF2有线版  颜色选择：粉色  白色  黑色  紫色 购买可点击“我想要”直接拍...,79.0,广东,268,https://www.goofish.com/item?id=892597841652&categoryId=126864990
包邮，索爱S318pro领夹小蜜蜂扩音器教师专用无线上讲课克 风喇叭扬声器，带蓝牙，功能正常，成色如图。图片都是实物拍摄。售出不退不换，不想发生纠纷，请谨慎购买，谢谢理解。除新疆、西藏外，其他地区包邮。,29.88,湖北,0,https://www.goofish.com/item?id=965098112205&categoryId=126864990
全新索爱S638小蜜蜂扩音器，18W大功率，室内外都能用。内 置300秒录音功能，音质清晰，抗啸叫效果好。白色有线版，无原盒和说明书，但质量杠杠的。快递签收3天内有质量问题免费退货，3个月质保，非质量问题不支持退换。厂家拿货价比市场便宜，能接受再拍哦～  品牌: Soar/索爱 成色: 全新 功能状态...,75.0,广东,0,https://www.goofish.com/item?id=819079084812&categoryId=126864990
索爱S350小蜜蜂教师专用扩音器上讲课无线耳麦克风导游... 感兴趣的话点“我想要”和我私聊吧～,62.58,北京,0,https://www.goofish.com/item?id=965477323734&categoryId=126864990
得胜E188升级款小蜜蜂扩音器，教师专用，覆盖60-80人 无线蓝牙功能，可插U盘，带麦克风，声音清晰不啸叫标配：有线麦克风、肩带、充电线适合教师上课、导游讲解使用，功能完好全新正品，功能齐全，声音效果好同城自提更优惠，欢迎咨询,64.8,江苏,0,https://www.goofish.com/item?id=965114511782&categoryId=126864990
新好N311小蜜蜂扩音器 黑色 全新，仅包装有瑕疵， 感兴趣的话点“我想要”和我私聊吧～,15.0,上海,0,https://www.goofish.com/item?id=956074258513&categoryId=126864990
#小蜜蜂，索爱扩音器，全新处理， 全新处理库存特别强调，是裸机，是裸机，没有包装盒，功能有，插卡，插U盘，，扩音，如果需要耳麦，，加¥5人民币刮花机¥29 ，全新机器¥39 ，索爱扩音器绝对正品，假一赔10、数量不多，预购从速！亏本处理解决还价，机子全新都能正常使用,29.0,陕西,110,https://www.goofish.com/item?id=838721024856&categoryId=126864990
全新智能小蜜蜂，活动结束还没来得及使用 摆地摊，促销，导游，教师必备的一款扩音器，开机关机都有语音提示，没有电了也有语音提示哦可以保护嗓子，颜值还很高，因为工作的原因我们学校有配过好几款扩音器，这款是我们用过最好的，而且蓝牙功能对于需要播放音乐、播放音频的时候很方便。同时可以插U盘和内存卡使用哦！有说明书有数据线有腰带有头戴耳麦（有线的！有线的！）颜色有黑、白、金，默认发白色。【自带的蓝牙功能可以连接手机和电脑】同款蓝牙小蜜蜂，价格已经被打到了历史最低，不服可以来战！请珍惜全新未拆现货，随时可能会涨价，能拍就能发，欲购从速啊！！！可以对比一下同品牌，同款式的蓝牙版其他卖家都是卖到将近40元一个，珍惜现货哦。【全新发货】【质量问题包退换】,17.0,四川,7,https://www.goofish.com/item?id=965005094500&categoryId=126864990
培训机构倒闭，28.8元全新小蜜蜂扩音器 低价处理，都是全新的，没有用过的，教师、摆摊、导游都可以使用。  携带方便、更小更大声，多种场地适用  小蜜蜂配置如下 【品牌】：mogolala 【功能】：支持蓝牙、插TF卡、插U盘、扩音和一键循环播放功能 【续航】：待机72小时，一...,28.8,北京,1616,https://www.goofish.com/item?id=832346007235&categoryId=126864990
索爱小蜜蜂全新40 感兴趣的话点“我想要”和我私聊吧～,40.0,四川,70,https://www.goofish.com/item?id=966219661281&categoryId=126864990
正品索爱小蜜蜂扩音器，玫瑰金色 大音量 长续航 很实用 智能防啸叫设计，Type-C快充接口，适合教师、导游、户外叫卖使用，声音清晰不费力没有充电线 是type C 的线就可以充电 自己配一个30包邮便宜出,30.0,江苏,4,https://www.goofish.com/item?id=965014193174&categoryId=126864990
【全新未拆封漫步者MF2领夹扩音器小蜜蜂无线版】漫步者教学促 销导游扩音器 再次重申，只售全新未拆封产品。 （保证官方原封全新正品 未拆封。假一罚十）【产品简介】 产品品牌：漫步者 产品型号：MF2小蜜蜂扩音器 颜色选择：粉色  白色    黑色购买可点击“我想要”直接拍下，能拍的都有货【官方正品吗】所售产品均保证为漫步者官方正品，每款音箱或者耳机产品收到货后支持官方防伪查询。 可以打漫步者官方电话4008105526查询真伪。【售买售后说明】 1、本店只售官方原装全新未拆封产品，所以售出不退不换，请体谅介意慎拍 2、假一赔十   3、新疆、西藏等偏远地区不包邮。 4、发货后或物流中途退款、拒收退回的需买家承担运费 5、当天下午17:30前订单，无特殊情况可当天发出 6、一年质保 非人为导致， 本店信用极好  诚信经营理念 协助每位忠实漫步者顾客合理售后寄回。,78.0,江苏,34,https://www.goofish.com/item?id=952952614235&categoryId=126864990
高颜值得胜e20小蜜蜂扩音器教师上课专用无线蓝牙麦克风讲课喇 叭机德胜 售出不退不换,108.0,内蒙古,0,https://www.goofish.com/item?id=808683326034&categoryId=126864990
得胜TAKSTAR E188小蜜蜂扩音器，带麦克风和耳麦，功 能完好。音质清晰，音量大，适合教师、导游、演讲使用。摆地摊携带方便。外观有轻微使用痕迹，整体成色95新货号w2,30.0,北京,0,https://www.goofish.com/item?id=961572683716&categoryId=126864990
得胜E136小蜜蜂扩音器，教师专用大功率便携式扩音机，上课叫 卖导游都能用。全新升级版，比126更好用。配件齐全：充电线、头戴有线麦、肩带、背扣都有。同城自提，外地包邮，价格可聊。喜欢的朋友欢迎私聊我哦～,45.0,浙江,0,https://www.goofish.com/item?id=964635079883&categoryId=126864990
索爱小蜜蜂全新处理29元， 全新，未拆封，配件齐全功能，蓝牙，收音机，录音，扩音器，老师，导游，不二之选，功能正常无维修，注意‼️全新处理，未拆封，全新，不挑颜色，颜色随机，售出不退不换！,29.0,陕西,0,https://www.goofish.com/item?id=950820837551&categoryId=126864990
小蜜蜂扩音器导游教师专用麦克风地摊叫卖小型迷你无线大音量喇叭 感兴趣的话点“我想要”和我私聊吧～,18.0,广东,38,https://www.goofish.com/item?id=966027541540&categoryId=126864990
出全新小蜜蜂扩音器，仅试音，收音非常好，诚心要可小刀 感兴趣的话点“我想要”和我私聊吧～,18.0,甘肃,0,https://www.goofish.com/item?id=963889217105&categoryId=126864990
小蜜蜂扩音器耳麦话筒通用型麦克风教师导游上课专用头戴式有线麦 ❤️头戴式有线麦克风：4.9元一个 领夹式麦克风：4.9元一个 ❤️西藏、内蒙、新疆等偏远地区不包邮,4.9,浙江,632,https://www.goofish.com/item?id=726619353024&categoryId=126864992
漫步者MF3 小蜜蜂扩音器教师专用老师上课无线麦克风大音量青 春版 颜色分类: 紫色（头戴麦+充电线+背带）有线！！！！使用了一年多，超好用，电池可维持一周左右,65.0,湖南,0,https://www.goofish.com/item?id=960768595801&categoryId=126864990
未使用，背带没有了【教师专用】小蜜蜂扩音器无线麦克风老师讲课 上课用大音量扩音机 颜色分类: 标准版-白色【大喇叭√30倍音量√防啸叫】,18.0,湖北,0,https://www.goofish.com/item?id=956263162812&categoryId=126864990
得胜TAKSTAR小蜜蜂扩音器，黑色款～走过路过不要错过，就 用过一两次，是用来面试的现在不需要啦，闲置出啦，等有缘人接好运！！便携式设计，带麦克风和肩带[红圆],35.0,广东,0,https://www.goofish.com/item?id=961328707356&categoryId=126864990
得胜E126小蜜蜂扩音器，教师专用上课神器，小巧便携音质好。 一共6个功能完好，带麦克风接口，适合教师、导游、户外讲解使用。机身成色如图，黑色经典设计，音质清晰响亮。配件齐全，带充电接口和背带。主页两个起，非偏远包邮普快，顺丰补差价不包官瑕，售出不退不换，介意勿拍,19.99,广东,0,https://www.goofish.com/item?id=962141631705&categoryId=126864990
小蜜蜂898导游扩音器户外教学远程无线遥控多媒体蓝牙播放器 感兴趣的话点“我想要”和我私聊吧～,65.0,湖南,75,https://www.goofish.com/item?id=884969850561&categoryId=126864990
90新 自用艾硕美K19小蜜蜂扩音器教师专用麦克风，现在只有 一个扩音器，充电线和有线麦需要自己买一根，使用感很不错，低价出,35.0,湖南,0,https://www.goofish.com/item?id=966886236450&categoryId=126864990
得力小蜜蜂扩音器教师专用无线耳麦克风老师上讲课导游喇叭扬声器 感兴趣的话点“我想要”和我私聊吧～,40.0,山东,69,https://www.goofish.com/item?id=965586979834&categoryId=126864990
小蜜蜂就用一次 感兴趣的话点“我想要”和我私聊吧～,35.0,浙江,11,https://www.goofish.com/item?id=952225354082&categoryId=126864990
小蜜蜂扩音器，收音机，教师、导游专用，大音量便携式耳麦麦克风 喊话器 ，库存全新未用，有几十个，欢迎打包优惠！库存久了可能电池不行，现低价出配置：扩音器，说明书，腰带，头戴式麦克风产品特点： 轻便小巧  大功率喇叭 多场景使用：教学/导游/上传导购/会议培训/瑜伽健身二手物品，售出概不退换,23.0,云南,0,https://www.goofish.com/item?id=918154795920&categoryId=126864990
亏本甩卖！小蜜蜂扩音器教师讲课专用耳麦克风导游摆地摊叫卖小型 无线大音量扩音器 店铺转让，尾货亏本清仓，全新未拆封小蜜蜂扩音器，现全部亏本甩卖！ 都是全新的，没有用过的，亏本价转卖给需要的人！ 教师、摆摊、导游都可以使用，全新包邮，数量不多，卖完下架！  【推荐理由】 1.高品质大喇叭，小巧声大，强续...,18.9,北京,1685,https://www.goofish.com/item?id=680842586336&categoryId=126864990
艾硕美K18小蜜蜂扩音器，紫色款，教师专用，蓝牙5.3升级版 ，配珍珠背链和无痛肤色耳麦，原声扩音，防啸叫，多场景适用。配件齐全：Type-C充电线、肩带都有，30天免费试用，365天只换不修，3年质保。颜值很高，就用过三四次，珍珠背链还是全新的。信宜池洞自提。需要邮寄的邮费自理。,51.0,广东,0,https://www.goofish.com/item?id=963447629550&categoryId=126864990
索爱s655小蜜蜂扩音器教师专用耳麦克风老师上讲课导游喇叭扬 声器,80.0,广东,98,https://www.goofish.com/item?id=941991898213&categoryId=126864990
科凌小蜜蜂扩音器教师用上课有线蓝牙耳麦老师讲课教学专用喇叭叫 卖神器小型便携式导游麦克风扬声喊话播放机,28.0,江苏,0,https://www.goofish.com/item?id=965304788271&categoryId=126864990
全新官网 漫步者小蜜蜂扩音器机教师专用 颜色分类: 云岩白（MF3 mini+有线头戴麦+充电线+腰带）全新未使用过，就刚买的时候试了一下，没用过，线都没拆。偏远地区不包邮，不议价,80.0,北京,0,https://www.goofish.com/item?id=960987182756&categoryId=126864990
