标题,价格(元),所在地,想要人数,商品URL
【自动秒发】少年苏东坡传奇动画片 全集 1080p画质 国语 百DU网盘+夸KE自动发货，如需其它网盘可私~  【包含】：少年苏东坡传奇 全52集  【文件格式】：MP4视频  【发货格式】：百度 盘 + 夸克  如实描述，所见即所得，直接拍即可，24小时自动秒发！电子资料一经售出，概不退款退货！ ...,4.56,北京,12,https://www.goofish.com/item?id=952673988915&categoryId=126864807
《少年读苏东坡》两本18包邮 青岛出版社出版，两本都是精装彩图版，讲述苏东坡传奇人生，图文并茂，适合青少年阅读。    正版书籍，保存的非常好，9成新以上   仅此两本，感兴趣的朋友可以联系我哦～,18.0,河北,1,https://www.goofish.com/item?id=963327403810&categoryId=127838003
少年苏东坡传奇（10册）5-12岁 感兴趣的话点“我想要”和我私聊吧～,46.0,山东,0,https://www.goofish.com/item?id=949878740475&categoryId=127832004
（秒发）少年苏东坡传奇全集国语中文字幕高清1080p 佰度网盘自动秒发！注意:点击直接购买，无需等待，自动发货！,0.01,广东,1,https://www.goofish.com/item?id=960923814297&categoryId=126864807
"【正版包邮】 少年苏东坡传奇：妙招解难题 眉山东坡老家文旅传媒 【书名】少年苏东坡传奇：妙招解难题【ISBN】9787572810459【作者】眉山东坡老家文旅传媒有限公司, 眉山功夫动【出版社】四川少年儿童出版社【出版时间】2023-04-01【关于店铺】能拍就有货，非偏远地区包邮（新疆西藏不发货）【关于品相】图书都是库存图书，没有笔记和涂画，本店99%以上的图书都带塑封，整体品相95新以上【关于发货】最快当天发货，正常16点之前下单的，当天发出。如果没货的话，店铺会及时告知【注意事项】本店图书都是库存图书，整体品相95新以上。个别图书快递过程中可能会有磕碰等情况，对于品相要求过于严苛者勿拍！",13.3,江苏,19,https://www.goofish.com/item?id=961644889832&categoryId=201544601
"少年苏东坡传奇全10册，适合7-9岁孩子阅读，四川少年儿童出 版社正版。书籍有轻微使用痕迹，内容生动有趣，讲述苏东坡少年时期的故事。喜欢的朋友点""我想要""私聊",39.0,江苏,0,https://www.goofish.com/item?id=835476376130&categoryId=127832004
"【少年苏东坡传奇】智勇破困局 全新正版 四川少年儿童出版社出版，眉山东坡老家文旅传媒有限公司编著。适合5-12岁孩子阅读，讲述苏东坡少年时期的成长故事。16开平装，64页，定价19.8元。全国包邮（新疆西藏除外）。智勇破困局 眉山东坡老家文旅传媒有限公司,眉山功夫动漫文化有限公...",10.0,北京,0,https://www.goofish.com/item?id=952707602493&categoryId=127838003
【全新正版】 少年苏东坡传奇我是大侦探 眉山东坡老家文旅传媒有 编码：DD29771255 书名：少年苏东坡传奇：我是大侦探 ISBN：9787572810404 作者：眉山东坡老家文旅传媒有限公司 眉山功夫动 编者： 出版社：四川少年儿童出版社 出版日期：2023-04-01 包册数： 字数：0 ...,13.29,浙江,0,https://www.goofish.com/item?id=940655866937&categoryId=201544601
《少年读苏东坡》两本18包邮 青岛出版社出版，两本都是精装彩图版，讲述苏东坡传奇人生，图文并茂，适合青少年阅读。    正版书籍，保存的非常好，9成新以上   仅此两本，感兴趣的朋友可以联系我哦～,18.0,河北,1,https://www.goofish.com/item?id=964676057432&categoryId=201459411
【微瑕】讲给孩子的故宫：又见苏东坡【二手】 #涉及套装书或多册的图书，请咨询客服确认本数后再下单，以咨询结果为准;(故宫建成六百年，祝勇讲给青少年的“故宫”精品读物/7个维度梳理苏东坡坎坷、曲折、传奇的一生，连缀起上千年华夏文明文学史、绘画史、书法史)#若原书涉及附件的，请已咨询客服回复结果为准; 已发货订单物流信息如未更新，可以咨询客服查询实时物流信息，快递如有破损，或者收到的书籍有质量问题，请联系客服售后。,15.72,四川,38,https://www.goofish.com/item?id=900353148093&categoryId=201544601
少年苏东坡传奇系列漫画10本全套，正版，95新，60元，偏远 地区勿拍小小美食家 正版书籍 新华书店旗舰店文轩官网 四川少年儿童出版社,60.0,广东,0,https://www.goofish.com/item?id=963396875798&categoryId=202029302
全新正品非偏远包邮  少年苏东坡传奇（全十册） 全新仅拆封，有些书我担心有味道收到会拆掉塑封，放味也看是否有瑕疵，还没看了  正版，存疑勿扰，王芳直播间买的  家里书太多，要收拾房子，转一部分书  非偏远包邮  二手商品不退不换,45.0,天津,56,https://www.goofish.com/item?id=927133659571&categoryId=127832004
苏东坡少年传奇漫画书9本，适合7-9岁小朋友看，四川少年儿童 出版社出版，内容生动有趣，插图精美，讲了苏东坡小时候的智慧故事，几乎全新，保存很好，喜欢的可以私聊。,18.0,广东,0,https://www.goofish.com/item?id=953968274544&categoryId=127832004
【保证正版】《少年苏东坡传奇》由动画IP官方授权改编，选用全 新IP的剧集，分册主题明确， 还原剧情~  通过少年苏东坡的成长故事，给新时代的孩子们树立榜样，引导孩子们建立积极向上的人生观、世界观~  【偏远】新疆，西藏+15,62.0,上海,8,https://www.goofish.com/item?id=786560591450&categoryId=126864808
"少年苏东坡传奇，整套10本，九五成新，50元，不包邮，眉山东 坡老家文旅传媒有限公司,眉山功夫动漫文化有限公司 编 智力开发 少儿 四川少年儿童出版社 图书，不讲价",50.0,天津,4,https://www.goofish.com/item?id=840390032165&categoryId=127838003
【 保证正版】《少年苏东坡传奇》由动画IP官方授权改编，选用 全新IP的剧集，分册主题明确， 还原剧情  [绿圆]展现少年苏东坡的才情文采，让更多人了解、传承东坡文化。  [比心][红旗]通过少年苏东坡的成长故事，给新时代的孩子们树立榜样，引导孩子们建立积极向上的人生观、世界观。  [hot]正版出版...,64.0,广东,0,https://www.goofish.com/item?id=851492027286&categoryId=126864808
