标题,价格(元),所在地,想要人数,商品URL
中号打气筒，可以打象皮艇，泳圈，等还蛮新的，没用过几次秋闲置 ，每个10元，有两个，大号的也有一个。,10.0,青***片,28,https://www.goofish.com/item?id=831046703041&categoryId=126862859
施可丰蔬果专用肥，家庭种菜放心肥，三瓶未开，一瓶开了用了一点 。无激素不添加，绿色无公害，富含植物生长必需的氮磷钾元素，,18.0,好***生,0,https://www.goofish.com/item?id=963488595776&categoryId=126860552
二手传递窗，白色外壳，内壁不锈钢，带观察窗。尺寸规格：内径6 0*60*60，外围80*70*70。功能完好，密封性好，,66.0,我***1,6,https://www.goofish.com/item?id=961984126703&categoryId=126862021
滚筒式研磨抛光机定制款活动优惠价  感兴趣的话点“我想要”和我私聊吧～,165.0,鲲***玩,180,https://www.goofish.com/item?id=738560839511&categoryId=126864148
紫苏叶和紫苏梗农家自晒自切一斤装，一年内新货，气味非常香，晒 得很干很干，保质保量，只多不少，紫苏可以煮水和泡脚驱寒，做,6.0,T***7,49,https://www.goofish.com/item?id=894267439298&categoryId=201450020
镀锌钢丝绳卡头夹头U型夹绳扣卡扣扎头锁扣紧绳器每个3.5  感兴趣的话点“我想要”和我私聊吧～,3.5,散***阳,0,https://www.goofish.com/item?id=715574637323&categoryId=126858067
洗车地格栅，40*40*4。大概40平方  感兴趣的话点“我想要”和我私聊吧～,3.5,在***主,25,https://www.goofish.com/item?id=951385583465&categoryId=126858428
全新 牙签 一次性双头竹制细牙签便携家用独立包装家居生活用品 剔牙挑牙神器  一包约200支1.5元包邮 5包5元 新老,5.0,黑***子,61,https://www.goofish.com/item?id=679100486416&categoryId=126860175
300平市中心大药房倒闭，好产品低价亏本处理。正宗云南文山三 七250g装！原价398一罐。现在特价49.8一罐，买四罐,19.8,左***鱼,398,https://www.goofish.com/item?id=787235636163&categoryId=201451726
汽车玻璃划痕修复神器前挡风玻璃修复液套装雨刮刷刀片修补去痕迹  汽车玻璃划痕修复套装  常见划痕深浅划痕都能修复，砂纸划,28.9,汽***全,63,https://www.goofish.com/item?id=701714218987&categoryId=126860864
小米绿米苹果全屋智能方案全套设计，永久售后！   从事智能家居5年以上，服务过1000+客户。支持米家、绿米Aqara、,4.9,上***智,1000,https://www.goofish.com/item?id=903622025342&categoryId=201452406
"牧高笛圆型透明水盆户外露营折叠储水桶旅行便携泡脚桶洗脸盆 

圆型半透明多用途水盆10L
容量：10L	20L	
展开尺",24.0,荒***店,0,https://www.goofish.com/item?id=964506029353&categoryId=126856837
CLS折叠三明治烤盘家用早餐锅野餐吐司面包煎锅户外便携不沾煎   三明治双面夹 材质:铝合金压铸 手柄-不锈钢重量:50,18.9,冒***备,1,https://www.goofish.com/item?id=845071342077&categoryId=201456817
"麦斯朋克乳清官网全新， 
感兴趣的话点“我想要”和我私聊吧～",64.0,补***拍,20,https://www.goofish.com/item?id=935151941836&categoryId=201451421
防开门器  家里有小孩儿，会开门的宠物的，可以用 家里现在不养狗狗了，用不到了 便宜处理,5.0,圆***啥,0,https://www.goofish.com/item?id=945556417246&categoryId=126864838
69元一份明前龙井，新茶，嫩芽甘爽花香馥郁，真正的高品质明前 龙井，一份好茶交个朋友。 真正的源头茶农，靠质量生存，好评,69.0,深***人,16,https://www.goofish.com/item?id=820141293094&categoryId=126854653
全新3M720P防毒面罩，原装正品带防伪码！配套滤棉一起发货 ，适合喷漆调漆、化工气体防护。中号面罩，佩戴舒适，防护效果,190.0,一***光,4,https://www.goofish.com/item?id=960007366177&categoryId=126864434
新年毛绒门把手套，装扮好物，喜庆氛围   门把手套是加厚款，可防冻手，小孩防撞，  防静电，长度可调节，任意朝向都可装饰,9.9,花***界,2,https://www.goofish.com/item?id=871658287912&categoryId=126862465
便捷旅行茶具套装  有方款和圆款价格一样。,24.0,园***兴,5,https://www.goofish.com/item?id=645895285158&categoryId=126854592
Pe篷布防草布130克高密度 3.05米宽  一卷330米，3米05宽。很密，市场上难有的品质，之前给客户做大棚被剩下的,1.3,防***钉,2,https://www.goofish.com/item?id=786893298920&categoryId=126860524
