标题,价格(元),所在地,想要人数,商品URL
"圆桌子玻璃转 
感兴趣的话点“我想要”和我私聊吧～",29.0,崔***天,588,https://www.goofish.com/item?id=964541600561&categoryId=126920172
6个鲁班锁  感兴趣的话点“我想要”和我私聊吧～,20.8,哈***笑,6,https://www.goofish.com/item?id=899982097581&categoryId=126862906
星巴克 星怡杯 勺子 限量 全新  感兴趣的话点“我想要”和我私聊吧～,25.0,T***5,50,https://www.goofish.com/item?id=675966369120&categoryId=126854620
店不干了，工具都处理，乐比208宠物美容电剪，标价就是卖价不 接受砍价。几乎全新，成色很好，充电式，功能完好无维修。适合,1099.9,爱***鱼,0,https://www.goofish.com/item?id=849819064711&categoryId=126854726
闲置转让上品堂海参礼盒，铁盒装，共7支海参。买来送礼但没机会 用上，现在低价转手。盒子完好，海参状态良好。适合送礼或者自,260.0,鲁***线,0,https://www.goofish.com/item?id=922611207393&categoryId=201450522
迈腾前顶吧。老款的，自己对比是否可以用。  感兴趣的话点“我想要”和我私聊吧～,200.0,博***店,1,https://www.goofish.com/item?id=780839604709&categoryId=126860804
Joma足球运动包  一次没用 不还价,100.0,切***元,1,https://www.goofish.com/item?id=845673271805&categoryId=126866636
鞋架处理打包价400，全部九成新  感兴趣的话点“我想要”和我私聊吧～,400.0,?***?,0,https://www.goofish.com/item?id=960955170077&categoryId=126862045
#在售#意大利打字机 Olivetti MP1 (ICO)  1932 始于1932年的Olivetti首款便携式打字机,5000.0,甲***丁,2,https://www.goofish.com/item?id=643865890170&categoryId=126854355
Line friends正品发带，有包装有防伪贴，可妮 丘可  胖友 莎莉 全新正品！原价79一个，现在25包邮，需要哪,25.0,L***工,6,https://www.goofish.com/item?id=748036013959&categoryId=126860200
"真空压缩器和真空压缩袋 
感兴趣的话点“我想要”和我私聊吧～",5.0,x***9,1,https://www.goofish.com/item?id=965684045176&categoryId=126862475
"品牌新功几乎全新 
感兴趣的话点“我想要”和我私聊吧～",180.0,支***签,380,https://www.goofish.com/item?id=965268802646&categoryId=126854864
库存马利牌油画颜料  未使用过的，12 色，可以正常使用，45 元一盒非偏远地区包邮，售出不退不换,45.0,精***藏,0,https://www.goofish.com/item?id=919747361556&categoryId=126864041
德国百瑞雾化器，物品实拍，通电正常使用，只有图中主机，配件需 自己购买，需要的私聊我吧！,268.0,森***2,4,https://www.goofish.com/item?id=891634799518&categoryId=126854508
拖把，闲置不用，全新，59包邮，售出不退不换  感兴趣的话点“我想要”和我私聊吧～,59.0,j***1,0,https://www.goofish.com/item?id=957659613688&categoryId=126858294
网上买的途虎养车 汽车防冻液     可混加 -25度  买重复了  用不到不想退了便宜出售。,15.0,冬***6,1,https://www.goofish.com/item?id=895645979175&categoryId=126860883
雷士照明T5光彩支架灯管全套YZ08荧光灯管28W，武汉自提 。20一个，90元5个。,20.0,伤***歌,10,https://www.goofish.com/item?id=854254793352&categoryId=126858436
民24年（1935年）8月15日，铁道部京滬铁路管理局，京芜 铁路联络线，修建铁路收购菜地，贴補费收据，（贴税1张）24,80.0,深***阁,2,https://www.goofish.com/item?id=893331037292&categoryId=126864004
厂家直销，唢呐乐器批发零售保音准保音色  感兴趣的话点“我想要”和我私聊吧～,150.0,黄***坊,1,https://www.goofish.com/item?id=781788989717&categoryId=126858913
洗杯器 全新，水吧台，奶茶店，304不锈钢材质  感兴趣的话点“我想要”和我私聊吧～,80.0,啊***店,7,https://www.goofish.com/item?id=682178298164&categoryId=126858305
