标题,价格(元),所在地,想要人数,商品URL
京东寄件2张  感兴趣的话点“我想要”和我私聊吧～,15.0,晨***^,0,https://www.goofish.com/item?id=921441180017&categoryId=201460313
"哈纳 蛋机 774 736 po4 试剂  
736 774通用 一样准确 有质量问题包退
Hanna哈纳po4蛋机77",4.0,T***a,174,https://www.goofish.com/item?id=745909520962&categoryId=201459302
适用Amazfit Bip S米动健康手表A1916手表青春版1S/A1805充电器线   黑色充电座充器丨B款 适用：,16.8,酷***兒,0,https://www.goofish.com/item?id=913788614456&categoryId=126854208
Elixir伊利克斯贝斯弦防锈覆膜14077贝司琴弦bass 4弦5弦琴弦伊利克斯、  有4弦、5弦、,39.9,配***吖,100,https://www.goofish.com/item?id=682304650888&categoryId=126858809
烟熏腊鸭腿风干正宗湖南土特产农家散养腊鸭咸鸭腿腌制咸鸭腿腊肉   ➕关注不迷路，好吃点击“关注”，更快找到我  【规格】,24.9,有***子,9,https://www.goofish.com/item?id=710861748723&categoryId=201454420
全新吊装带，  感兴趣的话点“我想要”和我私聊吧～80克五公分宽涤纶全新。100条以上包邮,3.0,吊***售,0,https://www.goofish.com/item?id=959208888372&categoryId=126858066
品胜镜头屏幕擦拭布超细无尘喷擦一体清洁液macbook电脑擦 拭布watch适用苹果ipad无尘手表抹布眼镜相机魔布，全,3.0,问***得,5,https://www.goofish.com/item?id=789286593924&categoryId=126854091
珍珠棉，长二米四，宽一米二，厚o.3-0.2左右  感兴趣的话点“我想要”和我私聊吧～,3.5,用***8,0,https://www.goofish.com/item?id=949479958684&categoryId=126854411
施可丰蔬果专用肥，家庭种菜放心肥，三瓶未开，一瓶开了用了一点 。无激素不添加，绿色无公害，富含植物生长必需的氮磷钾元素，,18.0,好***生,0,https://www.goofish.com/item?id=963488595776&categoryId=126860552
3M高粘性双面胶给钱就卖  工厂项目做完 剩余大批库存,5.0,多***玩,0,https://www.goofish.com/item?id=952451543472&categoryId=126854344
羽毛球网  感兴趣的话点“我想要”和我私聊吧～,18.0,加***铺,3,https://www.goofish.com/item?id=875041661023&categoryId=126866585
〖全新包邮100米〗高弹松紧带细宽扁窄高弹力橡皮筋服装厂家批 发  仓库亏本包邮清库存！ 数量有限，速度下单 颜色：白色,13.8,爱***孩,25,https://www.goofish.com/item?id=773585051782&categoryId=126916157
"Sata/世达世达93122强力不锈钢剪刀多功能剪子强力电工 剪办公剪食物剪多用  93121     凯夫拉锯齿剪8""",38.0,五***全,23,https://www.goofish.com/item?id=793889166126&categoryId=126864605
滚筒式研磨抛光机定制款活动优惠价  感兴趣的话点“我想要”和我私聊吧～,165.0,鲲***玩,180,https://www.goofish.com/item?id=738560839511&categoryId=126864148
二手传递窗，白色外壳，内壁不锈钢，带观察窗。尺寸规格：内径6 0*60*60，外围80*70*70。功能完好，密封性好，,66.0,我***1,6,https://www.goofish.com/item?id=961984126703&categoryId=126862021
紫苏叶和紫苏梗农家自晒自切一斤装，一年内新货，气味非常香，晒 得很干很干，保质保量，只多不少，紫苏可以煮水和泡脚驱寒，做,6.0,T***7,49,https://www.goofish.com/item?id=894267439298&categoryId=201450020
竹林知了猴 金蝉100个  感兴趣的话点“我想要”和我私聊吧～,90.0,t***1,100,https://www.goofish.com/item?id=715985293470&categoryId=126914200
竹炭烧烤碳户外露营无烟机制碳室内取暖专用家庭聚会火锅商用批发  10斤26 20斤46 辽宁发货，不接急单，拍下48小时,26.0,吴***芝,14,https://www.goofish.com/item?id=709020526470&categoryId=126918114
镀锌钢丝绳卡头夹头U型夹绳扣卡扣扎头锁扣紧绳器每个3.5  感兴趣的话点“我想要”和我私聊吧～,3.5,散***阳,0,https://www.goofish.com/item?id=715574637323&categoryId=126858067
tp-link 1200M双频无线ap面板   型号：1202GI-POE 全新正品，一年质保！ 偏远地区不包邮！！！！,209.0,T***商,369,https://www.goofish.com/item?id=668902727015&categoryId=126862917
