标题,价格(元),所在地,想要人数,商品URL
【福临门三色糙米】优质混合杂粮  净含量：1kg 富含膳食纤维和蛋白质，营养更全面！黑米、红米、糙米三种搭配，口感丰富！,20.0,洛***a,4,https://www.goofish.com/item?id=890295210485&categoryId=201456923
绝版收藏火影忍者电话本  品相如图所示，主页还有火影忍者款，孤品，售出不退换，按图发货。,30.0,怀***具,299,https://www.goofish.com/item?id=944113516970&categoryId=126864110
种菜种花工具家用套装栽花养花加长款户外挖土拔草赶海园艺小铲子   【处理50套】种菜种花工具家用套装栽花养花加长款户外挖,9.9,明***萝,0,https://www.goofish.com/item?id=903946262842&categoryId=126864623
建省福州特产连江包心鱼丸手工拳头大鱼丸不放任何香精和添加剂。  顺丰包邮,69.0,蔡***鲜,9,https://www.goofish.com/item?id=769461020352&categoryId=126914198
【橙子靠谱鉴定】圣罗兰 黑管唇釉真假鉴定    靠谱鉴定，不忽悠人！！！直接发图描述问题哈，争取做到秒回，拍一次鉴定一次,1.68,8***s,4,https://www.goofish.com/item?id=945831083004&categoryId=202029205
"Highlights HelloHigh Five 2016-2024年杂志合集pdf电子版PDF 
标价不是售价  只",5.0,电***3,0,https://www.goofish.com/item?id=964657000401&categoryId=201673014
"【3盒小火锅】自热火锅便宜宽粉自助懒人小火锅麻辣烫1盒批发 
感兴趣的话点“我想要”和我私聊吧～",3.0,x***8,0,https://www.goofish.com/item?id=964580400291&categoryId=201460321
新鲜佛手柑1个精选果500g左右无   感兴趣的话点“我想要”和我私聊吧～,36.0,小***家,2,https://www.goofish.com/item?id=941068874196&categoryId=201941104
全新康巴丝COMPAS挂钟中式双日历时钟挂表电子静音石英钟银 京东康巴丝挂钟官方自营旗舰店购买，2984银色，使用电池为,78.0,小***店,118,https://www.goofish.com/item?id=575890747903&categoryId=126918117
"正品出口标准高端加热鞋垫  
滑雪鞋加热鞋垫 冬季电加热保暖鞋垫
虽然价格高 但一定是最好的
别拿便宜来比较一分钱一分货",230.0,雪***备,598,https://www.goofish.com/item?id=772935648895&categoryId=126858739
冷榨初榨100%纯芝麻油阿育吠陀油疗、油拔，  初榨冷压芝麻油～护肤排毒滋养～正宗纯手工生榨，物理压榨，头道纯芝麻油～护,35.0,村***供,68,https://www.goofish.com/item?id=893270745052&categoryId=201458419
1000g/箱【2斤装】黑糖坚果沙琪玛休闲小吃含箱新老包装   放心食材 商品如实拍图片  【生产日期】日期不断更新中 ,14.99,光***品,18,https://www.goofish.com/item?id=739614546201&categoryId=201948701
压缩饼干五谷杂粮整箱批发充饥饱腹学生抗饿户外代餐饼干零食整箱  【规格】（花生、葱油、芝麻、肉蓉、红枣、火鸡、混合） 6,9.9,木***豆,1,https://www.goofish.com/item?id=817225959268&categoryId=201449819
发霉的洋葱 洋葱霉菌[呲牙]  感兴趣的话点“我想要”和我私聊吧～,10.0,梨***鱼,0,https://www.goofish.com/item?id=929175749011&categoryId=201950301
5.8元全新包邮笤帚家用组合迷你小学生桌面扫把扫帚簸箕工具清 洁儿童刷子套装,5.8,音***码,7,https://www.goofish.com/item?id=956771334038&categoryId=126858295
运动健身骑行手套男单杠女器械带训练防滑半指引体向上防起茧  感兴趣的话点“我想要”和我私聊吧～,14.32,干***z,0,https://www.goofish.com/item?id=939447302617&categoryId=126866578
新疆烤奶皮，高钙无蔗糖的健康零食。外酥里软，奶香浓郁，格子纹 路超好看。一包独立包装，方便携带。喜欢的小伙伴赶紧下单  ,25.0,卖***柴,1,https://www.goofish.com/item?id=946857404302&categoryId=201451122
儿童行李箱，尺寸约44*34*20。小娃可以坐在上面，拉着走 。,30.0,芝***奇,160,https://www.goofish.com/item?id=702910996400&categoryId=126862775
32-02#沃尔沃C30小钥匙  铝  适用于老款沃尔沃C30S40智能卡机械小钥匙 04款沃尔沃机械钥匙胚  有需要的,5.0,隆***金,5,https://www.goofish.com/item?id=816012240174&categoryId=201455213
婧麒防辐射手机袋孕妇防辐射袋手机套通用手机包屏蔽袋屏蔽器四季  三件套,20.0,小***n,50,https://www.goofish.com/item?id=801719323354&categoryId=126866044
