标题,价格(元),所在地,想要人数,商品URL
手工缝制沙包，里面装的是荞麦克，不打手，3块钱一个，四个包邮 ，大人孩子都可以玩！,3.0,北***座,3,https://www.goofish.com/item?id=911218435671&categoryId=126914148
【手工鲜炖阿胶｜0添加｜无防腐剂｜顺丰直发】     [灯泡]纯福牌阿胶+黄酒+药材熬制   [灯泡]40%高含胶量｜2,208.0,胶***养,4,https://www.goofish.com/item?id=929918726738&categoryId=201455013
Magene迈金蓝牙外置接收器 室内公路自行车骑行台USB蓝 牙适配器 有2个，标价是一个价格。,34.99,a***肥,2,https://www.goofish.com/item?id=954491722648&categoryId=126856257
"LK 850 SMD回流焊台，几乎全新，买回来一直没用过！ 
可调温设计，最大功率1500W以下，功能完好。
电路板出现",40.0,爱***鱼,23,https://www.goofish.com/item?id=934088997565&categoryId=126864398
和室无脚椅曲木椅榻榻米日韩和室椅日式料理用餐椅靠背座椅地炕椅  颜色分类: 桃心棉麻原木色、家具结构: 整装,22.0,城***果,0,https://www.goofish.com/item?id=930654414840&categoryId=126866849
房子拆迁，没地方放，闲置竹编簸箕便宜卖，有大有小都是好的，不 出外地，需自提。要邮寄的勿扰 感兴趣的话点“我想要”和我私,20.0,南***柏,90,https://www.goofish.com/item?id=759666951865&categoryId=126858266
出售高纯石墨圆料，直径625长度380-400。体密1.72  感兴趣的话点“我想要”和我私聊吧～,30.0,高***家,28,https://www.goofish.com/item?id=738711995203&categoryId=201456603
FCS 2代 插头三片装G3冲浪板尾鳍，S码瑕疵品清仓，需要 G5或G7请留言 感兴趣的话点“我想要”和我私聊吧～,152.0,碧***外,11,https://www.goofish.com/item?id=745529276625&categoryId=126856664
威特仕 44-7112护腿焊工护脚套盖劳保防具护脚   全新，售出不退。,75.0,哆***ヽ,6,https://www.goofish.com/item?id=912726984552&categoryId=126858720
法语在校老师，外教 一对一  多年经验，目前还在学校教法语  感兴趣的话点“我想要”和我私聊吧～,75.0,B***C,0,https://www.goofish.com/item?id=883441731086&categoryId=201449512
北京同仁堂阿胶糕，铁盒精品包装，未拆封的，43一罐  感兴趣的话点“我想要”和我私聊吧～,42.0,林***7,12,https://www.goofish.com/item?id=908011404217&categoryId=201458621
一汤汗蒸半价卷，原价39用这个只要18元，一共有八张，买的多 送得多,9.99,暗***子,1,https://www.goofish.com/item?id=961268457611&categoryId=201707001
摩托电动三轮车改装液压自卸翻斗车电控按键升降全套12V48V 60V72V,515.0,一***司,25,https://www.goofish.com/item?id=714672001331&categoryId=201458203
袋鼠妈妈透润修颜隔离霜 柔纱紫 原价59 现价45 日期到2 028年1月2日,45.0,A***g,1,https://www.goofish.com/item?id=922261245779&categoryId=126866077
"地板保养桐木油 买多了 剩了3瓶  有需要联系我 保质期到2 8年
感兴趣的话点“我想要”和我私聊吧～",90.0,幸***喵,1,https://www.goofish.com/item?id=946072508957&categoryId=126858247
洪湖莲藕，基地直发，助农产品  感兴趣的话点“我想要”和我私聊吧～,29.0,米***货,0,https://www.goofish.com/item?id=844935250477&categoryId=126920185
大量处理一批晒粉皮帘子，200✘40需要的私聊，价格量大从优 ！,30.0,科***机,45,https://www.goofish.com/item?id=953467171971&categoryId=201453208
牛奶释迦果树苗 嫁接苗 属于四季结果品种 释迦果口感很甜 牛 奶释迦口感比普通释迦要软糯顺滑一些 备注 释迦冬天会落叶 ,65.0,灵***司,88,https://www.goofish.com/item?id=726883919431&categoryId=126916208
铝合金台球三角摆球架   根据标准台球设计，摆球无缝隙，适合57.2mm中八十六彩球。 可拆卸，方便携带，铝合金材质加A,80.0,台***汇,90,https://www.goofish.com/item?id=862462111095&categoryId=126866355
原装正品闪迪记忆棒4G支持MG检测，原装ms卡，闪迪原装记忆 棒 品牌：闪迪 9成新左右，支持magicgate 二手物,36.0,O***7,1,https://www.goofish.com/item?id=951671901366&categoryId=126854216
