标题,价格(元),所在地,想要人数,商品URL
世达93458 2件套可调节双头三角形刮刀=92元。  世达93459 2件套迷你可调节刮刀=92元。 世达93460 ,92.0,细***蟹,129,https://www.goofish.com/item?id=867212736222&categoryId=126864535
漫步驴适用于尼康Z50二代相机皮肤全包保护贴膜z50II贴纸 改色贴皮 偏远不包邮,25.8,魔***店,0,https://www.goofish.com/item?id=929649485299&categoryId=126854195
佳能Ed屈光眼罩  屈光度+1.5 折合老花150度  目镜片无划痕霉斑 状态良好  外圈橡胶弹性良好 无过油无氧化发白,110.0,4***_,0,https://www.goofish.com/item?id=927881002011&categoryId=126854064
￼￼公牛（BULL）开关插座通用透明蓝色86型防水盒防溅盒防 水罩插座防水面板盒F04S 全新未使用,22.0,新***民,29,https://www.goofish.com/item?id=916157573501&categoryId=126856425
美国Analysis Plus 分析家 专业录音吉他贝斯连接 线 静音头3米,750.0,我***店,30,https://www.goofish.com/item?id=638544867546&categoryId=126858845
E+H FMR245-A3TFKAA2D 雷达物位仪 功能正 常 议价出,888.0,财***财,0,https://www.goofish.com/item?id=943681752510&categoryId=201449608
正宗全新方圆牌南京木工机械厂方孔钻方钻钻头我司是主要从事高端 红木的家具厂，新来的采购业务不熟悉，应该采购台湾名山的方孔,13.0,w***8,25,https://www.goofish.com/item?id=557905404760&categoryId=126864424
"心愿先生假睫毛胶水+镊子 
3胶水➕3镊子
都是全新 旗舰店购入
打包30元包邮",30.0,w***价,3,https://www.goofish.com/item?id=954755200303&categoryId=126916125
冬季电动摩托车电加热充电宝手套USB自发热手套保暖发热手套男 女 只用过几次，体验效果非常好，48-96V通用，直接插入,25.0,安***面,0,https://www.goofish.com/item?id=910235517870&categoryId=126856224
48架子管两头内接20根  感兴趣的话点“我想要”和我私聊吧～,62.0,我***6,0,https://www.goofish.com/item?id=954056115577&categoryId=126858058
【变色杯、纸袋、杯套、胸针、贴纸】瑞幸×labubu  大全 套（包邮）  变色杯1个 30*1=30 纸袋4款各1（双,3.0,吉***i,3,https://www.goofish.com/item?id=782029023065&categoryId=126858548
新华书店图书卡两张，价值1010，800出，可单买400一张 。面交。适用于广州市花都区新华书店图书。有效期至2025年,400.0,w***g,2,https://www.goofish.com/item?id=861392256168&categoryId=201706701
不锈钢保温保湿蒸箱电热毛巾车高温蒸气消毒柜电热管 在上海浦东 新区惠南镇福华医院旁 体积大 价值太低 发不了外地 上海本,288.0,x***5,0,https://www.goofish.com/item?id=936471243499&categoryId=126862054
只用过一次，基本全新  beeshum贝斯哈姆兔飞飞儿童牛奶杯，小豆绿色，250ml容量,22.0,蔡***剧,0,https://www.goofish.com/item?id=932507034238&categoryId=126854541
浴帘 涤纶防水防霉蓝色地中海小鱼图案(全新)  尺寸：宽150×高200 内有加固浴环,15.0,籽***璐,5,https://www.goofish.com/item?id=728394962343&categoryId=126858325
北大青鸟JBF5060层显，北大青鸟JBF5061楼层显示盘 ，22年5060层显120元一个，21年5061层显也有现,120.0,消***1,26,https://www.goofish.com/item?id=694382672070&categoryId=126856440
双人电动车摩托车雨衣，紫色和蓝色可选，全身长款设计，防暴雨， 适合电瓶车使用。质量不错，带原厂包装袋。因尺寸稍大，厂家直,20.0,鸣***厂,38,https://www.goofish.com/item?id=928917030917&categoryId=126856230
高速ETC设备，万集科技出品，带有显示屏，太阳能充电。不提供 技术支持。 闲置出，适合有需要的朋友。 设备正常使用， 售,9.9,志***铺,0,https://www.goofish.com/item?id=931335671562&categoryId=201457203
【狂欢价】卡贝裤架伸缩滑轨轨道衣柜内置衣架抽拉式…全新，买了 发现不能用,105.0,阿***1,0,https://www.goofish.com/item?id=854161692665&categoryId=126858018
扬琴支架 可折叠便携 全新白板镂空雕龙琴架  适用401 4 02型扬琴 龙板为80多岁的老师傅手工雕刻 雕工纯熟 图案,225.0,民***发,245,https://www.goofish.com/item?id=828050528201&categoryId=126858870
