标题,价格(元),所在地,想要人数,商品URL
红楼梦老铁皮桶/铁皮盒子（品相很好）  第二个是椭圆形的两面画（一面林黛玉一面贾宝玉） 第一、三、四全部是四面画，四面都,100.0,李***子,4,https://www.goofish.com/item?id=726775891396&categoryId=126862265
[钉子]职规赛PPT美化、挑战杯PPT美化，美化，修改，排版 24h可接单 ！！！ [钉子]会议ppt、大创ppt、年度,99.0,保***家,199,https://www.goofish.com/item?id=777074599335&categoryId=201641602
自用雪花机，9成新，带遥控，可以遥控使用，配套雪花液一整桶， 大功率的！造雪效果非常ok，有需要请联系！,150.0,小***铺,569,https://www.goofish.com/item?id=894511082808&categoryId=126858588
新款裁缝划粉裁衣画粉划粉片裁缝彩色画线，粉笔裁缝，缝纫制衣工 具。有意者可以送货上门。,5.0,l***y,0,https://www.goofish.com/item?id=964188712185&categoryId=126858669
戴尔拆机原装大dp转DVI线一条15   可以到里面看看别的线，VGA，HDMI，dp. 网线一起拍算一个运费 转接线9,9.9,欣***材,157,https://www.goofish.com/item?id=618726225855&categoryId=126866015
迪拜巧克力来了！新店开业，分奶巧和黑巧两种口味！喜欢吃巧克力 的宝宝直接拍哦。  三种规格：25g，68g，190g。 ,26.9,跳***笋,148,https://www.goofish.com/item?id=847973221005&categoryId=201450724
云南大学鲜花饼玫瑰酱，玫瑰酱26包邮  假期没有鲜花饼  感兴趣的话点“我想要”和我私聊吧～,26.0,芒***宝,58,https://www.goofish.com/item?id=913244664163&categoryId=201947202
全新未使用  感兴趣的话点“我想要”和我私聊吧～,9.9,等***2,0,https://www.goofish.com/item?id=947045068123&categoryId=201451829
敢放上细节的墙面丝印才是丝印#武汉丝印 #墙面丝印 #墙面印 刷 #印刷墙面 #展厅墙面文化墙丝印,50.0,武***高,1,https://www.goofish.com/item?id=930066314940&categoryId=126854374
长期供应HIPS惠州仁信825，高抗冲，易调色  感兴趣的话点“我想要”和我私聊吧～,6.66,聚***料,1,https://www.goofish.com/item?id=751624316778&categoryId=201456203
标价即卖价，闲置落灰用不到了，擦一下还是很新的，个人转让小型 电动堆高车一台，新能源电池续航5小时，搬运叉车二手小型堆高,1870.0,洒***瓜,3,https://www.goofish.com/item?id=954518485467&categoryId=126860978
新疆桑葚干果 特级免洗无沙 净重160g/罐  感兴趣的话点“我想要”和我私聊吧～,18.0,竹***生,30,https://www.goofish.com/item?id=851403363333&categoryId=201453625
清甜爽脆！粤北乐昌大马蹄来啦    宝子们，被我挖到宝了！来自粤北的乐昌大马蹄，一口咬下去汁水四溢，满满都是清甜的味道，,19.9,淇***团,0,https://www.goofish.com/item?id=892042105906&categoryId=201948302
【10个装】全新不锈钢吸管缝隙刷吸管杯刷套装加粗加清洗工具长 毛刷子   ☞转卖原因:百货超市不干了 剩余一批全新吸管刷,3.99,茼***选,18,https://www.goofish.com/item?id=774868433625&categoryId=126864952
3D打印耗材真空收纳袋电动抽气泵 PETG ABS干燥箱压缩 防尘防潮袋 ，配置5个真空袋+1个手动气泵+1个密封夹,15.0,3***机,0,https://www.goofish.com/item?id=954847953639&categoryId=201449502
3元出全新3米钓鱼失手绳松紧护杆乳胶绳钓鱼竿失手绳护竿绳放竿 绳弹力皮筋绳子 就这一根 需要的朋友请来自提,3.0,小***1,8,https://www.goofish.com/item?id=732782600391&categoryId=126856704
全新手机倒影镜，拍出不一样的风景  感兴趣的话点“我想要”和我私聊吧～,15.0,化***风,30,https://www.goofish.com/item?id=945642187200&categoryId=126854160
电动摩托车爆胎自救神器电瓶车瘪胎助推器自行车破胎拖车神器  感兴趣的话点“我想要”和我私聊吧～,18.0,创***媒,68,https://www.goofish.com/item?id=950919651205&categoryId=126856198
足干海底椰片，500克19.9元包邮，清热除燥、润肺止咳，适 合热性体质的人群食用，特别适合用于煲汤。煲汤很好喝，适合全,19.9,海***店,1,https://www.goofish.com/item?id=778463787511&categoryId=201457225
良品铺子琥珀核桃仁，精选优质产区核桃，经过3层滤网筛选。自然 健康的零食选择，每包100克。  未开封，保质期8个月，袋,9.9,x***3,0,https://www.goofish.com/item?id=913680730841&categoryId=201451422
