标题,价格(元),所在地,想要人数,商品URL
东北黑龙江猴头菇个大、毛长，香味也很浓郁，养胃滋补效果很好， 性价比超级高是养胃的最佳选择。 35元/半、​59元/1斤,35.0,岭***产,3,https://www.goofish.com/item?id=745965216401&categoryId=201457518
道馆关门了，全新跆拳道腰带，不带字的，五块钱一条  感兴趣的话点“我想要”和我私聊吧～,5.0,海***么,30,https://www.goofish.com/item?id=775399809332&categoryId=126866437
怀旧玩具滚铁圈，铁圈，滚铁圈，铁箍，老铁圈，老玩具，老物件， 民俗品，影视道具！尺寸33左右，尺寸大小不等，邮费协商,55.0,澄***木,20,https://www.goofish.com/item?id=676740039793&categoryId=126866146
"可加热鼠标垫 
全新的，城阳区自提[超便宜]
感兴趣的话点“我想要”和我私聊吧～",19.9,咚***呛,0,https://www.goofish.com/item?id=869068661890&categoryId=126854023
深圳暑假一定要抽一天带娃去工厂参观TOP10  哈喽 椰子老师来啦，深圳暑假还不知道去哪玩？ 想带娃去感受深圳的科技 也,158.0,椰***师,2,https://www.goofish.com/item?id=953554082874&categoryId=201642801
自粘式绿胶吸盘扎带固定座20*20 25*25  30*30   40*40 电箱理线配线神器带胶粘贴定位片 有黑色和白,6.0,扎***哥,14,https://www.goofish.com/item?id=734012572909&categoryId=126856255
广邦番茄沙司1kg装，全新未拆封。适合做沙拉、烤肠、年糕、寿 司、饭团等，酸甜口味。保质期12个月，生产日期见封口。 同,8.0,欣***阁,1,https://www.goofish.com/item?id=960015674553&categoryId=201461221
一次性眼镜布清洁湿巾300片眼镜布擦拭纸擦手机电脑屏幕镜头镜 片高档神器全新未拆封包邮  工厂清货，数量不多 1️⃣试用,4.99,C***月,10,https://www.goofish.com/item?id=751793443749&categoryId=126860922
买多了用不上  感兴趣的话点“我想要”和我私聊吧～,12.0,用***9,0,https://www.goofish.com/item?id=936040316317&categoryId=201450421
自家了蜂场养27年。保真鲜蜂王浆速冻   买10斤送4斤蜂蜜,79.0,费***蜜,3,https://www.goofish.com/item?id=931710973296&categoryId=201450621
柔术腰带，全新，灰白色，长度240cm，小孩跨带色升级，闲置 转让,30.0,s***y,0,https://www.goofish.com/item?id=937353184643&categoryId=126866428
MBTI/荣格八维/九型人格 专业判型服务 标价为单项   判型师资质   - 系统研读《心理类型》《类型与原型》等原著,59.9,书***泥,1,https://www.goofish.com/item?id=946313606345&categoryId=202155522
JEBILLY 香水小样！    精选三款迷人香调： 婆罗沉香，神秘深邃，2ml 共 11 支。 娘惹黄姜，独特韵味，2,15.0,深***茶,0,https://www.goofish.com/item?id=858139871934&categoryId=202035502
长白山蓝莓果干孕妇零食半斤装2023新   长白山野生蓝莓干不加糖无糖无添加孕妇儿童保护视力。 长白山原始森林自然环境种,19.8,w***产,7,https://www.goofish.com/item?id=743791197572&categoryId=201459021
广佛宠物摄影  需提前2周预约，不接临时单，可上门搭景拍摄 尾款299 定金100,100.0,咔***铺,0,https://www.goofish.com/item?id=895637935647&categoryId=201452020
大连面条鱼春季限定，[超便宜]4斤装  无骨无刺，小银鱼，个头娇小，全身无骨无刺，非常适合给宝宝做辅食。银鱼富含优质蛋白,39.9,大***产,5,https://www.goofish.com/item?id=911733605329&categoryId=201949501
香咖园五格十盒保温台，用了不到两个月，几乎全新。尺寸177× 65×80cm，带10个保温盒盖，功率2kw，适合餐饮店使,203.0,n***o,1,https://www.goofish.com/item?id=950227907012&categoryId=126862066
300千瓦甲醇发电机组，配备触摸屏控制系统，操作简单方便。设 备成色良好，功能完好无维修。适合各类场所使用，稳定可靠。因,2.98,柴***销,2,https://www.goofish.com/item?id=953261795239&categoryId=126864275
跨境G5炫彩马卡龙掌上游戏机儿童学生怀旧玩具复古迷你500合   下单前请先咨询确认～ 产品颜色：500合一单打，500,49.0,零***厂,0,https://www.goofish.com/item?id=938757150754&categoryId=126866705
口风琴吹管  感兴趣的话点“我想要”和我私聊吧～,5.0,格***家,0,https://www.goofish.com/item?id=951954569729&categoryId=126858792
