标题,价格(元),所在地,想要人数,商品URL
"【孩子最爱听】好奇侦探社 好奇心出发 十万个为什么 音频MP 301.好奇心出发！十万个为什么！侦探科普！儿童睡前故事02.好奇心出发2！十万个为什么！科普百科！睡前故事03.好奇心出发3！万物启蒙！科普百科大全！十万个为什么04.好奇侦探社1 ！怪奇事件篇！校园侦探冒险！好奇心出发05.好奇侦探社2！冰川怪客篇/好奇心出发/校园科普冒险07.那可怎么办？小朋友的100问！好奇心出发/科普百科08.那可怎么办2？冬季100问/好奇心出发/科普百科09,侦探少女可可莉！如何自我保护/情绪认知/社会百科10.好奇侦探社4！机械迷城篇好奇心出发赠好奇侦探社3·侦探联盟篇科学科普好奇心出发校园侦探冒险[钉子]购买须知宝贝为虚拟商品，非实物，不邮寄。百度网盘自动发货发货后不接受退款，有问题请联系客服协助处理，我们尽力为大家提供优质满意的服务。免责声明本资源仅供爱好者交流使用，不作为商业目的。价格仅为整理素材的辛苦费，如有侵权，请联系店家删除。感兴趣的话点“我想要”和我私聊吧～",1.2,北京,42,https://www.goofish.com/item?id=956726193577&categoryId=202036301
DND 三宝书电子版资料 包含：城主指南+玩家手册+怪物图鉴附赠：5e不全书+车卡文件（pdf+xlss格式俩种）+新手模组（凡杜林的失落矿坑）+城主工具和速查网站（自己当dm时用感觉很方便）+遭遇战地图包⭐️主页还有其他模组或代找服务⭐️捆绑主页任意资料一起9折,2.88,江西,0,https://www.goofish.com/item?id=834428409332&categoryId=202036301
PPG 皮派阁天津ppg电玩城+皮派阁电玩城 ppg潮玩 游 戏币南开大悦城店  中海环宇城店  西青大悦汇店随玩随拍，当天核销!100币29.9200币59300币87400币115500币 142600币 169700币 1961000币268[钉子]全网最di不议价！[钉子]随玩随拍，当天核销！超过1000可直存卡里[钉子]一经发货，不退不换！介意勿拍！出币后请确认收货！已读不回别怪我挂你 都是实名交易,29.9,天津,0,https://www.goofish.com/item?id=829645981421&categoryId=201422401
中文版《地下室的恶魔》 【全新商品】【类别】游戏【语言】中文【难度】简单主要可攻略角色：塞恩，维格斯，鲁特游戏内容：刷怪升级、找线索、过剧情特色：car很多，部分场景适合胆大者鼠标操作，无需键盘共有6个结局：NO：1 旅途 〔单身结局〕NO：2 军旅生涯 〔军官塞恩结局〕NO：3 故乡〔铁匠鲁特结局〕NO：4 冒险者的梦〔拳师维格斯结局〕喜欢的直接拍，付款后当天发货全款购买随机附送游戏，可指定手机或pc,4.0,辽宁,0,https://www.goofish.com/item?id=923892735860&categoryId=201449620
四人战役黑暗之城 1.2.5 全商城 全存档 全英雄 全模式 全难度 地图等级 指令  指令包含（默认关闭可以自由开关） 全图视野，全图瞬移，技能无冷却， 无限蓝量，自动回血，自动加金币， 无敌状态，秒怪模式，自动加木材， 添加光环，添加技能，直接刷装备， 无限人口，快速建造，打怪加属性， 控制单位...,1.0,福建,0,https://www.goofish.com/item?id=925913005688&categoryId=201409706
星露谷物语  SVE+东斯卡普+里奇赛德+祖祖城 mod安装 包（不包含游戏本体）已汉化，拍下默认发链接下载，或发给我你的邮箱，需远程安装的话再沟通时间（mod版本不适配安卓、iOS和Mac！！！）  （远程安装需下载todesk或者向日葵远程控制软件）[五角星]sve:增加了居住在鹈鹕镇的27 个新的 NPC、50 个地点、260 个角色事件、27 条鱼、重新构想的香草区域、两张农场地图、一张sve世界地图、新的音乐、任务线、物品、农作物、节日和许多杂项添加[五角星]里奇赛德：在一系列功能和内容中提供质量和数量，其中包括许多您可以结交的新 NPC，甚至一些浪漫、新物品、鱼、武器、事件、故事和任务，它们与基础游戏的美学和传说完美融合，甚至是游戏后期的挑战和奖励。此外，您将受到村庄定制的音乐主题的欢迎，以及每个适婚 NPC 独具特色的原创乐谱。[五角星]东斯卡普：添加新 NPC 的扩展包;新地点;新鱼;商店;特殊订单 - 以及许许多多的秘密。East Scarp 是一个风景如画的海边社区。[五角星]祖祖城：星露谷物语的繁华中心 - Zuzu 市中心！这个令人振奋的 Mod 为您昏昏欲睡的农场生活注入了一股兴奋。准备好迎接一场充满新功能、角色和古怪惊喜的旋风式冒险吧！告别平凡的农业生活，向摩天大楼、高档咖啡馆和城市氛围问好,6.6,河北,0,https://www.goofish.com/item?id=891655555251&categoryId=201409706
2200部动画电影下载，迪士尼动画片国语配音 迪士尼动画视频 电影 迪士尼动画中文版英文版国语电影合集《恐龙当家》《寻梦环游记》《疯狂动物城》《头脑特工队》《青春变形记》《飞屋环游记》《心灵奇旅》《超能陆战队》《怪兽电力公司》《机器人总动员》《哈尔的移动城堡》《千与千寻》《海底总动员》《驯龙高手》《宝莲灯》《无敌破坏王》《龙猫》《坏蛋联盟》《夏日友晴天》《疯狂原始人》《了不起的菲丽西》《欢乐好声音》《二分一的魔法》《里约大冒险》《狮子王》《功夫熊猫》《玩具总动员》《****》《爱宠大机密》《飞鸭向前冲》《小门神》《赛车总动员》《天才眼镜狗》《雪人奇缘》《超人总动员》《马达加斯加》《怪物史瑞克》《寻龙传说》《冰川时代》《勇敢传说》《海洋奇缘》《抢jie坚果店》《天降美食》《魔法满屋》《美食总动员》《疯狂元素城》《岸上的波妞》《威洛比家的孩子们》----------分割线----------------------分割线------------本商品为【百度网盘群共享】，感谢您浏览下单此商品！点击最下面的【聊一聊】联系客服发最新目录。这个商品包含了，店主亲手耗费几年时间匠心整理的2200+部【动画片电影+个人提升或者儿童成长教育电影】已经更新到8500G=8.5T 【英语】【国语】【儿童英语启蒙】都有。全部超高清1080P或者4K+长期更新+长期有效！进百度网盘群后，8500G资料需要什么转存什么，保存什么，或者下载什么。全部是我亲手整理的，百度网盘群共享，使用百度网盘手机 平板 电脑都可以在线播放，电视可以投屏或者安装tv版百度网盘。使用百度网盘全部可以下载（建议用电脑下载）。 群共享长期有效，资料随时提取，资料长期更新。此商品24小时全自动发货！,2.98,北京,0,https://www.goofish.com/item?id=951677370040&categoryId=202036301
DND 龙与地下城 全套电子书资料 第3版 第4版 第5版  内容非常丰富，文档一共1g多  内容包含三宝书（玩家手册、城主指南、怪物图鉴）  + 冒险模组  + 地图包  + 新手入门教程大全 中文版 欢迎咨询～  可直拍（但不是秒发货，我看到后会第一时间发，感谢！！！）,4.98,广东,0,https://www.goofish.com/item?id=839273508812&categoryId=202036301
【秒拍秒发】数学启蒙动画必看的英文动画片大合集英文版【99】 高清画质！英文版！看清楚再拍！！  [右]数学城小兄妹1-4季 3岁+ [右]peg+cat佩格和小猫1-4季 3岁+ [右]怪物数学小分队50集 3岁+ [右]数字虫1-3季 2岁+ [右]数字积木1-6季 2岁+ [右]数字小精灵1-...,2.99,北京,11,https://www.goofish.com/item?id=867623160175&categoryId=126864808
秒发【悲鸣城怪奇谋杀始末】完整版 电子版剧本杀全套 ※内含※DM手册+人物剧本+线索卡+售后包标价即全套，无任何套路7×24h自动发货，拍下秒发小黛剧本全平台仅此一家！下单前请核对店铺名称，应与本店详情页“小黛剧本”水印一致！谨防仿冒店铺！！！════════════多囤多享：买五赠一，店内6000+剧本任选（戳客服领取）,1.01,江苏,0,https://www.goofish.com/item?id=924128862846&categoryId=202036301
lesliya合集 《我，铁路大亨》《怪谈NPC想移民》《星际制卡师，但神话系》《404公寓住户须知》《欢迎来到规则城》《末日游轮[无限]》《星际第一惊吓城》《给古人直播国泰民安》《我在异界开技校》《我靠抽卡当领主》《我在异界开商店》《全星际都等我投喂》《我在异界开旅店》《末日迷宫》《命运特快》《HP我想守护你》《星宿派小师妹》《斯内普牌小巨怪的快乐生活/淡淡的生活》《三个斯内普》《与你并肩》《繁荣之路》《三重人生/蛇院式爱情》,2.99,云南,0,https://www.goofish.com/item?id=926299236355&categoryId=202036301
【DND5E】龙与地下城 三宝书 模组 地图 帷幕 人物卡等 新手资料电子版合集 龙与地下城DND5E规则新手入门资料整理 ⭐️ 玩家手册｜城主指南｜怪物图鉴 基础人物卡｜已整理模组等电子版内容   ⭐️三宝书 新手DM必读，核心规则，从零开始掌控dnd基础规则。  ⭐️新手模组 包含三篇新手短模组和...,7.98,河南,0,https://www.goofish.com/item?id=910371729477&categoryId=202036301
完美世界国服100级6职业单机版，无BUG功能完善。可断网单 机玩，也能联机。无需网盘，一键不限速下载。龙宫、丛林遗迹、冥兽城、蛇岛赛马、竞技场等活动地图随便玩，没有时间限制。怪物攻城、圣诞节、打年兽等日常活动随时参加。副本内能飞行、骑坐骑、召唤宠物，一个人就能打小副本 勿拍!!!勿拍！！！点&ldq...,1.0,辽宁,10,https://www.goofish.com/item?id=944439289564&categoryId=202032502
龙与地下城 -怪物图鉴II 中文版 极速发货,1.0,上海,1,https://www.goofish.com/item?id=923726923844&categoryId=202036301
【悲鸣城怪奇谋杀始末】全新电子版剧本杀，6人开放，架空推理城 【有水印】  限复盘解析手册。包含主持人手册、剧本、线索及售后资料，网盘自动发货  有水印，不影响观看,1.0,广东,3,https://www.goofish.com/item?id=927877362590&categoryId=202036301
皮派阁天津ppg电玩城+皮派阁电玩城 ppg潮玩 游戏币 南开大悦城店  中海环宇城店  西青大悦汇店随玩随拍，当天核销!100币29.9200币59300币87400币115500币 142600币 169700币 1961000币268[钉子]全网最di可比价，不议价！不议价！[钉子]随玩随拍，当天核销！超过1000可直存卡里[钉子]一经发货，不退不换！介意勿拍！出币后请确认收货！已读不回别怪我挂你 都是实名交易,59.0,天津,59,https://www.goofish.com/item?id=830782063132&categoryId=201404604
孤城蜀将 1.0.37 全商城 全英雄 全模式难度 KK魔兽 地图指令  输入：魔兽地图工坊 领取开局礼包指令包含（默认关闭可以自由开关）全图视野，全图瞬移，技能无冷却，无限蓝量，自动回血，自动加金币，无第状态，秒怪模式，自动加木材，添加光环，添加技能，直接刷装备，无限人口，快速建造，打怪加属型，控制单位，设置属型，设攻击范围，等等...（因地图不同部分指令无效）魔兽争霸3冰封王座地图年销量破万 超赞店铺 值得信赖KK对战平台 创建自定义房间 玩的不是刷存档 不是辅助 不是卖号租号邀请好友联机玩 大家都是一样的特权全店自助购物〔随时 随地 自动 发货〕,1.0,福建,0,https://www.goofish.com/item?id=965038404136&categoryId=201449620
《这城有座良田》最新版， 已更新英雄：诸葛亮、吕布、关羽、袁天罡、长孙无忌、武则天、李冶、若若、白蛇、青蛇、宁姚、李光弼、陈平安等。持续更新，添加一键起号功能，5分钟拉满，GM版，内购版，后台版杀疯了！安卓、苹果都适配。最新版本，更新如下。最新更新一键起号，清理背包，定义装备后台。1、循环九州，九州永不结束。2、更新正一品55阶官职，撩属可以650级满级。3、任务优化，政务只做3次，巡视，县令志不用做，10分钟做到第七章开九州。4、后台可发彩色装备。所有东西可发。5、加强势不可挡技能破坏值，动若脱兔等技能，0冷却。打城池再也不用半小时。几分钟打一座城。6、加强了野怪数值，城池守军数值，再也不担心属性高找不到对手打了。GM后台超给力，资源随便刷，想咋玩就咋玩。就算你是游戏新手，不会操作后台也没事，整理好的CDK，一键就能把你需要的资源全拉满。现在上线就送无限铜币，撩属经验，六艺玄策。更有僚属全满星，彻底告别重复升星的麻烦。游戏稳定运行，没一点bug，用的是年费服务器，绝对不跑路，玩起来流畅不卡顿。物品都能兑换，还支持联机，赶紧来了解，错过血亏！标价就是卖价。9.9无限金钞，28物品后台发全满星。,1.78,广东,0,https://www.goofish.com/item?id=966564629470&categoryId=201459411
幽港迷城 Gloomhaven PC版 绿色版本，安装即玩，文件大小14..72G， 没有中文。   支持百度+夸克网盘下载。需要请直接拍，24小时自动发货。  《幽港迷城》是一款合作对抗怪物的游戏，并且每位玩家拥有自己的游戏目标。在游戏中，一队玩家将要使用场景书去完成一系列...,1.99,湖北,2,https://www.goofish.com/item?id=951006905702&categoryId=201449620
DND三宝书电子版资料大全套，包含城主指南+玩家手册+怪物图 鉴[闪亮][闪亮]  另送5e不全书、车卡文件（pdf+xlss两种格式）、新手模组《凡杜林的失落矿坑》、城主工具和速查网站、遭遇战地图包  资料齐全实用，当DM必备工具，欢迎咨询～,3.0,广东,21,https://www.goofish.com/item?id=932625805055&categoryId=202036301
网游之纵横天下 精校 txt epub mobi  azw3 四种 网游之纵横天下 全文 完本 全本 完结 精校版  【书名】网游之纵横天下 【作者】失落叶 【点评】全服首杀防抢怪攻略！书生同款冰霜护盾防爆指南+剑火连击操作说明书。电子版含白云城房产投资分析表，重点标注'遇见七星灯请背诵《亡灵圣...,1.0,浙江,14,https://www.goofish.com/item?id=907907498960&categoryId=202036301
勇者大人的刷怪城（无限货币）标价就是售价 单机游戏  游戏内无二次消费  虚拟物品售出不退介意勿拍  安卓app下载，需要下单,1.5,北京,0,https://www.goofish.com/item?id=897054717308&categoryId=201409706
"小众高分漫画推荐《夜行骇魔》1-25卷全 在这部由惊悚大师克里夫·巴克打造的哥特式漫画中，现实世界与怪物庇护所""米甸""的界限被鲜血撕裂。 画风充斥着巴洛克式的黑暗奢华——扭曲的兽化肢体、幽邃的地下墓城、月光下闪烁的鳞甲与獠...",2.0,北京,5,https://www.goofish.com/item?id=943218443887&categoryId=202036301
"左右两边都是妹妹，哥哥想选的是谁？1-2 ⭐拍下发2册⭐轻小说 简体中文电子版.epub与.txt格式❤️支持度盘发货，以及蓝奏云（直接下载内容）发货❗虚拟商品性质特殊，一经发货均无法退货，拍下即代表您已同意本条款作者: 惠比须清司状态: 连载标签: [校园, 青春, 后宫, 欢乐向, 妹妹, 青梅竹马, 富士见文库, 日本轻小说]内容简介:可爱的妹妹和漂亮的妹妹我全都要!!「我喜欢的妹妹不是妹妹」作者惠比须清司献上的恋爱喜剧最新作品！这次是为了争抢哥哥所引爆的姐妹之战！「哥哥──」「哥──」「「你想选谁!?」」月城家的姐妹──小堇和小椛过去跟我如同亲生兄妹一起长大。因为家庭因素而被月城家收留的我，受到两名许久不见的妹妹温暖地迎接，迈向理想中的家庭──本来应该是这样才对。想不到等着我的竟是替姐妹仲裁吵架的每一天……!?「哥哥是丝袜派。」「才怪，哥喜欢膝上袜才对！」拜托妳们别因为那种事情吵架好吗!!我是很高兴啦!?为了哥哥绝对不能输，描写妹妹们奋斗日常的家庭爱情喜剧，开幕！",4.03,四川,46,https://www.goofish.com/item?id=925744105328&categoryId=202036301
［自动发货］勇者大人的刷怪城 安卓 ［自动发货］勇者大人的刷怪城 安卓 不限速下载 中文 手机单机游戏  特别说明：解锁无条件使用货币  支持安卓 鸿蒙 平板 iOS勿拍  24小时自动发货，网盘下载 拍下发三大盘，百度 夸克 UC（UC下载不限速）,1.0,上海,0,https://www.goofish.com/item?id=946217464529&categoryId=202036301
【直拍秒发】数学启蒙必看的英文动画片大合集【自动发货拍下后秒 发】英文版高清画质！看清楚再拍！看清楚再拍！1、数学城小兄妹1-4季 3岁+2、peg+cat佩格和小猫1-4季 3岁+3、怪物数学小分队50集 3岁+4、数字虫1-3季 2岁+5、数字积木1-6季 2岁+6.数字小精灵1-2季 3岁+直接拍，1元包含上面所有，关注后再下单即为粉丝价0.6✅不用问在不在，直接拍，系统全天自动发货！✅发百度网盘～系统全天秒拍秒发，不用问在不在！ ‍‍‌‌‍‌‌‍‍‍‌‍‍‍‌‌‌‌‍‍‍‍‌‌‍‍‍‌‌‍‍‌‍‍‌‌‍‍‍‍‍‍‌‍‍-----★24小时自动发货，直接拍秒发★-----⭐⭐⭐主页置顶商品全店会员9.9，包含全店所有资料和以后店铺更新的资料⭐⭐⭐✅看中了就直接下单吧，电子版，网自动发货，自己下载使用，很方便(免责声明:本材料不作为商业目的，仅交流使用，价格展示并非课程价值，而是整理资料辛苦费，如有侵权，联系客服删除即可),1.0,山东,30,https://www.goofish.com/item?id=858157336016&categoryId=202036301
"全新Untiy教程 rpg P2商业级MMORPG大型网蝣U nity全栈开发 大小50g 短时间轻松学会untiyRPG多人网蝣蝣习开发 资料完整无加密,后续会跟新 度盘发货课程目录1进入主城2角色创建与选择3角色创建与选择下4用户登录5基础场景与U16网络消息处理7地图传送8小地图9进入主城(3)-角色信息显示10UI系统架构设计11NPC系统12道具系统13背包系统14商店系统15装备系统16任务系统17任务系统18野外地图-怪物生成19好友系统200组队21工会系统22聊天系统23坐骑系统24声音系统25自动寻路26战斗系统设计与基础属性结构27战斗系统实现与角色属性成长28技能与BUFF系统设计29战斗系统-技能释放流程详细设计与实现130战斗系统-技能释放流程详细设计与实现131战斗系统-目标选择与属性初始化重构32战斗系统-服务器战斗流程设计与实现33战斗系统-完善技能行为技能执行流程34战斗系统-完善技能行为135命中与伤害36战斗系统-完善技能行为(3)飞行道具37战斗系统-完善技能行为(4)选择性技能38战斗系统-BUFF系统39战斗系统-技能效果与表现攻击表现40PVE系统-怪物技能与AI41PVE系统-怪物技能与AI42副本-PVP-竞技场-竞技场设计与准备43副本-PVP-竞技场-竞技场设计与准备下44副本-PVP-竞技场-地图与副本45副本-PVP-竞技场(3)-竞技场逻辑46副本-剧情副本实现m47资源优化48性能优化-CPU49性能优化-GPU50性能优化-内存51多线程与线程安全53资源打包54资源统一加载55自动更新[火]免责申明[火]1.所有文件均获取自网络公开渠道，仅供学习和交流使用，所有版权归版权人所有。2.如版权方认为侵犯了您的版权，请及时联系小店删除。[红圆]3.本店所有商品售价仅是对资源查找以及整理的加工费用，如喜欢作品，请支持正版哦[灯泡]4.本店所有商品不涉及商用，仅是以众筹的形式提供给想要学习的极少部分人用于学习。",5.0,上海,99,https://www.goofish.com/item?id=894449028416&categoryId=202036301
[我的世界仿第九大陆服务端]最官方版本  斗罗大陆  RPG 服务器  非烂大街    1比1还原  买了可以直接开服，当服主 不是烂大街的垃圾端，也不是少插件的端，全部破解，除了传奇宝石不能隐藏属性为什么找我买，和他们买的一样，低价，自己测试过贴图ui都在很精品bilibili有详细开服教程，别傻傻问为什么打不开，再加5块包教会。一切功能均可正常使用，放心拍即可，修了绝大部分的bug关联： 我的世界副本地图、我的世界主城、我的世界主城地图、我的世界副本、我的世界模型，我的世界地图，我的世界插件，我的世界服务器，我的世界资源，我的世界账号，我的世界客户端，我的世界家具，我的世界武器，我的世界盔甲，我的世界材质，我的世界宣传图，我的世界banner，我的世界图片，我的世界定制，我的世界宣传页，我的世界mcbbs，我的世界图标，我的世界称号，我的世界，我的世界logo，mythicmobs，dragoncore，mm技能，mm怪物，龙核模型，龙之核心，我的世界UI，我的世界配置、我的世界pvp地图、我的世界中世纪地图、我的世界古风地图、我的世界现代地图。,8.8,浙江,39,https://www.goofish.com/item?id=951493606298&categoryId=201409706
6部幼儿数学思维动画片 数字启蒙高清视频数学启蒙大合集英文版 数字积木等标价就是全套自动发百度+夸克网盘，赠送夸克盘配套音频mp3✅学数学，有这6部就足够了✅又可以学英语，又可以学数学，两不误✅英语版动画+英语字幕（数学城小兄妹为中文字幕/无字幕）+配套MP3音频文件大小共87G内容包括：1、数字积木1-6季 2岁+ 超清1080p 英语字幕2、数字虫1-3季 2岁+ 超清1080p 英语字幕3、数字小精灵1-2季 3岁+ 超清1080p 英语字幕4、数学城小兄妹1-4季 3岁+ 480-720p 中文字幕/无字幕5、怪物数学小分队50集 3岁+高清720p 英语字幕6、佩格和小猫 peg+cat1-4季 3岁+ 高清720p 英语字幕【赠送】夸克盘配套音频mp3本素材仅用于学习交流，不作商用。所标价格是整理辛苦费，并非素材价值。如有侵权，联系客服删除。,1.0,湖北,99,https://www.goofish.com/item?id=927741160535&categoryId=126864808
《黑暗之魂 重制版》 （pc单机+安卓手机）（pc单机+安卓手机）《黑暗之魂 重制版》是一款设定在充满暗黑奇幻元素世界的全新动作RPG游戏。刺激的地下城，激烈地怪物战斗和突破性的在线元素构成了一款真正独特的RPG体验。《黑暗之魂》用无缝连接的世界设定打破了阻隔，激发玩家探险游戏世界和创造独特的游戏体验。当玩家碰上强大的敌人，探索出全新的地方，这一准确的挑战构建系统和奖励机制将带来很大的成就感。采用yuzu模拟器（一起附带发送），内置视频教程。文件大小4g不用问在不在，拍下后百度网盘自动发货网盘下载，虚拟商品，一律不给予退货，谢谢合作,1.28,江苏,0,https://www.goofish.com/item?id=888883884104&categoryId=126856346
龙与地下城 第五版 怪物图鉴 感兴趣的话点“我想要”和我私聊吧～,1.0,上海,3,https://www.goofish.com/item?id=924644701860&categoryId=202036301
怪奇物语漫画全4部+特别篇PDF电子版，包含游戏大师、6号实 验体、龙与地下城等13卷完整内容。全彩单页PDF格式，无需解压在线阅读。默认伯度云/夸克网盘发货，自动发货。恐怖悬疑科幻类漫画，喜欢的朋友点我想要聊聊价格！,1.0,甘肃,6,https://www.goofish.com/item?id=947038186874&categoryId=126862312
Pc/ACT/unity引擎/3d冒险【中文最新版】 游戏背景：你要扮演一名女战士，披荆斩棘闯关，需要战胜各种巨兽…、怪物～及两脚兽坏蛋等等。里面带了各种收集，交易系统，可以打金闯关，地下城的设计也很有意思 ，更重要的是，这是一款制作的 3D第三人称游戏，画面精美。因商品具有复制性售出不退不换，介意勿扰,5.0,河北,0,https://www.goofish.com/item?id=866801916505&categoryId=201409706
DND 龙与地下城 全套电子书+资料 最全最全！！！   三宝书（玩家手册、城主指南、怪物图鉴） +  冒险模组  + 地图包  + 新手入门教程大全 +扩展包 第3版 第4版 第5版 全套 中文版+英文版 一套资料包含了龙与地下城所有内容及扩展包。,9.99,广东,25,https://www.goofish.com/item?id=828238271908&categoryId=202036301
