标题,价格(元),所在地,想要人数,商品URL
【全新现货包邮】怪老头儿二年级下册老师推荐阅读书目，彩图注音 版，坏老头儿月光下的肚肚狼蜘蛛开店彩色的梦小马过河，全六册 适用年级：一年级，二年级，三年级  1.《蜘蛛开店》119页 2.《枫树上的喜鹊》 3.《彩色的梦》115页 4.《月光下的肚肚娘》218页 5.《小马过河》168页 6.《怪老头...,7.8,浙江,41,https://www.goofish.com/item?id=877798754078&categoryId=201459411
儿童文学名家经典书系 《怪老头儿》《巴颜喀拉山的孩子》《寄小读者》《中国神话故事》《世说新语》《小兵张嘎》《男孩的田野》《蓝鲸的眼睛》《汤姆·索亚历险记》语文新课标指定必读书目，适合中小学生阅读。书籍保存完好，内页干净整洁，封面完整。内容丰富有趣，深受学生喜爱。同城自提更优惠，外地的话运费自理。9本29.9包邮单本也可聊巴颜喀拉山的孩子,29.9,浙江,0,https://www.goofish.com/item?id=965360531003&categoryId=127838003
正版九成新 曹文轩推荐儿童文学经典书系 怪老头儿 郑重声明：鱼小铺只做正版9成新二手书或正版全新书。 【100%正版书】包邮发（新疆、西藏、青海不包邮，海南要询问客服核实。） ☆直接拍！可以拍就有货，尽量当天发，爆仓48小时发。（全国多仓，快递随机发） ☆联系我！做正版书很多年了，咸鱼...,8.5,江苏,17,https://www.goofish.com/item?id=930012778246&categoryId=201459411
正版二手 怪老头儿 孙幼军  著 春风文艺出版社 二手正版   ★二手7-8成新 快递如有破损请拒收退回 ★放心购买 质量保证 ★有需要其他书籍的可以联系客服！ 【书名】怪老头儿 【出版社】春风文艺出版社 【作者】孙幼军  著 【ISBN编码】9787531342977,7.46,安徽,0,https://www.goofish.com/item?id=717430837467&categoryId=127832004
怪老头儿  全新正版 三年级课外书必读经典 孙幼军温馨童话故 事书  适合三四五年级学生读的儿童文学经典文集名著读物  全新正版包邮，需要可以直接拍！怪老头儿怪老头儿,9.5,浙江,78,https://www.goofish.com/item?id=872712406796&categoryId=127832004
"全新包邮怪老头儿二年级下册老师推荐阅读书目，彩图注音 1.保证为正版书籍 2.新书未拆封 偏远地区不包邮 3.支持7天无理由退货 4.24小时内发货 5.其他书籍请联系我们""",8.8,山西,4,https://www.goofish.com/item?id=932164259141&categoryId=201459411
曹文轩推荐儿童文学经典书系 怪老头儿    北京教育出版社 品质承诺： 发货承诺:正常情况下24小时内发货，一般不超过48小时。 配件说明：不含光盘/小册子/书签等附属品 书籍品质:正版二手，书8-9.9成新，无掉页、可能会有些许笔记，择优发货 快递随机:不支持指定快递，就近仓库发货，确保您尽快收...,8.88,天津,0,https://www.goofish.com/item?id=948677435552&categoryId=127838003
正版二手书 曹文轩推荐儿童文学经典书系 怪老头儿 正版二手，书本基本都是八九成新的，有少量99新和全新的，没有破损缺页等情况，不影响正常阅读使用，放心购买！  发货时间：如无意外，一般当太难下午两三点前下单的，当天都能发货，最迟不超过4小时。  标价是一本书的包邮价格，多买可以优惠。 ...,9.79,北京,0,https://www.goofish.com/item?id=907555131930&categoryId=127832004
【全新现货包邮】《怪老头儿》彩图注音版，小学生寒暑假推荐阅读 书目，儿童文学经典书系，总页119页 适用年级：一年级，二年级，三年级  [闪亮]本店支持七天无理由退货，退货运费由买家承担  [闪亮]收货后如有质量问题，请及时拍下商品照片，找我们核实退换货  [闪亮]在购买书籍时，请务必仔细查看出版社，...,11.6,浙江,2,https://www.goofish.com/item?id=918641658192&categoryId=201459411
怪老头儿十分好玩 感兴趣的话点“我想要”和我私聊吧～,8.0,河南,0,https://www.goofish.com/item?id=967327504002&categoryId=127838003
怪老头儿，5元不包邮，满十本或者30元包邮区包邮。 感兴趣的话点“我想要”和我私聊吧～,5.0,江苏,2,https://www.goofish.com/item?id=962546534879&categoryId=127838003
怪老头儿  全新正版注音 百年百部中国儿童文学经典书系 一二 年级课外阅读书  全新正版包邮，需要可以直接拍！,12.9,福建,22,https://www.goofish.com/item?id=711038690220&categoryId=127832004
正版二手 怪老头儿 孙幼军 春风文艺出版社全部包邮 出版日期：1998-10ISBN：9787531319177★【售后无忧】1:快递如有破损，请拒收退回。2:任何质量问题包售后，7天无理由退换★【发什么快递】1:拍下付款，一般情况24小时内发货。2:早上发货，晚上上传快递单号，第二天有物流信息。3:物流信息更新不及时，可到快递官网查看物流动态。★【价格与邮费】1、库存大，出库存。2、全国包邮，偏远地区除外。3、咨询问题或者需求，请点击我想要咨询。★【其他】本店还有很多图书未上架，陆续上架中，如有任何一本图书购买需求，请点击我想要咨询客服告知书名，小店第一时间上架，给您更优惠价格。本交易仅支持邮寄  祝您购买愉快！【书名】怪老头儿【出版社】春风文艺出版社【作者】孙幼军【ISBN编码】9787531319177,11.21,福建,0,https://www.goofish.com/item?id=952491059019&categoryId=127838003
怪老头儿 【任意2本以上包邮  一本不发货】 怪老头儿 孙幼军 彩图注音 千种学校指定版必读书和绘本 有需要的可以发书单过来配【2本以上包邮】 书城店铺不开线上线下同时处理库存 需要直接拍，当天或者次日发出！,10.0,江苏,3,https://www.goofish.com/item?id=878751426741&categoryId=201459411
"正版二手 曹文轩推荐儿童文学经典书系 怪老头儿 偏远地区不包邮 ✔能拍的都是有货的,所以大家直接拍就行！ ✔本店还有很多各类风格的书籍！大家可以店里右下角我想要咨询客服。 ♥售后服务♥ ☆谢谢亲的光临,收到后,签收时麻烦检查清楚,有问题可以直接拒收哦怪老头儿",9.8,广东,0,https://www.goofish.com/item?id=939052402164&categoryId=127838003
（二手正品） 怪老头儿  发货快！ 【 关于商品质量】 ⭐ 正版二手书，书籍8-9.5层新，默认有少量笔记，不缺页不掉页 ⭐ 二手书择优发货，不包含光盘、小册子、激活码、印次等  【关于库存和发货时间】 ⭐ 收藏宝贝，关注店铺，可以优先发货哦~~ ⭐ 能拍就是有货，一般24...,14.79,广东,0,https://www.goofish.com/item?id=948733323714&categoryId=127838003
正版二手书 怪老头儿 正版二手 书本基本都是八九成新的，有少量99新和全新的，没有破损缺页等情况，不影响正常阅读使用，放心购买！  发货时间：如无意外，一般当太难下午两三点前下单的，当天都能发货，最迟不超过4小时。  标价是一本书的包邮价格，多买可以优惠。 ...,11.21,北京,1,https://www.goofish.com/item?id=907835609324&categoryId=127832004
【几乎全新转】怪老头儿 儿童文学名家经典书系 乌丢丢的奇遇 曹文轩推荐金波著孙悟空在我们村里本 年纪必读书籍老师推荐,10.0,北京,0,https://www.goofish.com/item?id=800220518922&categoryId=127838003
怪老头儿 孙幼军 著怪老头儿 感兴趣的话点“我想要”和我私聊吧～,9.8,江苏,0,https://www.goofish.com/item?id=909649415894&categoryId=127838003
怪老头儿，儿童文学名家经典书系，孙幼军著，北京教育出版社出版 ！新课标指定小学生必读书目，曹文轩推荐！品相说明：二手书籍，品相8～9成新，书籍完好不缺页。有问题随时咨询。快递发货：标价就是包邮价，付款24小时内发货，非偏远地区包邮。退换货：如快递破损请拒收！收到有问题及时联系文学小说课外阅读，均可以咨询喜欢的朋友可以私聊，多买优惠！怪老头儿,7.8,重庆,0,https://www.goofish.com/item?id=966027733973&categoryId=127838003
儿童文学名家经典书系《怪老头儿》，孙幼军著，北京教育出版社出 版。曹文轩推荐的新课标指定小学生必读书目，朱永新教授也推荐过。书籍成色很好，适合小学阶段学生阅读。喜欢的朋友可以私聊，价格可聊，全国包邮。,8.0,浙江,2,https://www.goofish.com/item?id=947315412735&categoryId=127838003
怪老头儿 小学生课外阅读书籍 世界经典文学名著  名师精读版 (1) 正版、全新、包邮、可以直接拍。 (2) 24小时内发货忙时48小时内发货。 (3) 新疆，西藏等偏远地区不包邮。 (4) 快递如有破损，请拒收退回。 (5) 需要其它书籍可联系客服查找。,9.8,上海,0,https://www.goofish.com/item?id=816839675690&categoryId=127838003
正版二手书曹文轩推荐儿童文学经典书系 怪老头儿9787552256994 书名：曹文轩推荐儿童文学经典书系 怪老头儿，  ISBN编码：9787552256994，   出版社：北京教育出版社，   作者：孙幼军  著，   书定价：19.8元，   出版日期：，   页数：，   字数：  图书内容简介 ：...,10.24,云南,19,https://www.goofish.com/item?id=960296108526&categoryId=201459411
正版书九新(单本) 怪老头儿 书名：怪老头儿 作者：'孙幼军著；曹文轩推荐' ISBN：9787552256994 出版社：北京教育出版社 出版时间：2015-06-01 定价：19.80 装帧：平装 开本：32开 字数：0 页数：310,8.4,江苏,16,https://www.goofish.com/item?id=943135957384&categoryId=201459411
怪老头儿曹文轩推荐儿童文学经典书系 怪老头儿三年级必读经典 大量书籍没上架，需要其它书籍的话可以联系客服 ⭐书籍为正版二手，可以拍就有货，直接拍下即可。 ⭐书籍成色8-99成新，择优发货，无缺页，教材教辅可能会有少许笔记，默认不附带光盘。 ⭐全店包邮，除偏远地区外，偏远地区请联系客服补邮费发货。快...,8.98,河北,3,https://www.goofish.com/item?id=937695388240&categoryId=127838003
曹文轩推荐儿童文学经典书系 怪老头儿 精美插图版 书名：怪老头儿 精美插图版 作者: 孙幼军 著 出版社:  北京教育出版社 ISBN:  9787552256994 定价: 22.8 页数:  320页 字数:  190千字 正文语种:  简体中文 【书名】怪老头儿 【出版社】北京教...,12.9,天津,22,https://www.goofish.com/item?id=748496797274&categoryId=127832004
怪老头儿全集1-6五本，找不到2了。这套是孙幼军经典儿童文学 作品，全新正版，大字体无拼音，适合6-10岁孩子阅读。 个人闲置不退不换，5本打包20元非偏远地区包邮。,20.0,山东,2,https://www.goofish.com/item?id=929506973221&categoryId=127832004
奇小子怪老头儿系列，共三本，天上掉下个怪老头儿，爸爸就是爸爸 ，怪老头儿的把戏。吉林出版集团正版。8.5r，可小刀，二手书，邮费到付。已付款或售出商品不退不换（想好再付款）另不接受到手刀，有问题提前问。,8.0,吉林,0,https://www.goofish.com/item?id=963976349864&categoryId=127832004
