标题,价格(元),所在地,想要人数,商品URL
【方木+螺丝加固】简易衣柜实木布衣柜非钢管大号双人衣橱收纳架  感兴趣的话点“我想要”和我私聊吧～ 款式很多，私聊我要图,137.0,酒***醺,10,https://www.goofish.com/item?id=646914598137&categoryId=126866770
SHERY眼镜防雾湿巾，一盒50片装，防雾速干除尘除菌。适用 于眼镜、相机、手机屏幕等多种镜面清洁。每片独立包装，方便携,8.0,波***特,20,https://www.goofish.com/item?id=939131750490&categoryId=126860922
挂式黑板儿童家用教学培训磁性小黑板墙贴支架式单双面教师绿板学 生学习粉笔字可擦写字板涂鸦商用挂墙大白板,10.0,吹***洲,0,https://www.goofish.com/item?id=697299186660&categoryId=126916109
标价即卖价，闲置落灰用不到了，擦一下还是很新的，个人转让小型 电动堆高车一台，新能源电池续航5小时，搬运叉车二手小型堆高,1870.0,洒***瓜,2,https://www.goofish.com/item?id=954518485467&categoryId=126860978
天然岫玉白冰美人图吊坠  特别通透几乎无棉了 飘零星墨很有意境 售出不退不换非偏远包邮,158.0,青***蝶,0,https://www.goofish.com/item?id=841546290721&categoryId=126862389
香榧生产日期2025年 250g 2盒50。4盒75.  包 邮。 感兴趣的话点“我想要”和我私聊吧～,50.0,t***k,0,https://www.goofish.com/item?id=879856985227&categoryId=201456327
全新正品阿迪达斯纯棉短袖T恤，卡通图案设计，超级有趣！尺码X L，适合男女同款，短袖舒适透气。衣长73cm，胸围平铺58,86.0,卓***s,0,https://www.goofish.com/item?id=924172737970&categoryId=126918005
新房装修除甲醛除味包纳米矿晶非竹炭除甲醛碳包汽车家用去味除臭  根据自己家面积买，正常两平方一个炭包。需要多少拍多少，,2.0,浙***醛,5,https://www.goofish.com/item?id=672522306100&categoryId=126912101
小红芸豆今年新豆，农家自种，营养丰富，一年一季，传统农耕种植 ，不上化肥，人工锄草，自己家种的放心豆子。33.9元5斤包,33.9,好***临,16,https://www.goofish.com/item?id=907046838055&categoryId=201459821
家中老者自制野生竹笋干，适合各种美食。  来自山间的天然美食，无添加，无公害，让你吃得安心，吃得健康！ 【数量】约2斤 ,100.0,x***y,0,https://www.goofish.com/item?id=921021236481&categoryId=201453024
西餐厅圆桌，用了一个月，低价出，岩板加实木  感兴趣的话点“我想要”和我私聊吧～,1200.0,念***爷,0,https://www.goofish.com/item?id=804690822236&categoryId=126866851
家用/办公共享打印神器｜高性能路由器｜即插即用  优酷土豆路由器，128M内存，可以当作打印服务器使用，支持多种品牌的U,36.0,卢***豆,150,https://www.goofish.com/item?id=926721529748&categoryId=126862919
良品铺子琥珀核桃仁，精选优质产区核桃，经过3层滤网筛选。自然 健康的零食选择，每包100克。  未开封，保质期8个月，袋,9.9,x***3,0,https://www.goofish.com/item?id=913680730841&categoryId=201451422
"99￥⁫11包虾滑*100g,送5包香菇肉丸100g,整整1 6包林阿姆手工虾滑,满口真材实料❗️吃虾滑就要吃虾仁添加量",99.0,线***玛,0,https://www.goofish.com/item?id=822443600965&categoryId=201945903
24年闲置PCABS环保阻燃合金，阻燃V0，冲击实测15.1 ，拉伸强度60，环保检测合格，20吨亏损清仓,5.0,瑭***翟,0,https://www.goofish.com/item?id=949750658924&categoryId=201452906
"【单内胆，当锅用】Taigroo_钛古 IC-B3501电饭 
【单内胆，当锅用】Taigroo/钛古 IC-B3501",137.0,开***房,2,https://www.goofish.com/item?id=942609853504&categoryId=202150644
休闲水杯，全新。不包邮。  感兴趣的话点“我想要”和我私聊吧～,10.0,用***3,0,https://www.goofish.com/item?id=951756629408&categoryId=126854537
摆摆乐新款，游乐儿童车独轮车摇摆车无把自行车平衡车闪光轮，座 子可以调节高低,36.0,锅***头,188,https://www.goofish.com/item?id=954544340363&categoryId=126866102
接人工智能辅导、深度学习、机器学习、python项目代码编写 、跑通代码和指导答疑~擅长各种图像分类模型（vgg、res,7.0,雾***空,999,https://www.goofish.com/item?id=933968052898&categoryId=201453616
厂家直销，批发量大价优！铅封钳  感兴趣的话点“我想要”和我私聊吧～,15.0,s***贴,35,https://www.goofish.com/item?id=703716415791&categoryId=126864592
