标题,价格(元),所在地,想要人数,商品URL
良品铺子葡萄干沙琪玛500g  原价16.9元/箱，现特价处理 拍下即发，确认收货即可 特殊商品，发货后不退不换，感谢理,13.9,健***食,16,https://www.goofish.com/item?id=959818905157&categoryId=201948701
全新未拆1盒  Kingscom阻断丸 4in1嗨吃无忧 30粒/盒 Y1 全新未拆封， 日期新鲜 一盒49二盒80包邮,49.0,都***真,1,https://www.goofish.com/item?id=900788129891&categoryId=201455525
"镂空雕刻板，pvc材质，工地划线定位专用，可单卖。 
感兴趣的话点“我想要”和我私聊吧～",10.0,搬***哥,0,https://www.goofish.com/item?id=959146273828&categoryId=201453901
石头画小萌猫，笔筒画#笔筒 #猫咪 #送闺蜜礼物 尺寸：12 *14cm,260.0,月***画,0,https://www.goofish.com/item?id=776322919326&categoryId=126858529
搬家了带不走PP头不锈钢灰，长175cm，因为还有一根这跟全 新未使用,5.0,a***n,12,https://www.goofish.com/item?id=959926808280&categoryId=126858022
香榧生产日期2025年 250g 2盒50。4盒75.  包 邮。 感兴趣的话点“我想要”和我私聊吧～,50.0,t***k,0,https://www.goofish.com/item?id=879856985227&categoryId=201456327
全新正品阿迪达斯纯棉短袖T恤，卡通图案设计，超级有趣！尺码X L，适合男女同款，短袖舒适透气。衣长73cm，胸围平铺58,86.0,卓***s,0,https://www.goofish.com/item?id=924172737970&categoryId=126918005
天然岫玉白冰美人图吊坠  特别通透几乎无棉了 飘零星墨很有意境 售出不退不换非偏远包邮,158.0,青***蝶,0,https://www.goofish.com/item?id=841546290721&categoryId=126862389
32寸普通电视机，适合老人家用，支持DVD/VCD、游戏机、 监控、U盘播放、网络机顶盒、闭路线等，尺寸72*43cm，,400.0,吃***鱼,0,https://www.goofish.com/item?id=935530430308&categoryId=126856127
挂式黑板儿童家用教学培训磁性小黑板墙贴支架式单双面教师绿板学 生学习粉笔字可擦写字板涂鸦商用挂墙大白板,10.0,吹***洲,0,https://www.goofish.com/item?id=697299186660&categoryId=126916109
小红芸豆今年新豆，农家自种，营养丰富，一年一季，传统农耕种植 ，不上化肥，人工锄草，自己家种的放心豆子。33.9元5斤包,33.9,好***临,16,https://www.goofish.com/item?id=907046838055&categoryId=201459821
凌特 全顺 大通 商务房车百折窗帘 日用夜用 手动带框百褶纱 窗帘    根据尺寸订做，可以带纱窗和不带纱窗。,500.0,奔***店,81,https://www.goofish.com/item?id=615673579191&categoryId=201453609
新房装修除甲醛除味包纳米矿晶非竹炭除甲醛碳包汽车家用去味除臭  根据自己家面积买，正常两平方一个炭包。需要多少拍多少，,2.0,浙***醛,5,https://www.goofish.com/item?id=672522306100&categoryId=126912101
长60宽50高50  感兴趣的话点“我想要”和我私聊吧～,36.0,专***除,0,https://www.goofish.com/item?id=931729411341&categoryId=126914121
正品腰妍益生元巧克力1盒7颗。  最新日期，直接下单，当天发货！,62.0,微***发,0,https://www.goofish.com/item?id=923447490318&categoryId=201450723
儿童速滑眼镜，5个颜色 3组镜片  感兴趣的话点“我想要”和我私聊吧～,35.0,耀***贸,98,https://www.goofish.com/item?id=700481138151&categoryId=126866130
长白山，雪蛤油，林蛙油，线油。  去皮4元一克，泡发40倍，就这一盒，保纯，保化验，假一罚万，250克,4.0,F***福,4,https://www.goofish.com/item?id=884834067516&categoryId=201459414
三星27寸液晶显示器  成色如图  正常使用  不包邮  低 价出售,240.0,博***店,7,https://www.goofish.com/item?id=909295034232&categoryId=126856267
雪燕~杞里香  买多了，要搬家便宜出了，6罐包邮,8.9,冰***1,0,https://www.goofish.com/item?id=864197653104&categoryId=201452325
西餐厅圆桌，用了一个月，低价出，岩板加实木  感兴趣的话点“我想要”和我私聊吧～,1200.0,念***爷,0,https://www.goofish.com/item?id=804690822236&categoryId=126866851
