标题,价格(元),所在地,想要人数,商品URL
本人杭州专业安装木地板  感兴趣的话点“我想要”和我私聊吧～,19.9,时***\,2,https://www.goofish.com/item?id=711825244953&categoryId=201461607
"康宁Constar 96孔板耗材，货号：3370 
平底板，低价出。一箱20个，共4箱。
全新未拆封，价格可议。",300.0,&***),0,https://www.goofish.com/item?id=950964277295&categoryId=201456602
原装MaGnat音响遥控器 全新正品  感兴趣的话点“我想要”和我私聊吧～,65.0,遥***户,4,https://www.goofish.com/item?id=661803071966&categoryId=126914065
8K超清双摄像头无人机，风尚价立减30。带光流定位，自动返航 功能，遥控飞行稳定。送原装收纳包，配件齐全。适合新手入门，,205.25,小***鬼,0,https://www.goofish.com/item?id=964864741036&categoryId=126866698
[出设]  古风男宝  空壳  一任三全   #出设#设子#古风,35.0,挪***仁,1,https://www.goofish.com/item?id=962141204570&categoryId=201457207
高尔夫练习网挡网 室内外golf挥杆网 高尔夫便携式打击笼网 棒球网       3米*2米*1米  组装尺寸：10*7,290.0,跨***铺,0,https://www.goofish.com/item?id=771620103099&categoryId=126866189
山姆代购 HRYOUP苹果干 550g 配料表只有苹果 独立 包装 口感软糯  山姆极速达专送！  收货后请当天确认收货,71.8,山***代,0,https://www.goofish.com/item?id=921526168024&categoryId=201449917
"顶级版本 梵家紫玉髓五花手链 货不对板包邮退 

配砖柜原盒包装 cnc精雕扣头 锁扣和Logo底部钢印清晰 立体感呈现",288.88,美***饰,750,https://www.goofish.com/item?id=857828053520&categoryId=126862544
T型滑板工具，白色塑料手柄配金属两端，适合滑板长板维修用。用 过几次，有点使用痕迹，整体成色不错。同城自提优惠，异地的话,5.0,大***市,0,https://www.goofish.com/item?id=742172027318&categoryId=126866212
发霉大饼  菌群,26.0,量***瑰,0,https://www.goofish.com/item?id=945091866261&categoryId=126918191
洋琪芥末章鱼500g，日料店用食品解冻即食  多拿多优惠 4盒起包邮,44.0,洋***品,59,https://www.goofish.com/item?id=891268089124&categoryId=201452524
小霸王游戏机，带一盘卡  感兴趣的话点“我想要”和我私聊吧～,50.0,用***0,0,https://www.goofish.com/item?id=860024938679&categoryId=126856327
假发护理液  感兴趣的话点“我想要”和我私聊吧～,8.0,雪***松,0,https://www.goofish.com/item?id=942092991354&categoryId=126860026
"云南文山壮族刺绣拼布围腰 

这件物品整体为一片式结构，可系于腰部，刺绣拼布部位于正面中心，平绣位于铜钱纹样内部。图案纹",199.0,提***节,0,https://www.goofish.com/item?id=962949508392&categoryId=126862652
特斯拉model3改装ARTISAN碳纤维小包围  感兴趣的话点“我想要”和我私聊吧～,100.0,酷***地,38,https://www.goofish.com/item?id=640735691070&categoryId=126860799
杭州猫咪上门拍照服务 （也可以室外）  留住你家猫主子的温柔瞬间  每一只猫，都是宇宙送来的一颗小行星，悄悄降落在你身边,300.0,野***兮,0,https://www.goofish.com/item?id=955768597319&categoryId=201452020
摇摇鞋吴昕同款拉筋减瘦肥腿神器女拉伸拖鞋正品练腿抻腿健身器材  感兴趣的话点“我想要”和我私聊吧～,16.9,多***板,0,https://www.goofish.com/item?id=708605556640&categoryId=126866583
半球电饭煲家用3L5L大容量智能预约蒸煮饭电饭锅多功能全自动 正品,100.0,低***奶,119,https://www.goofish.com/item?id=953352681764&categoryId=126854868
公共营养师共有四个等级，分别是四级、三级、二级、一级，目前蕞 高有二级的考试，非相关专业但学历足够可以直接报考三级，三级,8.8,小***证,2,https://www.goofish.com/item?id=948983779238&categoryId=201450708
全新紫色提花桑蚕丝连衣裙，2025年新款，适合夏季穿着，XL 码。面料是百分之百的桑蚕丝，25姆左右，透气舒适，单层不透,168.0,好***己,388,https://www.goofish.com/item?id=904708380329&categoryId=126860581
