标题,价格(元),所在地,想要人数,商品URL
【完结小说】《转生座》 别名：轮回座[已翻译完毕，共489章]#奇幻#剧情#动作#冒险#改编漫画简介：上帝为了打发无聊而创造了深渊。人类被困在如同地狱的深渊里，走向灭亡之路…… 我们现在...完了吗...人类灭亡前夕，最强大的四名幸存者是在被深渊吞噬之前，回到过去，阻止毁灭。但是回到过去的只有一个人。有什么好想的？去的人早就定好了吧？我们之中最强大的人，韩秀为了拯救站在灭亡边缘的人类而回归的传奇强者，韩秀的传记他能否救所有人？这本书真的很不错，很多书友都知道我很少看漫画，这本的漫画是少数我追着看完的，怎么说呢？主角不矫情，从头到尾都是带着脑子的，这点看着就很舒服，既不滥情，也不降智，这可能是我对其最大的评价了，这本在我这里给个打分的话，满分为5，至少能给到4.7左右。,2.99,广东,8,https://www.goofish.com/item?id=961481387032&categoryId=202036301
"完结 离婚后,许总的草包前妻又强又美 宋以宁许继琛 宋以宁从柔软的大床上醒来的时候，人还是的。 她昨晚明明还在机场候机，因为无聊就随意翻了翻好友强烈推荐的一本霸道总裁小说。 彼时她还在吐槽，为什么男主这个草包老婆跟她一个名字???不仅同名，而且还着墨不多，从出现到下线也不过两章的篇幅。 ...",1.28,上海,7,https://www.goofish.com/item?id=930877619150&categoryId=202036301
韩国小说精翻 职业倦怠猎人生存记/燃尽猎人生存记 1-365章【已完结】2024年ridibooks奇幻小说新人奖作品deepseek机翻+AI大模型润色，文笔通顺可读性强回复“试读”领取1-50章试读文件小说简介：生活真是无聊透顶又令人厌烦。但即便如此，我也从未期待过灾厄之门的开启如果世界毁灭，职业倦怠症就能痊愈吗？,6.0,天津,13,https://www.goofish.com/item?id=908920877978&categoryId=202036301
【秒发】人翻精翻完结韩小说《容易攻略的学长》 原著《쉬운선배》>阅读指南——瑞锦推文一个“容易搞定的学长”一步步变成“让人搞不定的学长”美人攻/傲娇攻/毒舌攻/瑞锦推文/体贴受/年上受/好欺负受人物介绍攻>崔成彬(22岁)对来者不拒、去者不留的类型，不喜欢恋爱，只想维持轻浮关系。起初也只是把杨周元当作一时好玩的人，并对他爱搭不理，结果却输给了他那份执着的爱。在渴望爱情的过程中，反而越变越糟。受>杨周元(25岁)性格沉稳淡然，忍耐力强但不太敏锐，所以面对崔成彬的情绪起伏常被牵着走。不知如何应对情绪剧烈波动的崔成彬，两人常常发生冲突，但他正在一点点摸索出应对的方式。简介:“把这个倒身上然后舔干净。”“......”“你不是说喜欢我吗?难道没幻想过给我?”他讨厌恋爱，却喜欢性。崔成彬享受与各种女人的关系，毫无牵挂。某天，一个碍眼的男学长对他告白了。他没有打算接受这个人的心意。“但我也没打算对男人好，你就算追着我跑，我也不会赶你走。因为让我随便使唤、点外卖、当工具人更方便。我就只是把你当条狗罢了。”即便被当成方便的工具被当面说成提款机，那名学长也默默忍受了下来。明明一开始只是想拿他当无聊时的玩具，却越来越感到烦躁、失控。“不是说可以随便来的吗?那这个不行吗?”到底什么才可以随便来?我也不想难过，不想受伤。那我到底能从你身上得到什么?,8.0,上海,30,https://www.goofish.com/item?id=964074658588&categoryId=202036301
[国漫]无聊就完结——夸克网盘 [钉子]国漫[火]异世界  1. 系统与任务机制      白祈被卷入一个由“系统”控制的生存游戏，需在不同副本世界中完成任务。每个副本对应不同主题（如现代都市、古代仙侠、恐怖悬疑等），规则残酷且充满反转。系统会不...,1.99,北京,0,https://www.goofish.com/item?id=935066361108&categoryId=202036301
PC+安卓双端游戏 完结 重生之逆天改命 含攻略  百度网盘 发货  游戏简介：兄弟制药公司的总裁天碎云被自己的好兄弟张滨背叛，带着不甘走完了短暂一生虽然看似真实，但这其实是18岁的青涩少年天碎云的一个无聊的梦境本应付之一笑，转头就忘 但是天碎云却发现，那段梦境，似乎就是自己未来的人生？！ 尤其在大学...,4.99,广东,99,https://www.goofish.com/item?id=926395066654&categoryId=201409706
1-9+web身为女性向游戏的女主角挑战最强生存剧电子版轻小 说设计素材资源epub/txt具体卷数：1-9卷+web版本篇完结全260话+后日谈 此作品无需解压，下载即看简体中文，封面彩页插图全★本店所有作品包包包包包包更新★付款后会自动发资源链接，百度盘，夸克网盘两种都发，每个网盘里都有epub，txt格式的小说，根据需要自己选择网盘，格式下载即可。有什么问题需要私聊我，看到都会回【作品简介】:在剑与魔法的世界「榭尔」中，女孩艾莉西雅身为孤儿生活。　　某天，她无意间知道了自己是「女性向游戏的女主角」。　　就连双亲的死亡也不过是剧情的一部分。　　艾莉西雅认为女主角的职责「无聊透顶」，将之一刀两断，自称冒险者「艾莉雅」，逐渐学会操控多种武器与魔法，成长为「杀戮的灰姑娘」！　　不过，由于接下护卫「反派千金」的委托，不知不觉间被牵扯进贵族们争执的游戏舞台中──？　　「我就是『我』。不是游戏的登场人物！」　　制作武器！锻炼技能！　　在与强敌的战斗中活下来，颠覆女性向游戏！　　战斗的女主角魅力四射，勇敢＆爽快的异世界战斗奇幻小说！近期自己做的图被无良商家疯狂盗用，新的主图已打好闲鱼id 轻之风ACG的水印防止被盗。【请认准闲鱼id 轻之风ACG，每天有更新，关注不迷路】,4.95,湖北,15,https://www.goofish.com/item?id=914007945269&categoryId=201454708
【完结小说】《转生座》 别名：轮回座[已翻译完毕，共489章]#奇幻#剧情#动作#冒险#改编漫画简介：上帝为了打发无聊而创造了深渊。人类被困在如同地狱的深渊里，走向灭亡之路…… 我们现在...完了吗...人类灭亡前夕，最强大的四名幸存者是在被深渊吞噬之前，回到过去，阻止毁灭。但是回到过去的只有一个人。有什么好想的？去的人早就定好了吧？我们之中最强大的人，韩秀为了拯救站在灭亡边缘的人类而回归的传奇强者，韩秀的传记他能否救所有人？译注：这本这次应该是第4次重翻了，这种游戏术语太多的没法，尽力了，这本书真的很不错，很多书友都知道我很少看漫画，这本的漫画是少数我追着看完的，怎么说呢？主角不矫情，从头到尾都是带着脑子的，这点看着就很舒服，既不滥情，也不降智，这可能是我对其最大的评价了，这本在我这里给个打分的话，满分为5，至少能给到4.7左右。（拍之前私信，bilibili:韩漫灰大狼，有无偿水印版分享，别便宜骗子，需要TXT直接拍，支持试读）,8.0,云南,0,https://www.goofish.com/item?id=948853059732&categoryId=201459411
七日禁闭  ： 完结版 （经营题材） 双端：6G介绍：你是个整天开派对惹事的闯祸精，因为偷喝老爸珍藏的名酒被赶出家门，只能去多年未见的叔叔家暂住一周。担心这段日子会无聊透顶，所以为了打发时间，你决定来场刺激的冒险，但很快就会发现，有些秘密一旦揭开就再也回不去了...,8.0,广东,3,https://www.goofish.com/item?id=958372560865&categoryId=201409706
国创动画作品发布会收藏集 bilibili收藏集 1r1张 拍完发b站UID  虛无边境、新•异常生物见闻录、咸鱼哥第二季 戏精宿舍、无聊就完结、十方武圣 少年歌行•海外仙山篇、君子无疾、 今天的晚餐就是你、剑网3侠肝义胆沈剑心 火星西路7号、...,1.0,浙江,0,https://www.goofish.com/item?id=919802863446&categoryId=126860296
