标题,价格(元),所在地,想要人数,商品URL
战国红眼睛石珠子，产自荒漠戈壁深处外蒙南戈壁、内蒙阿拉善等地 ，纯天然原石，珍惜不可再生石种，尺寸20mm，个人早期收藏,76.0,石***意,13,https://www.goofish.com/item?id=774890192875&categoryId=126862165
换笼子了，放不下，故低价处理。两个空气萝卜全自动猫砂盆，XL 大号，无暗病无维修。东西太大了，不邮寄，仅自提或者同城交易,400.0,小***舍,1099,https://www.goofish.com/item?id=922544224625&categoryId=126854733
保时捷 Macan 电动调节方向盘  全新原版正品保证 有想法私聊 无损施工安装 全国可以介绍专业改装店 来进行施工 有,2000.0,车***级,6,https://www.goofish.com/item?id=712572930752&categoryId=126916093
出iPadpro11寸苹果原厂保护壳，9成新无瑕疵  感兴趣的话点“我想要”和我私聊吧～,45.0,足***蒿,0,https://www.goofish.com/item?id=904955417329&categoryId=126854163
铭洋天津资料锁  感兴趣的话点“我想要”和我私聊吧～,351.0,左***8,0,https://www.goofish.com/item?id=823529866405&categoryId=126854016
"【错码捡漏】李宁贴地飞行2pro羽毛球鞋 
【名称：】李宁贴地飞行二代pro 鸳鸯配色
【吊牌价】：1299元
【货号】",339.0,松***子,1299,https://www.goofish.com/item?id=966885696325&categoryId=126866689
留学劝退申诉挂科appeal学生不端非常规撤课argue信   留学生Appeal 学术申诉 听证会 转专业 学术不端 ,30.0,洒***虾,1,https://www.goofish.com/item?id=878531452531&categoryId=201459812
【二手】CHANEL太阳镜5481珍珠权志龙款   正品CHANEL香奈儿猫眼太阳眼镜女墨镜5481珍珠权志龙款  款号,488.0,小***卷,2652,https://www.goofish.com/item?id=826399117195&categoryId=126856092
"个人闲置！ins幻影纱窗帘纱帘透光不透人 
【打孔款】尺寸：单片宽3.0米*高2.7米*2片
✅安装简易，清洗方便，成色",65.0,笑***了,7,https://www.goofish.com/item?id=964858599424&categoryId=126858642
4米气泡清洗机，适合清洗水果、蔬菜、海鲜等，去污能力强，采用 不锈钢材质，带轮子移动方便。功能完好无维修，几乎全新，从未,1000.0,二***备,0,https://www.goofish.com/item?id=956179909049&categoryId=201453603
日版GBA耀西万有引力原厂原配内衬  实物实拍并非全新,60.0,m***o,350,https://www.goofish.com/item?id=878099095702&categoryId=126856342
高货清仓2006年【老班章】珍藏特制精品班章野生茶王  茶饼芽头显露里外一口料子，条形黝黑粗长，开汤蜜香陈韵悠长，茶味霸,118.0,云***发,988,https://www.goofish.com/item?id=734495415291&categoryId=126854661
Xbox series s 微软 次世代主机  XSS 国行版 游戏机成色新 盒说手柄齐全 无拆修 仅一台 爽快顺丰包邮,1450.0,新***哥,11,https://www.goofish.com/item?id=794155810537&categoryId=126856327
PS5 静音内置风扇 无轴噪 1.75A 1.9A 17页  富士康原装散热风扇,40.0,咸***弟,88,https://www.goofish.com/item?id=817976309206&categoryId=126856279
LG60寸电视，一切功能完好，显示效果好，画面清晰度高，色彩 度特别好，人物写实度好，图像效果很好，可以接网络盒子，机顶,899.0,销***器,1,https://www.goofish.com/item?id=920501850630&categoryId=126856127
全新Wynn's威力狮12件套45度斜口扳手，铬钒钢材质，带 原装绿色收纳包。规格齐全，从8mm到22mm都有，镜面抛光,168.0,南***椒,0,https://www.goofish.com/item?id=946127531761&categoryId=126864558
生日朋友送的毕加索哆啦A梦钢笔套装，蓝色款，全新未使用。只拆 开看过，配套礼盒包装完整。套装包含钢笔+墨囊，送礼自用都很,87.0,B***a,0,https://www.goofish.com/item?id=951278179787&categoryId=126864087
名人堂1米3长单层杆包带漂盒包！  感兴趣的话点“我想要”和我私聊吧～,248.0,筏***下,320,https://www.goofish.com/item?id=846908556734&categoryId=126856718
原装台湾品牌风批 库存低价处理 还有一些库存 欢迎来咨询  感兴趣的话给我留言吧！,166.0,换***好,31,https://www.goofish.com/item?id=610515026409&categoryId=126864393
丰田普拉多 霸道 酷路泽 lC100  4700 电镀轮毂盖  钢圈盖,120.0,钜***厂,150,https://www.goofish.com/item?id=923898676264&categoryId=126860732
