标题,价格(元),所在地,想要人数,商品URL
姬松茸干货云南新货松茸特产巴西菇香菇虫草煲汤炒菜菌菇干货菜类 500克包邮,23.0,药***妹,3,https://www.goofish.com/item?id=892463149787&categoryId=201461516
男士皮鞋带福利直播话术-直播间实战话术   价格：9.9元 话术编号：11213 话术字数：2749字 大概时长：10分,10.0,大***人,35,https://www.goofish.com/item?id=741494921263&categoryId=126858772
木地板划痕修复  广州市感兴趣的话点“我想要”和我私聊吧～,300.0,一***工,3,https://www.goofish.com/item?id=711028797007&categoryId=201450217
安娜苏零钱包/卡包，全新正品，售出不退不换！  感兴趣的话点“我想要”和我私聊吧～,99.0,淑***8,0,https://www.goofish.com/item?id=718994353540&categoryId=126920123
榴芒一刻  100g*10盒 东福礼包 厂商直接发货,180.0,泰***爸,0,https://www.goofish.com/item?id=958717993864&categoryId=201947005
两大卷像pe磨砂硬片塑料卷材。不知道干啥用的，非常重！挺厚的 。玻璃贴纸片,580.0,c***6,0,https://www.goofish.com/item?id=928453990362&categoryId=201454301
出售四季户外户内运动休闲保暖老人鞋   品牌：legx，尺码40，全新未穿。这款鞋适合各种户外和户内活动，非常保暖，特别,98.0,爱***啊,2,https://www.goofish.com/item?id=758472281425&categoryId=126856814
CT5原厂座椅通风套件   带座椅加热的，可以多这个不用换座椅升级方案  有兴趣私信,2999.0,凯***刘,25,https://www.goofish.com/item?id=678016033056&categoryId=126860789
9.5新的动感单车，健身车 买回来就骑两回，原价800多，现400元出，地址在浑南金地左岸,360.0,华***车,899,https://www.goofish.com/item?id=640385313739&categoryId=126866164
发霉的木板，表面有菌种和霉斑  适合做实验，具体大小看图,30.0,猪***嘛,0,https://www.goofish.com/item?id=939178030677&categoryId=201450303
未开封一次性加厚500ml奶茶纸杯咖啡杯带盖打包豆浆热饮杯1 000只,82.0,用***4,0,https://www.goofish.com/item?id=891242981482&categoryId=126854636
【纯野生1000g】新鲜蔓越莓干大兴安岭野生蔓越莓干   大兴安岭野生的蔓越莓干，个头小小的，但是酸酸甜甜的特别好吃，图,23.8,食***店,2,https://www.goofish.com/item?id=811878480997&categoryId=201456428
宽粉条4.5斤  10元  感兴趣的话点“我想要”和我私聊吧～,10.0,新***手,1,https://www.goofish.com/item?id=945168817200&categoryId=126858669
彪马PUMA.休闲运动鞋，具体看图片，需要的联系，二手物品售 出不退不换谢谢，偏远地区不包邮,50.0,晚***阳,9,https://www.goofish.com/item?id=686002542830&categoryId=126860474
全新WINDSHUNLEE女宝公主鞋，2025春秋款镂空真皮 设计，超级软底，适合1-3岁女童穿，鞋内长15cm，春秋季,37.0,菲***主,0,https://www.goofish.com/item?id=919015799117&categoryId=126862694
"猪毛刷油漆刷共10个，好用不易掉毛，4寸×4，2寸×6 
感兴趣的话点“我想要”和我私聊吧～",20.0,荔***子,0,https://www.goofish.com/item?id=944507280003&categoryId=126864636
建伍功放机型号ss-79，220伏的。2个声道出声，右边声道 转动电位器的时有杂音，配件出售什么也不包，二手物品售出不退,128.0,音***货,6,https://www.goofish.com/item?id=747074469184&categoryId=126864963
买耳捂送小包  朋友送的 太可爱了不好意思戴,25.0,花***啦,0,https://www.goofish.com/item?id=944983543325&categoryId=126914070
贾东普小药。 无敌果酸。马尿。打包50  感兴趣的话点“我想要”和我私聊吧～,50.0,渔***铺,1,https://www.goofish.com/item?id=960131577794&categoryId=201458131
（存）清晨兔深水炸弹套装100码，衬衣+背心裙  感兴趣的话点“我想要”和我私聊吧～,50.0,只***了,1,https://www.goofish.com/item?id=917810126492&categoryId=126918163
