标题,价格(元),所在地,想要人数,商品URL
全红桃花扇 材质：绵羊长度：18cm  可用簪体：12.7cm红色精雕桃花扇★一件包邮说明：1.簪子全新没有使用，都是在直播间辛苦扣号扣来的，鉴于二手物品，因此不退换货。发货前会发视频确认，希望各位小主理解。2.角质品，骨制品因其材质特殊，容易受气温、环境等不可抗力影响，存在不稳定性，会出现裂纹、干纹，抠感属于正常现象，介意慎拍。3、物流以发圆通，韵达，菜鸟裹裹，极兔为主，需要指定顺丰需自行补差价。4.1号店，2号店购满60包邮，有说明一件包邮的除外，偏远地区需自付邮费。祝生活愉快，工作顺利。,69.9,广东,0,https://www.goofish.com/item?id=963689638594&categoryId=126858770
【手写折扇】桃花庵歌 我笑他人看不穿十寸内容:桃花庵歌全文 (别人笑我太疯癫，我笑他人看不穿)       心宽无处不桃源 十寸浅雕油竹折扇可定制  （原图已出，手写作品有细微差别属于正常） 非偏远地区包邮,59.0,陕西,88,https://www.goofish.com/item?id=822707006141&categoryId=126862221
崖柏【桃花韵】折扇，夏日炎炎，一物一拍，有你最甜～18公分小 巧玲珑便携设计，配有流苏扇套，苏扇折扇工艺扇，夏季纳凉或收藏必备。全新未使用，手感轻盈，香味纯正，特别适合夏季使用。  【使用体验】崖柏木材质，手感轻盈，镂空设计美观大方，拿在手上爱不释手！,95.0,福建,0,https://www.goofish.com/item?id=941891109505&categoryId=126862221
手写《桃花庵歌》水磨玉竹折扇，95寸，扇骨约31.5cm。 扇骨材质：水磨玉竹； 配洒金宣纸扇面价格60元， 配苏工扇面价格80元。 包邮！不议价，  喜欢可以直接拍下。 （新疆、西藏不包邮）  《桃花庵歌》是明代文学家唐寅创作的一首七言古诗。此诗中诗人以桃花仙人自喻，以“老死花酒间...,60.0,广东,0,https://www.goofish.com/item?id=645467583618&categoryId=126862221
中国书标   桃花扇 八枚一套  全品未拆封,90.0,河北,1,https://www.goofish.com/item?id=702048302296&categoryId=201459411
手绘国画工笔桃花9寸95寸折扇扇子扇面如图所示，免费题字。作 者为中国美院花鸟班毕业，价格不贵，接受定制.70元包含苏工扇面以及邮费。,70.0,上海,484,https://www.goofish.com/item?id=591781485277&categoryId=126858770
八寸桃花双面折扇，超仙气，可定制。工期一个星期左右。 感兴趣的话点“我想要”和我私聊吧～,85.0,云南,35,https://www.goofish.com/item?id=684140336982&categoryId=126858770
手绘折扇双面  桃花 包邮非偏 折扇质量一般，介意请自购高质量折扇 不排单工期7天，排单后延 ❗禁止盗图，也不要拿我的图去找别人，尊重原创 ❗标价为正面单面价格,68.0,湖北,38,https://www.goofish.com/item?id=674998209574&categoryId=126858770
【手绘团扇】竹外桃花三两枝 自己画的扇子～#扇子 #汉服配饰,78.0,陕西,0,https://www.goofish.com/item?id=961834036130&categoryId=126858770
老物件扇子，一面是唐寅的秋风纨扇图，另一面是唐寅的桃花庵歌， 保存完整。 感兴趣的话点“我想要”和我私聊吧～,800.0,广东,2,https://www.goofish.com/item?id=867926627411&categoryId=126862221
