标题,价格(元),所在地,想要人数,商品URL
民调局异闻录终结季1~7级全套， 最终篇章1~3级全套，《新宋》1~12全套。还有流量电视剧大神小说家马伯庸文的食南之徒，两京15日上下两本，以及盗墓笔记2~8集共8本(第一集不见了)。基本上民调局的还有新宋的1~12集全套基本上都是全新，因为上班太无聊了，才买的，不过基本上都没看完一遍，现在求换书，因为这书卖的可能还不够邮费，只能同城自提，要买的话就是七八块钱一本，但是必须全套，然后最好能换书。 基本上一本换一本吧。大概差不多就行,100.0,广东,800,https://www.goofish.com/item?id=964216289914&categoryId=127838003
新版民调局异闻录+终结季全13册 老九门摸金校尉 盗墓笔记小 说  全新包邮  现货速发（诚信经营！绝不欺骗！放心拍！）  特别提醒：有物流问题，第一时间联系客服切记！！！  1：全新，包邮，下单一般24小时内发货。最迟48小时内发货。过年期间年后安排发货（全部纸质书籍直接拍）  2：直接能拍！就是代...,54.8,上海,3,https://www.goofish.com/item?id=912728345972&categoryId=127838003
秦岭迷藏2 - 民调局异闻录(终结季)，耳东水寿作品，华龄出 版社。悬疑探险小说，带你游走在现实与虚幻之间。  二手书籍，几乎全新，感兴趣的直接拍就好，先到先得～   偏远地区不包邮！,15.0,四川,45,https://www.goofish.com/item?id=926672596970&categoryId=127838003
￼￼民调局异闻录终结季 （套装全7册） 天津市内六区可送货，自提优惠10元，外省不出（快递费太贵了）第一部拆包装了剩下6本塑封完整未拆   秦岭迷藏(2)-民调局异闻录(终结季)新华书店,80.0,天津,0,https://www.goofish.com/item?id=859067926253&categoryId=127838003
民调局异闻录全21册: 1.民调局异闻录1-6册外加番外篇《绝处逢生》2册，共8册。 2.民调局异闻录终结季1-7册，共7册。 3.民调局异闻录最终篇章第一季1-6册，共6册。 品相完好，京东购入，买来只翻阅一次，支持本地自提，外地需要加邮费，不包邮。,189.0,新疆,0,https://www.goofish.com/item?id=902309656134&categoryId=127838003
民调局异闻录2—7，几乎全新，塑封完好。耳东水寿著，盗墓笔记 后的新悬疑巅峰之作。一个游走现实与虚幻之间的世界，南派三叔推荐。书架腾地方出掉，售出不退换，偏远不包邮。感兴趣的朋友可以私聊哦～,100.0,黑龙江,0,https://www.goofish.com/item?id=928394546513&categoryId=127838003
民调局异闻录终结季1~7级全套， 最终篇章1~3级全套，《新宋》1~12全套。还有流量电视剧大神小说家马伯庸文的食南之徒，两京15日上下两本，以及盗墓笔记2~8集共8本(第一集不见了)。基本上民调局的还有新宋的1~12集全套基本上都是全新，因为上班太无聊了，才买的，不过基本上都没看完一遍，现在求换书，因为这书卖的可能还不够邮费，只能同城自提，要买的话就是七八块钱一本，但是必须全套，然后最好能换书。 基本上一本换一本吧。大概差不多就行,100.0,广东,800,https://www.goofish.com/item?id=964216289914&categoryId=127838003
新版民调局异闻录+终结季全13册 老九门摸金校尉 盗墓笔记小 说  全新包邮  现货速发（诚信经营！绝不欺骗！放心拍！）  特别提醒：有物流问题，第一时间联系客服切记！！！  1：全新，包邮，下单一般24小时内发货。最迟48小时内发货。过年期间年后安排发货（全部纸质书籍直接拍）  2：直接能拍！就是代...,54.8,上海,3,https://www.goofish.com/item?id=912728345972&categoryId=127838003
秦岭迷藏2 - 民调局异闻录(终结季)，耳东水寿作品，华龄出 版社。悬疑探险小说，带你游走在现实与虚幻之间。  二手书籍，几乎全新，感兴趣的直接拍就好，先到先得～   偏远地区不包邮！,15.0,四川,45,https://www.goofish.com/item?id=926672596970&categoryId=127838003
￼￼民调局异闻录终结季 （套装全7册） 天津市内六区可送货，自提优惠10元，外省不出（快递费太贵了）第一部拆包装了剩下6本塑封完整未拆   秦岭迷藏(2)-民调局异闻录(终结季)新华书店,80.0,天津,0,https://www.goofish.com/item?id=859067926253&categoryId=127838003
民调局异闻录全21册: 1.民调局异闻录1-6册外加番外篇《绝处逢生》2册，共8册。 2.民调局异闻录终结季1-7册，共7册。 3.民调局异闻录最终篇章第一季1-6册，共6册。 品相完好，京东购入，买来只翻阅一次，支持本地自提，外地需要加邮费，不包邮。,189.0,新疆,0,https://www.goofish.com/item?id=902309656134&categoryId=127838003
民调局异闻录2—7，几乎全新，塑封完好。耳东水寿著，盗墓笔记 后的新悬疑巅峰之作。一个游走现实与虚幻之间的世界，南派三叔推荐。书架腾地方出掉，售出不退换，偏远不包邮。感兴趣的朋友可以私聊哦～,100.0,黑龙江,0,https://www.goofish.com/item?id=928394546513&categoryId=127838003
民调局异闻录终结季1~7级全套， 最终篇章1~3级全套，《新宋》1~12全套。还有流量电视剧大神小说家马伯庸文的食南之徒，两京15日上下两本，以及盗墓笔记2~8集共8本(第一集不见了)。基本上民调局的还有新宋的1~12集全套基本上都是全新，因为上班太无聊了，才买的，不过基本上都没看完一遍，现在求换书，因为这书卖的可能还不够邮费，只能同城自提，要买的话就是七八块钱一本，但是必须全套，然后最好能换书。 基本上一本换一本吧。大概差不多就行,100.0,广东,800,https://www.goofish.com/item?id=964216289914&categoryId=127838003
新版民调局异闻录+终结季全13册 老九门摸金校尉 盗墓笔记小 说  全新包邮  现货速发（诚信经营！绝不欺骗！放心拍！）  特别提醒：有物流问题，第一时间联系客服切记！！！  1：全新，包邮，下单一般24小时内发货。最迟48小时内发货。过年期间年后安排发货（全部纸质书籍直接拍）  2：直接能拍！就是代...,54.8,上海,3,https://www.goofish.com/item?id=912728345972&categoryId=127838003
秦岭迷藏2 - 民调局异闻录(终结季)，耳东水寿作品，华龄出 版社。悬疑探险小说，带你游走在现实与虚幻之间。  二手书籍，几乎全新，感兴趣的直接拍就好，先到先得～   偏远地区不包邮！,15.0,四川,45,https://www.goofish.com/item?id=926672596970&categoryId=127838003
￼￼民调局异闻录终结季 （套装全7册） 天津市内六区可送货，自提优惠10元，外省不出（快递费太贵了）第一部拆包装了剩下6本塑封完整未拆   秦岭迷藏(2)-民调局异闻录(终结季)新华书店,80.0,天津,0,https://www.goofish.com/item?id=859067926253&categoryId=127838003
民调局异闻录全21册: 1.民调局异闻录1-6册外加番外篇《绝处逢生》2册，共8册。 2.民调局异闻录终结季1-7册，共7册。 3.民调局异闻录最终篇章第一季1-6册，共6册。 品相完好，京东购入，买来只翻阅一次，支持本地自提，外地需要加邮费，不包邮。,189.0,新疆,0,https://www.goofish.com/item?id=902309656134&categoryId=127838003
民调局异闻录2—7，几乎全新，塑封完好。耳东水寿著，盗墓笔记 后的新悬疑巅峰之作。一个游走现实与虚幻之间的世界，南派三叔推荐。书架腾地方出掉，售出不退换，偏远不包邮。感兴趣的朋友可以私聊哦～,100.0,黑龙江,0,https://www.goofish.com/item?id=928394546513&categoryId=127838003
